코드 번호,회사명,선택여부,업종 (대),업종 (소),종합점수,종합랭킹,매출액 20년3Q(E) YOY,높은순서  (비중 5),매출액 20년3Q(E) QOQ,높은순서  (비중 5),영업이익 20년3Q(E) YOY,높은순서  (비중 5),영업이익 20년3Q(E) QOQ,높은순서  (비중 5),순이익 20년3Q(E) YOY,높은순서  (비중 5),순이익 20년3Q(E) QOQ,높은순서  (비중 5)
A215090,이디티,?,기계,우주항공,100,1,23.7,12,58,7,508.6,10,4889.5,2,507.6,14,232.7,20
A096870,엘디티,?,반도체 관련장비 및 부품,반도체 설계,99.48,2,230,1,84.4,3,326.2,18,351.3,13,367.9,18,300.4,14
A212560,네오오토,?,자동차 및 관련부품,변속기부품,91.94,3,4.3,34,29,22,1562,2,702.3,8,313.1,21,482.2,9
A197140,디지캡,o,IT서비스,시스템서비스,89.09,4,42.9,8,12.7,32,471.2,12,804.7,6,102.8,45,812.5,4
A043360,디지아이,?,전기 및 전자기기,전기장비,89.09,4,24.7,11,83.6,4,124.2,29,307.3,16,164.8,35,328.7,12
A317770,슈프리마아이디,o,IT 장비 및 소재,카메라모듈,88.05,6,0.8,39,52.6,9,890.5,7,264.3,18,246.6,25,318.9,13
A090150,광진윈텍,o,자동차 및 관련부품,차량 시트,87.53,7,16.4,15,38.8,18,106.4,32,1122.9,4,141.9,39,797.6,5
A005820,원림,o,종이 및 용기,용기 및 포장재,87.53,7,2.8,37,11.7,33,7906.9,1,83.8,40,1580500,1,39610,1
A191410,육일씨엔에쓰,?채무보증이딴거,IT 장비 및 소재,스마트폰 부품,82.59,9,49.9,6,39.3,17,112.5,31,135.1,31,199.3,29,247.2,18
A067770,세진티에스,o,디스플레이 장비 및 부품,디스플레이 부품,82.33,10,92.1,2,40.4,16,1048.8,6,30.9,46,463.7,15,25.1,48
A048830,엔피케이,o 자사주추가보유,화학,합성수지,82.33,10,6.8,30,41.8,15,397.8,14,210.6,20,326.7,19,146.3,35
A023350,한국종합기술,? 주요사항보고 영업정지,건설 및 건축자재,중견건설사,80.77,12,83.2,4,47,12,610.2,8,-16.8,54,218.6,28,152.8,33
A038110,에코플라스틱,?,자동차 및 관련부품,차량 내장재,80.51,13,18.5,13,11.4,34,1403.8,4,182.7,26,176.4,32,158.6,31
A044780,에이치케이,o,기계,기계,80.51,13,14.4,18,1.5,48,378.4,15,709.4,7,272.1,23,162.1,29
