코드 번호,회사명,업종 (대),업종 (소),코스피코스닥,주가 (원),시가총액 (억),상장주식수 (만주),자사주 (만주),자사주 비중 (%),주식수 증가율 (%),1일 등락률 (%),5일 등락률 (%),1개월 등락률 (%),3개월 등락율 (%),6개월 등락율 (%),9개월 등락율 (%),1년 등락율 (%),3년 등락율 (%),과거 GP/A (%),과거 GPM (%),5년평균 OPM,발표 OPM (%),올해 OPM (%),5년평균 ROE,과거 ROE (%),1년후 ROE (%),과거 ROA (%),1년후 ROA (%),과거 PCR,과거 PFCR,과거 PSR,발표 PSR,1년후PEG,PER  곱하기PBR,고점 PBR,저점 PBR,5년평균 PBR,발표 PBR,1년후 PBR,5년평균 PER,자사주반영 PER,과거 PER,발표 PER,발표 분기 PER,올해 PER,1년후 PER,과거 EV/EBITDA (%),과거 POR,발표 POR,청산가치비율 (NCAV전략) (%),당좌 비율 (%),유동 비율 (%),단순 부채비율 (%),보수적 부채비율 (%),차입금 비율 (%),배당 성향 (%),시가 배당률 (%),DPS  성장율 (%),시가 배당율 고점,시가 배당율 저점,국채시가 배당율,주가 변동성,베타 (52주),부채 (억),자본 (억),유동자산 (억),재고자산 (억),투자자산 (억),지분투자 (억),총자산 (억),매출액 (억),영업이익 (억),순이익(지배) (억),EBITDA (억),매출총이익 (억),영업활동현금흐름 (억),투자활동현금흐름 (억),재무활동현금흐름 (억),설비투자 (억),DPS (원),거래대금 (딩일 억),거래대금 (5일평균 억),거래대금 (20일평균 억),거래대금 증가율(5일대비),거래대금 증가율(20일대비),1개월전 주가,3개월전 주가,6개월전 주가,9개월전 주가,1년전 주가,52주 신고가,52주 신저가,주가>5이평,주가>20이평,주가>60이평,주가>120이평,신고가율 (%),신저가율 (%),당일 기관(%),당일 외인(%),당일 수급(%),주간 기관(%),주간 외인(%),주간 수급(%),1개월 기관(%),1개월 외인(%),1개월 수급(%),3개월 기관(%),3개월 외인(%),3개월 수급(%),6개월 기관(%),6개월 외인(%),6개월 수급(%),고점대비 PBR괴리율,저점대비 PBR괴리율,이익의 변동성,예상가 괴리율 (%),목표가  괴리율 (%),예상가 매력등수,목표가 매력등수,본사 국내 =1,지주사 =1,금융 =1,스팩 =1,예상 주가 (원),목표 주가 (원),19년 2Q 호실적 100기업,19년3Q 호실적예상 100기업,3Q 발표 =1,마지막 리포트일,실적 발표일,19/3Q 매출액 컨센대비,19/3Q 영업이익 컨센대비,19/3Q 순이익 컨센대비,19/2Q 매출액 컨센대비,19/2Q 영업이익 컨센대비,19/2Q 순이익 컨센대비,1주일 어닝스,1달 어닝스,3개월  어닝스,6개월  어닝스,9개월  어닝스,12개월  어닝스,어닝스 점수,ROE성장율 (최근분기),자산증가율 (최근분기),자본증가율 (최근분기),자본증가율 (1년후),매출채권 회수기간,재고자산 회수기간,단순 FCFF (잉여현금흐름),F스코어 지배주주순익>0 여부,F스코어 영업활동현금흐름>0 여부,F스코어 ROA증가 여부,F스코어 영현>순익 여부,F스코어 부채비율감소 여부,F스코어 유동비율증가 여부,F스코어 신주발행X 여부,F스코어 매출총이익율증가 여부,F스코어 총자산회전율증가 여부,F스코어 점수 (9점만점),매출액 15년->18년 3년간 YOY,매출액 16년 YOY,매출액 17년 YOY,매출액 18년 YOY,매출액 19년(E)  YOY,매출액 20년(E)  YOY,매출액 18년3Q YOY,매출액 18년4Q YOY,매출액 19년1Q YOY,매출액 19년2Q YOY,매출액 19년3Q(E) YOY,매출액 19년4Q(E) YOY,매출액 18년3Q QOQ,매출액 18년4Q QOQ,매출액 19년1Q QOQ,매출액 19년2Q QOQ,매출액 19년3Q(E) QOQ,매출액 19년4Q(E) QOQ,영업이익 15년->18년 3년간 YOY,영업이익 16년 YOY,영업이익 17년 YOY,영업이익 18년 YOY,영업이익 19년(E)  YOY,영업이익 20년(E)  YOY,영업이익 18년3Q YOY,영업이익 18년4Q YOY,영업이익 19년1Q YOY,영업이익 19년2Q YOY,영업이익 19년3Q(E) YOY,영업이익 19년4Q(E) YOY,영업이익 18년3Q QOQ,영업이익 18년4Q QOQ,영업이익 19년1Q QOQ,영업이익 19년2Q QOQ,영업이익 19년3Q(E) QOQ,영업이익 19년4Q(E) QOQ,순이익 15년->18년 3년간 YOY,순이익 16년 YOY,순이익 17년 YOY,순이익 18년 YOY,순이익 19년(E)  YOY,순이익 20년(E)  YOY,순이익 18년3Q YOY,순이익 18년4Q YOY,순이익 19년1Q YOY,순이익 19년2Q YOY,순이익 19년3Q(E) YOY,순이익 19년4Q(E) YOY,순이익 18년3Q QOQ,순이익 18년4Q QOQ,순이익 19년1Q QOQ,순이익 19년2Q QOQ,순이익 19년3Q(E) QOQ,순이익 19년4Q(E) QOQ,15년 매출액,15년 영업이익,15년 순이익,16년 매출액,16년 영업이익,16년 순이익,17년 매출액,17년 영업이익,17년 순이익,18년 매출액,18년 영업이익,18년 순이익,19년(E) 매출액,19년(E) 영업이익,19년(E) 순이익,20년(E) 매출액,20년(E) 영업이익,20년(E) 순이익,매출액 17년 3Q,매출액 17년 4Q,매출액 18년 1Q,매출액 18년 2Q,매출액 18년 3Q,매출액 18년 4Q,매출액 19년 1Q,매출액 19년 2Q,매출액 19년 3Q(E),매출액 19년 4Q(E),영업이익 17년 3Q,영업이익 17년 4Q,영업이익 18년 1Q,영업이익 18년 2Q,영업이익 18년 3Q,영업이익 18년 4Q,영업이익 19년 1Q,영업이익 19년 2Q,영업이익 19년 3Q(E),영업이익 19년 4Q(E),순이익 17년 3Q,순이익 17년 4Q,순이익 18년 1Q,순이익 18년 2Q,순이익 18년 3Q,순이익 18년 4Q,순이익 19년 1Q,순이익 19년 2Q,순이익 19년 3Q(E),순이익 19년 4Q(E),발표치 19년3Q  매출액,발표치 19년3Q  영업이익,발표치 19년3Q  순이익,컨센서스 19년3Q  매출액,컨센서스 19년3Q  영업이익,컨센서스 19년3Q  순이익,
A005930,삼성전자,반도체 관련장비 및 부품,종합 반도체,코스피,49150,2934148,596978,0,0,-7,1.2,2.4,4.2,4.9,7.8,21.4,11.7,55.8,28.5,40.9,17.1,13.6,11.8,14.8,12.6,9.93,9.4,7.6,5.89,10.42,1.26,1.28,-0.86,10.9,1.91,0.96,1.27,1.17,1.06,8.9,9.32,9.32,9.32,14.48,13.51,10.65,5.39,7.12,9.36,30.1,240,292.42,33,34,6,21.9,2.9,255.04,3.66,0.58,2.23,0.01509,1.2899,851931,2498927,1734335,312470,373394,73898,3350858,2297777,313310,314695,689083,953362,498170,-412141,-126458,216560,1416,3804.61,5522.81,5128.99,-31.11,-25.82,47150,46850,45600,40500,44000,49500,37450,1,1,1,1,99,31,0.01,0.03,0.04,0.05,0.02,0.07,0.15,0.12,0.27,0.55,-0.07,0.48,0.41,0.2,0.61,61,122,0.32227,74,84,313,312,1,0,0,0,66493,58224,0,0,1,20191010,20191008,0.4,8,0,3.4,7.9,1.4,-1.4,7.7,11.5,2.5,-23.3,-12.4,40,-37,5,7,11,58,79,281610,1,1,0,1,1,1,1,0,0,6,21.5,0.6,18.7,1.8,-4.6,8.6,5.5,-10.2,-13.5,-4,-5.3,4.8,11.9,-9.5,-11.6,7.1,10.5,0.2,122.9,10.7,83.5,9.8,-53.2,36.4,18.2,-28.7,-60.2,-55.6,-56.2,-34.8,18.2,-38.5,-42.3,5.8,16.7,-8.6,134.8,19.9,18.7,6.2,-50.5,34,17.5,-30.7,-56,-53.9,0,-34.1,18.1,-35.8,-38.7,-0.8,0,-1.9,2006535,264134,186946,2018667,292407,224157,2395754,536450,413446,2437714,588867,438909,2325673,275380,217139,2525234,375667,290979,620489,659784,605637,584827,654600,592651,523855,561271,620000,621314,145332,151470,156422,148690,175749,108006,62333,65971,77000,70414,110398,120163,116118,109815,129674,83301,51075,50645,55996,54905,620000,77000,0,617339,71274,55996,
A000660,SK하이닉스,반도체 관련장비 및 부품,종합 반도체,코스피,80000,582402,72800,4400,6,0,1.3,-0.4,-3.1,5.1,1,22.9,10.5,92.5,28.6,52.1,34.6,37.3,11.4,23.7,20.4,8.32,15.4,6.4,3.77,-128.68,1.68,1.68,-0.24,7.31,2.89,0.94,1.43,1.22,1.12,6.7,5.63,5.99,5.99,27.19,24.94,13.46,3.18,4.51,4.51,-1.9,115,189.58,32,32,21,6.6,1.9,335.9,2.48,0,1.46,0.02321,1.56231,153215,477002,142428,55887,77706,7027,630217,345798,129066,97282,204602,180165,154616,-159474,4362,159142,1500,1543.03,1881.98,2017.8,-18.01,-23.53,82600,76100,79200,65100,72400,84300,57700,0,0,1,1,95,39,0.04,-0.01,0.03,0.16,-0.22,-0.06,0.48,-0.75,-0.27,0.42,0.44,0.86,0.83,0.1,0.93,42,130,0.49086,47,82,121,301,1,0,0,0,169347,97568,0,0,0,20191010,20190725,0,0,0,1.5,-12.5,-21.7,4.9,13.9,9,-21.8,-62.5,-55.5,60,-39,18,17,9,64,104,-4526,1,1,0,1,0,1,1,0,0,5,115.2,-8.5,75.1,34.3,-37,9.9,40.9,10.1,-22.3,-37.8,-45.6,-39.4,10.1,-13,-31.9,-4.7,-3.8,-3,290.6,-38.6,318.8,51.9,-86,119.7,16.1,-0.8,-68.7,-88.6,-93.6,-89.6,16.1,-31.6,-69.2,-53.3,-34.6,10.2,259.5,-31.7,75.1,46,-85,108.6,53.7,5.4,-64.7,-87.6,-93.9,-91.7,8.4,-27.6,-67.5,-51.4,-46.6,-0.9,187980,53361,43224,171980,32767,29538,301094,137213,106415,404451,208438,155401,254667,29107,23350,279933,63940,48704,81001,90276,87197,103705,114168,99381,67727,64522,62071,60187,37372,44658,43673,55739,64724,44301,13665,6376,4172,4597,30542,32208,31203,43299,46936,33963,11028,5355,2861,2835,0,0,0,62071,4172,2861,
A068270,셀트리온,제약 및 바이오,바이오,코스피,181500,232930,12834,106,0.8,0.5,0.3,4.9,7.4,-3.7,-10.8,-16.2,-32.7,92.8,14.2,54.5,41.8,29.9,36.1,10.4,9.2,15.27,6.8,11.7,58.31,76.4,25.04,25.04,0.51,854.29,15.48,3.38,8.08,8.85,7.5,78.1,95.76,96.53,96.53,75.43,69.97,49.07,55.52,83.67,83.67,3.4,248,291.07,34,36,19,1,0,-72.14,0.72,0,0,0.02831,1.12719,9417,26331,17221,2556,1145,402,35748,9304,2784,2413,4206,5067,3994,-1672,-1872,945,19,922.43,1024.05,1095.53,-9.92,-15.8,169000,188500,203500,216500,269684,269684,141500,1,1,1,0,67,28,-0.02,0.08,0.06,0.06,0.29,0.35,0.68,-0.31,0.37,1.74,-0.64,1.1,1.66,0.9,2.56,57,262,0.26506,759,77,1202,217,1,0,0,0,23914,235745,0,1,0,20191010,20190801,0,0,0,1.5,0.2,7.5,-1.7,12.5,10.4,22.4,17.8,96.7,100,-34,0,-3,18,327,171,3049,1,1,0,1,0,1,0,0,0,4,62.8,11.1,41.5,3.5,13.1,37.5,-0.4,-11.6,-9.5,-10.8,29.5,45,-12.3,5,-8.6,6,27.4,17.5,30.8,-3.6,103.4,-33.3,18.5,50.9,-30.4,-70.3,-32.9,-21.2,48.2,190.2,-30.4,-40.2,75.9,7.8,30.8,17,69.9,15.5,41.5,-31.6,27.2,54,-45.4,-54.9,-21.3,-4.1,57.3,164.3,-30.2,-21.7,45.2,20.8,14.5,31.6,6034,2590,1541,6706,2497,1780,9491,5078,3825,9821,3387,2618,11104,4013,3329,15271,6056,5127,2321,2743,2450,2634,2311,2426,2217,2350,2993,3517,1318,1483,1153,1058,736,440,774,834,1091,1277,1029,976,812,805,562,440,639,772,884,1163,0,0,0,2993,1091,884,
A051910,LG화학,화학,종합 화학,코스피,302500,213542,7059,165,2.3,0,1.9,2.2,-6.6,-14.3,-18,-13.3,-4.1,30.1,15.1,17.1,8.7,5.1,4.2,9,4.3,6.42,2.3,3.5,7.37,-9.09,0.75,0.75,0.3,36.76,3.8,0.99,1.45,1.25,1.17,16.8,28.73,29.41,29.41,78.39,31.5,18.3,8.87,14.88,14.88,-8.7,116,180.67,88,89,49,31.2,2,34.65,3.47,1.02,1.54,0.01808,1.10513,151567,170218,133012,47709,11415,2953,321785,283941,14349,7261,30645,48510,28971,-53396,26906,52472,6000,550.11,628.46,743.3,-12.47,-25.99,324000,353000,369000,349000,315500,394500,289000,1,0,0,0,77,5,0.02,0.04,0.07,-0.07,0.07,0,-0.97,-0.13,-1.1,-0.58,-0.7,-1.28,-0.64,-1.11,-1.75,33,126,0.56338,230,72,933,134,1,0,0,0,131368,421502,0,0,0,20191011,20190724,0,0,0,-4.8,-20.1,-67.8,-10.9,-10.8,-14.7,-23.1,-29.9,60.7,20,-60,17,0,6,60,70,-23501,1,1,0,1,0,0,1,0,0,4,39.5,2.2,24.4,9.7,4.2,22.5,13.1,14.2,1.3,1.8,5.1,8.5,2.6,1.5,-9.6,8.1,5.9,4.8,23.2,9.2,47,-23.3,-45.5,69.3,-14.3,-52.9,-57.7,-62,-47.8,25.6,-14.3,-51.9,-4.9,-2.9,17.5,15.8,27.7,11.1,24.4,-24.3,-54,91.7,-34.1,-62,-63.4,-85.7,-49.1,85.9,-28.1,-65,61.9,-65,156.7,27.7,202066,18236,11530,206593,19919,12811,256980,29285,19453,281830,22461,14726,293600,12245,6780,359578,20726,12999,63971,64322,65536,70519,72349,73427,66391,71774,76018,79677,7897,6150,6508,7033,6024,2896,2754,2675,3142,3638,5210,3158,5313,4777,3434,1201,1945,681,1748,2233,0,0,0,76018,3142,1748,
A005380,현대차,자동차 및 관련부품,완성차,코스피,126000,269222,21367,1094,5.1,0,-0.4,-0.4,-2.3,-5.3,-6,2.4,9.1,-5.3,8.9,16.2,5.5,2.8,4.2,7.7,2.7,5.76,1,2.3,9.28,-62.1,0.27,0.27,0.05,5.56,1.55,0.37,0.5,0.39,0.36,8,13.53,14.26,14.26,7.32,7.14,6.34,11.51,9.44,9.44,-234.5,74,98.42,149,162,103,70.7,3.2,45.38,3.38,0.89,2.46,0.01863,0.88025,1128070,695419,496680,122097,460265,177897,1823489,1006177,28526,18882,66419,162838,29018,-45446,22352,33353,4000,463.82,580.15,706.11,-20.05,-34.31,129000,133000,134000,123000,115500,143500,92800,0,0,0,0,88,36,-0.05,0.01,-0.04,-0.13,-0.02,-0.14,0.32,-0.4,-0.08,0.61,-1.02,-0.41,1.31,-0.89,0.42,25,105,0.60196,113,74,557,167,1,0,0,0,111333,170113,0,1,0,20191010,20190722,0,0,0,1.8,4.9,-10.8,0.6,2,4.3,13.2,15.6,124.9,100,-42,1,-7,6,20,48,-4335,1,1,0,1,0,0,1,0,0,4,5.3,1.8,2.9,0.5,7.5,4.3,1,3,6.9,9.1,6.3,8.1,-1.1,3.3,-4.9,12.4,-3.6,5,-61.9,-18.3,-11.9,-47.1,79.4,15,-69.6,-35.4,21.1,30.2,289.2,150,-69.6,73.5,64.6,50,-9.2,11.4,-76.5,-15.8,2.9,-62.6,149.9,15.9,-68.4,-112.6,24.2,31.2,280.8,932.3,-61.6,-148.2,739.1,10.8,11.5,5.4,919587,63579,64173,936490,51935,54064,963761,45747,40328,968126,24222,15081,1041078,43457,37680,1086361,49972,43663,242013,245008,224366,247118,244337,252305,239871,269664,259838,272830,12042,7752,6813,9508,2889,5011,8249,12377,11244,12527,8524,10330,6680,7006,2692,-1298,8295,9193,10252,10803,0,0,0,259838,11244,10252,
A017670,SK텔레콤,통신,통신서비스,코스피,236500,190964,8075,888,11,0,1.5,0.9,-0.6,-8.9,-3.3,-10.2,-12.4,7,40.5,100,9.2,6.8,7.2,12.2,9.6,6.16,5.1,3.3,4.63,16.89,1.1,1.1,-0.41,7.52,1.67,0.84,1.19,0.85,0.8,10,7.87,8.85,8.85,18.12,16.43,12.91,5.84,16.26,16.26,-65.8,106,109.3,90,89,49,22.9,4.2,3.85,6.64,3.71,3.23,0.01244,0.08218,201608,225281,75860,2239,156183,131568,426889,173100,11748,21589,47325,173100,41251,-39796,-4876,29943,10000,319.72,323.44,418.66,-1.15,-23.63,238000,259500,244500,263500,270000,289500,231500,1,0,0,0,82,2,0.03,-0.01,0.02,0.07,-0.07,-0.01,0.52,-0.82,-0.3,1.25,-2.02,-0.77,2.05,-1.95,0.1,51,101,0.41186,128,68,615,65,1,0,0,0,184323,345461,0,0,0,20191010,20190802,0,0,0,1.5,2.4,-19.1,12.7,-9.8,-7.3,-35.4,-52.6,-31.5,20,-33,17,7,6,46,0,11308,1,1,0,1,0,0,1,0,0,4,-1.5,-0.3,2.5,-3.7,5.7,4.7,-5.8,-3.2,3.7,6.8,7.2,5.1,0.8,3.9,-0.4,2.4,1.1,2,-29.6,-10.1,0.1,-21.8,6.1,11.6,-12.3,-27.4,-0.9,-6.9,8.4,34.5,-12.3,-25.9,43.2,0.1,2.1,-8.1,106,10.4,2.5,20.3,-62.9,34.4,29.6,-17.8,-45.4,-71.3,-72.3,-50.1,12.5,-53,-21.8,-30.5,8.3,-15.1,171367,17080,15186,170918,15357,16760,175200,15366,25998,168740,12018,31279,178360,12754,11620,186768,14230,15623,44427,44973,41815,41543,41864,43517,43349,44370,44873,45754,3924,3104,3255,3469,3041,2253,3226,3228,3297,3030,7958,5900,6950,9167,10314,4849,3792,2634,2852,2420,0,0,0,44873,3297,2852,
A207940,삼성바이오로직스,제약 및 바이오,바이오,코스피,325000,215036,6617,0,0,0,-0.3,1.4,10.9,10,-9.7,-17.8,-31.5,0,1.5,18.2,1.2,-3.5,4,-1.3,5.8,3.83,4.1,2.7,-289.51,-82.52,44.53,44.53,-4.18,472.65,9.2,2.45,5.73,5.24,5.04,-113.4,90.2,90.2,90.2,-401.19,665.75,131.76,218.56,-1279.98,-1279.98,-1.6,0,224.19,42,42,21,0,0,0,0,0,0,0.03172,1.01749,17235,41031,13871,4155,27080,25645,58266,4829,-168,2384,986,880,-742,789,-819,1864,0,186.77,246.4,432.28,-24.2,-56.79,293000,295500,360000,395500,474500,474500,249500,0,1,1,1,68,30,-0.01,0.01,0,0.03,0.05,0.08,0.38,0.27,0.65,0.37,0.19,0.56,-0.04,0.35,0.31,57,214,7.4999,-10103,84,1301,312,1,0,0,0,-3217,386658,0,1,0,20191008,20190723,0,0,0,-21,-27.3,-11.7,-0.1,47.4,37.3,68.4,449.5,-31.5,80,0,-21,6,4,67,258,-2606,1,0,1,0,1,1,1,0,1,6,486.9,222.7,57.7,15.3,4.3,48.1,-20.7,7.2,-4.3,-37.7,60.2,12.2,-19.4,76.4,-29.7,-37.7,107.4,23.5,127.4,85.1,317.1,-15.6,-60.3,713.6,-55.7,-77.3,-334,-165,124.8,267.8,-55.7,9.5,-303.5,34.2,253.2,79.2,-88.2,-109.3,57.7,331,-85.6,517,14.8,3241.6,17.6,31.3,199.3,-82.4,-38.5,1275.2,-112.1,65.2,300,109,913,-2036,19049,2946,-304,-1768,4646,660,-970,5358,557,2241,5588,221,323,8274,1798,1993,1275,1663,1310,1254,1011,1783,1254,781,1620,2001,205,506,100,237,105,115,-234,-154,236,423,-317,-101,-467,-195,-270,3173,-385,-134,268,560,0,0,0,1620,236,268,
A005490,POSCO,철강 및 비철강,제철,코스피,225500,196606,8719,764,8.8,0,2.3,3.4,-4.4,-5.8,-16.5,-11.7,-14.9,-2.4,9.4,10.9,6.2,7.8,6.6,3.4,3.4,5.66,2,3.4,3.12,4.75,0.3,0.3,0.1,5.75,1.74,0.35,0.53,0.44,0.42,21.5,11.91,13.06,13.06,8.03,7.86,7.37,3.45,3.87,3.87,15,126,192.59,65,70,42,47.3,4.4,17.24,4.8,1.62,3.38,0.01675,1.14811,311171,444570,340578,117082,94268,37874,755741,653677,50741,15057,84275,71567,63065,-24907,-39343,21639,10000,461.52,470.99,548.78,-2.01,-15.9,236000,239500,270000,255500,265000,285000,203500,1,0,1,0,79,11,0.01,0.03,0.05,-0.04,0.07,0.02,0.01,0.07,0.08,0.63,-1.12,-0.49,1.06,-2.47,-1.41,25,126,1.0839,103,71,502,119,1,0,0,0,219639,316086,0,0,0,20191011,20190723,0,0,0,0,-1.9,-2,-5.5,-4.8,-6.7,-10.3,-11.3,77.2,20,-49,-5,-6,6,55,71,41426,1,1,0,1,1,1,1,0,1,7,11.7,-8.8,14.3,7.1,1,2.4,9.1,6.6,1,1.5,0.8,0.7,2,1.3,-3.7,1.9,1.3,1.2,130,18,62.5,19.9,-22,3.8,22.3,10.4,-19.1,-14.7,-35.9,-14.4,22.3,-17,-5.4,-11.2,-8.2,10.9,836.1,654.9,14.3,-39.4,48,8.2,17.3,-255.8,-25.4,12.3,-46.6,174.7,87.1,-185.1,185.5,-17.4,-11.1,19.1,581923,24100,1806,530835,28443,13633,606551,46218,27901,649778,55426,16906,656330,43253,25013,671764,44893,27053,150361,155974,158623,160833,164107,166215,160142,163213,165371,167398,11257,11521,14877,12523,15311,12715,12029,10686,9815,10885,8694,5569,9935,5450,10195,-8674,7413,6123,5444,6483,0,0,0,165371,9815,5444,
A015760,한국전력,유틸리티,전력,코스피,25300,162417,64196,0,0,0,-1.2,0.6,-1,-1,-12.3,-27.1,2.2,-51,1.2,3.9,11.2,-0.5,1.2,6.9,-1.9,1.66,-0.7,0.6,2.35,-3.76,0.27,0.27,0.07,-2.94,0.59,0.23,0.42,0.24,0.23,8.1,-12.27,-12.27,-12.27,-9.07,-181.67,14.04,8.12,-50.46,-50.46,-632.8,56,83.8,176,180,101,0,0,-100,7.26,0,0,0.01799,0.37193,1228995,684191,201165,67529,119455,59804,1913186,599038,-3219,-13234,100444,23356,69176,-122532,42562,112334,0,261.13,280.38,325.41,-6.87,-19.75,25550,25550,28850,34700,24750,35800,24700,0,0,0,0,71,2,0.02,-0.06,-0.04,0.02,-0.12,-0.1,0.15,-0.16,-0.01,0.39,-0.41,-0.02,0.44,-2.37,-1.93,41,104,-3.11473,-99,74,1681,167,1,0,0,0,-25656,34102,0,0,0,20191010,20190814,0,0,0,-2.3,-1.8,-6,-3.2,84.7,0,-32.9,-10,187.4,40,0,3,-4,1,39,43,-43158,0,1,0,1,0,1,1,0,0,4,2.8,2.1,-0.6,1.4,-2.7,1.1,1.4,-2.4,-2.9,-2,-2.9,-2.9,23,-7.5,0.5,-14.3,21.9,-7.6,-101.8,5.8,-58.7,-104.2,430.3,422.5,303.1,-509.4,-393.7,56.5,11.9,107.2,303.1,-156.5,20.1,52.6,622.8,-96.4,-109.9,-47,-0.6,-201.2,93.2,1779,-52.5,42.6,-184.1,52.9,101.3,206,174.7,-212.4,1.1,43.2,418.7,-40.8,589577,113467,132891,601904,120016,70486,598149,49532,12987,606276,-2080,-13146,589971,6871,-894,596294,35898,15010,161877,155550,157060,133372,164098,151746,152484,130710,159367,147305,27729,-1294,-1276,-6871,13952,-7885,-6299,-2987,15616,566,14930,-13884,-2773,-9492,7086,-7967,-7878,-4475,14263,8446,0,0,0,159367,15616,14263,
A028260,삼성물산,지주사,지주사,코스피,90800,172239,18969,2623,13.8,0,2.6,3.3,2.3,-3.8,-18.2,-16.7,-22.4,-44.5,8.8,11.9,2.3,2.7,2.9,6.7,6.4,5.77,3.4,3.1,60.77,-136.81,0.55,0.55,-2.83,9.48,4.79,0.77,1.77,0.78,0.73,76.3,10.48,12.16,12.16,19.59,16.11,12.73,13.98,20.44,20.44,-42,90,105.69,80,90,18,19.3,2.2,378.87,1.9,0,1.69,0.01545,1.08997,197961,221002,125565,18571,258436,36419,418963,310807,8425,14167,13200,37041,2834,7613,-19795,4093,2000,247.56,227.07,223.06,9.03,10.99,88800,94400,111000,109000,117000,120000,84400,1,1,1,0,76,8,0.02,0.02,0.04,0.02,0.03,0.04,0.1,0,0.1,0.29,-0.18,0.11,0.13,-0.86,-0.73,16,101,0.54339,161,64,747,17,1,1,0,0,56271,141785,0,0,0,20191010,20190724,0,0,0,0.8,-6.8,-38.2,25.8,35.5,23.1,11.4,10.7,-4.5,100,28,-9,-7,6,55,24,-1259,1,1,1,0,1,1,1,0,1,7,133.5,110.6,4.2,6.4,0.6,3.7,3.8,2.7,-1.6,0.6,-0.5,3,-1.9,2.4,-7.7,8.4,-2.9,6,2875.5,276,531.8,25.3,-17.1,14.6,-27.6,-14.3,-49.7,-41.6,-1.7,24.8,-27.6,-11.3,-56.7,109.8,22,12.5,-37.6,-96.1,4.2,167.7,-37.6,33.5,86.6,328,-38.3,-39.1,-8.6,-50.4,-22,136.5,-62.6,-11.8,17.2,28.3,133447,371,27468,281027,1395,1074,292790,8813,6398,311556,11039,17128,313478,9153,10690,324938,10492,14275,74926,77649,74763,79277,77805,79711,73571,79720,77413,82086,2101,2832,2092,3781,2738,2428,1052,2207,2692,3029,1509,1556,4042,3610,2816,6660,2493,2198,2575,3303,0,0,0,77413,2692,2575,
