코드 번호,회사명,업종 (대),업종 (소),코스피코스닥,주가 (원),시가총액 (억),상장주식수 (만주),자사주 (만주),자사주 비중 (%),주식수 증가율 (%),1일 등락률 (%),5일 등락률 (%),1개월 등락률 (%),3개월 등락율 (%),6개월 등락율 (%),9개월 등락율 (%),1년 등락율 (%),3년 등락율 (%),과거 GP/A (%),과거 GPM (%),5년평균 OPM,발표 OPM (%),올해 OPM (%),5년평균 ROE,과거 ROE (%),1년후 ROE (%),과거 ROA (%),1년후 ROA (%),과거 PCR,과거 PFCR,과거 PSR,발표 PSR,1년후PEG,PER  곱하기PBR,고점 PBR,저점 PBR,5년평균 PBR,발표 PBR,1년후 PBR,5년평균 PER,자사주반영 PER,과거 PER,발표 PER,발표 분기 PER,올해 PER,1년후 PER,과거 EV/EBITDA (%),과거 POR,발표 POR,청산가치비율 (NCAV전략) (%),당좌 비율 (%),유동 비율 (%),단순 부채비율 (%),보수적 부채비율 (%),차입금 비율 (%),배당 성향 (%),시가 배당률 (%),DPS  성장율 (%),시가 배당율 고점,시가 배당율 저점,국채시가 배당율,주가 변동성,베타 (52주),부채 (억),자본 (억),유동자산 (억),재고자산 (억),투자자산 (억),지분투자 (억),총자산 (억),매출액 (억),영업이익 (억),순이익(지배) (억),EBITDA (억),매출총이익 (억),영업활동현금흐름 (억),투자활동현금흐름 (억),재무활동현금흐름 (억),설비투자 (억),DPS (원),거래대금 (당일 억),거래대금 (5일평균 억),거래대금 (20일평균 억),거래대금 증가율(5일대비),거래대금 증가율(20일대비),1개월전 주가,3개월전 주가,6개월전 주가,9개월전 주가,1년전 주가,52주 신고가,52주 신저가,주가>5이평,주가>20이평,주가>60이평,주가>120이평,신고가율 (%),신저가율 (%),당일 기관(%),당일 외인(%),당일 수급(%),주간 기관(%),주간 외인(%),주간 수급(%),1개월 기관(%),1개월 외인(%),1개월 수급(%),3개월 기관(%),3개월 외인(%),3개월 수급(%),6개월 기관(%),6개월 외인(%),6개월 수급(%),고점대비 PBR괴리율,저점대비 PBR괴리율,이익의 변동성,예상가 괴리율 (%),목표가  괴리율 (%),예상가 매력등수,목표가 매력등수,본사 국내 =1,지주사 =1,금융 =1,스팩 =1,예상 주가 (원),목표 주가 (원),19년 4Q 호실적 100기업,20년1Q 호실적예상 100기업,1Q 발표 =1,마지막 리포트일,실적 발표일,20/1Q 매출액 컨센대비,20/1Q 영업이익 컨센대비,20/1Q 순이익 컨센대비,19/4Q 매출액 컨센대비,19/4Q 영업이익 컨센대비,19/4Q 순이익 컨센대비,1주일 어닝스,1달 어닝스,3개월  어닝스,6개월  어닝스,9개월  어닝스,12개월  어닝스,어닝스 점수,ROE성장율 (최근분기),자산증가율 (최근분기),자본증가율 (최근분기),자본증가율 (1년후),매출채권 회수기간,재고자산 회수기간,단순 FCFF (잉여현금흐름),F스코어 지배주주순익>0 여부,F스코어 영업활동현금흐름>0 여부,F스코어 ROA증가 여부,F스코어 영현>순익 여부,F스코어 부채비율감소 여부,F스코어 유동비율증가 여부,F스코어 신주발행X 여부,F스코어 매출총이익율증가 여부,F스코어 총자산회전율증가 여부,F스코어 점수 (9점만점),매출액 16년->19년 3년간 YOY,매출액 17년 YOY,매출액 18년 YOY,매출액 19년 YOY,매출액 20년(E)  YOY,매출액 21년(E)  YOY,매출액 19년1Q YOY,매출액 19년2Q YOY,매출액 19년3Q YOY,매출액 19년4Q YOY,매출액 20년1Q(E) YOY,매출액 20년2Q(E) YOY,매출액 19년1Q QOQ,매출액 19년2Q QOQ,매출액 19년3Q QOQ,매출액 19년4Q QOQ,매출액 20년1Q(E) QOQ,매출액 20년2Q(E) QOQ,영업이익 16년->19년 3년간 YOY,영업이익 17년 YOY,영업이익 18년 YOY,영업이익 19년 YOY,영업이익 20년(E)  YOY,영업이익 21년(E)  YOY,영업이익 19년1Q YOY,영업이익 19년2Q YOY,영업이익 19년3Q YOY,영업이익 19년4Q YOY,영업이익 20년1Q(E) YOY,영업이익 20년2Q(E) YOY,영업이익 19년1Q QOQ,영업이익 19년2Q QOQ,영업이익 19년3Q QOQ,영업이익 19년4Q QOQ,영업이익 20년1Q(E) QOQ,영업이익 20년2Q(E) QOQ,순이익 16년->19년 3년간 YOY,순이익 17년 YOY,순이익 18년 YOY,순이익 19년 YOY,순이익 20년(E)  YOY,순이익 21년(E)  YOY,순이익 19년1Q YOY,순이익 19년2Q YOY,순이익 19년3Q YOY,순이익 19년4Q YOY,순이익 20년1Q(E) YOY,순이익 20년2Q(E) YOY,순이익 19년1Q QOQ,순이익 19년2Q QOQ,순이익 19년3Q QOQ,순이익 19년4Q QOQ,순이익 20년1Q(E) QOQ,순이익 20년2Q(E) QOQ,16년 매출액,16년 영업이익,16년 순이익,17년 매출액,17년 영업이익,17년 순이익,18년 매출액,18년 영업이익,18년 순이익,19년 매출액,19년 영업이익,19년 순이익,20년(E) 매출액,20년(E) 영업이익,20년(E) 순이익,21년(E) 매출액,21년(E) 영업이익,21년(E) 순이익,매출액 18년 1Q,매출액 18년 2Q,매출액 18년 3Q,매출액 18년 4Q,매출액 19년 1Q,매출액 19년 2Q,매출액 19년 3Q,매출액 19년 4Q,매출액 20년 1Q(E),매출액 20년 2Q(E),영업이익 18년 1Q,영업이익 18년 2Q,영업이익 18년 3Q,영업이익 18년 4Q,영업이익 19년 1Q,영업이익 19년 2Q,영업이익 19년 3Q,영업이익 19년 4Q,영업이익 20년 1Q(E),영업이익 20년 2Q(E),순이익 18년 1Q,순이익 18년 2Q,순이익 18년 3Q,순이익 18년 4Q,순이익 19년 1Q,순이익 19년 2Q,순이익 19년 3Q,순이익 19년 4Q,순이익 20년 1Q(E),순이익 20년 2Q(E),발표치 20년1Q  매출액,발표치 20년1Q  영업이익,발표치 20년1Q  순이익,컨센서스 20년1Q  매출액,컨센서스 20년1Q  영업이익,컨센서스 20년1Q  순이익,
A005930,삼성전자,반도체 관련장비 및 부품,종합 반도체,코스피,51400,3068468,596978,0,0,0,4.9,4.4,19.7,-16.3,1.4,9.8,13.5,26.1,24.1,36.1,17.1,12,14.6,14.2,8.4,10.37,6.2,7.9,6.76,14.95,1.33,1.32,0.28,17.12,1.91,0.96,1.27,1.2,1.08,8.8,14.27,14.27,14.27,14.67,11.62,10.4,6.92,11.05,10.98,29.9,242,284.38,34,35,7,44.7,2.8,200.3,3.66,0.58,2.8,0.0187,1.01697,896841,2549155,1813853,267665,306503,75916,3445996,2330154,279353,215050,573662,831613,453829,-399483,-94845,248545,1416,16277.8,10077.5,14474.4,61.53,12.46,42950,61400,50700,46800,45300,62400,41200,1,1,0,0,82,25,0.04,0.09,0.12,0,0.08,0.08,-0.1,-0.18,-0.28,-0.18,-2.28,-2.46,0.15,-2.27,-2.12,63,125,0.39971,120,80,611,194,1,0,0,0,42859,64236,0,0,1,20200414,20200407,0.5,6.9,0,-1.6,10.3,-2.3,-1.9,-7.9,-6.7,6,18.7,37.2,40,-54,3,6,11,59,75,205284,1,1,0,1,1,1,1,0,0,6,14.1,18.7,1.8,-5.5,2,11.8,-13.5,-4,-5.3,1,5,-3.9,-11.6,7.1,10.5,-3.4,-8.2,-2,-5,83.5,9.8,-52.8,23.6,40.9,-60.2,-55.6,-55.7,-33.7,2.7,8.6,-42.3,5.8,17.9,-7.9,-10.6,11.9,-4.1,84.4,6.2,-51,22.8,39.5,-56,-53.9,-52.9,-37.2,0,5.9,-38.7,-0.8,20.5,-14.4,0,13.9,2018667,292407,224157,2395754,536450,413446,2437714,588867,438909,2304009,277685,215051,2349306,343271,264082,2625857,483671,368494,605637,584827,654600,592651,523855,561271,620035,598848,550000,539133,156422,148690,175749,108006,62333,65971,77779,71603,64000,71620,116118,109815,129674,83301,51075,50645,61050,52280,47088,53629,550000,64000,0,547184,59879,47088,
A000660,SK하이닉스,반도체 관련장비 및 부품,종합 반도체,코스피,84100,612250,72800,4400,6,0,3.4,0,21.9,-15.3,5.1,9.5,2.8,61.7,12.6,30.3,33.4,10.1,19.6,22.3,4.2,11.26,3.1,8.6,9.44,-8.29,2.27,2.27,0.05,38.92,2.71,0.94,1.36,1.28,1.13,5.9,28.59,30.41,30.41,-129.49,12.91,10.07,6.12,22.57,22.57,-3.9,116,183.61,35,35,25,34,1.2,133.68,2.24,0,1.2,0.02523,1.22769,168463,479284,144576,52958,78109,7688,647747,269908,27127,20133,112661,81655,64833,-104508,39031,138664,1000,5242.4,3534.03,4686.26,48.34,11.87,69000,99300,80000,76800,81800,105000,63100,1,1,0,0,80,33,0.13,-0.03,0.1,0.01,-0.26,-0.25,0.02,-0.2,-0.18,0.75,-2.35,-1.6,1.34,-1.92,-0.58,47,136,0.86634,255,76,945,132,1,0,0,0,33040,110637,0,0,0,20200417,20200131,0,0,0,2.2,-49.1,-132.3,-5.5,-3,-2.7,40.4,53.9,202.1,60,-87,1,2,12,65,104,-73831,1,1,0,1,1,1,1,0,0,6,56.9,75.1,34.3,-33.3,20,22.7,-22.3,-37.8,-40.1,-30.3,2.7,21.8,-31.9,-4.7,6,1.3,0.4,13,-17.2,318.8,51.9,-87,134.4,94.1,-68.7,-88.6,-92.7,-94.7,-60.5,119.3,-69.2,-53.3,-25.9,-50.1,128.8,158.9,-31.8,260.3,46,-87,135.6,95.3,-64.7,-87.6,-89.5,-103.5,-62.5,92.5,-67.5,-51.4,-7.9,-124,450.1,149.2,171980,32767,29538,301094,137213,106415,404451,208438,155401,269907,27127,20133,323818,63582,47435,397455,123388,92659,87197,103705,114168,99381,67727,64522,68388,69271,69538,78585,43673,55739,64724,44301,13665,6376,4726,2360,5400,13983,31203,43299,46936,33963,11028,5355,4932,-1182,4138,10310,0,0,0,69538,5400,4138,
A068270,셀트리온,제약 및 바이오,바이오,코스피,211000,284232,13471,113,0.8,0.6,-1.9,0.7,50.7,22.3,12.1,19.7,1.3,153.9,16.7,55.8,40.9,33.5,39.4,10.6,10.6,16.27,7.9,12.6,59.97,74.35,25.19,25.19,0.63,971.64,15.48,3.38,8.53,10.17,8.52,82.3,94.78,95.54,95.54,74.8,58.08,52.35,53.15,75.17,75.17,2.8,225,271.95,34,35,17,2.1,0,-27.81,0.76,0.01,0,0.03212,0.90422,9867,27942,17873,3089,1427,478,37809,11285,3781,2975,5373,6300,4740,-2515,-859,917,50,3745.7,3953.7,6527.74,-5.26,-42.62,140000,172500,188164,176224,208222,229000,135153,0,1,1,1,92,56,-0.09,0.01,-0.09,-0.13,-0.04,-0.18,-0.15,0.58,0.43,0.43,0.82,1.25,0.88,-0.1,0.78,66,301,0.235,803,83,1197,244,1,0,0,0,26272,255208,0,1,0,20200413,20200219,0,0,0,6.5,-15.5,-31.1,-1.3,-1,-0.1,15.7,30.2,82.5,60,1,10,10,19,266,187,3823,1,1,1,1,0,1,0,0,1,6,68.3,41.5,3.5,14.9,37.2,29.5,-9.5,-10.8,25.1,57.7,63.4,66.6,-8.6,6,23,32.4,-5.3,8.1,51.4,103.4,-33.3,11.6,61.4,36.5,-32.9,-21.2,40.1,159.5,78,82.9,75.9,7.8,23.6,10.8,20.7,10.7,67.2,114.9,-31.6,13.7,64.4,36.9,-21.3,-4.1,9.3,115.9,55.1,43.7,45.2,20.8,-20.5,54.7,4.3,11.9,6706,2497,1780,9491,5078,3825,9821,3387,2618,11285,3781,2976,15482,6102,4894,20045,8330,6702,2450,2634,2311,2426,2217,2350,2891,3827,3623,3916,1153,1058,736,440,774,834,1031,1142,1378,1525,812,805,562,440,639,772,614,950,991,1109,0,0,0,3623,1378,991,
A051910,LG화학,화학,종합 화학,코스피,362500,255897,7059,165,2.3,0,5.7,11.9,57.6,5.2,21.6,0.3,-1.1,29.5,14.4,16.9,8.5,3.1,3.9,8.5,1.8,5.04,0.9,2.6,8.2,-8.42,0.89,0.89,0.15,122.48,3.8,0.99,1.45,1.5,1.43,17.2,79.77,81.65,81.65,-82.23,35.71,28.33,11.65,28.57,28.57,-18.6,76,132.75,96,98,48,49,0.6,-56.41,2.49,0.58,0.6,0.02792,1.3177,166406,170050,118697,50337,13548,3076,336456,286250,8957,3134,27522,48458,31211,-61114,23006,61586,2000,2738.49,1645.4,1943.03,66.43,40.94,230000,344500,298000,361500,366500,419500,230000,1,1,1,1,86,58,0.01,0.12,0.13,0.08,0.23,0.31,0.21,-0.16,0.05,0.07,-0.41,-0.34,0.45,0.04,0.49,39,152,0.94147,700,87,1178,301,1,0,0,0,51812,418302,0,0,0,20200416,20200203,0,0,0,-3.1,-122.7,-269.9,3.4,5.9,-9.7,-24.9,-34.4,188.3,60,-79,17,0,5,56,74,-30375,1,1,0,1,0,0,1,0,0,4,38.6,24.4,9.7,1.6,12.2,17.1,1.3,1.8,1.6,1.6,14.3,8,-9.6,8.1,2.4,1.6,1.7,2.2,-55,47,-23.3,-60.1,38.9,73.4,-57.7,-62,-36.9,-109.5,-47,1.1,-4.9,-2.9,42.2,-107.2,630.5,85.4,-75.5,51.8,-24.3,-78.7,128.7,88.1,-63.4,-85.7,-62.6,-164.8,-75.5,120.9,61.9,-65,88.8,-160.5,161.2,216,206593,19919,12811,256980,29285,19453,281830,22461,14726,286250,8956,3134,321092,12444,7166,376096,21583,13478,65536,70519,72349,73427,66391,71774,73473,74612,75873,77516,6508,7033,6024,2896,2754,2675,3803,-275,1459,2705,5313,4777,3434,1201,1945,681,1286,-778,476,1504,0,0,0,75873,1459,476,
A005380,현대차,자동차 및 관련부품,완성차,코스피,100500,214737,21367,1309,6.1,0,1.4,0.8,52.5,-14.1,-17.6,-25.3,-25,-29,9.4,16.7,5,3.4,3.6,6.8,4.3,4.7,1.6,1.8,51.15,-6.97,0.2,0.2,0.39,2.24,1.55,0.3,0.47,0.31,0.29,7.1,6.77,7.21,7.21,6.67,6.99,6.22,10.51,5.96,5.96,-336.4,64,86.1,155,169,108,35.4,4,37.51,3.38,0.89,4,0.0232,1.11559,1181465,700658,459047,116638,482509,183753,1882123,1057465,36055,29801,74374,176550,4198,-59292,48749,35008,4000,1498.47,1703.01,2017.35,-12.01,-25.72,65900,117000,122000,134500,134000,143500,65900,1,1,0,0,70,53,0.02,-0.15,-0.14,-0.04,-0.11,-0.15,0.67,-1.48,-0.81,0.31,-3.97,-3.66,0.9,-6.95,-6.05,20,103,0.62876,60,81,220,217,1,0,0,0,168484,123541,0,0,0,20200416,20200122,0,0,0,2.5,8.8,-7.4,-4.3,-18.3,-17.9,-16.2,-15.8,15.9,20,95,7,3,4,18,49,-30810,1,1,1,0,0,0,1,1,1,6,12.9,2.9,0.5,9.2,-2.9,6.9,6.9,9.1,10.4,10.3,-3,-10.3,-4.9,12.4,0,3.2,-16.4,4,-30.6,-11.9,-47.1,48.9,2.3,38.9,21.1,30.2,31,132.4,-14.4,-44.4,64.6,50,-69.4,207.6,-39.4,-2.6,-44.9,-25.4,-62.6,97.6,3,42.2,24.2,31.2,58.6,719.7,-32.8,-37.4,739.1,10.8,-53.6,88.4,-30.7,3.1,936490,51935,54064,963761,45747,40328,968126,24222,15081,1057464,36055,29800,1026302,36889,30704,1096675,51254,43652,224366,247118,244337,252305,239871,269664,269689,278241,232580,241997,6813,9508,2889,5011,8249,12377,3785,11644,7059,6876,6680,7006,2692,-1298,8295,9193,4269,8044,5578,5753,0,0,0,232580,7059,5578,
A017670,SK텔레콤,통신,통신서비스,코스피,199000,160684,8075,761,9.4,0,1.3,2.6,15,-15.9,-16.6,-23,-18.3,-20.9,39.7,100,8.7,6.3,6.5,11.5,3.9,6.04,2,3.2,4.03,25.55,0.91,0.91,0.17,12.64,1.67,0.69,1.12,0.7,0.66,9.6,16.36,18.06,18.06,-148.23,12.19,10.88,4.98,14.48,14.48,-85.2,102,104.04,95,95,50,82,5,3.47,6.64,3.71,5,0.01344,0.47881,217881,229568,81023,1629,163594,133853,447449,177437,11100,8899,50458,177437,39862,-35825,-6367,33574,10000,557.69,539.84,808.7,3.31,-31.04,173000,236500,238500,258500,243500,264000,165500,1,1,0,0,75,20,-0.04,0.02,-0.02,0.04,-0.12,-0.08,0.3,-0.99,-0.69,-0.69,-0.58,-1.27,-1.42,-0.72,-2.14,42,101,0.71138,150,66,724,31,1,0,0,0,132483,299910,0,0,0,20200416,20200207,0,0,0,-4.3,-34.2,-115.1,-4.8,-5.3,-4.7,-2.4,-9.9,65.9,20,-71,5,2,6,44,0,6288,1,1,0,1,0,0,1,0,0,4,3.8,2.5,-3.7,5.2,4.6,5.2,3.7,6.8,9,1.4,3.6,3.6,-0.4,2.4,2.8,-3.3,1.8,2.4,-27.7,0.1,-21.8,-7.6,7.9,16.2,-0.9,-6.9,-0.7,-27.9,-6.9,0.6,43.2,0.1,-6.4,-46.2,84.8,8.2,-46.9,55.1,20.3,-71.5,48.2,40.5,-45.4,-71.3,-73.4,-105.6,-34.4,18.8,-21.8,-30.5,4.2,-109.9,1018.1,25.8,170918,15357,16760,175200,15366,25998,168740,12018,31279,177437,11100,8899,185537,11982,13186,195223,13919,18528,41815,41543,41864,43517,43349,44370,45612,44106,44908,45965,3255,3469,3041,2253,3226,3228,3021,1625,3003,3248,6950,9167,10314,4849,3792,2634,2744,-271,2488,3130,0,0,0,44908,3003,2488,
A207940,삼성바이오로직스,제약 및 바이오,바이오,코스피,566000,374494,6617,0,0,0,4.8,1.3,54.6,29.2,49.7,96.9,52.8,202.7,3.3,27.4,1.8,13.1,21.7,-0.4,4.7,5.82,3.4,4.4,3688.28,-231.88,53.38,53.38,4.27,1588.08,9.2,2.45,5.73,8.6,8.1,-3183.9,184.66,184.66,184.66,44.46,155.71,139.22,166.83,407.95,407.95,-0.5,131,196.42,36,36,15,0,0,0,0,0,0,0.03059,1.02983,15572,43545,13563,4525,28307,26527,59117,7016,918,2028,2247,1920,102,3396,-2398,1717,0,4263.57,6423.84,2771.17,-33.63,53.85,366000,438000,378000,287500,370500,566000,249500,1,1,1,1,100,127,0.02,-0.01,0.01,0.05,0.07,0.12,0.21,0,0.21,0.45,0.56,1.01,0.63,1.22,1.85,93,351,2.54541,3414,98,1298,359,1,0,0,0,16577,574879,0,1,0,20200408,20200122,0,0,0,50.3,130.6,216.7,5.1,11,17.1,43,119.2,32.6,120,-13,-1,4,6,67,243,-1615,1,1,0,0,1,0,1,1,1,6,138.2,57.7,15.3,30.9,32.4,22.4,-4.3,-37.7,82.8,75.7,60.7,184.8,-29.7,-37.7,136.6,69.5,-35.7,10.4,401.6,317.1,-15.6,64.6,120.1,46.1,-334,-165,124.8,830.4,275.6,405.8,-303.5,34.2,253.2,353.4,-61.6,14.6,214.8,45.1,331,-9.5,18.5,40,17.6,31.3,263.3,-33.6,238.2,521.6,-112.1,65.2,429.1,377.6,-74.7,6.2,2946,-304,-1768,4646,660,-970,5358,557,2241,7016,917,2029,9288,2018,2405,11364,2949,3368,1310,1254,1011,1783,1254,781,1848,3133,2015,2224,100,237,105,115,-234,-154,236,1070,411,471,-467,-195,-270,3173,-385,-134,441,2106,532,565,0,0,0,2015,411,532,
A005490,POSCO,철강 및 비철강,제철,코스피,176000,153449,8719,707,8.1,0,0,-1.1,26.2,-27.9,-21.1,-25.6,-33.2,-34.8,8.2,9.7,6.3,6,4.4,3.5,4.1,3.74,2.4,2.2,2.56,4.34,0.24,0.24,-1.56,2.93,1.45,0.34,0.51,0.35,0.33,14.7,7.68,8.36,8.36,75.67,10.25,8.87,3.21,3.97,3.97,23.3,147,213.45,65,70,44,43.7,5.7,16.44,4.8,1.62,5.7,0.01957,0.89728,312640,444719,348424,109203,93818,39278,757359,643667,38689,18352,73300,62504,60047,-36829,-15121,24674,10000,970.02,1359.91,928.42,-28.67,4.48,139500,244000,223000,236500,263500,270000,138000,0,1,0,0,65,28,0,-0.12,-0.12,0.18,-0.35,-0.17,0.03,-0.94,-0.91,-0.95,-2.01,-2.96,-0.71,-1.51,-2.22,24,103,1.39201,70,71,287,70,1,0,0,0,249879,249613,0,0,0,20200414,20200131,0,0,0,-2,-25.4,-88.2,-9.2,-18.4,-28,-34.8,-37.8,-5.7,0,5,1,2,3,57,72,35373,1,1,1,1,1,1,1,0,0,7,21.3,14.3,7.1,-0.9,-4.8,3.4,1,1.5,-2.6,-3.5,-6,-8.3,-3.7,1.9,-2,0.3,-6.2,-0.6,36,62.5,19.9,-30.2,-30.4,40.9,-19.1,-14.7,-32.1,-56.1,-52.1,-57.9,-5.4,-11.2,-2.7,-46.4,3.3,-21.9,34.6,104.7,-39.4,8.5,-18.4,52.6,-25.4,12.3,-57.7,105.8,-58.5,-65.7,185.5,-17.4,-29.6,-88.2,506.7,-31.6,530835,28443,13633,606551,46218,27901,649778,55426,16906,643668,38689,18351,612548,26918,14970,633414,37915,22851,158623,160833,164107,166215,160142,163213,159882,160430,150537,149609,14877,12523,15311,12715,12029,10686,10398,5576,5759,4497,9935,5450,10195,-8674,7413,6123,4309,507,3076,2103,0,0,0,150537,5759,3076,
A015760,한국전력,유틸리티,전력,코스피,20600,132245,64196,0,0,0,1.7,2.7,26.8,-22.8,-18.9,-20.3,-28.6,-53.3,0.7,2.4,10,-2.2,5.4,6,-3.5,1.99,-1.2,0.7,1.61,-2.51,0.22,0.22,0.06,-1.13,0.59,0.2,0.39,0.2,0.19,6.5,-5.64,-5.64,-5.64,-2.48,10.69,9.63,8.4,-10.36,-10.36,-825.9,51,80.4,187,191,106,0,0,-100,7.26,0,0,0.01945,0.5621,1287081,674963,194830,70507,122450,59148,1962044,591729,-12765,-23455,98522,13931,82135,-134994,57754,134776,0,626.44,904.57,666.13,-30.75,-5.96,16250,26700,25400,25850,28850,29250,16250,1,1,0,0,70,27,0.01,-0.01,0.01,0.18,-0.24,-0.06,-0.16,-0.45,-0.61,-1.59,-2.39,-3.98,0.27,-3.96,-3.69,34,100,-1.45164,-47,77,1842,143,1,0,0,0,-43971,26581,0,0,0,20200414,20200228,0,0,0,4.5,-60.5,-54.2,-12.9,41,-0.8,39.8,47.3,158.6,80,0,6,-3,2,39,43,-52641,0,1,0,1,0,0,1,0,0,3,-1.7,-0.6,1.4,-2.4,-2,1.4,-2.9,-2,-3,-1.5,-3.3,-1.6,0.5,-14.3,21.7,-6.1,-1.3,-12.8,-110.6,-58.7,-104.2,-513.7,344.3,20,-393.7,56.5,-11.2,-101.3,199.5,142.6,20.1,52.6,514.9,-228.1,139.5,-79.7,-133.3,-81.6,-201.2,-78.4,152.7,37.4,-184.1,52.9,-68.6,-67.3,130.2,66.7,1.1,43.2,149.8,-698.3,117.9,-162.6,601904,120016,70486,598149,49532,12987,606276,-2080,-13146,591729,-12765,-23455,579703,31182,12369,587688,37416,16991,157060,133372,164098,151746,152484,130710,159123,149412,147526,128581,-1276,-6871,13952,-7885,-6299,-2987,12393,-15872,6267,1272,-2773,-9492,7086,-7967,-7878,-4475,2228,-13330,2383,-1492,0,0,0,147526,6267,2383,
A028260,삼성물산,지주사,지주사,코스피,95900,181913,18969,2623,13.8,0,2,1.8,25.5,-12.8,1.4,2.7,-14,-26.5,8.8,12.4,2.1,2.8,3.2,6.4,4.4,4.79,2.4,2.7,23.6,41.52,0.59,0.59,0.97,12.99,4.79,0.74,1.56,0.75,0.72,20.1,14.93,17.32,17.32,13.63,15.86,15.01,13.06,20.98,20.98,-41,90,107.54,72,80,15,31.4,2.1,273.63,1.9,0,2.1,0.02143,1.12357,192134,240961,117537,18974,283424,36768,433095,307616,8669,10501,14230,38028,7709,6071,-16124,3328,2000,545.42,645.79,500.41,-15.54,8.99,76400,110000,94600,93400,111500,119500,74500,1,1,0,0,80,29,0,-0.02,-0.03,0.14,-0.12,0.02,0.1,-0.09,0.01,-0.4,0.63,0.23,0.72,0.49,1.21,16,101,0.4172,176,72,794,85,1,1,0,0,54607,133005,0,0,0,20200413,20200122,0,0,0,1,25.8,34.9,3.9,6.6,1.1,-2.1,10,15.4,80,-48,8,20,5,55,25,4381,1,1,0,0,1,1,1,0,0,5,9.5,4.2,6.4,-1.3,-1.1,4.3,-1.6,0.6,-0.6,-3.4,-6.3,-5.8,-7.7,8.4,-3,-0.5,-10.5,8.9,521.4,531.8,25.3,-21.5,13.5,16.2,-49.7,-41.6,-21,33.7,69.6,14.7,-56.7,109.8,-2,50.1,-45.1,41.9,877.7,495.7,167.7,-38.7,9.2,19.3,-38.3,-39.1,-12.2,-49.9,41.3,7.9,-62.6,-11.8,12.5,34.9,5.5,-32.7,281027,1395,1074,292790,8813,6398,311556,11039,17128,307615,8668,10501,304335,9835,11468,317552,11432,13678,74763,79277,77805,79711,73571,79720,77346,76979,68930,75068,2092,3781,2738,2428,1052,2207,2163,3247,1784,2532,4042,3610,2816,6660,2493,2198,2473,3337,3522,2371,0,0,0,68930,1784,3522,
