코드 번호,회사명,업종 (대),업종 (소),코스피코스닥,주가 (원),시가총액 (억),상장주식수 (만주),자사주 (만주),자사주 비중 (%),주식수 증가율 (%),1일 등락률 (%),5일 등락률 (%),1개월 등락률 (%),3개월 등락율 (%),6개월 등락율 (%),9개월 등락율 (%),1년 등락율 (%),3년 등락율 (%),과거 GP/A (%),과거 GPM (%),5년평균 OPM,발표 OPM (%),올해 OPM (%),5년평균 ROE,발표 ROE (%),1년후 ROE (%),과거 ROA (%),1년후 ROA (%),과거 PCR,과거 PFCR,과거 PSR,발표 PSR,1년후PEG,PER  곱하기PBR,고점 PBR,저점 PBR,5년평균 PBR,발표 PBR,1년후 PBR,5년평균 PER,자사주반영 PER,과거 PER,발표 PER,발표 분기 PER,올해 PER,1년후 PER,과거 EV/EBITDA (%),과거 POR,발표 POR,청산가치비율 (NCAV전략) (%),당좌 비율 (%),유동 비율 (%),단순 부채비율 (%),보수적 부채비율 (%),차입금 비율 (%),배당 성향 (%),시가 배당률 (%),DPS  성장율 (%),시가 배당율 고점,시가 배당율 저점,국채시가 배당율,주가 변동성,베타 (52주),부채 (억),자본 (억),유동자산 (억),재고자산 (억),투자자산 (억),지분투자 (억),총자산 (억),매출액 (억),영업이익 (억),순이익(지배) (억),EBITDA (억),매출총이익 (억),영업활동현금흐름 (억),투자활동현금흐름 (억),재무활동현금흐름 (억),설비투자 (억),DPS (원),거래대금 (당일 억),거래대금 (5일평균 억),거래대금 (20일평균 억),거래대금 증가율(5일대비),거래대금 증가율(20일대비),1개월전 주가,3개월전 주가,6개월전 주가,9개월전 주가,1년전 주가,52주 신고가,52주 신저가,주가>5이평,주가>20이평,주가>60이평,주가>120이평,신고가율 (%),신저가율 (%),당일 기관(%),당일 외인(%),당일 수급(%),주간 기관(%),주간 외인(%),주간 수급(%),1개월 기관(%),1개월 외인(%),1개월 수급(%),3개월 기관(%),3개월 외인(%),3개월 수급(%),6개월 기관(%),6개월 외인(%),6개월 수급(%),고점대비 PBR괴리율,저점대비 PBR괴리율,이익의 변동성,예상가 괴리율 (%),목표가  괴리율 (%),예상가 매력등수,목표가 매력등수,본사 국내 =1,지주사 =1,금융 =1,스팩 =1,예상 주가 (원),목표 주가 (원),20년 1Q 호실적 100기업,20년2Q 호실적예상 100기업,2Q 발표 =1,마지막 리포트일,실적 발표일,20/2Q 매출액 컨센대비,20/2Q 영업이익 컨센대비,20/2Q 순이익 컨센대비,20/1Q 매출액 컨센대비,20/1Q 영업이익 컨센대비,20/1Q 순이익 컨센대비,1주일 어닝스,1달 어닝스,3개월  어닝스,6개월  어닝스,9개월  어닝스,12개월  어닝스,어닝스 점수,ROE성장율 (최근분기),자산증가율 (최근분기),자본증가율 (최근분기),자본증가율 (1년후),매출채권 회수기간,재고자산 회수기간,단순 FCFF (잉여현금흐름),F스코어 지배주주순익>0 여부,F스코어 영업활동현금흐름>0 여부,F스코어 ROA증가 여부,F스코어 영현>순익 여부,F스코어 부채비율감소 여부,F스코어 유동비율증가 여부,F스코어 신주발행X 여부,F스코어 매출총이익율증가 여부,F스코어 총자산회전율증가 여부,F스코어 점수 (9점만점),매출액 16년->19년 3년간 YOY,매출액 17년 YOY,매출액 18년 YOY,매출액 19년 YOY,매출액 20년(E)  YOY,매출액 21년(E)  YOY,매출액 19년2Q YOY,매출액 19년3Q YOY,매출액 19년4Q YOY,매출액 20년1Q YOY,매출액 20년2Q(E) YOY,매출액 20년3Q(E) YOY,매출액 19년2Q QOQ,매출액 19년3Q QOQ,매출액 19년4Q QOQ,매출액 20년1Q QOQ,매출액 20년2Q(E) QOQ,매출액 20년3Q(E) QOQ,영업이익 16년->19년 3년간 YOY,영업이익 17년 YOY,영업이익 18년 YOY,영업이익 19년 YOY,영업이익 20년(E)  YOY,영업이익 21년(E)  YOY,영업이익 19년2Q YOY,영업이익 19년3Q YOY,영업이익 19년4Q YOY,영업이익 20년1Q YOY,영업이익 20년2Q(E) YOY,영업이익 20년3Q(E) YOY,영업이익 19년2Q QOQ,영업이익 19년3Q QOQ,영업이익 19년4Q QOQ,영업이익 20년1Q QOQ,영업이익 20년2Q(E) QOQ,영업이익 20년3Q(E) QOQ,순이익 16년->19년 3년간 YOY,순이익 17년 YOY,순이익 18년 YOY,순이익 19년 YOY,순이익 20년(E)  YOY,순이익 21년(E)  YOY,순이익 19년2Q YOY,순이익 19년3Q YOY,순이익 19년4Q YOY,순이익 20년1Q YOY,순이익 20년2Q(E) YOY,순이익 20년3Q(E) YOY,순이익 19년2Q QOQ,순이익 19년3Q QOQ,순이익 19년4Q QOQ,순이익 20년1Q QOQ,순이익 20년2Q(E) QOQ,순이익 20년3Q(E) QOQ,16년 매출액,16년 영업이익,16년 순이익,17년 매출액,17년 영업이익,17년 순이익,18년 매출액,18년 영업이익,18년 순이익,19년 매출액,19년 영업이익,19년 순이익,20년(E) 매출액,20년(E) 영업이익,20년(E) 순이익,21년(E) 매출액,21년(E) 영업이익,21년(E) 순이익,매출액 18년 2Q,매출액 18년 3Q,매출액 18년 4Q,매출액 19년 1Q,매출액 19년 2Q,매출액 19년 3Q,매출액 19년 4Q,매출액 20년 1Q,매출액 20년 2Q(E),매출액 20년 3Q(E),영업이익 18년 2Q,영업이익 18년 3Q,영업이익 18년 4Q,영업이익 19년 1Q,영업이익 19년 2Q,영업이익 19년 3Q,영업이익 19년 4Q,영업이익 20년 1Q,영업이익 20년 2Q(E),영업이익 20년 3Q(E),순이익 18년 2Q,순이익 18년 3Q,순이익 18년 4Q,순이익 19년 1Q,순이익 19년 2Q,순이익 19년 3Q,순이익 19년 4Q,순이익 20년 1Q,순이익 20년 2Q(E),순이익 20년 3Q(E),발표치 20년2Q  매출액,발표치 20년2Q  영업이익,발표치 20년2Q  순이익,컨센서스 20년2Q  매출액,컨센서스 20년2Q  영업이익,컨센서스 20년2Q  순이익,
A005930,삼성전자,반도체 관련장비 및 부품,종합 반도체,코스피,55900,3337108,596978,0,0,0,0.9,-3.6,3.3,13.5,0,8.3,27.2,18.9,24.03,36,17.2,12.83,14.01,14,8.23,10.49,6.21,7.97,6.42,14.7,1.43,1.45,0.28,19.37,1.91,0.96,1.27,1.26,1.16,9,15.37,15.68,15.37,15.2,13.5,11.02,4.12,11.93,11.3,28.67,244,288.34,34,35,6,44.73,2.53,179.13,3.66,0.58,2.81,0.01821,0.72202,910698,2584818,1867397,284549,281274,75882,3495516,2301796,295318,217116,578903,840407,519685,-432329,-83606,292710,1416,11889.8,12574.4,12995.8,-5.44,-8.51,54100,49250,55900,51600,43950,62400,42500,0,0,1,1,90,32,-0.03,0.02,-0.01,-0.05,0,-0.05,-0.26,0.45,0.19,-0.38,0.92,0.54,-0.59,-0.77,-1.36,66,131,0.42515,134,78,515,276,1,0,0,0,41639,72052,0,0,1,20200810,20200707,3.7,23.1,8.2,1.1,7.7,3.8,0.5,0.9,3.6,-5.6,5.1,39.5,40,-46,3,5,11,58,72,226975,1,1,0,1,1,1,1,0,0,6,14.1,18.7,1.8,-5.5,1.4,10.9,-4,-5.3,1,5.6,-5.6,0.2,7.1,10.5,-3.4,-7.6,-4.3,17.3,-5,83.5,9.8,-52.8,17.9,34.6,-55.6,-55.7,-33.7,3.4,23.5,16.8,5.8,17.9,-7.9,-10,26.4,11.5,-4.1,84.4,6.2,-51,15,35.2,-53.9,-52.9,-37.2,-4.3,8.4,16.7,-0.8,20.5,-14.4,-6.5,12.3,29.8,2018667,292407,224157,2395754,536450,413446,2437714,588867,438909,2304009,277685,215051,2335498,327285,247211,2590979,440689,334113,584827,654600,592651,523855,561271,620035,598848,553252,529661,621349,148690,175749,108006,62333,65971,77779,71603,64473,81463,90812,109815,129674,83301,51075,50645,61050,52280,48896,54890,71224,529661,81463,54890,510625,66188,50725,
A000660,SK하이닉스,반도체 관련장비 및 부품,종합 반도체,코스피,74500,542362,72800,4400,6,0,3.8,-7.1,-9.6,-9,-19.7,-8.8,0.1,8.9,11.44,28,32.2,11.69,17.92,21.3,4.62,11.52,3.41,8.55,8.77,-8.89,1.98,1.83,0.05,26.09,2.4,0.94,1.34,1.1,0.99,6.2,22.3,34.8,23.72,10.74,13.22,8.64,5.75,25.27,15.7,-5.71,119,181.46,39,39,28,33.97,1.34,113.84,2.24,0,1.49,0.02082,0.82559,188951,482310,157998,54257,82770,8554,671261,295713,34556,22861,109729,76773,61840,-96880,45134,122857,1000,5721.5,4613.14,3617.13,24.03,58.18,82400,81900,92800,81700,74400,105000,69000,0,0,0,0,71,8,0.01,0.14,0.15,-0.31,-0.51,-0.82,-1.27,-1.08,-2.35,-1.88,-1.67,-3.55,-0.93,-4.33,-5.26,46,117,1.02355,208,68,721,88,1,0,0,0,35766,110089,0,0,1,20200821,20200723,2,6.8,-6,3.5,50.3,44.2,-3.2,9.9,-4.7,0.6,28.2,174.6,60,-83,3,2,13,62,101,-61017,1,1,0,1,0,1,1,0,0,5,56.9,75.1,34.3,-33.3,17.5,19.7,-37.8,-40.1,-30.3,6.3,33.4,14.7,-4.7,6,1.3,3.9,19.6,-8.8,-17.2,318.8,51.9,-87,109.5,77.8,-88.6,-92.7,-94.7,-41.4,205.3,220.3,-53.3,-25.9,-50.1,239.1,143.2,-22.2,-31.8,260.3,46,-87,103.8,82.7,-87.6,-89.5,-103.5,-41.2,135.8,160.9,-51.4,-7.9,-124,648.4,94.8,1.9,171980,32767,29538,301094,137213,106415,404451,208438,155401,269907,27127,20133,317172,56832,41022,379688,101045,74962,103705,114168,99381,67727,64522,68388,69271,71989,86065,78454,55739,64724,44301,13665,6376,4726,2360,8003,19467,15139,43299,46936,33963,11028,5355,4932,-1182,6482,12629,12866,86065,19467,12629,84353,18236,13441,
A068270,셀트리온,제약 및 바이오,바이오,코스피,301000,406331,13499,121,0.9,0.5,-1.3,-1.1,-6.5,40.3,76.5,80.1,108,186.9,17,53.3,40.4,35.25,39.58,10.8,13.18,18.89,9.96,14.38,102.62,137.32,31.75,27.58,0.88,1364.33,15.48,3.38,8.66,13.41,11.39,81.6,100.82,120.04,101.74,73.56,72.48,60.32,69.01,96.54,78.25,2.11,230,273.1,37,39,17,2.14,0.02,-26.05,0.72,0.01,0.02,0.02488,0.98658,11194,28923,19778,3089,1441,391,40117,14734,5193,3994,5866,6824,3959,-1709,-349,1000,48,3089.14,3565.97,3577.42,-13.37,-13.65,322000,214500,170500,167150,144704,329000,135153,0,0,1,1,91,123,-0.03,-0.12,-0.15,0.03,0.05,0.09,-0.16,0.2,0.04,-0.66,1.17,0.51,-0.48,1.87,1.39,87,397,0.28002,912,81,1099,316,1,0,0,0,32998,372190,0,0,1,20200812,20200807,5.6,9.1,-1.2,5.3,-11.6,5.9,0.7,-18.3,18.4,26.8,50.8,68.7,80,36,18,14,23,247,174,2959,1,1,1,1,0,1,0,0,1,6,68.3,41.5,3.5,14.9,55.5,25.7,-10.8,25.1,57.7,68.2,82.5,59,6,23,32.4,-2.6,15,7.2,51.4,103.4,-33.3,11.6,83.7,32.4,-21.2,40.1,159.5,55.3,118,85.9,7.8,23.6,10.8,5.3,51.3,5.4,67.2,114.9,-31.6,13.7,88.4,31.4,-4.1,9.3,115.9,64.2,78.9,137.6,20.8,-20.5,54.7,10.4,31.6,5.7,6706,2497,1780,9491,5078,3825,9821,3387,2618,11285,3781,2976,17549,6946,5606,22053,9198,7369,2634,2311,2426,2217,2350,2891,3827,3728,4288,4597,1058,736,440,774,834,1031,1142,1202,1818,1917,805,562,440,639,772,614,950,1049,1381,1459,4288,1818,1381,4062,1666,1397,
A051910,LG화학,화학,종합 화학,코스피,699000,493440,7059,165,2.3,0,4.8,-0.1,31.4,68.8,80.2,132.2,112.1,89.7,13.17,16.6,8.3,4,6.31,8.2,2.61,7.62,1.24,3.68,20.74,-11.77,1.69,1.71,0.17,308.54,3.8,0.99,1.46,2.84,2.68,17.9,106.14,352.46,108.64,32.27,45.66,35.18,20.51,57.98,42.71,-11.57,88,141.8,113,116,66,49.02,0.29,-56.96,2.49,0.58,0.32,0.03253,1.29001,197050,170056,139944,53352,14251,2740,367106,288768,11552,4542,28323,48267,23796,-59260,31467,65709,2000,7456.16,6765.79,5737.24,10.2,29.96,532000,414000,388000,301000,329500,758000,230000,1,1,1,1,92,204,0.12,0.04,0.16,0.07,-0.51,-0.44,-0.51,-0.58,-1.09,-0.24,-0.49,-0.73,0.27,-1.8,-1.53,75,287,1.11835,951,93,1106,384,1,0,0,0,73471,747794,0,0,1,20200812,20200731,-4.4,33,33.6,-8.6,68.3,-57.7,0.7,21.4,54.3,56.7,26.3,208.8,100,-61,18,0,8,56,76,-41913,1,1,0,1,0,0,1,0,0,4,38.6,24.4,9.7,1.6,8.1,22.1,1.8,1.6,1.9,7.5,-3.4,9.2,8.4,2.4,1.8,-4.9,-2.5,15.7,-55,47,-23.3,-60.1,118,34.3,-62,-36.9,-111.5,-15.8,113.7,55.7,-4.8,42.2,-108.7,812.3,141.7,3.6,-75.5,51.8,-24.3,-78.7,244.8,46.5,-85.7,-62.6,-164.8,-89.2,461.3,191.2,-65,88.8,-160.5,127.1,1711.7,-2,206593,19919,12811,256980,29285,19453,281830,22461,14726,286250,8956,3134,309543,19523,10807,377975,26229,15830,70519,72349,73427,66217,71774,73473,74786,71157,69352,80215,7033,6024,2896,2810,2675,3803,-332,2365,5716,5920,4777,3434,1201,1945,681,1286,-778,211,3823,3745,69352,5716,3823,72522,4299,2862,
A005380,현대차,자동차 및 관련부품,완성차,코스피,156000,333322,21367,1309,6.1,0,0.7,-6.6,25.3,59.5,28.9,26.3,23.8,8,9.35,16.8,4.8,2.94,3.61,6.3,2.76,5.19,1,1.94,108.65,-10.2,0.31,0.33,0.09,8.32,1.55,0.26,0.45,0.48,0.46,7.3,16.28,12.75,17.34,36.65,12.49,8.77,12.45,9.15,11.12,-230.29,63,85.16,162,177,114,35.35,2.56,34.12,3.38,0.89,2.84,0.03238,1.28372,1229242,694389,461631,119391,503807,197307,1923631,1019714,29970,19220,75656,180077,3068,-47163,58237,35755,4000,5248.63,6145.52,5386.08,-14.59,-2.55,124500,97800,121000,123500,126000,179000,65900,0,1,1,1,87,137,0.03,-0.09,-0.05,-0.05,-0.38,-0.42,0.01,-1.79,-1.78,0.33,-1.53,-1.2,0.68,-5.37,-4.69,31,185,0.6561,149,97,572,393,1,0,0,0,104808,160265,0,0,1,20200810,20200723,9.7,119.7,13.1,9,20.9,-18.9,0.9,13.9,23.4,-11.3,-4.9,97.7,60,12,8,1,5,17,49,-32687,1,1,1,0,0,0,1,1,0,5,12.9,2.9,0.5,9.2,-2.8,9.9,9.1,10.4,10.3,5.6,-18.9,-4.3,12.4,0,3.2,-9,-13.7,18,-30.6,-11.9,-47.1,48.9,2.8,48,30.2,31,132.4,4.7,-52.3,155.9,50,-69.4,207.6,-25.8,-31.7,64,-44.9,-25.4,-62.6,97.6,-10.5,66.1,31.2,58.6,719.7,-44.1,-75.3,91.2,10.8,-53.6,88.4,-42.4,-50.9,258.9,936490,51935,54064,963761,45747,40328,968126,24222,15081,1057464,36055,29800,1027703,37073,26683,1128969,54852,44318,247118,244337,252305,239871,269664,269689,278241,253194,218590,257992,9508,2889,5011,8249,12377,3785,11644,8638,5903,9684,7006,2692,-1298,8295,9193,4269,8044,4633,2274,8162,218590,5903,2274,199343,2687,2010,
A017670,SK텔레콤,통신,통신서비스,코스피,235500,190156,8075,761,9.4,0,3.5,-0.6,11.3,11.1,8.5,-3.7,-0.6,-9.8,40.16,100,8.5,6.25,6.83,11,4.26,7.5,2.21,3.97,4.77,68.9,1.06,1.05,0.12,15.85,1.67,0.63,1.07,0.82,0.78,9.6,17.51,23.19,19.33,11.13,12.89,10.34,5.64,17.46,16.89,-71.78,104,107.04,97,96,54,82.04,4.25,3.28,6.64,3.71,4.72,0.0147,0.58275,217726,226932,81229,2081,165615,135176,444658,180250,11261,9839,51123,178592,39899,-43757,-5588,37139,10000,1307.26,1369.05,1416.08,-4.51,-7.68,211500,212000,217000,244500,237000,246500,165500,1,1,1,1,96,42,0,0.11,0.11,-0.11,0.23,0.12,0.83,-0.16,0.67,1.07,-1.26,-0.19,1.51,-2.76,-1.25,49,130,0.77868,168,76,629,238,1,0,0,0,139891,308746,0,0,1,20200820,20200806,0.1,8.2,16.4,-0.8,2.2,27.6,0.4,4.2,14.6,22.8,24.8,86.9,100,-66,2,2,8,45,0,2760,1,1,0,1,0,1,1,0,1,6,3.8,2.5,-3.7,5.2,4.2,5,6.8,9,1.4,2.7,3.7,3,2.4,2.8,-3.3,0.9,3.4,2.1,-27.7,0.1,-21.8,-7.6,13.7,11.8,-6.9,-0.7,-27.9,-6.4,11.4,14.1,0.1,-6.4,-46.2,85.8,19,-4.1,-46.9,55.1,20.3,-71.5,65.8,38.4,-71.3,-73.4,-105.6,-18.4,62.2,50.4,-30.5,4.2,-109.9,1241.7,38.1,-3.4,170918,15357,16760,175200,15366,25998,168740,12018,31279,177437,11100,8899,184918,12621,14756,194144,14111,20422,41543,41864,43517,43349,44370,45612,44106,44504,46028,46976,3469,3041,2253,3226,3228,3021,1625,3020,3595,3447,9167,10314,4849,3792,2634,2744,-271,3094,4272,4127,46028,3595,4272,45973,3321,3669,
A207940,삼성바이오로직스,제약 및 바이오,바이오,코스피,799000,528658,6617,0,0,0,0.6,-0.1,3.1,23.9,66.5,107.5,181.8,185.4,4.7,35.7,3.1,27.08,27.19,0,7.67,6.67,5.73,5.01,521.45,-4637.35,67.48,52.19,-21.07,1845.93,11.9,2.45,5.8,11.9,11.24,1844.7,155.12,191.96,155.12,254.07,228.36,168.52,168.75,297.33,192.73,-0.24,137,211.88,35,35,14,0,0,0,0,0,0,0.0248,0.9832,15534,43916,14285,5059,28141,26326,59450,10130,2743,3408,3125,2795,1014,1622,-2700,1128,0,1097.36,1581.09,2033.69,-30.59,-46.04,775000,645000,480000,385000,283500,843000,267000,0,1,1,1,95,199,-0.01,0.02,0.01,0.09,0.01,0.1,0.08,0.05,0.13,0.21,-0.41,-0.2,0.64,0,0.64,100,486,2.044,1649,84,1152,335,1,0,0,0,48439,955576,1,1,1,20200812,20200721,28.8,31,-3.5,2.8,52.3,-31,2.4,-15.2,3.7,22.4,91.7,-8,80,36,1,6,7,63,283,-114,1,1,1,0,1,0,1,1,1,7,138.2,57.7,15.3,30.9,45.1,24.4,-37.7,82.8,75.7,65.2,294,36.9,-37.7,136.6,69.5,-33.9,48.5,-17.8,401.6,317.1,-15.6,64.6,202,36.7,-165,124.8,830.4,367.5,626.6,179.7,34.2,253.2,353.4,-41.5,29.6,-18.6,214.8,45.1,331,-9.5,14.1,55.4,31.3,263.3,-34.4,195.3,488.2,38.5,65.2,429.1,371.7,-82.4,41.7,17.5,2946,-304,-1768,4646,660,-970,5358,557,2241,7016,917,2029,10183,2769,2315,12671,3785,3597,1254,1011,1783,1254,781,1848,3133,2072,3077,2530,237,105,115,-234,-154,236,1070,626,811,660,-195,-270,3173,-385,-134,441,2080,367,520,611,3077,811,520,2389,619,539,
A005490,POSCO,철강 및 비철강,제철,코스피,199000,173502,8719,793,9.1,0,2.1,-5.5,1.8,13.1,0,-9.5,-4.1,-40.5,7.24,9.1,6.4,4.1,3.38,3.5,2.07,3.35,1.16,1.9,2.74,5.11,0.28,0.29,0.17,7.37,1.45,0.32,0.5,0.39,0.38,14.1,17.19,11.65,18.91,107.68,17.06,11.31,3.76,5.15,7.02,17.1,148,206.8,73,79,51,43.66,5.03,16.44,4.8,1.62,5.59,0.02271,0.90043,348463,442346,378125,107255,92439,38337,790809,602986,24704,9173,68528,57473,63395,-52429,12788,29449,10000,513.01,701.05,696.48,-26.82,-26.34,195500,176000,199000,220000,207500,248500,138000,0,0,1,1,80,44,0.04,0.02,0.06,0.13,0.05,0.18,0.01,0.63,0.64,-0.65,2.04,1.39,-1.05,0.7,-0.35,27,122,1.56167,162,80,605,305,1,0,0,0,122714,249800,0,0,1,20200723,20200721,2.9,8.1,116.6,-3.4,22.7,28.4,0.2,0.1,-7.7,-29.5,-37.1,67.3,20,-36,3,0,3,58,72,33946,1,1,1,1,0,1,1,0,0,6,21.3,14.3,7.1,-0.9,-11.1,4.2,1.5,-2.6,-3.5,-9.2,-15.9,-11.3,1.9,-2,0.3,-9.3,-5.7,3.4,36,62.5,19.9,-30.2,-50,63.6,-14.7,-32.1,-56.1,-41.4,-84.3,-58.2,-11.2,-2.7,-46.4,26.5,-76.2,159.4,34.6,104.7,-39.4,8.5,-44.6,79.3,12.3,-57.7,105.8,-46.7,-93.4,-41.2,-17.4,-29.6,-88.2,679.9,-89.8,528.6,530835,28443,13633,606551,46218,27901,649778,55426,16906,643668,38689,18351,572465,19330,10171,596526,31627,18240,160833,164107,166215,160142,163213,159882,160430,145458,137216,141867,12523,15311,12715,12029,10686,10398,5576,7053,1677,4351,5450,10195,-8674,7413,6123,4309,507,3954,403,2532,137216,1677,403,133314,1552,186,
A015760,한국전력,유틸리티,전력,코스피,20000,128393,64196,0,0,0,0.3,-8.9,3.1,-7.4,-13.4,-28.6,-21.9,-54.8,1.22,4.1,9.4,0.8,6.68,5.6,-1.36,2.42,-0.47,0.84,1.29,-2.98,0.22,0.22,0.03,-2.65,0.59,0.18,0.37,0.19,0.19,6.6,-13.94,-8.37,-13.94,19.31,7.33,7.68,7.4,-59.44,27.17,-860.88,56,85.48,189,193,108,0,0,-100,7.26,0,0,0.02094,0.83036,1302721,674380,197416,68702,130577,61018,1977101,590191,4725,-9210,110956,23929,99178,-148048,42998,142204,0,718.09,1498.56,1041.87,-52.08,-31.08,19400,21600,23100,28000,25600,29250,16250,0,1,0,0,68,23,-0.01,-0.13,-0.14,-0.02,-0.07,-0.08,0.21,-0.59,-0.38,-0.32,-3.53,-3.85,-1.51,-6.05,-7.56,32,106,-1.6286,-120,71,1624,140,1,0,0,0,-16694,28271,0,0,1,20200818,20200813,3.6,275.6,132.9,1.3,-18.4,-81.7,-24.3,27.7,41.1,0.7,51.1,281.6,80,0,3,-2,2,39,44,-43026,0,1,0,1,0,0,1,1,0,4,-1.7,-0.6,1.4,-2.4,-0.9,1.2,-2,-3,-1.5,-1,0,-1.2,-14.3,21.7,-6.1,1,-13.4,20.3,-110.6,-58.7,-104.2,-513.7,406.9,-2.5,56.5,-11.2,-101.3,168.4,230.5,118,52.6,514.9,-228.1,127.1,-9.5,593.2,-133.3,-81.6,-201.2,-78.4,174.7,-7,52.9,-68.6,-67.3,102.9,137.1,595,43.2,149.8,-698.3,101.7,622.7,831.6,601904,120016,70486,598149,49532,12987,606276,-2080,-13146,591729,-12765,-23455,586597,39175,17516,593437,38181,16287,133372,164098,151746,152484,130710,159123,149412,150931,130725,157250,-6871,13952,-7885,-6299,-2987,12393,-15872,4306,3898,27021,-9492,7086,-7967,-7878,-4475,2228,-13330,230,1662,15485,130725,3898,1662,126223,-2220,-5055,
A028260,삼성물산,지주사,지주사,코스피,115500,215855,18689,2342,12.5,-1.5,0.9,-6.9,6.9,12.7,6,13.8,26.6,-13.5,9.71,12.7,2.1,3.13,3.09,6.5,5.18,5.55,2.75,3,25.48,36.62,0.71,0.73,1.41,20.17,4.79,0.76,1.38,1.02,0.97,19.1,17.3,19.22,19.77,28.62,19.22,17.57,14.93,23.75,23.31,-28.64,93,109.96,80,90,18,31.42,1.73,236.63,1.9,0,1.92,0.02513,0.99649,188202,209124,126391,19908,240078,36969,397326,296160,9261,10920,14728,38470,8472,4268,-9451,2578,2000,820.25,1264.45,947.76,-35.13,-13.45,108000,102500,109000,101500,91200,126500,74500,0,1,1,1,91,55,0.03,0.01,0.04,0,0.03,0.03,0.15,-0.03,0.12,-0.12,0.4,0.28,0.02,0.12,0.14,21,134,0.42432,199,77,702,258,1,1,0,0,57903,149812,0,0,1,20200812,20200721,-0.1,4,-15.1,1,-17.6,-8.4,-1,0.1,1.1,1,8.9,12.5,20,-28,-5,-2,5,54,26,5894,1,1,0,0,1,1,1,1,1,7,9.5,4.2,6.4,-1.3,-4.1,4.1,0.6,-0.6,-3.4,-5.4,-9.4,-4.3,8.4,-3,-0.5,-9.6,3.8,2.5,521.4,531.8,25.3,-21.5,5.3,25.2,-41.6,-21,33.7,39.7,7.9,10.6,109.8,-2,50.1,-54.7,62,0.5,877.7,495.7,167.7,-38.7,7,14.7,-39.1,-12.2,-49.9,29.3,-14.2,3,-11.8,12.5,34.9,-3.4,-41.5,35.1,281027,1395,1074,292790,8813,6398,311556,11039,17128,307615,8668,10501,295078,9130,11231,307062,11431,12879,79277,77805,79711,73571,79720,77346,76979,69601,72234,74029,3781,2738,2428,1052,2207,2163,3247,1470,2381,2393,3610,2816,6660,2493,2198,2473,3337,3224,1886,2547,72234,2381,1886,72272,2289,2221,
