코드 번호,회사명,업종 (대),업종 (소),코스피코스닥,주가 (원),시가총액 (억),상장주식수 (만주),자사주 (만주),자사주 비중 (%),주식수 증가율 (%),1일 등락률 (%),5일 등락률 (%),1개월 등락률 (%),3개월 등락률 (%),6개월 등락률 (%),9개월 등락률 (%),1년 등락률 (%),3년 등락률 (%),과거 GP/A (%),과거 GPM (%),5년평균 OPM,발표 OPM (%),올해 OPM (%),5년평균 ROE,발표 ROE (%),1년후 ROE (%),과거 ROA (%),1년후 ROA (%),과거 PCR,과거 PFCR,과거 PSR,발표 PSR,1년후PEG,PER  곱하기PBR,고점 PBR,저점 PBR,5년평균 PBR,발표 PBR,1년후 PBR,5년평균 PER,자사주반영 PER,과거 PER,발표 PER,발표 분기 PER,올해 PER,1년후 PER,과거 EV/EBITDA (%),과거 POR,발표 POR,청산가치비율 (NCAV전략) (%),당좌 비율 (%),유동 비율 (%),단순 부채비율 (%),보수적 부채비율 (%),차입금 비율 (%),배당 성향 (%),시가 배당률 (%),DPS  성장률 (%),시가 배당률 고점,시가 배당률 저점,국채시가 배당률,주가 변동성,베타 (52주),부채 (억),자본 (억),유동자산 (억),재고자산 (억),투자자산 (억),지분투자 (억),총자산 (억),매출액 (억),영업이익 (억),순이익(지배) (억),EBITDA (억),매출총이익 (억),영업활동현금흐름 (억),투자활동현금흐름 (억),재무활동현금흐름 (억),설비투자 (억),DPS (원),거래대금 (당일 억),거래대금 (5일평균 억),거래대금 (20일평균 억),거래대금 증가율(5일대비),거래대금 증가율(20일대비),1개월전 주가,3개월전 주가,6개월전 주가,9개월전 주가,1년전 주가,52주 신고가,52주 신저가,주가>5이평,주가>20이평,주가>60이평,주가>120이평,신고가율 (%),신저가율 (%),당일 기관(%),당일 외인(%),당일 수급(%),주간 기관(%),주간 외인(%),주간 수급(%),1개월 기관(%),1개월 외인(%),1개월 수급(%),3개월 기관(%),3개월 외인(%),3개월 수급(%),6개월 기관(%),6개월 외인(%),6개월 수급(%),고점대비 PBR괴리율,저점대비 PBR괴리율,이익의 변동성,예상가 괴리율 (%),목표가  괴리율 (%),예상가 매력등수,목표가 매력등수,본사 국내 =1,지주사 =1,금융 =1,스팩 =1,예상 주가 (원),목표 주가 (원),20년 2Q 호실적 100기업,20년3Q 호실적예상 100기업,3Q 발표 =1,마지막 리포트일,실적 발표일,20/3Q 매출액 컨센대비,20/3Q 영업이익 컨센대비,20/3Q 순이익 컨센대비,20/2Q 매출액 컨센대비,20/2Q 영업이익 컨센대비,20/2Q 순이익 컨센대비,1주일 어닝스,1달 어닝스,3개월  어닝스,6개월  어닝스,9개월  어닝스,12개월  어닝스,어닝스 점수,ROE증가율 (최근분기),자산증가율 (최근분기),자본증가율 (최근분기),자본증가율 (1년후),매출채권 회수기간,재고자산 회수기간,단순 FCFF (잉여현금흐름),F스코어 지배주주순익>0 여부,F스코어 영업활동현금흐름>0 여부,F스코어 ROA증가 여부,F스코어 영현>순익 여부,F스코어 부채비율감소 여부,F스코어 유동비율증가 여부,F스코어 신주발행X 여부,F스코어 매출총이익률증가 여부,F스코어 총자산회전율증가 여부,F스코어 점수 (9점만점),매출액 16년->19년 3년간 YOY,매출액 17년 YOY,매출액 18년 YOY,매출액 19년 YOY,매출액 20년(E)  YOY,매출액 21년(E)  YOY,매출액 19년3Q YOY,매출액 19년4Q YOY,매출액 20년1Q YOY,매출액 20년2Q YOY,매출액 20년3Q(E) YOY,매출액 20년4Q(E) YOY,매출액 19년3Q QOQ,매출액 19년4Q QOQ,매출액 20년1Q QOQ,매출액 20년2Q QOQ,매출액 20년3Q(E) QOQ,매출액 20년4Q(E) QOQ,영업이익 16년->19년 3년간 YOY,영업이익 17년 YOY,영업이익 18년 YOY,영업이익 19년 YOY,영업이익 20년(E)  YOY,영업이익 21년(E)  YOY,영업이익 19년3Q YOY,영업이익 19년4Q YOY,영업이익 20년1Q YOY,영업이익 20년2Q YOY,영업이익 20년3Q(E) YOY,영업이익 20년4Q(E) YOY,영업이익 19년3Q QOQ,영업이익 19년4Q QOQ,영업이익 20년1Q QOQ,영업이익 20년2Q QOQ,영업이익 20년3Q(E) QOQ,영업이익 20년4Q(E) QOQ,순이익 16년->19년 3년간 YOY,순이익 17년 YOY,순이익 18년 YOY,순이익 19년 YOY,순이익 20년(E)  YOY,순이익 21년(E)  YOY,순이익 19년3Q YOY,순이익 19년4Q YOY,순이익 20년1Q YOY,순이익 20년2Q YOY,순이익 20년3Q(E) YOY,순이익 20년4Q(E) YOY,순이익 19년3Q QOQ,순이익 19년4Q QOQ,순이익 20년1Q QOQ,순이익 20년2Q QOQ,순이익 20년3Q(E) QOQ,순이익 20년4Q(E) QOQ,16년 매출액,16년 영업이익,16년 순이익,17년 매출액,17년 영업이익,17년 순이익,18년 매출액,18년 영업이익,18년 순이익,19년 매출액,19년 영업이익,19년 순이익,20년(E) 매출액,20년(E) 영업이익,20년(E) 순이익,21년(E) 매출액,21년(E) 영업이익,21년(E) 순이익,매출액 18년 3Q,매출액 18년 4Q,매출액 19년 1Q,매출액 19년 2Q,매출액 19년 3Q,매출액 19년 4Q,매출액 20년 1Q,매출액 20년 2Q,매출액 20년 3Q(E),매출액 20년 4Q(E),영업이익 18년 3Q,영업이익 18년 4Q,영업이익 19년 1Q,영업이익 19년 2Q,영업이익 19년 3Q,영업이익 19년 4Q,영업이익 20년 1Q,영업이익 20년 2Q,영업이익 20년 3Q(E),영업이익 20년 4Q(E),순이익 18년 3Q,순이익 18년 4Q,순이익 19년 1Q,순이익 19년 2Q,순이익 19년 3Q,순이익 19년 4Q,순이익 20년 1Q,순이익 20년 2Q,순이익 20년 3Q(E),순이익 20년 4Q(E),발표치 20년3Q  매출액,발표치 20년3Q  영업이익,발표치 20년3Q  순이익,컨센서스 20년3Q  매출액,컨센서스 20년3Q  영업이익,컨센서스 20년3Q  순이익,
A005930,삼성전자,반도체 관련장비 및 부품,종합 반도체,코스피,58800,3510232,596978,0,0,0,2.4,-1.7,0.2,1.4,21.5,-0.2,11.6,4.8,24.27,36.9,17.2,14.51,15.6,13.8,9.18,11.41,7.11,8.79,5.83,12.79,1.52,1.49,0.29,18.34,1.91,0.96,1.27,1.3,1.19,9.1,14.11,16.17,14.11,9.47,12.66,10.41,4.25,11.89,10.29,27.91,253,300.88,33,34,6,44.73,2.41,160.75,3.66,0.58,2.41,0.02022,0.99181,881517,2617454,1861368,296455,279198,76939,3498971,2351403,341072,248734,599671,849182,601718,-423603,-94411,327210,1416,8692.22,11481.6,10190.9,-24.29,-14.71,58700,58000,48400,58900,52700,62400,42500,1,0,1,1,94,38,0.03,0.01,0.04,-0.14,-0.17,-0.31,-0.15,0.12,-0.03,-0.59,0.11,-0.48,-0.71,0.97,0.26,68,135,0.41932,126,76,455,210,1,0,0,0,46542,77158,0,0,1,20201103,20201008,4.4,15.6,9.7,3.7,23.1,8.2,-2.3,4.4,13.8,14.5,6.3,35.5,80,-27,4,4,12,52,74,274508,1,1,0,1,0,1,1,0,0,5,14.1,18.7,1.8,-5.5,3.6,9.5,-5.3,1,5.6,-5.6,8,6.1,10.5,-3.4,-7.6,-4.3,26.4,-5.1,-5,83.5,9.8,-52.8,34.2,24.2,-55.7,-33.7,3.4,23.5,58.8,43.9,17.9,-7.9,-10,26.4,51.6,-16.6,-4.1,84.4,6.2,-51,29,25.6,-52.9,-37.2,-4.3,8.4,51.8,43.4,20.5,-14.4,-6.5,12.3,68.8,-19.1,2018667,292407,224157,2395754,536450,413446,2437714,588867,438909,2304009,277685,215051,2387946,372548,277320,2614959,462609,348185,654600,592651,523855,561271,620035,598848,553252,529661,669642,635442,175749,108006,62333,65971,77779,71603,64473,81463,123533,103062,129674,83301,51075,50645,61050,52280,48896,54890,92668,74983,669642,123533,92668,641656,106834,84508,
A000660,SK하이닉스,반도체 관련장비 및 부품,종합 반도체,코스피,81400,592594,72800,4400,6,0,2.3,-1.5,-2.2,0.4,-3.7,-16.2,-4.3,-1.2,13.03,30.5,31.3,11.69,15.66,20.2,4.63,10.27,3.3,7.55,5.5,153.24,2,2,0.07,31.1,2.37,0.94,1.33,1.2,1.08,6.5,24.37,25.92,25.92,11.73,16.74,10.48,5.39,17.15,17.15,-4.21,120,180.95,40,40,28,33.97,1.23,102.99,2.24,0,1.23,0.02453,1.07461,198564,493829,173628,58141,77566,10419,692393,295713,34556,22861,125768,90047,107667,-107617,27998,103800,1000,1658.58,1812.24,2642.03,-8.48,-37.22,83200,81100,84500,97100,85100,105000,69000,1,0,1,0,78,18,0.06,-0.06,0,-0.08,-0.16,-0.25,0.24,-0.12,0.12,0.18,0.59,0.77,-0.85,-0.45,-1.3,51,128,1.10557,224,74,725,163,1,0,0,0,36317,109315,0,1,0,20201103,20200723,0,0,0,2,6.8,-6,2.4,-2.3,-12.1,-11.4,0.8,147.3,40,-77,9,3,11,69,103,3867,1,1,0,1,0,0,1,0,0,4,56.9,75.1,34.3,-33.3,15.1,15.3,-40.1,-30.3,6.3,33.4,13.7,6,6,1.3,3.9,19.6,-9.7,-5.5,-17.2,318.8,51.9,-87,79.4,66.2,-92.7,-94.7,-41.4,205.3,169.5,248.9,-25.9,-50.1,239.1,143.2,-34.6,-35.3,-31.8,260.3,46,-87,75.9,70.7,-89.5,-103.5,-41.2,135.8,105.5,688.3,-7.9,-124,648.4,94.8,-19.7,-31.4,171980,32767,29538,301094,137213,106415,404451,208438,155401,269907,27127,20133,310636,48656,35406,358283,80857,60437,114168,99381,67727,64522,68388,69271,71989,86065,77731,73457,64724,44301,13665,6376,4726,2360,8003,19467,12737,8235,46936,33963,11028,5355,4932,-1182,6482,12629,10136,6954,0,0,0,77731,12737,10136,
A068270,셀트리온,제약 및 바이오,바이오,코스피,259000,349634,13499,121,0.9,0.5,5.9,8.4,1.8,-16.7,23,54.6,37.3,68.7,18.43,53,40.2,35.25,39.33,11.2,13.08,18.78,9.43,14.28,84.07,111.24,23.73,23.73,0.64,1002.33,15.48,3.38,9.05,11.45,9.3,82.7,86.75,87.54,87.54,63.29,63.31,49.52,50.42,67.33,67.33,2.85,221,263.97,37,39,17,2.14,0.02,-25.16,0.72,0.01,0.02,0.03244,0.83695,11843,30524,21821,3571,1587,422,42367,14734,5193,3994,6896,7807,4158,-1466,-87,1015,48,2562.58,1852.06,1794.51,38.36,42.8,254500,311000,210500,167500,188641,329000,140000,1,1,0,0,79,85,0.07,0.05,0.11,0.04,-0.16,-0.12,-0.11,-0.5,-0.61,-0.57,-0.87,-1.44,-1.52,0.36,-1.16,74,339,0.38618,757,73,1075,149,1,0,0,0,34200,355097,0,1,0,20201103,20200807,0,0,0,5.6,9.1,-1.1,2,-6.4,-21.6,88.5,37.5,76.8,80,42,18,15,23,260,188,3143,1,1,1,1,0,0,0,0,1,5,68.3,41.5,3.5,14.9,57,26,25.1,57.7,68.2,82.5,62.2,31,23,32.4,-2.6,15,9.4,6.9,51.4,103.4,-33.3,11.6,84.3,35.4,40.1,159.5,55.3,118,83.7,80.2,23.6,10.8,5.3,51.2,4.2,8.7,67.2,114.9,-31.6,13.7,85.6,33,9.3,115.9,64.2,78.9,140.9,66,-20.5,54.7,10.4,31.6,7.1,6.6,6706,2497,1780,9491,5078,3825,9821,3387,2618,11285,3781,2976,17715,6968,5523,22319,9437,7345,2311,2426,2217,2350,2891,3827,3728,4288,4690,5014,736,440,774,834,1031,1142,1202,1818,1894,2058,562,440,639,772,614,950,1049,1381,1479,1577,0,0,0,4690,1894,1479,
A051910,LG화학,화학,종합 화학,코스피,656000,463086,7059,165,2.3,0,5.3,3.8,-0.5,-3.5,89.3,72.9,104,60.4,13.75,17.9,8.2,5.77,8.47,8,4.69,10.11,2.2,4.88,12.03,-19.33,1.58,1.57,0.18,143.15,3.8,0.99,1.48,2.59,2.4,18.9,54,101.96,55.27,22.6,31.57,23.71,16.82,39.38,27.28,-12.43,93,136.43,116,119,67,49.02,0.3,-56.41,2.49,0.58,0.3,0.03504,1.37526,207339,173673,149755,47529,15842,2738,381012,294359,16976,8379,32589,52353,38496,-53244,21909,62456,2000,4138.36,3431.37,3039.72,20.6,36.14,659000,680000,346500,379500,321500,768000,230000,1,1,0,1,85,185,0.06,0.36,0.42,-0.2,0.71,0.51,-1,1.99,0.99,-1.9,1.73,-0.17,-1.34,2.41,1.07,68,262,1.05585,492,71,982,109,1,0,0,0,133428,930101,0,0,1,20201027,20201012,-7.6,23.1,1.1,-4.4,33,33.6,0.6,14.7,27,123.7,92.7,133.1,100,9,18,2,11,61,72,-23960,1,1,0,1,0,0,1,1,0,5,38.6,24.4,9.7,1.6,4.8,25.1,1.6,7.3,7.5,2.3,2.2,9.4,8.4,7.2,-9.7,-2.5,8.2,14.8,-55,47,-23.3,-60.1,183.8,31,-36.9,-104.4,-15.8,131.4,137.2,6855.6,54,-103.3,1977,141.7,57.8,-5.6,-75.5,51.8,-24.3,-78.7,368,39.3,-62.6,-164.8,-89.2,461.4,298.4,817.4,88.8,-160.5,127.1,1711.8,34,8.9,206593,19919,12811,256980,29285,19453,281830,22461,14726,286250,8956,3134,300110,25414,14667,375551,33305,20431,72349,73427,66217,67784,73473,78777,71157,69352,75073,86170,6024,2896,2810,2470,3803,-126,2365,5716,9021,8512,3434,1201,1945,681,1286,-778,211,3823,5123,5581,75073,9021,5123,81235,7329,5066,
A005380,현대차,자동차 및 관련부품,완성차,코스피,170500,364304,21367,1317,6.2,0,0,-1.2,-8.8,18,82,37.5,36.4,10,8.77,16.8,4.5,2.25,2.83,5.9,1.67,6.32,0.59,2.35,-57.3,-7.86,0.36,0.36,0.03,16.66,1.55,0.26,0.44,0.53,0.49,7.6,29.48,18.95,31.43,-27.1,19.57,7.76,14.09,12.16,15.81,-211.15,68,90.08,165,181,119,35.35,2.35,30.9,3.38,0.89,2.35,0.03054,1.28074,1257564,696544,488339,122185,491748,196343,1954108,1025783,23047,11590,70063,170964,-6358,-64888,86190,39974,4000,1704.39,2170.1,3563.1,-21.46,-52.17,187000,144500,93700,124000,125000,187000,65900,1,0,0,1,91,159,0,-0.04,-0.05,-0.17,-0.1,-0.27,-1.15,-0.59,-1.74,-1.58,-2.68,-4.26,-0.8,-2.72,-3.52,34,204,0.7543,271,74,808,163,1,0,0,0,62951,230391,0,0,1,20201103,20201026,1,-214.9,-247.2,9.7,119.7,13.1,-3.3,10.4,29.6,51.2,10.7,305.3,100,-38,7,0,6,14,53,-46332,1,0,0,0,0,0,1,1,0,3,12.9,2.9,0.5,9.2,-1.3,11.5,10.4,10.3,5.6,-18.9,2.3,6.5,0,3.2,-9,-13.7,26.2,7.5,-30.6,-11.9,-47.1,48.9,-18.1,126.3,31,132.4,4.7,-52.3,-182.9,48.4,-69.4,207.6,-25.8,-31.7,-153.2,650.6,-44.9,-25.4,-62.6,97.6,-37.5,180.6,58.6,719.7,-44.1,-75.3,-178.7,77.3,-53.6,88.4,-42.4,-50.9,-247.8,524.5,936490,51935,54064,963761,45747,40328,968126,24222,15081,1057464,36055,29800,1043283,29517,18612,1163392,66792,52223,244337,252305,239871,269664,269689,278241,253194,218590,275758,296317,2889,5011,8249,12377,3785,11644,8638,5903,-3138,17278,2692,-1298,8295,9193,4269,8044,4633,2274,-3361,14266,275758,-3138,-3361,272953,2731,2283,
A017670,SK텔레콤,통신,통신서비스,코스피,219000,176833,8075,872,10.8,0,1.9,-5.8,-8.9,-0.7,6.8,-3.3,-8,-14.5,39.67,100,8.2,6.25,6.89,10.6,4.19,7.36,2.17,3.95,3.63,15.27,0.98,0.98,0.11,13.48,1.67,0.63,1.04,0.75,0.7,9.8,16.03,17.97,17.97,10.35,12.79,9.47,5.18,15.7,15.7,-77.36,108,111.11,91,93,50,82.04,4.57,3.09,6.64,3.71,4.57,0.01732,0.59502,219404,234967,82613,2043,170702,138744,454371,180250,11261,9839,52087,180250,48710,-45523,-2805,37126,10000,798.21,848.97,697.05,-5.98,14.51,240500,220500,205000,226500,238000,248500,165500,0,0,0,0,88,32,0.02,-0.08,-0.06,0,-0.91,-0.91,0.83,-1.65,-0.82,-0.36,-0.07,-0.43,0.92,-2.48,-1.56,45,119,0.76468,155,70,580,92,1,0,0,0,140982,314044,0,0,0,20201103,20200806,0,0,0,0.1,8.3,16.4,0.4,-1.1,4.4,20.3,17.6,89.8,80,-56,6,4,7,45,0,11584,1,1,0,1,0,1,1,0,0,5,3.8,2.5,-3.7,5.2,4.4,5.4,9,1.4,2.7,3.7,3.1,8,2.8,-3.3,0.9,3.4,2.2,1.2,-27.7,0.1,-21.8,-7.6,14.9,11.2,-0.7,-27.9,-6.4,11.4,19.6,60.4,-6.4,-46.2,85.8,19,0.5,-27.9,-46.9,55.1,20.3,-71.5,55.3,41.6,-73.4,-105.6,-18.4,62.2,47.5,996.7,4.2,-109.9,1241.7,38.1,-5.2,-40,170918,15357,16760,175200,15366,25998,168740,12018,31279,177437,11100,8899,185193,12757,13822,195200,14190,19575,41864,43517,43349,44370,45612,44106,44504,46028,47029,47616,3041,2253,3226,3228,3021,1625,3020,3595,3612,2606,10314,4849,3792,2634,2744,-271,3094,4272,4048,2430,0,0,0,47029,3612,4048,
A207940,삼성바이오로직스,제약 및 바이오,바이오,코스피,699000,462493,6617,0,0,0,0.1,10.1,2,-10.2,19.3,41.9,75,79.7,6.2,36.9,9.6,27.86,25.01,5.5,7.9,7.07,5.89,5.3,163.66,186.94,45.66,41.94,-27.38,1337.74,11.54,2.45,6.12,10.28,9.67,201.9,130.13,134.68,130.13,206.17,203.65,136.91,133.99,168.61,150.55,-0.16,122,181.97,36,36,13,0,0,0,0,0,0,0.02924,0.8512,15897,44432,15167,4957,28178,26223,60329,11028,3072,3554,3437,3740,2827,218,-2438,353,0,681.22,1077.87,780.33,-36.8,-12.7,685000,778000,586000,492500,399500,843000,366000,1,1,0,0,83,91,0.03,-0.02,0.01,0.16,-0.01,0.15,0.05,-0.12,-0.07,-0.11,-0.11,-0.22,0,-0.65,-0.65,89,420,1.73236,1302,74,1138,163,1,0,0,0,53684,948974,1,1,1,20201023,20201021,9.7,-8.7,-23.5,28.8,31,-3.5,1.8,-21.5,7.5,15.1,34,-5,80,37,3,8,7,70,283,2474,1,1,1,0,1,0,1,1,1,7,138.2,57.7,15.3,30.9,53.2,22.3,82.8,75.7,65.2,294,48.6,-8,136.6,69.5,-33.9,48.5,-10.8,5,401.6,317.1,-15.6,64.6,193.2,39.6,124.8,830.4,367.5,626.6,139.6,-36.1,253.2,353.4,-41.5,29.6,-30.3,21,214.8,45.1,331,-9.5,11.9,57.8,263.3,-33.6,195.3,488.1,27.2,-62.3,429.1,377.6,-82.6,41.7,7.8,41.6,2946,-304,-1768,4646,660,-970,5358,557,2241,7016,917,2029,10750,2689,2271,13143,3753,3583,1011,1783,1254,781,1848,3133,2072,3077,2746,2882,105,115,-234,-154,236,1070,626,811,565,684,-270,3173,-385,-134,441,2106,367,520,561,794,2746,565,561,2503,619,733,
A005490,POSCO,철강 및 비철강,제철,코스피,220500,192247,8719,965,11.1,0,2.1,0.2,7.6,9.7,25.3,3,0.7,-31.9,6.19,8.1,6.3,3.58,4.01,3.6,2.12,4.36,1.21,2.5,2.69,4.79,0.32,0.33,0.08,8.69,1.19,0.32,0.5,0.43,0.41,13.8,17.95,20.96,20.2,10.32,13.68,9.52,4.46,7.78,9.17,16.79,153,206.65,73,78,52,43.66,4.54,16.44,4.8,1.62,4.54,0.02363,0.95316,345187,443309,377461,97435,94085,39907,788496,585716,20973,9519,59901,48670,71599,-68240,31436,31495,10000,699.86,805.17,829.36,-13.08,-15.61,205000,201000,176000,214000,219000,248500,138000,1,1,1,1,89,60,0.11,0.03,0.14,0.22,0,0.22,1.31,-0.49,0.82,2.58,-1.4,1.18,2.01,0.34,2.35,36,134,1.90428,177,78,639,246,1,0,0,0,124641,282878,0,0,1,20201026,20201023,-0.7,32.9,60,2.9,8.1,116.7,-0.7,20,34,23.3,-0.4,112.2,80,-37,4,0,4,52,64,40104,1,1,0,1,0,1,1,0,0,5,21.3,14.3,7.1,-0.9,-10.5,4.4,-2.6,-3.5,-9.2,-15.9,-10.8,-5.9,-2,0.3,-9.3,-5.7,3.9,5.9,36,62.5,19.9,-30.2,-40.3,47.7,-32.1,-56.1,-41.4,-84.3,-35.9,38.5,-2.7,-46.4,26.5,-76.2,297.6,15.9,34.6,104.7,-39.4,8.5,-23.4,51.9,-57.7,105.8,-46.7,-93.4,8,844.4,-29.6,-88.2,679.9,-89.8,1055.1,2.9,530835,28443,13633,606551,46218,27901,649778,55426,16906,643668,38689,18351,575783,23084,14053,601038,34103,21341,164107,166215,160142,163213,159882,160430,145458,137216,142612,150965,15311,12715,12029,10686,10398,5576,7053,1677,6667,7725,10195,-8674,7413,6123,4309,507,3954,403,4655,4788,142612,6667,4655,143670,5015,2909,
A015760,한국전력,유틸리티,전력,코스피,20450,131282,64196,0,0,0,0.5,-0.7,-0.7,5.7,-6.6,-19,-19,-46.5,1.57,5.3,8.8,0.8,5.92,5.1,-1.36,2.12,-0.46,0.73,1.26,-3.26,0.22,0.22,0.03,-2.71,0.59,0.18,0.35,0.19,0.19,6.9,-14.25,-14.25,-14.25,19.75,9.76,8.98,7.06,27.78,27.78,-853.53,56,86.64,192,196,110,0,0,-100,7.26,0,0,0.02303,0.68204,1322652,675391,202119,71214,129156,60863,1998043,590191,4725,-9210,119345,31377,103928,-141161,41831,144215,0,380.66,439.37,618.4,-13.36,-38.44,20600,19350,21900,25250,25250,29250,16250,1,0,0,0,70,26,-0.03,-0.04,-0.07,-0.32,-0.16,-0.48,0.03,-0.33,-0.3,0.55,-0.78,-0.23,-0.52,-4.72,-5.24,32,106,-2.40349,-124,75,1658,186,1,0,0,0,-16545,27174,0,0,0,20201026,20200813,0,0,0,3.6,275.9,132.9,0,-19.7,-4.3,16.3,-2.2,258.7,40,0,4,-1,2,39,47,-40287,0,1,0,1,0,1,1,1,0,5,-1.7,-0.6,1.4,-2.4,-1.4,0.7,-3,-1.5,-1,0,-2.3,-2.3,21.7,-6.1,1,-13.4,18.9,-6.1,-110.6,-58.7,-104.2,-513.7,370.7,5.1,-11.2,-101.3,168.4,230.5,86.4,111.5,514.9,-228.1,127.1,-9.5,492.6,-92.1,-133.3,-81.6,-201.2,-78.4,157.4,10.3,-68.6,-67.3,102.9,137.1,483.1,89.9,149.8,-698.3,101.7,622.6,681.6,-110.3,601904,120016,70486,598149,49532,12987,606276,-2080,-13146,591729,-12765,-23455,583176,34550,13454,586972,36320,14836,164098,151746,152484,130710,159123,149412,150931,130725,155424,145940,13952,-7885,-6299,-2987,12393,-15872,4306,3898,23101,1829,7086,-7967,-7878,-4475,2228,-13330,230,1662,12991,-1343,0,0,0,155424,23101,12991,
A028260,삼성물산,지주사,지주사,코스피,112500,210248,18689,2342,12.5,-1.5,0.5,-2.6,7.1,3.7,9.8,1.4,8.7,-22.4,8.92,12.7,2.1,3.11,2.92,6.8,4.97,5.22,2.69,2.86,11.93,13.98,0.71,0.71,1.76,17.05,4.79,0.76,1.19,0.92,0.88,18.3,16.21,19.25,18.53,18.12,18.89,16.91,14.02,22.7,22.72,-30.6,95,110.38,78,87,17,31.42,1.78,206.31,1.9,0,1.78,0.02743,1.13036,196008,225541,131680,18861,259591,38067,421549,297317,9253,11347,14993,37482,17628,2902,-7393,2588,2000,538.73,1079.8,1213.39,-50.11,-55.6,105000,108500,102500,111000,103500,126500,74500,1,1,1,1,89,51,0.01,0.01,0.01,-0.19,0.11,-0.09,-0.05,-0.3,-0.35,-0.19,-0.74,-0.93,-0.74,-0.51,-1.25,19,121,0.48007,197,76,683,210,1,1,0,0,57251,148577,0,0,1,20201029,20201027,3.3,-11.7,1.4,-0.1,4,-15.1,-0.1,8.2,-0.6,3,2.4,9.6,20,-22,0,2,5,58,27,15040,1,1,0,1,1,1,1,1,0,7,9.5,4.2,6.4,-1.3,-2.4,3.4,-0.6,-3.4,-5.4,-9.4,1.5,3.2,-3,-0.5,-9.6,3.8,8.7,1.2,521.4,531.8,25.3,-21.5,1.2,29.9,-21,33.7,39.7,7.9,-0.4,-13.1,-2,50.1,-54.7,62,-9.5,30.9,877.7,495.7,167.7,-38.7,6,13.8,-12.2,-49.9,29.3,-14.2,17.3,-25.2,12.5,34.9,-3.4,-41.5,53.8,-13.9,281027,1395,1074,292790,8813,6398,311556,11039,17128,307615,8668,10501,300182,8772,11133,310408,11398,12672,77805,79711,73571,79720,77346,76979,69601,72234,78503,79460,2738,2428,1052,2207,2163,3247,1470,2381,2155,2821,2816,6660,2493,2198,2473,3337,3224,1886,2900,2497,78503,2155,2900,75999,2441,2861,
