코드 번호,회사명,업종 (대),업종 (소),코스피코스닥,주가 (원),시가총액 (억),상장주식수 (만주),자사주 (만주),자사주 비중 (%),주식수 증가율 (%),1일 등락률 (%),5일 등락률 (%),1개월 등락률 (%),3개월 등락률 (%),6개월 등락률 (%),9개월 등락률 (%),1년 등락률 (%),3년 등락률 (%),과거 GP/A (%),과거 GPM (%),5년평균 OPM,발표 OPM (%),올해 OPM (%),5년평균 ROE,발표 ROE (%),1년후 ROE (%),과거 ROA (%),1년후 ROA (%),과거 PCR,과거 PFCR,과거 PSR,발표 PSR,1년후PEG,PER  곱하기PBR,고점 PBR,저점 PBR,5년평균 PBR,발표 PBR,1년후 PBR,5년평균 PER,자사주반영 PER,과거 PER,발표 PER,발표 분기 PER,올해 PER,1년후 PER,과거 EV/EBITDA (%),과거 POR,발표 POR,청산가치비율 (NCAV전략) (%),당좌 비율 (%),유동 비율 (%),단순 부채비율 (%),보수적 부채비율 (%),차입금 비율 (%),배당 성향 (%),시가 배당률 (%),DPS  성장률 (%),시가 배당률 고점,시가 배당률 저점,국채시가 배당률,주가 변동성,베타 (52주),부채 (억),자본 (억),유동자산 (억),재고자산 (억),투자자산 (억),지분투자 (억),총자산 (억),매출액 (억),영업이익 (억),순이익(지배) (억),EBITDA (억),매출총이익 (억),영업활동현금흐름 (억),투자활동현금흐름 (억),재무활동현금흐름 (억),설비투자 (억),DPS (원),거래대금 (당일 억),거래대금 (5일평균 억),거래대금 (20일평균 억),거래대금 증가율(5일대비),거래대금 증가율(20일대비),1개월전 주가,3개월전 주가,6개월전 주가,9개월전 주가,1년전 주가,52주 신고가,52주 신저가,주가>5이평,주가>20이평,주가>60이평,주가>120이평,신고가율 (%),신저가율 (%),당일 기관(%),당일 외인(%),당일 수급(%),주간 기관(%),주간 외인(%),주간 수급(%),1개월 기관(%),1개월 외인(%),1개월 수급(%),3개월 기관(%),3개월 외인(%),3개월 수급(%),6개월 기관(%),6개월 외인(%),6개월 수급(%),고점대비 PBR괴리율,저점대비 PBR괴리율,이익의 변동성,예상가 괴리율 (%),목표가  괴리율 (%),예상가 매력등수,목표가 매력등수,본사 국내 =1,지주사 =1,금융 =1,스팩 =1,예상 주가 (원),목표 주가 (원),20년 2Q 호실적 100기업,20년3Q 호실적예상 100기업,3Q 발표 =1,마지막 리포트일,실적 발표일,20/3Q 매출액 컨센대비,20/3Q 영업이익 컨센대비,20/3Q 순이익 컨센대비,20/2Q 매출액 컨센대비,20/2Q 영업이익 컨센대비,20/2Q 순이익 컨센대비,1주일 어닝스,1달 어닝스,3개월  어닝스,6개월  어닝스,9개월  어닝스,12개월  어닝스,어닝스 점수,ROE증가율 (최근분기),자산증가율 (최근분기),자본증가율 (최근분기),자본증가율 (1년후),매출채권 회수기간,재고자산 회수기간,단순 FCFF (잉여현금흐름),F스코어 지배주주순익>0 여부,F스코어 영업활동현금흐름>0 여부,F스코어 ROA증가 여부,F스코어 영현>순익 여부,F스코어 부채비율감소 여부,F스코어 유동비율증가 여부,F스코어 신주발행X 여부,F스코어 매출총이익률증가 여부,F스코어 총자산회전율증가 여부,F스코어 점수 (9점만점),매출액 16년->19년 3년간 YOY,매출액 17년 YOY,매출액 18년 YOY,매출액 19년 YOY,매출액 20년(E)  YOY,매출액 21년(E)  YOY,매출액 19년3Q YOY,매출액 19년4Q YOY,매출액 20년1Q YOY,매출액 20년2Q YOY,매출액 20년3Q(E) YOY,매출액 20년4Q(E) YOY,매출액 19년3Q QOQ,매출액 19년4Q QOQ,매출액 20년1Q QOQ,매출액 20년2Q QOQ,매출액 20년3Q(E) QOQ,매출액 20년4Q(E) QOQ,영업이익 16년->19년 3년간 YOY,영업이익 17년 YOY,영업이익 18년 YOY,영업이익 19년 YOY,영업이익 20년(E)  YOY,영업이익 21년(E)  YOY,영업이익 19년3Q YOY,영업이익 19년4Q YOY,영업이익 20년1Q YOY,영업이익 20년2Q YOY,영업이익 20년3Q(E) YOY,영업이익 20년4Q(E) YOY,영업이익 19년3Q QOQ,영업이익 19년4Q QOQ,영업이익 20년1Q QOQ,영업이익 20년2Q QOQ,영업이익 20년3Q(E) QOQ,영업이익 20년4Q(E) QOQ,순이익 16년->19년 3년간 YOY,순이익 17년 YOY,순이익 18년 YOY,순이익 19년 YOY,순이익 20년(E)  YOY,순이익 21년(E)  YOY,순이익 19년3Q YOY,순이익 19년4Q YOY,순이익 20년1Q YOY,순이익 20년2Q YOY,순이익 20년3Q(E) YOY,순이익 20년4Q(E) YOY,순이익 19년3Q QOQ,순이익 19년4Q QOQ,순이익 20년1Q QOQ,순이익 20년2Q QOQ,순이익 20년3Q(E) QOQ,순이익 20년4Q(E) QOQ,16년 매출액,16년 영업이익,16년 순이익,17년 매출액,17년 영업이익,17년 순이익,18년 매출액,18년 영업이익,18년 순이익,19년 매출액,19년 영업이익,19년 순이익,20년(E) 매출액,20년(E) 영업이익,20년(E) 순이익,21년(E) 매출액,21년(E) 영업이익,21년(E) 순이익,매출액 18년 3Q,매출액 18년 4Q,매출액 19년 1Q,매출액 19년 2Q,매출액 19년 3Q,매출액 19년 4Q,매출액 20년 1Q,매출액 20년 2Q,매출액 20년 3Q(E),매출액 20년 4Q(E),영업이익 18년 3Q,영업이익 18년 4Q,영업이익 19년 1Q,영업이익 19년 2Q,영업이익 19년 3Q,영업이익 19년 4Q,영업이익 20년 1Q,영업이익 20년 2Q,영업이익 20년 3Q(E),영업이익 20년 4Q(E),순이익 18년 3Q,순이익 18년 4Q,순이익 19년 1Q,순이익 19년 2Q,순이익 19년 3Q,순이익 19년 4Q,순이익 20년 1Q,순이익 20년 2Q,순이익 20년 3Q(E),순이익 20년 4Q(E),발표치 20년3Q  매출액,발표치 20년3Q  영업이익,발표치 20년3Q  순이익,컨센서스 20년3Q  매출액,컨센서스 20년3Q  영업이익,컨센서스 20년3Q  순이익,
A005930,삼성전자,반도체 관련장비 및 부품,종합 반도체,코스피,58500,3492323,596978,0,0,0,-0.5,-0.8,-0.8,1.7,22.1,-1.7,9.8,3.1,24.27,36.9,17.2,14.51,15.6,13.8,9.18,11.45,7.11,8.82,5.8,12.72,1.52,1.49,0.29,18.11,1.91,0.96,1.27,1.29,1.18,9.1,14.04,16.09,14.04,9.42,12.59,10.31,4.22,11.83,10.24,28.06,253,300.88,33,34,6,44.73,2.42,160.75,3.66,0.58,2.42,0.02022,0.98972,881517,2617454,1861368,296455,279198,76939,3498971,2351403,341072,248734,599671,849182,601718,-423603,-94411,327210,1416,12462.9,12279.8,10387.8,1.49,19.98,59000,57500,47900,59500,53300,62400,42500,1,0,1,1,94,38,0.04,-0.1,-0.05,-0.06,-0.25,-0.31,-0.1,0.01,-0.09,-0.51,0.04,-0.47,-0.67,0.89,0.22,68,134,0.41932,125,76,456,207,1,0,0,0,46634,77133,0,0,1,20201103,20201008,4.4,15.6,9.7,3.7,23.1,8.2,-1.8,4.8,14.2,15,6.6,36.1,80,-27,4,4,12,52,74,274508,1,1,0,1,0,1,1,0,0,5,14.1,18.7,1.8,-5.5,3.6,9.5,-5.3,1,5.6,-5.6,8,6.1,10.5,-3.4,-7.6,-4.3,26.4,-5.1,-5,83.5,9.8,-52.8,34.1,24.8,-55.7,-33.7,3.4,23.5,58.8,43.7,17.9,-7.9,-10,26.4,51.6,-16.7,-4.1,84.4,6.2,-51,29,26.1,-52.9,-37.2,-4.3,8.4,51.8,43.5,20.5,-14.4,-6.5,12.3,68.8,-19,2018667,292407,224157,2395754,536450,413446,2437714,588867,438909,2304009,277685,215051,2387768,372375,277323,2615522,464576,349670,654600,592651,523855,561271,620035,598848,553252,529661,669642,635438,175749,108006,62333,65971,77779,71603,64473,81463,123533,102897,129674,83301,51075,50645,61050,52280,48896,54890,92668,75015,669642,123533,92668,641656,106834,84508,
A000660,SK하이닉스,반도체 관련장비 및 부품,종합 반도체,코스피,83200,605698,72800,4400,6,0,2.2,0.4,0.2,3.2,-2.9,-14.8,-0.4,0,13.03,30.5,31.3,13.88,15.65,20.2,5.69,10.29,4.15,7.56,5.63,156.63,2.05,1.96,0.11,25.32,2.37,0.94,1.33,1.2,1.1,6.5,19.84,26.49,21.1,14.06,16.96,10.7,5.5,17.53,14.14,-4.12,120,180.95,40,40,28,33.97,1.2,102.99,2.24,0,1.2,0.02453,1.07499,198564,493829,173628,58141,77566,10419,692393,308613,42827,28702,125768,90047,107667,-107617,27998,103800,1000,3121.2,2143.38,2683.82,45.62,16.3,83000,80600,85700,97700,83500,105000,69000,1,0,1,1,79,21,0.1,0.03,0.13,0.04,-0.15,-0.1,0.41,-0.11,0.3,0.38,0.78,1.16,-0.69,-0.2,-0.89,51,128,1.10557,186,76,663,207,1,0,0,0,44719,109354,0,1,1,20201104,20201104,4.7,3.4,6.3,2,6.8,-6,2.3,-2.1,-12.1,-11.3,-0.6,97.3,40,-72,9,3,11,69,103,3867,1,1,0,1,0,0,1,0,0,4,56.9,75.1,34.3,-33.3,15.2,13.9,-40.1,-30.3,6.3,33.4,18.9,5.9,6,1.3,3.9,19.6,-5.6,-9.8,-17.2,318.8,51.9,-87,79.5,66,-92.7,-94.7,-41.4,205.3,175,258.3,-25.9,-50.1,239.1,143.2,-33.2,-34.9,-31.8,260.3,46,-87,77.4,69.1,-89.5,-103.5,-41.2,135.8,118.4,690.1,-7.9,-124,648.4,94.8,-14.7,-35.3,171980,32767,29538,301094,137213,106415,404451,208438,155401,269907,27127,20133,311064,48684,35719,354416,80817,60403,114168,99381,67727,64522,68388,69271,71989,86065,81288,73328,64724,44301,13665,6376,4726,2360,8003,19467,12997,8456,46936,33963,11028,5355,4932,-1182,6482,12629,10773,6975,81288,12997,10773,77616,12570,10135,
A068270,셀트리온,제약 및 바이오,바이오,코스피,270500,365158,13499,121,0.9,0.5,4.4,11.5,4.8,-14,28.2,64.4,44.1,69.8,18.43,53,40.2,35.25,39.33,11.2,13.08,18.6,9.43,14.13,87.8,116.18,24.78,24.78,0.7,1093.5,15.48,3.38,9.05,11.96,9.74,82.7,90.6,91.43,91.43,66.1,66.12,52.36,52.67,70.32,70.32,2.73,221,263.97,37,39,17,2.14,0.02,-25.16,0.72,0.01,0.02,0.03264,0.84248,11843,30524,21821,3571,1587,422,42367,14734,5193,3994,6896,7807,4158,-1466,-87,1015,48,3503.39,2353.61,1899.85,48.85,84.4,258000,314500,211000,164500,187686,329000,140000,1,1,0,0,82,93,0.07,-0.01,0.06,0.14,-0.15,0,-0.04,-0.49,-0.53,-0.54,-0.89,-1.43,-1.44,0.3,-1.14,77,354,0.38618,789,76,1080,207,1,0,0,0,34268,355325,0,1,0,20201103,20200807,0,0,0,5.6,9.1,-1.1,1.8,-7.6,-17,86.2,35.4,74.6,80,42,18,15,22,260,188,3143,1,1,1,1,0,0,0,0,1,5,68.3,41.5,3.5,14.9,57,24.1,25.1,57.7,68.2,82.5,62.2,31,23,32.4,-2.6,15,9.4,6.9,51.4,103.4,-33.3,11.6,84.3,33,40.1,159.5,55.3,118,83.7,80.2,23.6,10.8,5.3,51.2,4.2,8.7,67.2,114.9,-31.6,13.7,85.6,31,9.3,115.9,64.2,78.9,140.9,66,-20.5,54.7,10.4,31.6,7.1,6.6,6706,2497,1780,9491,5078,3825,9821,3387,2618,11285,3781,2976,17715,6968,5523,21980,9265,7237,2311,2426,2217,2350,2891,3827,3728,4288,4690,5014,736,440,774,834,1031,1142,1202,1818,1894,2058,562,440,639,772,614,950,1049,1381,1479,1577,0,0,0,4690,1894,1479,
A051910,LG화학,화학,종합 화학,코스피,650000,458850,7059,165,2.3,0,-0.9,1.2,-3.6,-12.9,92.3,70.2,104.7,58.9,13.75,17.9,8.2,5.77,8.43,8,4.69,10.61,2.2,5.13,11.92,-19.15,1.57,1.56,0.15,140.73,3.8,0.99,1.48,2.57,2.36,18.9,53.5,101.02,54.76,22.39,31.42,22.25,16.69,39.02,27.03,-12.55,93,136.43,116,119,67,49.02,0.31,-56.41,2.49,0.58,0.31,0.03504,1.37431,207339,173673,149755,47529,15842,2738,381012,294359,16976,8379,32589,52353,38496,-53244,21909,62456,2000,3091.29,3585.08,3043.95,-13.77,1.56,674000,746000,338000,382000,317500,768000,230000,1,1,0,1,85,183,-0.02,0.03,0.01,-0.11,0.65,0.54,-1.07,1.83,0.76,-1.85,1.75,-0.1,-1.44,2.54,1.1,68,260,1.05585,486,70,979,99,1,0,0,0,133691,931847,0,0,1,20201104,20201012,-7.6,23.1,1.1,-4.4,33,33.6,6.2,21.1,47.9,136.2,126.6,146.1,120,9,18,2,11,61,72,-23960,1,1,0,1,0,0,1,1,0,5,38.6,24.4,9.7,1.6,4.7,26.7,1.6,7.3,7.5,2.3,2.2,9.2,8.4,7.2,-9.7,-2.5,8.2,14.6,-55,47,-23.3,-60.1,182.2,37.3,-36.9,-104.4,-15.8,131.4,137.2,6756.3,54,-103.3,1977,141.7,57.8,-7,-75.5,51.8,-24.3,-78.7,366,48.7,-62.6,-164.8,-89.2,461.4,298.4,805.1,88.8,-160.5,127.1,1711.8,34,7.1,206593,19919,12811,256980,29285,19453,281830,22461,14726,286250,8956,3134,299809,25278,14604,379946,34719,21711,72349,73427,66217,67784,73473,78777,71157,69352,75073,86026,6024,2896,2810,2470,3803,-126,2365,5716,9021,8387,3434,1201,1945,681,1286,-778,211,3823,5123,5486,75073,9021,5123,81235,7329,5066,
A005380,현대차,자동차 및 관련부품,완성차,코스피,171500,366441,21367,1319,6.2,0,0.6,-1.2,-6,16.7,86.6,38.3,38.9,10.6,8.77,16.8,4.5,2.25,2.83,5.9,1.67,6.33,0.59,2.35,-57.63,-7.91,0.36,0.36,0.03,16.76,1.55,0.26,0.44,0.53,0.49,7.6,29.66,19.07,31.62,-27.26,19.64,7.79,14.12,12.23,15.9,-209.92,68,90.08,165,181,119,35.35,2.33,30.9,3.38,0.89,2.33,0.03054,1.28399,1257564,696544,488339,122185,491748,196343,1954108,1025783,23047,11590,70063,170964,-6358,-64888,86190,39974,4000,2919.54,2268.7,3511.71,28.69,-16.86,182500,147000,91900,124000,123500,187000,65900,1,0,0,1,92,160,-0.02,0.02,-0.01,-0.19,-0.07,-0.26,-1.17,-0.42,-1.59,-1.62,-2.66,-4.28,-0.82,-2.68,-3.5,34,204,0.7543,272,74,803,161,1,0,0,0,63075,230550,0,0,1,20201103,20201026,1,-215,-247.3,9.7,119.7,13.1,0.9,10.6,29.7,51.5,10.8,306,100,-38,7,0,6,14,53,-46332,1,0,0,0,0,0,1,1,0,3,12.9,2.9,0.5,9.2,-1.3,11.5,10.4,10.3,5.6,-18.9,2.3,6.5,0,3.2,-9,-13.7,26.2,7.5,-30.6,-11.9,-47.1,48.9,-18,125.7,31,132.4,4.7,-52.3,-182.9,48.2,-69.4,207.6,-25.8,-31.7,-153.2,650,-44.9,-25.4,-62.6,97.6,-37.4,179.8,58.6,719.7,-44.1,-75.3,-178.7,77.2,-53.6,88.4,-42.4,-50.9,-247.8,524.1,936490,51935,54064,963761,45747,40328,968126,24222,15081,1057464,36055,29800,1043253,29574,18661,1163392,66752,52205,244337,252305,239871,269664,269689,278241,253194,218590,275758,296307,2889,5011,8249,12377,3785,11644,8638,5903,-3138,17259,2692,-1298,8295,9193,4269,8044,4633,2274,-3361,14253,275758,-3138,-3361,272951,2730,2282,
A017670,SK텔레콤,통신,통신서비스,코스피,218500,176429,8075,874,10.8,0,-0.2,-4.8,-9.3,-4.6,4,-2.9,-8,-14,39.67,100,8.2,6.25,6.89,10.6,4.19,7.37,2.17,3.95,3.62,15.23,0.98,0.98,0.1,13.45,1.67,0.63,1.04,0.75,0.7,9.8,15.99,17.93,17.93,10.32,12.76,9.44,5.18,15.67,15.67,-77.53,108,111.11,91,93,50,82.04,4.58,3.09,6.64,3.71,4.58,0.01732,0.59607,219404,234967,82613,2043,170702,138744,454371,180250,11261,9839,52087,180250,48710,-45523,-2805,37126,10000,661.95,826.77,711.68,-19.93,-6.99,241000,229000,210000,225000,237500,248500,165500,1,0,0,0,88,32,0.02,-0.14,-0.11,-0.01,-0.79,-0.81,0.86,-1.83,-0.97,-0.49,0.02,-0.47,0.9,-2.47,-1.57,45,119,0.76468,155,70,573,99,1,0,0,0,141259,314052,0,0,0,20201103,20200806,0,0,0,0.1,8.3,16.4,0.7,-1,4.4,20.4,18,90,80,-56,6,4,8,45,0,11584,1,1,0,1,0,1,1,0,0,5,3.8,2.5,-3.7,5.2,4.4,5.4,9,1.4,2.7,3.7,3.1,8,2.8,-3.3,0.9,3.4,2.2,1.2,-27.7,0.1,-21.8,-7.6,14.9,11.2,-0.7,-27.9,-6.4,11.4,19.6,60.4,-6.4,-46.2,85.8,19,0.5,-27.9,-46.9,55.1,20.3,-71.5,55.3,41.6,-73.4,-105.6,-18.4,62.2,47.5,996.7,4.2,-109.9,1241.7,38.1,-5.2,-40,170918,15357,16760,175200,15366,25998,168740,12018,31279,177437,11100,8899,185192,12757,13823,195193,14190,19575,41864,43517,43349,44370,45612,44106,44504,46028,47029,47615,3041,2253,3226,3228,3021,1625,3020,3595,3612,2606,10314,4849,3792,2634,2744,-271,3094,4272,4048,2430,0,0,0,47029,3612,4048,
A207940,삼성바이오로직스,제약 및 바이오,바이오,코스피,733000,484989,6617,0,0,0,4.9,15.1,2.9,-4.6,23.8,49.6,83.5,89.4,6.2,36.9,9.6,27.86,25.01,5.5,7.9,7.08,5.89,5.31,171.62,196.03,47.88,43.98,-29.87,1471.04,11.54,2.45,6.12,10.78,10.14,201.9,136.46,141.23,136.46,216.2,213.46,143.36,140.53,176.81,157.87,-0.15,122,181.97,36,36,13,0,0,0,0,0,0,0.02934,0.85443,15897,44432,15167,4957,28178,26223,60329,11028,3072,3554,3437,3740,2827,218,-2438,353,0,1825.99,1373.94,836.17,32.9,118.38,712000,768000,592000,490000,399500,843000,366000,1,1,0,1,87,100,0.09,0.05,0.14,0.26,0.05,0.3,0.13,-0.08,0.05,-0.06,-0.19,-0.25,0.03,-0.68,-0.65,93,440,1.73236,1363,77,1143,230,1,0,0,0,53790,948813,1,1,1,20201023,20201021,9.7,-8.7,-23.5,28.8,31,-3.5,1.3,-21.4,7.7,15.3,34.1,-4.8,80,37,3,8,7,70,283,2474,1,1,1,0,1,0,1,1,1,7,138.2,57.7,15.3,30.9,53.2,22.3,82.8,75.7,65.2,294,48.6,-8,136.6,69.5,-33.9,48.5,-10.8,5,401.6,317.1,-15.6,64.6,193.2,39.6,124.8,830.4,367.5,626.6,139.6,-36.1,253.2,353.4,-41.5,29.6,-30.3,21,214.8,45.1,331,-9.5,12,57.7,263.3,-33.6,195.3,488.1,27.2,-62.3,429.1,377.6,-82.6,41.7,7.8,41.6,2946,-304,-1768,4646,660,-970,5358,557,2241,7016,917,2029,10750,2689,2272,13143,3753,3584,1011,1783,1254,781,1848,3133,2072,3077,2746,2882,105,115,-234,-154,236,1070,626,811,565,684,-270,3173,-385,-134,441,2106,367,520,561,794,2746,565,561,2503,619,733,
A005490,POSCO,철강 및 비철강,제철,코스피,219000,190939,8719,970,11.1,0,-0.7,1.4,8.4,11.2,28.8,2.1,0.9,-30.8,6.19,8.1,6.3,3.58,4.01,3.6,2.12,4.36,1.21,2.5,2.67,4.76,0.32,0.33,0.08,8.63,1.19,0.32,0.5,0.43,0.41,13.8,17.83,20.82,20.06,10.25,13.6,9.45,4.44,7.73,9.1,16.9,153,206.65,73,78,52,43.66,4.57,16.44,4.8,1.62,4.57,0.02363,0.95172,345187,443309,377461,97435,94085,39907,788496,585716,20973,9519,59901,48670,71599,-68240,31436,31495,10000,697.24,816.16,835.99,-14.57,-16.6,202000,197000,170000,214500,217000,248500,138000,1,1,1,1,88,59,0.02,0,0.02,0.21,0.08,0.29,1.28,-0.44,0.84,2.66,-1.43,1.23,2.04,0.37,2.41,36,134,1.90428,175,77,630,230,1,0,0,0,124886,283102,0,0,1,20201026,20201023,-0.7,32.9,60,2.9,8.1,116.7,-0.1,20.1,33.9,23.4,-3,112.4,80,-37,4,0,4,52,64,40104,1,1,0,1,0,1,1,0,0,5,21.3,14.3,7.1,-0.9,-10.5,4.4,-2.6,-3.5,-9.2,-15.9,-10.8,-5.9,-2,0.3,-9.3,-5.7,3.9,5.9,36,62.5,19.9,-30.2,-40.4,47.7,-32.1,-56.1,-41.4,-84.3,-35.9,38.5,-2.7,-46.4,26.5,-76.2,297.6,15.8,34.6,104.7,-39.4,8.5,-23.5,51.9,-57.7,105.8,-46.7,-93.4,8,843.4,-29.6,-88.2,679.9,-89.8,1055.1,2.7,530835,28443,13633,606551,46218,27901,649778,55426,16906,643668,38689,18351,575805,23076,14044,601064,34090,21332,164107,166215,160142,163213,159882,160430,145458,137216,142612,150983,15311,12715,12029,10686,10398,5576,7053,1677,6667,7722,10195,-8674,7413,6123,4309,507,3954,403,4655,4783,142612,6667,4655,143671,5015,2909,
A015760,한국전력,유틸리티,전력,코스피,20300,130319,64196,0,0,0,-0.7,-1.2,0,3.6,-5.4,-20.2,-24.3,-47.3,1.57,5.3,8.8,0.8,5.93,5.1,-1.36,2.12,-0.46,0.73,1.25,-3.23,0.22,0.22,0.03,-2.69,0.59,0.18,0.35,0.19,0.19,6.9,-14.15,-14.15,-14.15,19.6,9.66,8.91,7.05,27.58,27.58,-859.84,56,86.64,192,196,110,0,0,-100,7.26,0,0,0.02303,0.68319,1322652,675391,202119,71214,129156,60863,1998043,590191,4725,-9210,119345,31377,103928,-141161,41831,144215,0,413.82,455.44,616.05,-9.14,-32.83,20300,19600,21450,25450,26800,29250,16250,1,0,0,0,69,25,-0.02,-0.08,-0.09,-0.26,-0.23,-0.48,0.05,-0.36,-0.31,0.55,-0.84,-0.29,-0.57,-4.78,-5.35,32,106,-2.40349,-122,75,1662,187,1,0,0,0,-16578,27184,0,0,0,20201026,20200813,0,0,0,3.6,275.9,132.9,1,-19.6,1.8,16.4,-2.6,258.9,40,0,4,-1,2,39,47,-40287,0,1,0,1,0,1,1,1,0,5,-1.7,-0.6,1.4,-2.4,-1.5,0.6,-3,-1.5,-1,0,-2.3,-2.3,21.7,-6.1,1,-13.4,18.9,-6.1,-110.6,-58.7,-104.2,-513.7,370.9,5,-11.2,-101.3,168.4,230.5,86.5,111.7,514.9,-228.1,127.1,-9.5,493,-92,-133.3,-81.6,-201.2,-78.4,157.5,10,-68.6,-67.3,102.9,137.1,483.6,90.2,149.8,-698.3,101.7,622.6,682.4,-110.1,601904,120016,70486,598149,49532,12987,606276,-2080,-13146,591729,-12765,-23455,583134,34584,13485,586903,36310,14840,164098,151746,152484,130710,159123,149412,150931,130725,155411,145905,13952,-7885,-6299,-2987,12393,-15872,4306,3898,23117,1860,7086,-7967,-7878,-4475,2228,-13330,230,1662,13003,-1313,0,0,0,155411,23117,13003,
A028260,삼성물산,지주사,지주사,코스피,114000,213051,18689,2342,12.5,-1.5,1.3,0.9,9.6,7,14,3.2,9.6,-21.1,8.92,12.7,2.1,3.11,2.92,6.8,4.97,5.23,2.69,2.87,12.09,14.17,0.72,0.72,1.76,17.47,4.79,0.76,1.19,0.93,0.9,18.3,16.43,19.51,18.78,18.36,19.14,17.12,14.21,23.01,23.03,-30.19,95,110.38,78,87,17,31.42,1.75,206.31,1.9,0,1.75,0.02733,1.12843,196008,225541,131680,18861,259591,38067,421549,297317,9253,11347,14993,37482,17628,2902,-7393,2588,2000,934.21,925.38,1246.27,0.95,-25.04,104000,106500,100000,110500,104000,126500,74500,1,1,1,1,90,53,0.04,0.08,0.12,-0.07,0.15,0.08,0.01,-0.2,-0.19,-0.14,-0.66,-0.8,-0.7,-0.37,-1.07,19,122,0.48007,199,77,683,230,1,1,0,0,57363,148746,0,0,1,20201104,20201027,3.3,-11.7,1.4,-0.1,4,-15.1,2.3,8.3,-0.6,3.1,2.1,9.7,40,-22,0,2,5,58,27,15040,1,1,0,1,1,1,1,1,0,7,9.5,4.2,6.4,-1.3,-2.4,3.4,-0.6,-3.4,-5.4,-9.4,1.5,3.2,-3,-0.5,-9.6,3.8,8.7,1.2,521.4,531.8,25.3,-21.5,1.2,30,-21,33.7,39.7,7.9,-0.4,-13,-2,50.1,-54.7,62,-9.5,31,877.7,495.7,167.7,-38.7,6,13.9,-12.2,-49.9,29.3,-14.2,17.3,-25,12.5,34.9,-3.4,-41.5,53.8,-13.7,281027,1395,1074,292790,8813,6398,311556,11039,17128,307615,8668,10501,300166,8772,11130,310424,11402,12682,77805,79711,73571,79720,77346,76979,69601,72234,78503,79459,2738,2428,1052,2207,2163,3247,1470,2381,2155,2824,2816,6660,2493,2198,2473,3337,3224,1886,2900,2502,78503,2155,2900,75999,2441,2861,
