코드 번호,회사명,업종 (대),업종 (소),코스피코스닥,주가 (원),시가총액 (억),상장주식수 (만주),자사주 (만주),자사주 비중 (%),주식수 증가율 (%),1일 등락률 (%),5일 등락률 (%),1개월 등락률 (%),3개월 등락률 (%),6개월 등락률 (%),9개월 등락률 (%),1년 등락률 (%),3년 등락률 (%),과거 GP/A (%),과거 GPM (%),분기 GPM (%),5년평균 OPM,발표 OPM (%),발표 분기 OPM (%),올해 OPM (%),발표 NPM (%),발표 분기 NPM (%),5년평균 ROE,발표 ROE (%),1년후 ROE (%),과거 ROA (%),1년후 ROA (%),과거 PCR,과거 PFCR,과거 PSR,발표 PSR,1년후PEG,PER  곱하기PBR,고점 PBR,저점 PBR,5년평균 PBR,발표 PBR,1년후 PBR,5년평균 PER,자사주반영 PER,과거 PER,발표 PER,발표 분기 PER,올해 PER,1년후 PER,과거 EV/EBITDA (%),과거 POR,발표 POR,청산가치비율 (NCAV전략) (%),당좌 비율 (%),유동 비율 (%),단순 부채비율 (%),보수적 부채비율 (%),차입금 비율 (%),배당 성향 (%),시가 배당률 (%),DPS  성장률 (%),시가 배당률 고점,시가 배당률 저점,국채시가 배당률,주가 변동성,베타 (52주),부채 (억),자본 (억),유동자산 (억),재고자산 (억),투자자산 (억),지분투자 (억),총자산 (억),매출액 (억),영업이익 (억),순이익(지배) (억),EBITDA (억),매출총이익 (억),영업활동현금흐름 (억),투자활동현금흐름 (억),재무활동현금흐름 (억),설비투자 (억),DPS (원),거래대금 (당일 억),거래대금 (5일평균 억),거래대금 (20일평균 억),거래대금 증가율(5일대비),거래대금 증가율(20일대비),1개월전 주가,3개월전 주가,6개월전 주가,9개월전 주가,1년전 주가,52주 신고가,52주 신저가,주가>5이평,주가>20이평,주가>60이평,주가>120이평,신고가율 (%),신저가율 (%),당일 기관(%),당일 외인(%),당일 수급(%),주간 기관(%),주간 외인(%),주간 수급(%),1개월 기관(%),1개월 외인(%),1개월 수급(%),3개월 기관(%),3개월 외인(%),3개월 수급(%),6개월 기관(%),6개월 외인(%),6개월 수급(%),고점대비 PBR괴리율,저점대비 PBR괴리율,이익의 변동성,예상가 괴리율 (%),목표가  괴리율 (%),예상가 매력등수,목표가 매력등수,본사 국내 =1,지주사 =1,금융 =1,스팩 =1,관리 종목 =1,예상 주가 (원),목표 주가 (원),20년 2Q 호실적 100기업,20년3Q 호실적예상 100기업,3Q 발표 =1,마지막 리포트일,실적 발표일,20/3Q 매출액 컨센대비,20/3Q 영업이익 컨센대비,20/3Q 순이익 컨센대비,20/2Q 매출액 컨센대비,20/2Q 영업이익 컨센대비,20/2Q 순이익 컨센대비,1주일 어닝스,1달 어닝스,3개월  어닝스,6개월  어닝스,9개월  어닝스,12개월  어닝스,어닝스 점수,발표OPM증가율(최근분기),발표NPM증가율(최근분기),발표ROE증가율 (최근분기),자산증가율 (최근분기),발표자본증가율 (최근분기),자본증가율 (1년후),매출채권 회수기간,재고자산 회수기간,단순 FCFF (잉여현금흐름),F스코어 지배주주순익>0 여부,F스코어 영업활동현금흐름>0 여부,F스코어 ROA증가 여부,F스코어 영현>순익 여부,F스코어 부채비율감소 여부,F스코어 유동비율증가 여부,F스코어 신주발행X 여부,F스코어 매출총이익률증가 여부,F스코어 총자산회전율증가 여부,F스코어 점수 (9점만점),매출액 16년->19년 3년간 YOY,매출액 연환산 YOY,매출액 17년 YOY,매출액 18년 YOY,매출액 19년 YOY,매출액 20년(E)  YOY,매출액 21년(E)  YOY,매출액 19년3Q YOY,매출액 19년4Q YOY,매출액 20년1Q YOY,매출액 20년2Q YOY,매출액 20년3Q(E) YOY,매출액 20년4Q(E) YOY,매출액 19년3Q QOQ,매출액 19년4Q QOQ,매출액 20년1Q QOQ,매출액 20년2Q QOQ,매출액 20년3Q(E) QOQ,매출액 20년4Q(E) QOQ,영업이익 16년->19년 3년간 YOY,영업이익 연환산 YOY,영업이익 17년 YOY,영업이익 18년 YOY,영업이익 19년 YOY,영업이익 20년(E)  YOY,영업이익 21년(E)  YOY,영업이익 19년3Q YOY,영업이익 19년4Q YOY,영업이익 20년1Q YOY,영업이익 20년2Q YOY,영업이익 20년3Q(E) YOY,영업이익 20년4Q(E) YOY,영업이익 19년3Q QOQ,영업이익 19년4Q QOQ,영업이익 20년1Q QOQ,영업이익 20년2Q QOQ,영업이익 20년3Q(E) QOQ,영업이익 20년4Q(E) QOQ,순이익 16년->19년 3년간 YOY,순이익 연환산 YOY,순이익 17년 YOY,순이익 18년 YOY,순이익 19년 YOY,순이익 20년(E)  YOY,순이익 21년(E)  YOY,순이익 19년3Q YOY,순이익 19년4Q YOY,순이익 20년1Q YOY,순이익 20년2Q YOY,순이익 20년3Q(E) YOY,순이익 20년4Q(E) YOY,순이익 19년3Q QOQ,순이익 19년4Q QOQ,순이익 20년1Q QOQ,순이익 20년2Q QOQ,순이익 20년3Q(E) QOQ,순이익 20년4Q(E) QOQ,16년 매출액,16년 영업이익,16년 순이익,17년 매출액,17년 영업이익,17년 순이익,18년 매출액,18년 영업이익,18년 순이익,19년 매출액,19년 영업이익,19년 순이익,20년(E) 매출액,20년(E) 영업이익,20년(E) 순이익,21년(E) 매출액,21년(E) 영업이익,21년(E) 순이익,매출액 18년 3Q,매출액 18년 4Q,매출액 19년 1Q,매출액 19년 2Q,매출액 19년 3Q,매출액 19년 4Q,매출액 20년 1Q,매출액 20년 2Q,매출액 20년 3Q(E),매출액 20년 4Q(E),영업이익 18년 3Q,영업이익 18년 4Q,영업이익 19년 1Q,영업이익 19년 2Q,영업이익 19년 3Q,영업이익 19년 4Q,영업이익 20년 1Q,영업이익 20년 2Q,영업이익 20년 3Q(E),영업이익 20년 4Q(E),순이익 18년 3Q,순이익 18년 4Q,순이익 19년 1Q,순이익 19년 2Q,순이익 19년 3Q,순이익 19년 4Q,순이익 20년 1Q,순이익 20년 2Q,순이익 20년 3Q(E),순이익 20년 4Q(E),발표치 20년3Q  매출액,발표치 20년3Q  영업이익,발표치 20년3Q  순이익,컨센서스 20년3Q  매출액,컨센서스 20년3Q  영업이익,컨센서스 20년3Q  순이익,
A005930,삼성전자,반도체 관련장비 및 부품,종합 반도체,코스피,66700,3981845,596978,0,0,0,-2.2,-1.2,17.8,22.6,20.2,21.3,32.3,29.9,24.27,36.9,39.76,17.2,14.51,18.45,15.55,10.58,13.84,13.8,9.18,10.81,7.11,8.32,6.62,14.51,1.73,1.69,0.45,23.53,1.91,0.96,1.27,1.47,1.36,9.1,16.01,18.34,16.01,10.74,14.77,12.55,5.03,13.48,11.67,24.61,253,300.88,33,34,6,44.73,2.12,160.75,3.66,0.58,2.12,0.02073,1.0017,881517,2617454,1861368,296455,279198,76939,3498971,2351402,341071,248734,599671,849182,601718,-423603,-94411,327210,1416,26853.4,18605.3,15131.5,44.33,77.47,56600,54400,55500,55000,50400,68200,42500,0,1,1,1,98,57,0.02,-0.21,-0.2,-0.09,-0.21,-0.31,-0.05,0.36,0.31,-0.34,0.61,0.27,-0.98,1.13,0.15,77,153,0.41932,143,84,501,342,1,0,0,0,0,46591,79215,0,0,1,20201130,20201008,4.4,15.6,9.7,3.7,23.1,8.2,-7.1,-4.2,5.9,9.9,-1.6,27.6,60,6.1,-1.2,-4.5,4.4,5.9,12.1,52,74,274508,1,1,0,1,0,1,1,0,0,5,14.1,2.3,18.7,1.8,-5.5,3.6,7.8,-5.3,1,5.6,-5.6,8,4.9,10.5,-3.4,-7.6,-4.3,26.4,-6.2,-5,8.6,83.5,9.8,-52.8,33.6,16.4,-55.7,-33.7,3.4,23.5,58.8,40.2,17.9,-7.9,-10,26.4,51.6,-18.7,-4.1,1.1,84.4,6.2,-51,25.4,19.3,-52.9,-37.2,-4.3,8.4,51.8,39.7,20.5,-14.4,-6.5,12.3,68.8,-21.2,2018667,292407,224157,2395754,536450,413446,2437714,588867,438909,2304009,277685,215051,2386217,371014,269600,2573389,431994,321629,654600,592651,523855,561271,620035,598848,553252,529661,669642,627953,175749,108006,62333,65971,77779,71603,64473,81463,123532,100378,129674,83301,51075,50645,61050,52280,48896,54890,92668,73054,669642,123532,92668,641656,106834,84508,
A000660,SK하이닉스,반도체 관련장비 및 부품,종합 반도체,코스피,97500,709802,72800,4400,6,0,-1.3,-2.5,22,29.1,7.9,5.9,21.1,23.3,13.03,30.5,38.86,31.3,13.88,15.99,15.63,9.3,13.25,20.2,5.69,10.54,4.15,7.76,6.59,183.55,2.4,2.3,0.12,34.87,2.37,0.94,1.33,1.41,1.29,6.5,23.25,31.05,24.73,16.47,19.37,12.19,6.33,20.54,16.57,-3.51,120,180.95,40,40,28,33.97,1.03,102.99,2.24,0,1.03,0.02533,1.08697,198564,493829,173628,58141,77566,10419,692393,308613,42827,28701,125768,90047,107667,-107617,27998,103800,1000,3744.75,3267.74,3385.15,14.6,10.62,79900,75500,90400,92100,80500,105000,69000,0,1,1,1,93,41,0.03,-0.09,-0.06,-0.11,-0.09,-0.19,0.09,1.34,1.43,0.7,2.64,3.34,-1.21,1.53,0.32,59,150,1.10558,218,85,707,361,1,0,0,0,0,44678,114769,0,0,1,20201130,20201104,4.7,3.5,6.3,2,6.8,-6,0.8,4.9,10.2,0.3,-7.5,102.8,60,-39.7,-49.5,-50.4,9.9,4.7,11.8,69,103,3867,1,1,0,1,0,0,1,0,0,4,56.9,2.9,75.1,34.3,-33.3,16.4,14.1,-40.1,-30.3,6.3,33.4,18.9,8.5,6,1.3,3.9,19.6,-5.6,-7.5,-17.2,-38,318.8,51.9,-87,81.1,62.7,-92.7,-94.7,-41.4,205.3,175,265,-25.9,-50.1,239.1,143.2,-33.2,-33.7,-31.8,-48.1,260.3,46,-87,82,64.2,-89.5,-103.5,-41.2,135.8,118.4,711.6,-7.9,-124,648.4,94.8,-14.7,-32.9,171980,32767,29538,301094,137213,106415,404451,208438,155401,269907,27127,20133,314298,49119,36636,358498,79937,60144,114168,99381,67727,64522,68388,69271,71989,86065,81288,75174,64724,44301,13665,6376,4726,2360,8003,19467,12997,8615,46936,33963,11028,5355,4932,-1182,6482,12629,10773,7229,81288,12997,10773,77607,12553,10133,
A068270,셀트리온,제약 및 바이오,바이오,코스피,340000,458993,13500,121,0.9,0.5,1.8,13,41.1,13.1,32.6,94.3,102.8,76.6,18.43,53,55.9,40.2,38.17,44.7,40.88,29.35,31.1,11.2,15.78,19.4,12.01,14.78,110.37,146.04,31.15,26.48,1.41,1284.88,15.48,3.38,9.05,14.24,12.12,82.7,89.42,114.9,90.23,67.23,77.14,62.47,66.28,88.37,69.39,2.17,221,263.97,37,39,17,2.14,0.01,-25.16,0.72,0.01,0.01,0.03314,0.81206,11843,30524,21821,3571,1587,422,42367,17331,6615,5087,6896,7807,4158,-1466,-87,1015,48,10448.6,12540.9,5370.19,-16.68,94.57,241000,300500,256500,175000,167628,340000,140000,1,1,1,1,100,143,0.04,-0.07,-0.04,-0.14,0.21,0.07,-0.13,0.29,0.16,-0.65,-0.45,-1.1,-1.42,0.05,-1.37,92,421,0.38625,823,92,1073,425,1,0,0,0,0,41300,370911,0,0,1,20201127,20201109,17,29.5,15.4,5.6,9.1,-1.2,1.1,7.2,8.3,28.5,36.2,44.4,120,22.5,17.6,72.5,18.5,19.6,24.1,260,188,3143,1,1,1,1,0,0,0,0,1,5,68.3,75.4,41.5,3.5,14.9,66.1,23.6,25.1,57.8,68.2,82.5,89.9,37.6,23,32.4,-2.6,15,28,-4.1,51.4,114.9,103.4,-33.3,11.6,102.6,24.3,40.1,159.5,55.4,118.1,137.8,116,23.7,10.7,5.3,51.2,34.9,0.6,67.2,106.3,114.9,-31.6,13.7,99.9,25.6,9.4,116.1,64.2,78.9,177.8,90.4,-20.4,54.6,10.5,31.6,23.6,6,6706,2497,1780,9491,5078,3825,9821,3387,2618,11285,3781,2976,18740,7660,5950,23168,9518,7473,2311,2426,2217,2350,2891,3827,3728,4288,5488,5265,736,440,774,834,1031,1142,1202,1818,2453,2467,562,440,639,772,614,950,1049,1381,1707,1809,5488,2453,1707,4690,1894,1479,
A051910,LG화학,화학,종합 화학,코스피,800000,564739,7059,165,2.3,0,-1.2,7,30.9,7.8,84.3,112.2,158.9,90.5,13.75,17.9,21.82,8.2,5.79,12.02,8.54,2.8,6.82,8,4.69,11.28,2.2,5.48,14.67,-23.57,1.93,1.89,0.16,212.98,3.8,0.99,1.48,3.16,2.88,18.9,65.85,124.36,67.4,27.56,38.6,25.57,19.93,48.03,32.66,-10.2,93,136.43,116,119,67,49.02,0.25,-56.41,2.49,0.58,0.25,0.03594,1.36207,207339,173673,149755,47529,15842,2738,381012,298842,17291,8379,32589,52353,38496,-53244,21909,62456,2000,5004.54,5123.13,3961.04,-2.31,26.34,611000,742000,434000,377000,309000,816000,230000,0,1,1,1,98,248,0,-0.05,-0.04,-0.16,0.65,0.49,-0.17,2.49,2.32,-1.71,4.67,2.96,-1.99,3.92,1.93,83,319,1.05581,599,83,1031,325,1,0,0,0,0,133567,966534,0,0,1,20201130,20201012,-7.6,23.1,1.1,-4.4,33,33.6,-5.5,13.5,44.6,128.7,144.1,163.6,100,37.2,51.4,57.3,18.4,4.3,12.7,61,72,-23960,1,1,0,1,0,0,1,1,0,5,38.6,8.1,24.4,9.7,1.6,4.4,28.1,-4.6,13.4,7.5,2.3,8.8,4.5,1.8,20.7,-14.5,-2.5,8.2,15.8,-55,48.3,47,-23.3,-60.1,185.1,42.2,-42.1,-93.5,-15.9,131.5,158.7,4494.2,41.2,-94.6,1151,141.8,57.8,-3.7,-75.5,63.9,51.8,-24.3,-78.7,366.8,55.5,-62.6,-164.7,-89.2,461.4,298.5,803.1,88.8,-160.5,127.1,1713.8,34,6.7,206593,19919,12811,256980,29285,19453,281830,22461,14726,286250,8956,3134,298975,25531,14629,382860,36296,22755,72349,73427,66217,67784,68989,83260,71157,69352,75073,86969,6024,2896,2810,2470,3488,189,2365,5716,9021,8684,3434,1201,1945,681,1286,-778,211,3823,5123,5468,75073,9021,5123,81235,7329,5066,
A005380,현대차,자동차 및 관련부품,완성차,코스피,181500,387808,21367,1356,6.3,0,0.3,1.4,10.3,3.1,63.5,59.9,49.4,13.1,8.77,16.8,16.98,4.5,2.25,-1.14,2.8,1.13,-1.22,5.9,1.67,7.09,0.59,2.65,-61,-8.37,0.38,0.38,0.02,18.74,1.55,0.26,0.44,0.56,0.52,7.6,31.35,20.18,33.46,-28.85,20.19,7.29,14.42,12.94,16.83,-198.35,68,90.08,165,181,119,35.35,2.2,30.9,3.38,0.89,2.2,0.03064,1.27123,1257564,696544,488339,122185,491748,196343,1954108,1025784,23047,11590,70063,170964,-6358,-64888,86190,39974,4000,7303.04,3590.15,3607.95,103.42,102.42,164500,176000,111000,113500,121500,187000,65900,1,1,1,1,97,175,0.11,-0.09,0.03,0.02,0.04,0.05,0,0.06,0.06,-1.57,-0.84,-2.41,-1.45,-2.63,-4.08,36,215,0.75426,288,78,826,209,1,0,0,0,0,63017,233468,0,0,1,20201130,20201026,1,-215,-247.3,9.7,119.7,13.1,7.4,14,30.8,85.5,17.6,358.8,120,-21.1,-42.9,-42.9,7.2,-0.9,7.6,14,53,-46332,1,0,0,0,0,0,1,1,0,3,12.9,-0.6,2.9,0.5,9.2,-1.8,11.7,10.4,10.3,5.6,-18.9,2.3,4.1,0,3.2,-9,-13.7,26.2,5.1,-30.6,-21.7,-11.9,-47.1,48.9,-19.4,140.8,31,132.4,4.7,-52.3,-182.9,47.6,-69.4,207.6,-25.8,-31.7,-153.2,647.6,-44.9,-43.3,-25.4,-62.6,97.6,-35.6,192.7,58.6,719.8,-44.1,-75.3,-178.7,87.1,-53.6,88.4,-42.4,-50.9,-247.8,547.9,936490,51935,54064,963761,45747,40328,968126,24222,15081,1057464,36055,29800,1038141,29073,19205,1159814,70004,56218,244337,252305,239871,269664,269689,278241,253194,218590,275758,289756,2889,5011,8249,12377,3785,11644,8638,5903,-3138,17185,2692,-1298,8295,9193,4269,8044,4633,2274,-3361,15052,275758,-3138,-3361,272949,2730,2282,
A017670,SK텔레콤,통신,통신서비스,코스피,237500,191771,8075,910,11.3,0,1.1,2.8,11,-2.1,6.3,14.2,-1.9,-11.9,39.67,100,100,8.2,6.52,7.64,6.91,6.03,8.18,10.6,4.59,7.17,2.41,3.84,3.94,16.55,1.06,1.05,0.16,13.99,1.67,0.63,1.04,0.8,0.76,9.8,15.51,19.49,17.49,12.39,13.85,10.57,5.47,17.03,16.18,-71.33,108,111.11,91,93,50,82.04,4.21,3.09,6.64,3.71,4.21,0.01742,0.59536,219404,234967,82613,2043,170702,138744,454371,181946,11855,10965,52087,180250,48710,-45523,-2805,37126,10000,1202.82,898.72,805.22,33.84,49.38,214000,242500,223500,208000,242000,248500,165500,1,1,1,1,96,44,0.03,-0.08,-0.05,-0.06,-0.1,-0.15,-0.19,-0.41,-0.6,0.38,-1.61,-1.23,0.49,-2.22,-1.73,48,127,0.76463,154,75,534,160,1,0,0,0,0,154601,316563,0,0,1,20201130,20201105,0.6,0.1,-4.4,0.1,8.2,16.4,-2.7,-2.6,-2.4,10.8,20.1,65.4,60,-1.7,-24,-25.3,6.4,4.7,7.7,45,0,11584,1,1,0,1,0,1,1,0,0,5,3.8,2.9,2.5,-3.7,5.2,4.7,5.4,9,1.4,2.7,3.7,3.7,8.3,2.8,-3.3,0.9,3.4,2.8,1,-27.7,1.1,0.1,-21.8,-7.6,15.7,13,-0.7,-27.9,-6.4,11.4,19.7,60.4,-6.4,-46.2,85.9,19,0.6,-27.9,-46.9,-21.8,55.1,20.3,-71.5,55.6,33.8,-73.4,-105.6,-18.4,62.2,41,1059.4,4.2,-109.9,1243.6,38.1,-9.4,-32.9,170918,15357,16760,175200,15366,25998,168740,12018,31279,177437,11100,8899,185749,12840,13843,195696,14506,18521,41864,43517,43349,44370,45612,44106,44504,46028,47308,47788,3041,2253,3226,3228,3021,1625,3020,3595,3615,2606,10314,4849,3792,2634,2744,-271,3094,4272,3869,2596,47308,3615,3869,47029,3612,4048,
A207940,삼성바이오로직스,제약 및 바이오,바이오,코스피,786000,520057,6617,0,0,0,-1.6,-2.2,15.2,2.1,18.2,68.3,101.5,119.2,6.2,36.9,34.47,9.6,27.86,20.59,24.86,32.23,20.42,5.5,7.9,7.01,5.89,5.26,184.03,300.96,51.34,47.16,-26.79,1691.57,11.56,2.45,6.12,11.56,10.88,201.8,146.33,151.43,146.33,231.83,246.59,155.38,125.96,189.63,169.29,-0.14,122,181.97,36,36,13,0,0,0,0,0,0,0.02964,0.85137,15897,44432,15167,4957,28178,26223,60329,11028,3072,3554,4113,3740,2827,218,-2438,1099,0,1232.44,1093.68,1350.99,12.69,-8.78,682000,770000,665000,467000,390000,843000,366000,0,1,1,1,93,115,0.01,-0.06,-0.05,-0.02,-0.05,-0.07,0.24,0.11,0.35,-0.04,-0.05,-0.09,0.13,-0.65,-0.52,100,472,1.73201,1463,81,1142,285,1,0,0,0,0,53740,975129,1,0,1,20201116,20201021,9.7,-8.7,-23.5,28.8,31,-3.5,5.6,-0.4,17.6,9.8,24.9,-5.8,80,4321.2,-41,5.8,3.5,8.5,7.5,70,283,1728,1,1,1,0,1,0,1,1,1,7,138.2,94.7,57.7,15.3,30.9,54.6,21.6,82.9,75.8,65.3,294.1,48.6,-5.8,136.7,69.5,-33.9,48.5,-10.8,7.4,401.6,8367,317.1,-15.6,64.6,194,39.5,125.6,830.1,367.5,625.6,139.5,-35.1,253,353,-41.5,29.6,-30.3,22.8,214.8,14.8,45.1,331,-9.5,3.9,64,263.6,-33.6,195.3,487.9,27,-70.7,429.2,377.1,-82.6,41.9,7.8,10.2,2946,-304,-1768,4646,660,-970,5358,557,2241,7016,917,2029,10846,2696,2109,13193,3760,3458,1011,1783,1254,781,1848,3133,2072,3077,2746,2950,105,115,-234,-154,236,1070,626,811,565,694,-270,3173,-385,-134,441,2106,367,520,561,618,2746,565,561,2503,619,733,
A005490,POSCO,철강 및 비철강,제철,코스피,234000,204017,8719,1051,12.1,0,-2.3,-3.9,12.5,24.5,16.7,22.2,0.9,-30.7,6.19,8.1,5.35,6.3,3.58,4.67,4.05,1.63,3.26,3.6,2.12,4.81,1.21,2.76,2.85,5.09,0.34,0.35,0.07,9.86,1.19,0.32,0.5,0.46,0.44,13.8,18.84,22.24,21.43,10.96,14.64,9.11,4.65,8.26,9.73,15.82,153,206.65,73,78,52,43.66,4.27,16.44,4.8,1.62,4.27,0.02373,0.95792,345187,443309,377461,97435,94085,39907,788496,585716,20973,9518,59901,48670,71599,-68240,31436,31495,10000,1479.33,960.2,837.98,54.06,76.54,208000,188000,200500,191500,232000,248500,138000,0,0,1,1,94,70,0.09,-0.17,-0.08,0.09,-0.26,-0.17,0.62,0.02,0.64,2.8,-1.11,1.69,1.95,0.03,1.98,39,144,1.90445,188,76,642,181,1,0,0,0,0,124771,306790,0,0,1,20201127,20201023,-0.7,32.9,60,2.9,8.1,116.6,7.7,11.1,68.1,29.1,1.9,135.4,100,-49.3,15.6,3.8,4.3,-0.2,5.1,52,64,40104,1,1,0,1,0,1,1,0,0,5,21.3,-9.8,14.3,7.1,-0.9,-10.2,5.3,-2.6,-3.5,-9.2,-15.9,-10.8,-5.4,-2,0.3,-9.3,-5.7,3.9,6.4,36,-54.2,62.5,19.9,-30.2,-39.6,59,-32.1,-56.1,-41.4,-84.3,-35.9,43,-2.7,-46.4,26.5,-76.2,297.5,19.6,34.6,3.8,104.7,-39.4,8.5,-24,66.2,-57.7,105.8,-46.7,-93.4,8,879.4,-29.6,-88.2,680.3,-89.8,1055.5,6.6,530835,28443,13633,606551,46218,27901,649778,55426,16906,643668,38689,18351,577695,23368,13938,608217,37156,23162,164107,166215,160142,163213,159882,160430,145458,137216,142612,151694,15311,12715,12029,10686,10398,5576,7053,1677,6667,7972,10195,-8674,7413,6123,4309,507,3954,403,4655,4963,142612,6667,4655,143672,5015,2909,
A015760,한국전력,유틸리티,전력,코스피,21450,137701,64196,0,0,0,-2.1,-0.5,7.5,1.4,-3.8,2.4,-24.1,-43.3,1.57,5.3,8.44,8.8,2.66,14.84,6.19,0.16,7.87,5.1,0.13,2.34,0.05,0.8,1.32,-3.42,0.23,0.23,0.01,29.74,0.59,0.18,0.35,0.2,0.2,6.9,148.71,-14.95,148.71,2.78,9.01,8.49,7.12,29.15,8.8,-813.74,56,86.64,192,196,110,0,0,-100,7.26,0,0,0.02303,0.6941,1322652,675391,202119,71214,129156,60863,1998043,588183,15653,926,119345,31377,103928,-141161,41831,144215,0,993.27,1459.73,945.35,-31.96,5.07,19950,21150,22300,20950,28250,29250,16250,0,1,1,1,73,32,-0.03,-0.22,-0.25,0.04,-0.15,-0.12,0.25,-0.6,-0.35,0.06,-1.14,-1.08,0,-4.22,-4.22,34,111,-2.40342,1355,79,1132,234,1,0,0,0,0,1583,27156,0,0,1,20201124,20201112,0.6,0.1,2.6,3.6,275.9,132.9,0.2,11.3,-4.7,36.1,5.7,1650.9,60,432.5,105.2,104.9,4.4,0.2,2.4,39,47,-40287,0,1,0,1,0,1,1,1,0,5,-1.7,-1,-0.6,1.4,-2.4,-0.9,0.7,-3,-1.5,-1,0,-1.3,-1.5,21.7,-6.1,1,-13.4,20.2,-6.3,-110.6,427.6,-58.7,-104.2,-513.7,384,8.9,-11.2,-101.3,168.4,230.5,88.2,132.3,514.9,-228.1,127.1,-9.5,498.3,-78,-133.3,105.1,-81.6,-201.2,-78.4,165.2,6.6,-68.6,-67.3,102.9,137.1,454.9,111.5,149.8,-698.3,101.7,623.3,643.8,-87.6,601904,120016,70486,598149,49532,12987,606276,-2080,-13146,591729,-12765,-23455,586157,36257,15281,590538,39481,16296,164098,151746,152484,130710,159123,149412,150931,130725,157114,147159,13952,-7885,-6299,-2987,12393,-15872,4306,3898,23322,5125,7086,-7967,-7878,-4475,2228,-13330,230,1662,12363,1538,157114,23322,12363,156164,23293,12047,
A028260,삼성물산,지주사,지주사,코스피,120500,225199,18689,2342,12.5,-1.5,-1.6,-1.6,9,11.1,7.6,13.1,19.9,-11.1,8.92,12.7,10.99,2.1,3.11,2.75,2.92,3.82,3.69,6.7,4.97,4.91,2.69,2.69,12.78,14.97,0.76,0.76,7.74,19.65,4.79,0.76,1.19,0.99,0.95,18.3,17.37,20.62,19.85,19.41,22.3,19.36,15.02,24.32,24.34,-28.56,95,110.38,78,87,17,31.42,1.66,206.31,1.9,0,1.66,0.02763,1.12792,196008,225541,131680,18861,259591,38067,421549,297316,9253,11347,14993,37482,17628,2902,-7393,2588,2000,1051.4,815.82,787.58,28.88,33.5,110500,108500,112000,106500,100500,126500,74500,0,1,1,1,95,62,0.02,-0.12,-0.1,-0.05,0,-0.05,-0.03,0.41,0.38,-0.46,-0.14,-0.6,-0.9,0.03,-0.87,21,130,0.4801,210,78,695,209,1,1,0,0,0,57310,154359,0,0,1,20201117,20201027,3.3,-11.7,1.4,-0.1,4,-15.1,-7,-6,3.8,3.9,-2.1,2.5,20,22.9,-14.2,-19.7,0.6,2.2,5.2,58,27,15040,1,1,0,1,1,1,1,1,0,7,9.5,-4.2,4.2,6.4,-1.3,-2.8,6,-0.6,-3.4,-5.4,-9.4,1.5,-0.7,-3,-0.5,-9.6,3.8,8.7,-2.6,521.4,17.9,531.8,25.3,-21.5,0.8,31,-21,33.7,39.8,7.9,-0.4,-38.9,-2,50.1,-54.7,61.9,-9.5,-8,877.7,-17.9,495.7,167.7,-38.7,-3.8,16.6,-12.2,-49.9,29.3,-14.2,17.3,-24.8,12.5,34.9,-3.4,-41.5,53.8,-13.5,281027,1395,1074,292790,8813,6398,311556,11039,17128,307615,8668,10501,298934,8741,10097,316762,11448,11773,77805,79711,73571,79720,77346,76979,69601,72234,78503,76465,2738,2428,1052,2207,2163,3247,1470,2381,2155,1983,2816,6660,2493,2198,2473,3337,3224,1886,2900,2509,78503,2155,2900,75999,2441,2861,
