코드 번호,회사명,업종 (대),업종 (소),코스피 코스닥,주가 (원),시가총액 (억),상장주식수 (만주),자사주 (만주),자사주 비중 (%),주식수 증가율 (%),1일 등락률 (%),5일 등락률 (%),1개월 등락률 (%),3개월 등락률 (%),6개월 등락률 (%),9개월 등락률 (%),1년 등락률 (%),3년 등락률 (%),과거 GP/A (%),과거 GPM (%),분기 GPM (%),5년평균 OPM,발표 OPM (%),발표 분기 OPM (%),올해 OPM (%),발표 NPM (%),발표 분기 NPM (%),5년평균 ROE,발표 ROE (%),1년후 ROE (%),과거 ROA (%),1년후 ROA (%),과거 PCR,과거 PFCR,과거 PSR,발표 PSR,1년후PEG,PER  곱하기PBR,고점 PBR,저점 PBR,5년평균 PBR,발표 PBR,1년후 PBR,5년평균 PER,자사주반영 PER,과거 PER,발표 PER,발표 분기 PER,올해 PER,1년후 PER,과거 EV/EBITDA (%),과거 POR,발표 POR,청산가치비율 (NCAV전략) (%),당좌 비율 (%),유동 비율 (%),단순 부채비율 (%),보수적 부채비율 (%),차입금 비율 (%),배당 성향 (%),시가 배당률 (%),DPS  성장률 (%),시가 배당률 고점,시가 배당률 저점,국채시가 배당률,주가 변동성,베타 (52주),부채 (억),자본 (억),유동자산 (억),재고자산 (억),투자자산 (억),지분투자 (억),총자산 (억),매출액 (억),영업이익 (억),순이익(지배) (억),EBITDA (억),매출총이익 (억),영업활동현금흐름 (억),투자활동현금흐름 (억),재무활동현금흐름 (억),설비투자 (억),DPS (원),거래대금 (당일 억),거래대금 (5일평균 억),거래대금 (20일평균 억),거래대금 증가율(5일대비),거래대금 증가율(20일대비),1개월전 주가,3개월전 주가,6개월전 주가,9개월전 주가,1년전 주가,52주 신고가,52주 신저가,주가>5이평,주가>20이평,주가>60이평,주가>120이평,신고가율 (%),신저가율 (%),당일 기관(%),당일 외인(%),당일 수급(%),주간 기관(%),주간 외인(%),주간 수급(%),1개월 기관(%),1개월 외인(%),1개월 수급(%),3개월 기관(%),3개월 외인(%),3개월 수급(%),6개월 기관(%),6개월 외인(%),6개월 수급(%),고점대비 PBR괴리율,저점대비 PBR괴리율,이익의 변동성,예상가 괴리율 (%),목표가  괴리율 (%),예상가 매력등수,목표가 매력등수,본사 국내 =1,지주사 =1,금융 =1,스팩 =1,관리 종목 =1,예상 주가 (원),목표 주가 (원),20년 3Q 호실적 100기업,20년4Q 호실적예상 100기업,4Q 발표 =1,마지막 리포트일,실적 발표일,20/4Q 매출액 컨센대비,20/4Q 영업이익 컨센대비,20/4Q 순이익 컨센대비,20/3Q 매출액 컨센대비,20/3Q 영업이익 컨센대비,20/3Q 순이익 컨센대비,1주일 어닝스,1달 어닝스,3개월  어닝스,6개월  어닝스,9개월  어닝스,12개월  어닝스,어닝스 점수,발표OPM증가율(최근분기),발표NPM증가율(최근분기),발표ROE증가율 (최근분기),자산증가율 (최근분기),발표자본증가율 (최근분기),자본증가율 (1년후),매출채권 회수기간,재고자산 회수기간,단순 FCFF (잉여현금흐름),F스코어 지배주주순익>0 여부,F스코어 영업활동현금흐름>0 여부,F스코어 ROA증가 여부,F스코어 영현>순익 여부,F스코어 부채비율감소 여부,F스코어 유동비율증가 여부,F스코어 신주발행X 여부,F스코어 매출총이익률증가 여부,F스코어 총자산회전율증가 여부,F스코어 점수 (9점만점),매출액 16년->19년 3년간 YOY,매출액 연환산 YOY,매출액 17년 YOY,매출액 18년 YOY,매출액 19년 YOY,매출액 20년(E)  YOY,매출액 21년(E)  YOY,매출액 19년4Q YOY,매출액 20년1Q YOY,매출액 20년2Q YOY,매출액 20년3Q YOY,매출액 20년4Q(E) YOY,매출액 21년1Q(E) YOY,매출액 19년4Q QOQ,매출액 20년1Q QOQ,매출액 20년2Q QOQ,매출액 20년3Q QOQ,매출액 20년4Q(E) QOQ,매출액 21년1Q(E) QOQ,영업이익 16년->19년 3년간 YOY,영업이익 연환산 YOY,영업이익 17년 YOY,영업이익 18년 YOY,영업이익 19년 YOY,영업이익 20년(E)  YOY,영업이익 21년(E)  YOY,영업이익 19년4Q YOY,영업이익 20년1Q YOY,영업이익 20년2Q YOY,영업이익 20년3Q YOY,영업이익 20년4Q(E) YOY,영업이익 21년1Q(E) YOY,영업이익 19년4Q QOQ,영업이익 20년1Q QOQ,영업이익 20년2Q QOQ,영업이익 20년3Q QOQ,영업이익 20년4Q(E) QOQ,영업이익 21년1Q(E) QOQ,순이익 16년->19년 3년간 YOY,순이익 연환산 YOY,순이익 17년 YOY,순이익 18년 YOY,순이익 19년 YOY,순이익 20년(E)  YOY,순이익 21년(E)  YOY,순이익 19년4Q YOY,순이익 20년1Q YOY,순이익 20년2Q YOY,순이익 20년3Q YOY,순이익 20년4Q(E) YOY,순이익 21년1Q(E) YOY,순이익 19년4Q QOQ,순이익 20년1Q QOQ,순이익 20년2Q QOQ,순이익 20년3Q QOQ,순이익 20년4Q(E) QOQ,순이익 21년1Q(E) QOQ,16년 매출액,16년 영업이익,16년 순이익,17년 매출액,17년 영업이익,17년 순이익,18년 매출액,18년 영업이익,18년 순이익,19년 매출액,19년 영업이익,19년 순이익,20년(E) 매출액,20년(E) 영업이익,20년(E) 순이익,21년(E) 매출액,21년(E) 영업이익,21년(E) 순이익,매출액 18년 4Q,매출액 19년 1Q,매출액 19년 2Q,매출액 19년 3Q,매출액 19년 4Q,매출액 20년 1Q,매출액 20년 2Q,매출액 20년 3Q,매출액 20년 4Q(E),매출액 21년 1Q(E),영업이익 18년 4Q,영업이익 19년 1Q,영업이익 19년 2Q,영업이익 19년 3Q,영업이익 19년 4Q,영업이익 20년 1Q,영업이익 20년 2Q,영업이익 20년 3Q,영업이익 20년 4Q(E),영업이익 21년 1Q(E),순이익 18년 4Q,순이익 19년 1Q,순이익 19년 2Q,순이익 19년 3Q,순이익 19년 4Q,순이익 20년 1Q,순이익 20년 2Q,순이익 20년 3Q,순이익 20년 4Q(E),순이익 21년 1Q(E),발표치 20년4Q  매출액,발표치 20년4Q  영업이익,발표치 20년4Q  순이익,컨센서스 20년4Q  매출액,컨센서스 20년4Q  영업이익,컨센서스 20년4Q  순이익,
A005930,삼성전자,반도체 관련장비 및 부품,종합 반도체,코스피,82900,4948950,596978,0,0,0,1.8,2.1,-1.3,-0.1,38.4,56.7,77.1,70.1,24.44,38.2,40.31,17.3,15.2,14.7,15.2,11.02,10.47,13.7,9.51,12.39,7.1,9.35,8.18,19,2.1,2.09,0.29,34.15,1.91,0.96,1.29,1.8,1.62,9.4,18.97,19.9,18.97,19.2,18.97,13.06,6.06,14.51,13.75,21.01,234,278.77,36,37,7,44.73,1.71,417.26,5.37,0.58,1.55,0.01802,1.10102,996526,2679421,2036349,324429,283956,79825,3675947,2368070,359939,260908,653103,899023,604896,-534156,-67384,344472,1416,15424.8,12561.3,13457.5,22.8,14.62,84000,83000,59900,52900,46800,91000,46800,1,1,0,1,91,77,0.01,0.06,0.07,-0.05,0.04,-0.01,-0.35,-0.03,-0.38,-1.87,-1.15,-3.02,-2.19,-1.23,-3.42,94,188,0.27054,164,77,531,139,1,0,0,0,0,50687,107525,0,0,1,20210401,20210108,1.7,-1.3,-8,4.4,15.6,9.7,2.7,5.5,9.9,17.4,25.1,45.3,120,26.1,18.1,15.3,6.4,5.3,14.1,63,82,260424,1,1,0,1,0,0,1,1,0,5,14.1,2.8,18.7,1.8,-5.5,2.8,11.4,1,5.6,-5.6,8,2.8,10.8,-3.4,-7.6,-4.3,26.4,-8.1,-0.4,-5,29.6,83.5,9.8,-52.8,29.6,33.5,-33.7,3.4,23.5,58.8,26.3,40.3,-7.9,-10,26.4,51.6,-26.8,0,-4.1,21.3,84.4,6.2,-51,21.3,35.7,-37.2,-4.3,8.4,51.8,23.3,30.3,-14.4,-6.5,12.3,68.8,-30.4,-1.2,2018667,292407,224157,2395754,536450,413446,2437714,588867,438909,2304009,277685,215051,2368070,359939,260908,2636889,480439,353991,592651,523855,561271,620035,598848,553252,529661,669642,615515,612905,108006,62333,65971,77779,71603,64473,81463,123532,90470,90446,83301,51075,50645,61050,52280,48896,54890,92668,64455,63700,615515,90470,64455,605264,91663,70036,
A000660,SK하이닉스,반도체 관련장비 및 부품,종합 반도체,코스피,140500,1022843,72800,4400,6,0,6,5.6,-4.4,11.5,68.5,66.5,75.6,69.5,14.48,32.5,34.98,30.4,15.71,12.13,15.71,14.91,22.18,19.3,9.1,17.13,6.87,13.09,8.74,61.16,3.31,3.21,0.08,42.16,2.37,0.94,1.33,1.96,1.68,6.9,20.22,35.73,21.51,14.47,21.51,9.81,8.02,23.85,20.41,-1.69,123,192.46,37,37,26,34.1,0.71,126.02,2.24,0,0.65,0.02393,1.17797,187681,504791,170362,61505,80164,12792,692472,319004,50126,47551,137814,100388,117028,-112807,11844,100303,1000,8077.48,5353.18,6119.4,50.89,32,147000,126000,83400,84400,80000,148500,71800,1,1,1,1,95,96,-0.01,0.34,0.32,-0.13,0.41,0.28,-0.73,0.34,-0.39,-1.6,0.33,-1.27,-1.44,1.38,-0.06,83,209,0.99816,188,80,610,188,1,0,0,0,0,74930,174890,0,1,1,20210401,20210129,5,6.4,164.7,4.7,3.5,6.3,0.5,9,52.4,80.3,59.3,119.4,100,56,100.7,118.3,8.8,8.6,20.7,65,108,16725,1,1,0,1,0,0,1,0,0,4,56.9,18.2,75.1,34.3,-33.3,18.2,26.5,-30.3,6.3,33.4,18.9,15,14.7,1.3,3.9,19.6,-5.6,-2,3.6,-17,84.3,318.8,51.9,-87,84.3,135.7,-94.5,-41.4,205.3,175,298.3,73.6,-48.7,230,143.2,-33.2,-25.7,43.8,-32.1,137,260.3,46,-87.1,137,91.2,-103.7,-41.2,135.8,118.4,1507.7,64.5,-125.4,616.4,94.8,-14.7,64,-39.7,171980,32767,29538,301094,137213,106415,404451,208438,155401,269907,27192,20060,319004,50126,47551,403663,118167,90901,99381,67727,64522,68388,69271,71989,86065,81288,79662,82540,44301,13665,6376,4726,2425,8003,19467,12997,9659,13890,33963,11028,5355,4932,-1255,6482,12629,10773,17668,10660,79662,9659,17668,75866,9079,6675,
A068270,셀트리온,제약 및 바이오,바이오,코스피,324500,446848,13770,121,0.9,0.4,0,5.5,7.1,-6.6,26.9,7.1,69.5,19.4,20.59,53.7,58.27,40,38.51,33.04,38.51,27.65,19.57,11.6,15.34,25.97,11.31,20.07,145.72,205.26,25.78,24.17,0.32,1171.03,15.48,3.38,9.35,13.4,10.22,81.8,86.61,87.84,87.39,114.49,87.4,39.36,53.3,67.55,62.75,2.62,226,269.31,38,40,16,2.14,0.01,-68.19,0.74,0.01,0.01,0.03074,0.9259,12838,32363,24527,3964,1411,394,45201,18491,7121,5113,8356,9301,3066,-2219,355,889,47,1706.39,2767.64,1857.93,-38.34,-8.16,303000,347500,255813,302950,191492,396241,191492,1,1,1,1,82,69,-0.03,0.11,0.08,-0.11,0.41,0.3,-0.26,0.42,0.16,-1.44,0.7,-0.74,-2.11,0.88,-1.23,87,396,0.4511,758,83,1124,230,1,0,0,0,0,42813,390100,0,0,1,20210329,20210222,-1.2,-21.8,-41.3,17,29.5,15.4,47.1,42.4,36.6,50.4,65.8,122,120,15,4.9,44.1,22.8,19.3,35.1,267,180,2177,1,1,1,0,0,0,0,0,1,4,68.3,63.9,41.5,3.5,14.9,63.9,74.8,57.8,68.2,82.5,89.9,30.3,22.7,32.4,-2.6,15,28,-9.1,-8.2,51.4,88.4,103.4,-33.3,11.6,88.3,127,159.5,55.4,118.1,137.8,44.3,45,10.7,5.3,51.2,34.9,-32.8,5.8,67.2,71.8,114.9,-31.6,13.7,71.8,142.8,116.1,64.2,78.9,177.8,2.7,80.6,54.6,10.5,31.6,23.6,-42.8,94.2,6706,2497,1780,9491,5078,3825,9821,3387,2618,11285,3781,2976,18491,7121,5113,32329,16166,12416,2426,2217,2350,2891,3827,3728,4288,5488,4987,4576,440,774,834,1031,1142,1202,1818,2453,1647,1743,440,639,772,614,950,1049,1381,1707,976,1895,4987,1647,976,5045,2107,1663,
A051910,LG화학,화학,종합 화학,코스피,819000,578151,7059,165,2.3,0,1.7,3.9,-5.9,-7.9,20.4,65.1,181.4,113.6,14.39,19.8,23.92,8,5.98,1.03,5.98,1.7,-4.73,7.8,2.89,12.38,1.3,6.12,10.62,-156.77,2.02,1.92,0.06,366.57,3.8,0.99,1.53,3.25,2.79,20.2,110.19,69,112.79,-35.86,112.78,22.52,17.06,34.85,32.15,-9.2,95,137.17,113,117,60,49.02,0.24,120.78,3.15,0.58,0.22,0.03154,1.29467,211983,181667,158782,49281,16131,2788,393650,300765,17982,5126,38452,56730,54423,-49645,10130,58111,2000,2951.12,3140.43,4235.71,-6.03,-30.33,870000,889000,680000,496000,291000,1028000,290500,1,0,0,0,80,182,0.03,0.02,0.05,0.08,-0.08,0,-0.34,-0.66,-1,-2.04,0.04,-2,-3.49,4.69,1.2,86,328,1.14491,927,64,1169,16,1,0,0,0,0,88322,1271109,0,0,1,20210331,20210127,2.6,-87.5,-181,-7.6,23.1,1.1,5.5,11.4,34.7,50.8,139.8,400.9,120,98,47.8,57.7,18.5,3.9,14.1,69,78,-3688,1,1,1,1,0,0,1,1,0,6,32.4,10,24.4,9.7,-2.9,10,38.8,-3.9,7.5,2.3,8.8,20.8,38,2.2,0.9,-2.5,8.2,13.5,15.2,-58.6,117.9,47,-23.3,-63.3,117.9,124.1,-117.7,-15.9,131.5,158.7,271.4,340.3,-114.7,560.7,141.8,57.8,-90.2,1083.5,-75.5,63.6,51.8,-24.3,-78.7,63.6,377.3,-164.7,-89.2,461.4,298.5,-418.2,2807.6,-160.5,127.1,1713.8,34,-178.7,252.1,206593,19919,12811,256980,29285,19453,281830,22461,14726,273531,8254,3134,300765,17982,5126,417333,40301,24469,73427,66217,67784,68989,70541,71157,69352,75073,85183,98162,2896,2810,2470,3488,-513,2365,5716,9021,880,10412,1201,1945,681,1286,-778,211,3823,5123,-4030,6128,85183,880,-4030,83013,7021,4976,
A005380,현대차,자동차 및 관련부품,완성차,코스피,219000,467933,21367,1309,6.1,0,0.5,0.5,-8.8,5.5,19.7,121.2,152.9,42.2,8.86,17.3,18.59,4.3,2.3,4.29,2.3,1.37,3.66,5.4,2.03,7.32,0.71,2.65,35.6,-16.44,0.46,0.45,0.03,22.01,1.55,0.26,0.44,0.67,0.63,8.2,30.85,40.37,32.85,10.94,32.85,8.57,16.9,20.3,19.54,-172.49,67,87.39,173,190,121,35.35,1.83,-4.14,3.38,0.89,1.66,0.03044,1.44174,1312461,690531,505307,116322,499316,200026,2002992,1039976,23947,14244,64088,177933,13145,-84354,105664,41609,4000,1658.56,2207.01,2173.14,-24.85,-23.68,240000,207500,183000,99000,86600,267500,86300,1,0,0,1,82,154,0,-0.01,-0.01,-0.14,-0.13,-0.27,-0.7,-0.17,-0.87,-3.03,-0.77,-3.8,-4.58,-0.64,-5.22,43,258,1.14567,281,69,836,37,1,0,0,0,0,77906,316780,0,0,1,20210331,20210126,0.2,-27.5,-24.7,1,-215,-247.3,-0.3,-4.4,-3.3,28.2,81,283.1,60,-32.6,-51.4,-51.9,8,-0.7,7.9,11,50,-28464,1,1,0,1,0,1,1,1,0,6,12.9,-1.7,2.9,0.5,9.2,-1.7,11.6,10.3,5.6,-18.9,2.3,5.1,5.8,3.2,-9,-13.7,26.2,6,-8.4,-30.6,-33.6,-11.9,-47.1,48.9,-33.6,181,132.4,4.7,-52.3,-182.9,7.7,71.9,207.6,-25.8,-31.7,-153.2,499.7,18.3,-44.9,-52.2,-25.4,-62.6,97.6,-52.2,272.9,719.8,-44.1,-75.3,-178.7,33,152.7,88.4,-42.4,-50.9,-247.8,418.3,9.4,936490,51935,54064,963761,45747,40328,968126,24222,15081,1057464,36055,29800,1039976,23947,14244,1160615,67288,53112,252305,239871,269664,269689,278241,253194,218590,275758,292434,267949,5011,8249,12377,3785,11644,8638,5903,-3138,12544,14844,-1298,8295,9193,4269,8044,4633,2274,-3361,10698,11707,292434,12544,10698,291770,17311,14208,
A017670,SK텔레콤,통신,통신서비스,코스피,277000,223666,8075,959,11.9,0,0.7,9.3,9.7,16.9,14.9,23.1,52.2,18.9,39.44,100,100,8,7.24,6.74,7.24,8.08,7.87,10.2,6.22,8.1,3.26,4.35,3.91,11.51,1.23,1.2,0.27,13.83,1.67,0.63,1.02,0.93,0.86,9.9,13.1,20.42,14.87,14.68,14.87,10.66,5.82,18.89,16.58,-59.48,115,117.69,92,94,50,82.15,3.61,2.91,6.64,3.71,3.28,0.01842,0.70989,223355,237938,90321,2160,175359,141012,461293,186247,13493,15044,53831,181916,57224,-45874,-5388,37797,10000,936.76,1394.5,839.82,-32.82,11.54,252500,237000,241000,225000,182000,277000,182000,1,1,1,1,100,52,-0.03,0.07,0.03,0.18,0.66,0.84,-0.07,1.42,1.35,-1.44,3.6,2.16,-1.01,2.01,1,56,148,0.50343,140,82,439,217,1,0,0,0,0,198428,338516,0,0,1,20210330,20210203,1.5,27.5,236.1,0.6,0.1,-4.4,-2.5,7,12.4,11.1,18.6,39.4,100,15.8,61.3,59,4.7,6.4,8.8,47,1000,19427,1,1,0,1,1,1,1,0,0,6,3.8,5,2.5,-3.7,5.1,5,5.4,1.3,2.7,3.7,3.7,9.8,6.4,-3.4,1,3.4,2.8,2.3,-2.2,-27.8,21.8,0.1,-21.8,-7.8,21.8,10.2,-28.7,-6.4,11.4,19.7,103.1,12.7,-46.8,88,19,0.6,-9.8,4.3,-47,69.3,55.1,20.3,-71.6,69.3,32,-105.8,-18.4,62.2,41,1447.1,24.3,-110.3,1194.7,38.1,-9.4,-1.6,1,170918,15357,16760,175200,15366,25998,168740,12018,31279,177407,11082,8887,186247,13493,15044,196314,14873,19855,43517,43349,44370,45612,44076,44504,46028,47308,48406,47360,2253,3226,3228,3021,1607,3020,3595,3615,3263,3403,4849,3792,2634,2744,-283,3094,4272,3869,3808,3845,48406,3263,3808,47671,2559,1133,
A207940,삼성바이오로직스,제약 및 바이오,바이오,코스피,747000,494253,6617,0,0,0,-0.1,4,-1.8,-9.9,3.6,-5,60.8,48.8,6.72,37.4,31.57,8.3,25.14,24.67,25.14,20.69,25.64,0.3,5.24,9.36,3.93,7.04,110.13,146.53,44.82,42.43,1.14,2206.66,11.54,2.45,6.68,10.76,9.96,1222.5,205.08,222.33,205.08,128.41,205.11,106.34,109.87,160.91,168.8,-0.14,162,250.71,36,36,14,0,0,0,0,0,0,0.02513,0.73999,16384,44988,15691,5558,28745,26439,61372,11648,2928,2410,4472,4119,4489,-2908,-1189,1116,0,425.73,414.15,549.88,2.8,-22.58,761000,829000,721000,786000,464500,880000,464500,1,1,0,0,85,61,0,0,0.01,0,0.08,0.08,0.1,-0.21,-0.11,-0.03,0.18,0.15,0.47,0.31,0.78,93,439,1.70374,1766,74,1223,91,1,0,0,0,0,42306,1014859,0,0,1,20210316,20210126,27.2,33.4,55.2,9.7,-8.7,-23.5,0.7,20.8,34.5,8,47.4,92.9,100,92.2,192.6,346,6.1,8.8,10.3,29,294,3373,1,1,0,1,1,1,1,1,1,8,138.2,66,57.7,15.3,30.9,66,29.8,75.8,65.3,294.1,48.6,19.8,54.1,69.5,-33.9,48.5,-10.8,36.7,-14.9,401.6,219.2,317.1,-15.6,64.6,219.3,68.1,830.1,367.5,625.6,139.5,-13.4,25.9,353,-41.5,29.6,-30.3,63.8,-14.9,214.8,385.5,45.1,331,-9.5,18.8,75.5,-75.6,199.5,518.2,162.5,24.1,98.9,263.1,-52.7,41.9,7.8,71.6,-24.2,2946,-304,-1768,4646,660,-970,5358,557,2241,7016,917,2029,11648,2928,2410,15116,4923,4229,1783,1254,781,1848,3133,2072,3077,2746,3753,3193,115,-234,-154,236,1070,626,811,565,926,788,3173,-368,-124,214,776,367,520,561,962,729,3753,926,962,2950,694,620,
A005490,POSCO,철강 및 비철강,제철,코스피,318500,277690,8719,1156,13.3,0,-0.5,3.2,6.5,16.7,55.4,76,104.2,0,5.65,7.6,8.46,6.3,4.16,5.66,4.16,2.77,4.59,3.7,3.55,6.67,2.03,3.88,3.45,5.6,0.47,0.48,0.09,10.74,1.19,0.32,0.5,0.62,0.58,13.4,15.03,29.18,17.33,9.9,17.33,8.75,5.96,13.24,11.56,14.22,159,207.74,72,77,51,43.66,3.14,-6.85,4.8,2.05,2.85,0.02303,0.99015,343008,444368,382489,90207,92688,40011,787376,577928,24030,16021,56578,44615,80514,-66602,25769,30894,10000,1456.44,1498.87,2290.82,-2.83,-36.42,299000,273000,205000,181000,156000,327000,156000,0,1,1,1,97,104,-0.01,-0.01,-0.02,0.03,0.11,0.14,-1.28,1.51,0.23,-2.25,2.85,0.6,-0.82,2.53,1.71,52,194,2.17268,148,79,479,176,1,0,0,0,0,214853,403770,0,0,1,20210331,20210128,1,1.4,34.7,-0.7,32.9,60,2.7,18.5,20.3,88.6,119,98.2,120,-30.8,-2.8,-13.3,3.3,0.7,7.1,51,61,49620,1,1,1,1,0,1,1,0,0,6,21.3,-10.2,14.3,7.1,-0.9,-10.2,9.9,-3.5,-9.2,-15.9,-10.8,-4.9,7.1,0.3,-9.3,-5.7,3.9,7,2,36,-37.9,62.5,19.9,-30.2,-37.9,113.4,-56.1,-41.4,-84.3,-35.9,54.8,86.8,-46.4,26.5,-76.2,297.5,29.5,52.6,34.6,-12.7,104.7,-39.4,8.5,-12.7,96.5,105.8,-46.7,-93.4,8,1283.4,108.6,-88.2,680.3,-89.8,1055.5,50.6,17.6,530835,28443,13633,606551,46218,27901,649778,55426,16906,643668,38689,18351,577928,24030,16021,635003,51278,31489,166215,160142,163213,159882,160430,145458,137216,142612,152642,155751,12715,12029,10686,10398,5576,7053,1677,6667,8634,13174,-8674,7413,6123,4309,507,3954,403,4655,7010,8246,152642,8634,7010,151152,8512,5206,
A015760,한국전력,유틸리티,전력,코스피,23500,150862,64196,0,0,0,1.5,1.7,-0.4,-12.6,13.3,21.4,23,-31.9,2.14,7.3,18.97,8.1,6.98,6.36,6.98,3.4,3.85,4.2,2.87,2.35,0.99,0.82,1.34,-4.79,0.26,0.26,-0.54,1.67,0.59,0.18,0.34,0.22,0.21,8,7.58,162.97,7.58,6.67,7.58,9.1,6.42,9.64,3.69,-733.37,60,90.05,188,192,107,0,0,60,7.26,0,0,0.02253,0.71747,1316418,687358,210037,69199,129475,61392,2003776,585693,40863,19913,131411,42744,112937,-150748,38505,144429,0,823.53,544.4,798.14,51.27,3.18,23600,26900,20750,19350,19100,28300,18700,1,1,0,1,83,26,0.02,0.04,0.05,-0.19,0,-0.19,-0.82,-0.13,-0.95,-3.92,-0.53,-4.45,-3.06,-0.69,-3.75,37,122,-3.72418,64,68,115,30,1,0,0,0,0,36492,34496,0,0,1,20210323,20210219,-1.8,62.4,-51.6,0.6,0.1,2.6,-2,91.3,5.8,-9,44.4,-16.8,60,423.1,185.9,182.3,4.1,3,2.4,41,46,-31492,1,1,1,1,0,1,1,1,0,7,-1.7,-1,-0.6,1.4,-2.4,-1,-0.7,-1.5,-1,0,-1.3,-1.7,0.7,-6.1,1,-13.4,20.2,-6.5,3.4,-110.6,420.1,-58.7,-104.2,-513.7,420.1,-44,-101.3,168.4,230.5,88.2,158.8,-108.6,-228.1,127.1,-9.5,498.3,-60,-104,-133.3,184.9,-81.6,-201.2,-78.4,184.9,-21.8,-67.3,102.9,137.1,454.9,142.4,2005.8,-698.3,101.7,623.3,643.8,-54.2,-14.5,601904,120016,70486,598149,49532,12987,606276,-2080,-13146,591729,-12765,-23455,585693,40863,19913,581770,22867,15571,151746,152484,130710,159123,149412,150931,130725,157114,146923,151931,-7885,-6299,-2987,12393,-15872,4306,3898,23322,9337,-372,-7967,-7878,-4475,2228,-13330,230,1662,12363,5658,4839,146923,9337,5658,149618,5749,11690,
A028260,삼성물산,지주사,지주사,코스피,124500,232674,18689,2342,12.5,-1.5,0,0.8,0.4,-13.5,18.6,8.3,45.4,-9.5,8.18,12.1,10.17,2.1,2.84,3.13,2.84,3.43,2.87,6.1,4.21,3.55,2.36,2,17.36,21.37,0.78,0.77,-1.96,21.35,4.79,0.76,1.15,0.95,0.92,19.3,19.66,20.5,22.47,24.81,22.47,25.9,16.1,25.14,27.15,-28.93,97,114.84,72,80,16,31.42,1.61,223.14,2.12,0,1.46,0.02513,1.10486,195821,243843,128511,20026,281601,37108,439664,302161,8571,10355,14725,36076,13403,-3622,-3255,2514,2000,310.15,519.06,539.76,-40.25,-42.54,124000,144000,105000,115000,85600,153500,84800,1,1,0,0,81,47,-0.01,0,-0.01,-0.05,-0.01,-0.06,-0.46,0.17,-0.29,-2.47,0.58,-1.89,-2.04,0.9,-1.14,20,125,0.47777,229,0,738,344,1,1,0,0,0,54461,0,0,0,1,20210202,20210127,-0.2,1.7,-5.5,3.3,-11.7,1.4,-2.5,-26.7,-25.4,-21.8,-28,-13.2,0,0.7,0.6,-9.5,7.9,9,3.7,60,28,10889,1,1,0,1,1,1,1,1,0,7,9.5,-1.8,4.2,6.4,-1.3,-1.8,1.3,-3.4,-5.4,-9.4,1.5,6.3,5.3,-0.5,-9.6,3.8,8.7,4.2,-10.5,521.4,-1.1,531.8,25.3,-21.5,-1.1,23.1,33.7,39.8,7.9,-0.4,-21,38.9,50.1,-54.7,61.9,-9.5,19,-20.4,877.7,-1.4,495.7,167.7,-38.7,-1.4,16,-49.9,29.3,-14.2,17.3,-29.7,3.8,34.9,-3.4,-41.5,53.8,-19.2,42.8,281027,1395,1074,292790,8813,6398,311556,11039,17128,307615,8668,10501,302161,8571,10355,306204,10550,12013,79711,73571,79720,77346,76979,69601,72234,78503,81823,73266,2428,1052,2207,2163,3247,1470,2381,2155,2564,2042,6660,2493,2198,2473,3337,3224,1886,2900,2344,3347,81823,2564,2344,82004,2522,2480,
