코드 번호,회사명,업종 (대),업종 (소),코스피 코스닥,주가 (원),시가총액 (억),상장주식수 (만주),자사주 (만주),자사주 비중 (%),주식수 증가율 (%),1일 등락률 (%),5일 등락률 (%),1개월 등락률 (%),3개월 등락률 (%),6개월 등락률 (%),9개월 등락률 (%),1년 등락률 (%),3년 등락률 (%),과거 GP/A (%),과거 GPM (%),분기 GPM (%),5년평균 OPM,발표 OPM (%),발표 분기 OPM (%),올해 OPM (%),발표 NPM (%),발표 분기 NPM (%),5년평균 ROE,발표 ROE (%),1년후 ROE (%),과거 ROA (%),1년후 ROA (%),과거 PCR,과거 PFCR,과거 PSR,발표 PSR,1년후PEG,PER  곱하기PBR,고점 PBR,저점 PBR,5년평균 PBR,발표 PBR,1년후 PBR,5년평균 PER,자사주반영 PER,과거 PER,발표 PER,발표 분기 PER,올해 PER,1년후 PER,과거 EV/EBITDA (%),과거 POR,발표 POR,청산가치비율 (NCAV전략) (%),당좌 비율 (%),유동 비율 (%),단순 부채비율 (%),보수적 부채비율 (%),차입금 비율 (%),배당 성향 (%),시가 배당률 (%),DPS  성장률 (%),시가 배당률 고점,시가 배당률 저점,국채시가 배당률,주가 변동성,베타 (52주),부채 (억),자본 (억),유동자산 (억),재고자산 (억),투자자산 (억),지분투자 (억),총자산 (억),매출액 (억),영업이익 (억),순이익(지배) (억),EBITDA (억),매출총이익 (억),영업활동현금흐름 (억),투자활동현금흐름 (억),재무활동현금흐름 (억),설비투자 (억),DPS (원),거래대금 (당일 억),거래대금 (5일평균 억),거래대금 (20일평균 억),거래대금 증가율(5일대비),거래대금 증가율(20일대비),1개월전 주가,3개월전 주가,6개월전 주가,9개월전 주가,1년전 주가,52주 신고가,52주 신저가,주가>5이평,주가>20이평,주가>60이평,주가>120이평,신고가율 (%),신저가율 (%),당일 기관(%),당일 외인(%),당일 수급(%),주간 기관(%),주간 외인(%),주간 수급(%),1개월 기관(%),1개월 외인(%),1개월 수급(%),3개월 기관(%),3개월 외인(%),3개월 수급(%),6개월 기관(%),6개월 외인(%),6개월 수급(%),고점대비 PBR괴리율,저점대비 PBR괴리율,이익의 변동성,예상가 괴리율 (%),목표가  괴리율 (%),예상가 매력등수,목표가 매력등수,본사 국내 =1,지주사 =1,금융 =1,스팩 =1,관리 종목 =1,예상 주가 (원),목표 주가 (원),20년 4Q 호실적 100기업,21년1Q 호실적예상 100기업,1Q 발표 =1,마지막 리포트일,실적 발표일,21/1Q 매출액 컨센대비,21/1Q 영업이익 컨센대비,21/1Q 순이익 컨센대비,20/4Q 매출액 컨센대비,20/4Q 영업이익 컨센대비,20/4Q 순이익 컨센대비,1주일 어닝스,1달 어닝스,3개월  어닝스,6개월  어닝스,9개월  어닝스,12개월  어닝스,어닝스 점수,발표OPM증가율(최근분기),발표NPM증가율(최근분기),발표ROE증가율 (최근분기),자산증가율 (최근분기),발표자본증가율 (최근분기),자본증가율 (1년후),매출채권 회수기간,재고자산 회수기간,단순 FCFF (잉여현금흐름),F스코어 지배주주순익>0 여부,F스코어 영업활동현금흐름>0 여부,F스코어 ROA증가 여부,F스코어 영현>순익 여부,F스코어 부채비율감소 여부,F스코어 유동비율증가 여부,F스코어 신주발행X 여부,F스코어 매출총이익률증가 여부,F스코어 총자산회전율증가 여부,F스코어 점수 (9점만점),매출액 17년->20년 3년간 YOY,매출액 연환산 YOY,매출액 18년 YOY,매출액 19년 YOY,매출액 20년 YOY,매출액 21년(E)  YOY,매출액 22년(E)  YOY,매출액 20년1Q YOY,매출액 20년2Q YOY,매출액 20년3Q YOY,매출액 20년4Q YOY,매출액 21년1Q(E) YOY,매출액 21년2Q(E) YOY,매출액 20년1Q QOQ,매출액 20년2Q QOQ,매출액 20년3Q QOQ,매출액 20년4Q QOQ,매출액 21년1Q(E) QOQ,매출액 21년2Q(E) QOQ,영업이익 17년->20년 3년간 YOY,영업이익 연환산 YOY,영업이익 18년 YOY,영업이익 19년 YOY,영업이익 20년 YOY,영업이익 21년(E)  YOY,영업이익 22년(E)  YOY,영업이익 20년1Q YOY,영업이익 20년2Q YOY,영업이익 20년3Q YOY,영업이익 20년4Q YOY,영업이익 21년1Q(E) YOY,영업이익 21년2Q(E) YOY,영업이익 20년1Q QOQ,영업이익 20년2Q QOQ,영업이익 20년3Q QOQ,영업이익 20년4Q QOQ,영업이익 21년1Q(E) QOQ,영업이익 21년2Q(E) QOQ,순이익 17년->20년 3년간 YOY,순이익 연환산 YOY,순이익 18년 YOY,순이익 19년 YOY,순이익 20년 YOY,순이익 21년(E)  YOY,순이익 22년(E)  YOY,순이익 20년1Q YOY,순이익 20년2Q YOY,순이익 20년3Q YOY,순이익 20년4Q YOY,순이익 21년1Q(E) YOY,순이익 21년2Q(E) YOY,순이익 20년1Q QOQ,순이익 20년2Q QOQ,순이익 20년3Q QOQ,순이익 20년4Q QOQ,순이익 21년1Q(E) QOQ,순이익 21년2Q(E) QOQ,17년 매출액,17년 영업이익,17년 순이익,18년 매출액,18년 영업이익,18년 순이익,19년 매출액,19년 영업이익,19년 순이익,20년 매출액,20년 영업이익,20년 순이익,21년(E) 매출액,21년(E) 영업이익,21년(E) 순이익,22년(E) 매출액,22년(E) 영업이익,22년(E) 순이익,매출액 19년 1Q,매출액 19년 2Q,매출액 19년 3Q,매출액 19년 4Q,매출액 20년 1Q,매출액 20년 2Q,매출액 20년 3Q,매출액 20년 4Q,매출액 21년 1Q(E),매출액 21년 2Q(E),영업이익 19년 1Q,영업이익 19년 2Q,영업이익 19년 3Q,영업이익 19년 4Q,영업이익 20년 1Q,영업이익 20년 2Q,영업이익 20년 3Q,영업이익 20년 4Q,영업이익 21년 1Q(E),영업이익 21년 2Q(E),순이익 19년 1Q,순이익 19년 2Q,순이익 19년 3Q,순이익 19년 4Q,순이익 20년 1Q,순이익 20년 2Q,순이익 20년 3Q,순이익 20년 4Q,순이익 21년 1Q(E),순이익 21년 2Q(E),발표치 21년1Q  매출액,발표치 21년1Q  영업이익,발표치 21년1Q  순이익,컨센서스 21년1Q  매출액,컨센서스 21년1Q  영업이익,컨센서스 21년1Q  순이익,
A000020,동화약품,제약 및 바이오,제약,코스피,14850,4148,2793,32,1.1,0,1.7,-3.3,-0.7,-3.6,-17.3,-49.4,41.4,35,32.85,51,54.77,4.2,8.53,10.23,0,10.47,11.31,7.7,8.6,0,6.75,0,7.94,13.38,1.52,1.52,0,18.19,1.87,0.5,1.04,1.25,1.25,13.6,14.39,14.55,14.55,13.35,0,0,9.2,17.92,17.88,31.73,271,330.02,27,27,5,17.43,1.21,78.95,2.17,1.16,1.1,0.04786,0.59541,911,3313,2227,395,689,61,4224,2721,232,285,339,1387,523,-259,-55,213,180,19.05,28.11,44.24,-32.23,-56.94,14950,15400,17950,29350,10500,30300,9710,0,0,0,0,49,53,0,-0.01,-0.01,0.02,-0.02,0,0.02,-0.09,-0.07,0.1,-0.89,-0.79,-0.28,-4.02,-4.3,67,250,0.93219,148,0,461,367,1,0,0,0,0,10049,0,0,0,0,0,20210208,0,0,0,0,0,0,0,0,0,0,0,0,0,174.3,252.5,182.8,12.2,10.5,0,77,108,310,1,1,1,1,0,0,1,1,0,6,5.1,-11.4,18.4,0.2,-11.4,0,0,-10.3,-6.8,-10.3,-17.6,0,0,-19.6,4.2,-4.7,3.2,0,0,110.9,142.9,1.8,-14.3,141.7,0,0,18.3,819.4,949.1,-5.6,0,0,-63.6,129.9,15.7,-2.4,0,0,-39.4,212.7,-78.5,-9.9,213.2,0,0,22.6,1168.7,4903,1.3,0,0,-70.5,197.3,74.9,-33.9,0,0,2589,110,470,3066,112,101,3072,96,91,2721,232,285,0,0,0,0,0,0,747,749,742,833,670,698,666,687,0,0,23,-9,7,74,27,62,72,70,0,0,18,-6,2,77,23,67,118,78,0,0,0,0,0,0,0,0,
A000040,KR모터스,자동차 및 관련부품,완성차,코스피,1250,1202,9614,1,0,4.9,1.6,0.4,-9.1,5,8.7,68,54.7,-57.2,13.99,16.9,21.64,-29.5,1.02,-0.08,0,-6.88,-19.47,-65.2,-22.31,0,-5.69,0,13.59,31.63,1.02,1.02,0,-48.92,3.31,0.81,2.34,3.31,3.31,-4.6,-14.84,-14.78,-14.78,-5.33,0,0,30.39,98.61,100.17,-37.44,53,72.48,213,292,83,0,0,0,0,0,0,0.05287,1.05289,1060,363,610,160,166,0,1423,1178,12,-81,44,199,89,-73,102,51,0,4.77,13.51,18.16,-64.7,-73.73,1375,1190,1150,744,808,1450,606,1,0,0,1,86,106,0,0,0,0,-0.02,-0.02,-0.07,-0.21,-0.28,-0.36,-0.19,-0.55,0,-0.27,-0.27,100,409,-1.41186,-123,0,1788,367,1,0,0,0,0,-1019,0,0,0,0,0,20210223,0,0,0,0,0,0,0,0,0,0,0,0,0,105.5,77.5,89.8,11.7,95.8,0,38,60,38,0,1,0,1,1,1,0,1,0,5,182.5,-11.1,-12.2,262.3,-11.2,0,0,3.9,-9.2,-14.5,-21,0,0,-22.2,9.3,-6.8,-0.3,0,0,104.6,104.9,37.3,-51.5,104.9,0,0,112.4,133,102.6,99.9,0,0,102.5,95.9,-86.9,-122.2,0,0,73.6,80,23.8,-73.1,80,0,0,85,85.5,76.2,78.8,0,0,97,33.4,-124.6,-379.4,0,0,417,-260,-307,366,-163,-234,1326,-247,-405,1178,12,-81,0,0,0,0,0,0,275,344,340,367,286,312,291,290,0,0,-31,-23,-38,-155,4,8,1,0,0,0,-52,-36,-50,-267,-8,-5,-12,-56,0,0,0,0,0,0,0,0,
A000050,경방,섬유 및 의류,섬유,코스피,13600,3728,2742,170,6.2,0,-0.4,3.4,4.6,6.7,18.8,16.2,29.5,-3.5,7.65,29.4,37.76,10.4,6.65,12.45,0,3.95,7.98,3.6,1.75,0,1.03,0,11.08,-59.17,1.13,1.13,0,14.31,1.03,0.28,0.52,0.5,0.5,14.1,26.9,28.62,28.62,13.78,0,0,8.86,17.06,17.02,-108.83,32,41.08,70,70,30,24.96,0.92,36.84,1.35,0,0.84,0.02703,0.17556,5230,7420,1173,266,10126,913,12650,3292,219,130,621,968,336,884,-956,399,125,2.65,3.89,7.8,-31.87,-66.03,13000,12750,11450,11700,10500,14050,10150,1,1,1,1,97,34,0,0,0,-0.02,-0.07,-0.09,-0.01,-0.05,-0.06,-0.02,-0.09,-0.11,-0.43,0.07,-0.36,49,179,1.87479,237,0,742,367,1,0,0,0,0,5729,0,0,0,0,0,20210205,0,0,0,0,0,0,0,0,0,0,0,0,0,-28.6,-68.8,-70.2,-7.7,0.1,0,39,42,-63,1,1,0,1,1,0,1,1,1,7,-8.8,-4.3,-2.6,-2.1,-4.3,0,0,-17.8,6.2,4.3,-7.7,0,0,-19.4,16.5,-2.2,0.4,0,0,-48.2,-31.6,-3.1,-22,-31.6,0,0,-64.5,-58,8.2,-1.5,0,0,-70.3,5.3,43.4,119.9,0,0,-48.6,-70.2,-20.2,115.8,-70.2,0,0,-188.9,177,532.1,-82.6,0,0,-108.1,276.6,-31.3,76,0,0,3608,423,253,3514,410,202,3439,320,436,3292,219,130,0,0,0,0,0,0,901,812,808,918,740,862,843,847,0,0,89,80,44,107,32,33,48,105,0,0,36,20,-9,389,-32,56,38,68,0,0,0,0,0,0,0,0,
A000060,메리츠화재,금융,손해보험,코스피,20850,25150,12063,426,3.5,6.1,2.2,4.5,11.8,39.9,40.4,68.1,51.6,0.7,28.72,79.3,79.87,5.6,6.62,6.74,6.39,4.7,4.65,14.6,16.12,14.48,1.7,1.75,7.22,7.4,0.27,0.27,1.11,5.48,1.62,0.54,1,0.94,0.8,6.8,5.63,5.83,5.83,5.66,5.73,5.55,3.81,4.14,4.14,-901.64,0,0,845,848,28,35.04,6.14,101.11,7.45,2.26,5.58,0.02063,0.60754,226762,26748,0,0,-4831,6,253510,91806,6080,4311,6608,72792,3484,-4121,-634,85,1280,68.37,67.03,59.98,2,14,18650,14900,14850,12400,13750,20850,12150,1,1,1,1,100,72,0.02,0.05,0.07,0.16,0.17,0.34,0.08,0.44,0.52,0.66,1.15,1.81,0.09,0.75,0.84,58,174,0.19994,48,93,53,335,1,0,1,0,0,43242,22347,0,0,0,20210428,20210205,0,0,0,8.9,53.2,46.3,-0.6,-2.1,20.2,23.5,65.1,5,60,51.8,26.3,30.5,9.2,10,16.9,35,0,3399,1,1,1,0,1,0,0,1,1,6,42.8,13.6,10.6,13.7,13.6,2.5,5.9,16.6,14.9,12.5,10.8,2,0.2,3.4,1.6,1.2,4.2,-4.7,-0.2,18.4,72.4,-39.1,12.8,72.3,-1.1,10.5,45.2,24.3,51.2,399.4,-10.7,12,353.8,0,5.7,4.2,-18.8,25.3,12.3,43.5,-39.1,28.5,43.5,1.8,9.1,40.5,25.4,48.1,64.4,10.1,13.2,52.1,3.7,3.9,0.2,1.9,6.7,64287,5136,3838,71073,3127,2338,80830,3528,3004,91806,6080,4311,94100,6014,4388,99676,6645,4788,19143,19721,20396,21569,22312,22668,22937,23889,22766,22722,1007,1176,1022,322,1463,1462,1545,1610,1307,1638,731,850,748,675,1027,1066,1108,1110,1131,1207,0,0,0,22766,1307,1131,
A000070,삼양홀딩스,지주사,지주사,코스피,134000,11476,856,113,13.2,0,0,-4.3,46.6,43.2,106.2,88.2,171.5,16,15.93,21,22.04,5,6.89,6.26,0,4.14,5.94,3.3,6.73,0,3.14,0,4.67,13.21,0.46,0.46,0,8.53,1.48,0.24,0.59,0.76,0.76,17.8,9.74,11.22,11.22,7.44,0,0,5.73,6.74,6.74,-22.82,168,216.39,81,114,54,17.04,1.68,29.66,3.36,1.26,1.53,0.03564,0.81171,17378,15197,14759,3326,6913,2879,32575,24712,1703,1023,2635,5201,2455,-3067,883,1586,2250,47.44,108.88,143.1,-56.43,-66.85,91400,93600,65000,71200,49350,144000,48650,0,1,1,1,93,175,0.01,-0.05,-0.04,0.14,-0.15,-0.01,0.49,0.69,1.18,-0.32,0.58,0.26,-1.92,0.58,-1.34,51,317,1.03205,93,0,232,367,1,1,0,0,0,144545,0,0,0,0,0,20210209,0,0,0,0,0,0,0,0,0,0,0,0,0,116,233.9,209.5,9.3,7,0,41,62,869,1,1,1,1,0,0,1,1,0,6,3.1,-0.7,7,-2.9,-0.7,0,0,0.2,-6.5,0.1,3.4,0,0,-4.9,-3,11.3,0.7,0,0,72.4,114.5,40.2,-42.7,114.5,0,0,63.1,-13.4,70.3,342.8,0,0,294.7,3.5,88.1,-35.9,0,0,171.4,231.4,85.7,-55.9,231.1,0,0,21.9,-22.6,82.2,281.4,0,0,208.8,-36.9,78.5,48,0,0,23963,988,377,25635,1385,700,24886,794,309,24712,1703,1023,0,0,0,0,0,0,5963,6198,6445,6280,5973,5795,6451,6494,0,0,200,389,372,-167,326,337,634,406,0,0,190,189,143,-213,231,146,260,386,0,0,0,0,0,0,0,0,
A000080,하이트진로,식음료,음료,코스피,35100,24617,7013,148,2.1,0,1.9,0.7,-1.1,2.8,1,-20.8,2.6,64,29.56,43.2,39.98,5.8,8.8,4.62,9.16,3.84,-2.68,2.2,8.07,10.51,2.63,3.68,6.43,9.35,1.09,1.09,0.43,65.01,2.9,1,1.53,2.29,2.05,68.3,27.8,28.39,28.39,-44.42,20.86,19.52,9.11,12.4,12.4,-53.79,50,62.65,207,207,103,60.43,2.14,-23.31,4.97,2.59,1.95,0.02143,0.3658,22235,10738,8994,1878,2352,29,32973,22563,1985,867,3584,9750,3828,-1411,-1166,1195,750,120.8,119.28,121.84,1.28,-0.85,35500,34150,34750,44300,34200,46500,31300,1,0,0,1,75,12,0.03,0.03,0.06,-0.07,-0.18,-0.25,-1.39,-0.27,-1.66,0.8,-1.65,-0.85,-3.89,-3.4,-7.29,79,229,5.13226,235,72,738,82,1,0,0,0,0,14949,48603,0,0,0,20210421,20210210,0,0,0,-4.7,-26.3,-208.2,3.5,6.8,-1.3,-4,13.1,45.4,80,102.8,284.6,296.8,0.8,4,11.7,55,53,2633,1,1,1,1,1,1,1,1,1,9,19.4,10.9,-0.2,7.9,10.9,4.1,4.8,26.2,10.9,18,-7.5,-2.2,5.8,-4.4,8.9,7.3,-17.2,1,17.9,127.4,124.9,3.6,-2.4,125.1,8.4,13.3,1441.7,411,30.9,-27,-25.9,6.9,71.8,-3.6,19,-62.9,74.3,38.9,582.7,304.7,74.8,-290.5,305,36.1,19.7,341.3,219.4,24.8,44.9,-29.7,-8.3,232.9,4.4,-7.5,-143,269.6,36.2,18899,873,127,18856,904,222,20351,882,-423,22563,1985,867,23492,2152,1180,24620,2439,1412,4230,5244,5291,5586,5339,5816,6243,5166,5219,6151,-42,106,492,327,561,541,644,239,416,578,-138,-292,259,-251,334,349,323,-139,235,320,0,0,0,5219,416,235,
A000100,유한양행,제약 및 바이오,제약,코스피,63100,44153,6997,124,1.8,0.1,1.5,-1.9,1.3,-5.5,3.5,-1.3,34.2,55.5,23.41,34.5,38.4,4.6,5.2,5.88,4.79,11.9,2.75,7.2,10.48,5.25,8.08,4.09,153.15,-198,2.73,2.73,-0.92,54.98,2.85,1.1,1.9,2.4,2.27,26.7,22.49,22.91,22.91,87.09,45.85,43.33,28.41,52.4,52.38,14.69,247,312.82,30,30,7,12.94,0.61,31.56,1.17,0.71,0.55,0.02513,0.80752,5470,18401,11955,2520,8136,5276,23871,16199,843,1928,1441,5584,288,576,117,511,382,101.12,143.42,209.5,-29.49,-51.73,62300,66800,60956,63922,47033,79200,47033,1,0,0,0,80,34,0,-0.01,-0.01,-0.11,-0.29,-0.41,0.95,-0.84,0.11,0.26,-1.43,-1.17,-1.9,-2.66,-4.56,84,218,1.25729,433,70,978,54,1,0,0,0,0,14575,90429,0,0,0,20210506,20210224,0,0,0,3.1,-23.5,-83.8,-2.9,-9.8,-13.9,-29.7,-35.8,-47.1,0,511.8,340.7,331.2,12.9,11.8,5.5,100,87,-223,1,1,1,0,0,0,0,1,0,4,10.8,9.4,3.9,-2.5,9.4,5.6,6.7,-9.2,15.6,12.4,17.2,14.9,3.1,-20.4,32.6,3.4,7.4,-22,19.1,-5,572.5,-43.5,-75,574.4,-2.8,25.4,-82.4,758.5,509,218.8,1175.6,-40,-87.4,3220,-42.9,33.3,-49.5,56.2,76.9,381.9,-47.2,-30.4,382,-50.1,16.6,643.7,520.9,112.1,173,-82.9,-33,2393.9,-70.7,-10.3,-58.3,56.2,14.6,14622,887,1090,15188,501,575,14804,125,400,16199,843,1928,17105,819,963,18246,1027,1123,3450,3594,3823,3937,3133,4155,4297,4614,3599,4285,61,-54,33,85,11,357,204,272,137,214,156,55,143,46,1158,339,304,127,198,227,0,0,0,3599,137,198,
A000120,CJ대한통운,운송 및 물류,육상운송,코스피,168500,38439,2281,287,12.6,0,-0.9,-1.7,-5.9,-4.8,4.7,12,17,-3.4,11.21,9.3,9.12,3.1,2.88,1.79,3.67,1.1,0.48,2.2,3.58,7.4,1.34,2.9,6.72,10.13,0.36,0.35,0.12,36.81,2.1,0.7,1.44,1.15,1.07,65.6,27.97,31.24,32.01,75.07,13.84,14.42,8.15,11.82,12.19,-79.74,90,90.42,139,168,80,0,0,0,0,0,0,0.02012,0.62822,56036,33381,25385,253,19721,780,89417,109584,3153,1201,8071,10012,5722,-3158,-939,1926,0,134.06,89.82,79.88,49.26,67.82,179000,177000,161000,150500,144000,189500,141000,0,0,0,0,89,20,-0.08,0,-0.08,-0.3,-0.05,-0.34,-0.33,-0.12,-0.45,-0.25,0.19,-0.06,0.8,-0.11,0.69,55,164,0.93232,266,72,801,82,1,0,0,0,0,63381,232706,0,0,1,20210426,20210507,-0.5,-19.7,-3.8,-4.9,-12.5,-20.3,-0.3,0.9,52.6,81.5,141,122,80,-5.6,64.2,52.7,5.9,11.4,8,48,1,3796,1,1,1,1,1,0,1,0,0,6,51.6,4.4,29.7,13,3.5,5.3,4.6,3.4,4.5,5.8,0.5,7,9.1,-11,5.4,4.7,2.4,-5.2,7.4,38,-1.5,3,26.6,5.9,28.1,25.9,28.3,16.8,4.3,-10.4,-17.3,15.1,-42.6,44.1,10.3,-1.9,-47,100.5,162.8,70.3,12.6,-24.7,209.8,125.8,-11.4,204.8,146.5,598.1,-10,-18.8,-1,-55.2,112.2,26.2,-25,-59.5,158.6,71104,2357,468,92197,2427,527,104151,3072,397,107811,3253,1230,113488,4168,2777,118714,5247,2461,24327,25348,26218,28257,25154,26500,27745,28413,26926,28920,453,718,887,1013,582,839,925,908,481,965,-150,136,60,351,158,334,422,316,128,331,26926,481,128,27066,599,133,
A000140,하이트진로홀딩스,지주사,지주사,코스피,16600,3852,2321,184,7.9,0,1.2,4.1,4.1,6.8,3.8,-23.5,16.5,75.8,29.42,43.7,40.54,6.4,9.37,5.3,0,2.87,3.48,1.4,13.09,0,1.93,0,1.05,1.57,0.17,0.17,0,4.66,1.1,0.3,0.56,0.78,0.78,35.9,5.5,5.98,5.98,5.38,0,0,4.91,1.83,1.83,-500.21,40,49.92,268,577,162,13.59,2.41,49.45,4.99,0.74,2.19,0.02143,0.44857,28446,4929,9178,1894,2740,122,33375,22470,2105,645,3637,9811,3657,-1573,-1044,1205,400,5.25,7.2,6.25,-27.08,-15.99,15950,15550,16000,21700,14250,24250,14250,1,1,1,1,68,16,0,0.03,0.02,-0.06,0.07,0.01,-0.11,0.15,0.04,-0.23,0.08,-0.15,-1,-0.02,-1.02,71,260,2.61124,49,0,58,367,1,1,0,0,0,33630,0,0,0,0,0,20210210,0,0,0,0,0,0,0,0,0,0,0,0,0,88.2,370.8,366.7,1.5,13.2,0,56,55,2452,1,1,1,1,1,1,1,1,1,9,19.4,10.9,-0.2,8,10.9,0,0,26.3,11,18,-7.6,0,0,-4.5,9.1,7.2,-17.3,0,0,110.3,108.5,3.4,-2.5,108.6,0,0,5739.9,287.2,30.6,-22.8,0,0,64.6,-1,17.7,-59.8,0,0,547.9,401.7,81.3,-692.6,401.4,0,0,213.4,221,33.9,418.2,0,0,305.2,74.3,-26.3,20.6,0,0,18812,1001,-144,18767,1035,-27,20263,1009,-214,22470,2105,645,0,0,0,0,0,0,4209,5221,5267,5566,5315,5797,6217,5141,0,0,-10,148,518,353,581,575,677,272,0,0,-102,-166,111,-56,116,201,148,179,0,0,0,0,0,0,0,0,
A000150,두산,지주사,지주사,코스피,65300,10790,1652,300,18.2,0,0.9,3.3,31.4,25.1,33.7,47.1,62.8,-29.1,10.08,14.3,12.74,5.2,3.41,8.8,6.63,-1.04,3.99,-0.8,-9.67,12.68,-0.74,0.99,8.53,-6.18,0.06,0.06,0.02,-3.58,1.8,0.4,0.87,0.59,0.57,-105.3,-4.96,-1.95,-6.07,1.5,4.99,4.48,10.39,3.92,1.85,-909.16,64,79.69,291,1350,167,0,3.06,-54.18,7.32,2.42,2.78,0.03765,1.038,224081,16597,125983,24220,23786,1988,240678,170625,5821,-1779,9602,24281,1266,-3434,11521,3011,2000,88.49,134.74,117.26,-34.32,-24.54,49700,52200,48850,44400,40100,65900,35250,1,1,1,1,99,85,-0.08,0.08,0,0.42,0.15,0.57,2.68,0.8,3.48,1.65,1.1,2.75,0.11,1.81,1.92,33,148,-12.4373,-56,80,1989,210,1,1,0,0,0,-117531,81500,0,0,1,20210503,20210427,29.9,385.4,193.3,-18.7,-119.9,-244.7,0,0,229.7,195.5,404.4,235.5,80,-36.4,-178.2,-155.4,0.6,34.6,14.5,49,61,-1745,0,1,0,1,1,1,1,0,0,5,0.3,-5.1,3.2,3.4,-5.9,1.6,4.6,-1.2,-10.5,-0.9,-10.5,2.1,0,-4.1,-4.9,-0.2,-1.6,9.4,0,-76.4,-39.6,0.8,4.4,-77.6,316.1,11.7,-74.4,-98.2,19.9,-116.8,337.9,0,-62.8,-91.3,2652,-118.9,1066.1,0,-1462.8,-174.5,-387.9,459.6,-231.6,139.1,32.7,-1360,-420.1,59.2,-148.2,192.5,0,-143.9,36.4,83.8,-964.6,184.2,0,169134,11676,406,174493,11764,-1169,180416,12286,4204,169693,2750,-5533,172492,11442,2163,180510,12780,2870,44830,47012,42394,46179,44271,42092,41995,41336,45203,0,3552,4475,1813,2446,909,79,2174,-412,3980,0,-134,388,-493,4443,-1950,-1241,-201,-2142,1804,0,45203,3980,1804,34800,820,615,
