코드 번호,회사명,업종 (대),업종 (소),코스피 코스닥,주가 (원),시가총액 (억),상장주식수 (만주),자사주 (만주),자사주 비중 (%),주식수 증가율 (%),1일 등락률 (%),5일 등락률 (%),1개월 등락률 (%),3개월 등락률 (%),6개월 등락률 (%),9개월 등락률 (%),1년 등락률 (%),3년 등락률 (%),과거 GP/A (%),과거 GPM (%),분기 GPM (%),5년평균 OPM,발표 OPM (%),발표 분기 OPM (%),발표 NPM (%),발표 분기 NPM (%),5년평균 ROE,발표 ROE (%),과거 ROA (%),과거 PCR,분기 PCR,과거 PFCR,분기 PFCR,과거 PSR,발표 PSR,발표 분기 PSR,발표 PEG,발표 분기 PEG,PER  곱하기PBR,고점 PBR,저점 PBR,5년평균 PBR,발표 PBR,5년평균 PER,자사주반영 PER,과거 PER,발표 PER,발표 분기 PER,과거 EV/EBITDA (%),과거 POR,발표 POR,발표 분기 POR,청산가치비율 (NCAV전략) (%),당좌 비율 (%),유동 비율 (%),단순 부채비율 (%),보수적 부채비율 (%),영업이익/차입금 (%),차입금 비율 (%),배당 성향 (%),시가 배당률 (%),DPS  성장률 (%),시가 배당률 고점,시가 배당률 저점,국채시가 배당률,주가 변동성,베타 (52주),부채 (억),자본 (억),유동자산 (억),재고자산 (억),투자자산 (억),지분투자 (억),총자산 (억),매출액 (억),영업이익 (억),순이익(지배) (억),BPS,EPS,EBITDA (억),매출총이익 (억),영업활동현금흐름 (억),투자활동현금흐름 (억),재무활동현금흐름 (억),설비투자 (억),DPS (원),거래대금 (당일 억),거래대금 (5일평균 억),거래대금 (20일평균 억),거래대금 증가율(5일대비),거래대금 증가율(20일대비),1개월전 주가,3개월전 주가,6개월전 주가,9개월전 주가,1년전 주가,52주 신고가,52주 신저가,주가>5이평,주가>20이평,주가>60이평,주가>120이평,신고가율 (%),신저가율 (%),당일 기관(%),당일 외인(%),당일 수급(%),주간 기관(%),주간 외인(%),주간 수급(%),1개월 기관(%),1개월 외인(%),1개월 수급(%),3개월 기관(%),3개월 외인(%),3개월 수급(%),6개월 기관(%),6개월 외인(%),6개월 수급(%),고점대비 PBR괴리율,저점대비 PBR괴리율,이익의 변동성,상속세 괴리율 (%),예상가 괴리율 (%),예상가 매력등수,본사 국내 =1,지주사 =1,금융 =1,스팩 =1,관리 종목 =1,상속 주가 (원),예상 주가 (원),21년 1Q 호실적 100기업,2Q 발표 =1,실적 발표일,GP/A 증가율 (최근분기),GPM 증가율 (최근분기),ROA 증가율 (최근분기),FCFF 증가율 (최근분기),발표OPM증가율(최근분기),발표NPM증가율(최근분기),발표ROE증가율 (최근분기),자산증가율 (최근분기),발표자본증가율 (최근분기),발표BPS증가율 (최근분기),(영업이익/차입금) 증가율,매출채권 회수기간,재고자산 회수기간,단순 FCFF (잉여현금흐름),F스코어 지배주주순익>0 여부,F스코어 영업활동현금흐름>0 여부,F스코어 ROA증가 여부,F스코어 영현>순익 여부,F스코어 부채비율감소 여부,F스코어 유동비율증가 여부,F스코어 신주발행X 여부,F스코어 매출총이익률증가 여부,F스코어 총자산회전율증가 여부,F스코어 점수 (9점만점),매출액 17년->20년 3년간 YOY,매출액 연환산 YOY,매출액 18년 YOY,매출액 19년 YOY,매출액 20년 YOY,매출액 20년2Q YOY,매출액 20년3Q YOY,매출액 20년4Q YOY,매출액 21년1Q YOY,매출액 21년2Q(E) YOY,매출액 20년2Q QOQ,매출액 20년3Q QOQ,매출액 20년4Q QOQ,매출액 21년1Q QOQ,매출액 21년2Q(E) QOQ,영업이익 17년->20년 3년간 YOY,영업이익 연환산 YOY,영업이익 18년 YOY,영업이익 19년 YOY,영업이익 20년 YOY,영업이익 20년2Q YOY,영업이익 20년3Q YOY,영업이익 20년4Q YOY,영업이익 21년1Q YOY,영업이익 21년2Q(E) YOY,영업이익 20년2Q QOQ,영업이익 20년3Q QOQ,영업이익 20년4Q QOQ,영업이익 21년1Q QOQ,영업이익 21년2Q(E) QOQ,순이익 17년->20년 3년간 YOY,순이익 연환산 YOY,순이익 18년 YOY,순이익 19년 YOY,순이익 20년 YOY,순이익 20년2Q YOY,순이익 20년3Q YOY,순이익 20년4Q YOY,순이익 21년1Q YOY,순이익 21년2Q(E) YOY,순이익 20년2Q QOQ,순이익 20년3Q QOQ,순이익 20년4Q QOQ,순이익 21년1Q QOQ,순이익 21년2Q(E) QOQ,EPS 17년->20년 3년간 YOY,EPS 연환산 YOY,EPS 18년 YOY,EPS 19년 YOY,EPS 20년 YOY,EPS 20년2Q YOY,EPS 20년3Q YOY,EPS 20년4Q YOY,EPS 21년1Q YOY,EPS 21년2Q(E) YOY,EPS 20년2Q QOQ,EPS 20년3Q QOQ,EPS 20년4Q QOQ,EPS 21년1Q QOQ,EPS 21년2Q(E) QOQ,17년 매출액,17년 영업이익,17년 순이익,18년 매출액,18년 영업이익,18년 순이익,19년 매출액,19년 영업이익,19년 순이익,20년 매출액,20년 영업이익,20년 순이익,17년 EPS,18년 EPS,19년 EPS,20년 EPS,매출액 19년 2Q,매출액 19년 3Q,매출액 19년 4Q,매출액 20년 1Q,매출액 20년 2Q,매출액 20년 3Q,매출액 20년 4Q,매출액 21년 1Q,영업이익 19년 2Q,영업이익 19년 3Q,영업이익 19년 4Q,영업이익 20년 1Q,영업이익 20년 2Q,영업이익 20년 3Q,영업이익 20년 4Q,영업이익 21년 1Q,순이익 19년 2Q,순이익 19년 3Q,순이익 19년 4Q,순이익 20년 1Q,순이익 20년 2Q,순이익 20년 3Q,순이익 20년 4Q,순이익 21년 1Q,EPS 19년 2Q,EPS 19년 3Q,EPS 19년 4Q,EPS 20년 1Q,EPS 20년 2Q,EPS 20년 3Q,EPS 20년 4Q,EPS 21년 1Q,EPS 21년 2Q(E),발표치 21년2Q  매출액,발표치 21년2Q  영업이익,발표치 21년2Q  순이익
A000020,동화약품,제약 및 바이오,제약,코스피,15150,4232,2793,32,1.1,0,5.2,2,1.7,3.4,5.2,-16.1,-33.8,32.3,33.49,51.5,49.9,4.5,9.37,9.5,11.03,8.27,8,9.29,7.33,11,11.89,25.65,14.11,1.53,1.5,1.4,0.159529,-2.48235,17.09,1.87,0.5,1.05,1.26,13.3,13.41,13.35,13.56,16.88,8.72,16.55,15.97,14.69,30.88,274,333.02,28,29,161,5,17.43,1.19,77.91,2.17,0.92,0.85,0.03254,0.73707,961,3297,2268,404,690,61,4258,2829,265,312,12027,1118,366,1426,385,-474,-79,220,180,129.4,60.37,34.09,114.34,279.57,14900,14650,14400,18050,22900,26750,13750,1,1,1,1,57,10,0.01,0.22,0.23,-0.01,0.17,0.16,0.01,0.31,0.32,0.06,-0.17,-0.11,0.15,-0.4,-0.25,48,152,0.82098,-36,-23,603,1,0,0,0,0,9584,11627,0,1,20210817,2.1,25,189.3,-39.8,61.8,92.5,68.5,13.2,9.7,9.7,9.5,78,110,165,1,1,1,1,0,0,1,1,0,6,5.1,-3.9,18.4,0.2,-11.4,-6.8,-10.3,-17.6,7.2,8.5,4.2,-4.7,3.2,4.6,5.5,110.9,55.4,1.8,-14.3,141.7,819.4,949.1,-5.6,89.1,15.7,129.9,15.7,-2.4,-27.1,40.7,-39.4,84.8,-78.5,-9.9,213.2,1168.7,4903,1.3,140.9,-6.8,197.3,74.9,-33.9,-29.9,15,-39.4,85,-78.5,-9.9,213.2,1168.7,4902.1,1.3,140.9,-6.8,197.4,74.9,-33.9,-29.9,15,2589,110,470,3066,112,101,3072,96,91,2721,232,285,1683,362,326,1020,749,742,833,670,698,666,687,718,-9,7,74,27,62,72,70,51,-6,2,77,23,67,118,78,54,-23,8,274,81,241,421,278,195,224,758,72,63
A000040,KR모터스,자동차 및 관련부품,완성차,코스피,1135,1091,9614,1,0,4.9,2.7,-3.8,-12.7,-3.8,-21.7,9.7,64.5,-51,12.7,17.6,15.29,-28.6,0.42,3.53,-8.5,-4.86,-65,-25.73,-6.51,-71.74,-7.18,-21.39,-6.59,0.97,0.92,0.72,-0.127962,-0.06268,-30.02,3.29,0.81,2.34,2.78,-4.5,-10.8,-12.5,-10.8,-14.78,40.61,-1759.68,218.2,20.35,-45.28,50,71.72,212,278,0,86,0,0,0,0,0,0,0.04716,0.77528,1141,411,647,196,158,0,1552,1188,5,-101,408,-108,32,197,-15,-43,97,36,0,7.04,7.48,8.12,-5.93,-13.32,1300,1180,1450,1035,690,1450,671,0,0,0,0,78,69,0,0.14,0.14,0,0.06,0.06,0.02,-0.03,-0.01,0.05,0.08,0.13,-0.42,0.09,-0.33,18,243,-1.56223,-195,-213,1977,1,0,0,0,0,-1088,-1287,0,1,20210517,1185.3,1595.2,74.6,-167.1,103,66.3,86,10.5,118.6,108.4,100,51,78,-51,0,0,0,1,1,1,0,1,0,4,182.5,-9,-12.2,262.3,-11.2,-9.2,-14.5,-21,-20.5,21.7,9.3,-6.8,-0.3,-21.7,67.4,104.6,102.8,37.3,-51.5,104.9,133,102.6,99.9,-331.9,77.2,95.9,-86.9,-122.2,-3968.2,249.7,73.6,69.3,23.8,-73.1,80,85.5,76.2,78.8,-76.2,-252.3,33.4,-124.6,-379.4,75.4,-33.1,91.1,84.4,26,-17.9,89.8,92.6,87.9,89.2,-68,-235.8,33.4,-124.5,-379.6,76.6,-33.1,417,-260,-307,366,-163,-234,1326,-247,-405,1178,12,-81,-996,-737,-868,-88,344,340,367,286,312,291,290,227,-23,-38,-155,4,8,1,0,-9,-36,-50,-267,-8,-5,-12,-56,-14,-77,-106,-571,-9,-6,-13,-62,-14,-19,380,13,-18
A000050,경방,섬유 및 의류,섬유,코스피,13350,3660,2742,194,7.1,0,-1.5,-6.3,0.4,-11.9,12.7,7.2,23.6,-1.8,8.6,32.5,39.64,10.3,10.79,9.17,8.04,11.05,3.7,3.68,2.18,31.58,-14.52,-24.24,-13.86,1.08,1.06,0.97,-0.422115,0.1028,6.32,1.03,0.28,0.5,0.48,13.6,12.23,15.89,13.17,8.81,8.06,11.43,9.81,10.61,-116.26,25,35.87,71,71,13,33,24.96,0.94,31.54,1.35,0,0.67,0.02203,0.15558,5313,7451,1058,321,10365,843,12764,3456,373,278,27556,1014,728,1099,116,874,-1011,267,125,7.45,6.27,5.4,18.91,37.89,13300,15150,11850,12450,10800,15650,10300,0,0,0,0,85,30,0,-0.04,-0.04,0.01,-0.09,-0.08,0.08,-0.32,-0.24,-0.06,-0.57,-0.63,-0.04,-0.7,-0.74,114,71,1.76238,31,-6,481,1,0,0,0,0,17535,12426,0,1,20210813,28.8,13.5,-16.9,-143.9,66,-33.9,-32.8,-9.2,2.3,2.3,62.5,39,51,-151,1,1,0,0,1,0,1,1,1,6,-8.8,3.8,-2.6,-2.1,-4.3,6.2,4.3,-7.7,11.6,9,16.5,-2.2,0.4,-2.5,13.8,-48.2,72.3,-3.1,-22,-31.6,-58,8.2,-1.5,320.1,157.9,5.3,43.4,119.9,26.5,-35.4,-48.6,-31.3,-20.2,115.8,-70.2,177,532.1,-82.6,316.1,85.7,276.6,-31.3,76,1.1,51.8,-48.6,-31.2,-20.2,115.8,-70.2,177,532.2,-82.6,316.1,85.7,276.7,-31.3,76.1,1.1,51.8,3608,423,253,3514,410,202,3439,320,436,3292,219,130,923,737,1590,474,812,808,918,740,862,843,847,826,80,44,107,32,33,48,105,133,20,-9,389,-32,56,38,68,68,74,-32,1420,-115,204,140,247,249,379,940,86,104
A000060,메리츠화재,금융,손해보험,코스피,25250,30458,12063,729,6,6.1,-0.4,-1,15.3,46.4,57.8,66.7,96.5,37.6,29.13,79,79.34,5.7,7.45,8.95,5.37,6.58,14.9,20.82,2.03,1.42,0.52,1.42,0.53,0.32,0.32,0.31,0.145432,0.102882,7.24,1.55,0.54,0.99,1.23,6.6,5.53,6.62,5.89,4.64,4.38,4.76,4.25,3.41,-761.28,0,0,995,999,86,32,35.04,5.07,98.36,8.77,2.26,3.62,0.02293,0.48605,231871,23208,0,0,-7636,6,255079,96320,7175,5173,20599,4344,6951,74333,21477,-22579,-1394,31,1280,49.5,56.09,75.49,-11.75,-34.43,21900,17250,16000,15150,12850,25900,12350,0,1,1,1,97,104,0.06,-0.03,0.03,0.37,-0.1,0.27,1.14,-0.18,0.96,1.87,-0.49,1.38,1.41,0.42,1.83,26,127,0.21596,15,108,138,1,0,1,0,0,29087,52558,0,1,20210517,8.2,2.3,48.2,510,51.7,32.9,51.4,5.9,-2.8,-8.4,120.5,35,0,21446,1,1,1,1,0,0,0,1,1,6,42.8,10.8,10.6,13.7,13.6,14.9,12.5,10.8,10.1,10,1.6,1.2,4.2,2.8,1.5,18.4,68.1,-39.1,12.8,72.3,24.3,51.2,399.4,22.2,52.6,0,5.7,4.2,11.1,24.8,12.3,47.1,-39.1,28.5,43.5,25.4,48.1,64.4,28,53.9,3.7,3.9,0.2,18.5,24.8,2.7,40.5,-40.9,28.5,35.2,25.4,48.1,54.9,20.6,45.1,3.7,3.9,-5.6,18.5,24.8,64287,5136,3838,71073,3127,2338,80830,3528,3004,91806,6080,4311,3478,2057,2643,3574,19721,20396,21569,22312,22668,22937,23889,24564,1176,1022,322,1463,1462,1545,1610,1788,850,748,675,1027,1066,1108,1110,1315,748,658,594,904,938,974,920,1090,1360,24930,2231,1640
A000070,삼양홀딩스,지주사,지주사,코스피,110000,9421,856,113,13.2,0,-3.1,0.9,3.8,-3.5,24.4,62.2,60.3,10,16.64,22.3,24.26,5.1,10.89,14.66,7.56,8.98,3.6,12.61,6.09,3.45,11.49,9.84,-5.96,0.37,0.34,0.3,0.007682,0.008718,2.55,1.48,0.24,0.57,0.57,15.5,3.89,6.11,4.48,3.34,4.37,4.25,3.11,2.05,-30.23,131,169.98,83,116,18,55,17.04,2.05,29.66,3.36,1.26,1.46,0.02683,0.61517,18557,15953,15709,3641,7343,2871,34510,27803,3029,2101,194498,24534,3147,5752,2731,-1423,-558,1774,2250,85.48,54.71,48.84,56.24,75.01,106000,114000,88400,67800,68600,144000,61000,0,0,1,1,76,80,0.02,-0.13,-0.11,0.01,-0.38,-0.37,0.02,-0.74,-0.72,-0.38,-1.39,-1.77,-0.57,-0.17,-0.74,159,137,1.13837,50,173,76,1,1,0,0,0,165201,300726,0,1,20210517,11.3,17.1,451,1840,207.6,500,484.5,8.9,16.8,16.8,157.1,48,66,957,1,1,1,1,1,0,1,1,0,7,3.1,13.5,7,-2.9,-0.7,-6.5,0.1,3.4,17.3,35.5,-3,11.3,0.7,7.9,12.1,72.4,249,40.2,-42.7,114.5,-13.4,70.3,342.8,157,241.4,3.5,88.1,-35.9,106.1,37.5,171.4,583.1,85.7,-55.9,231.1,-22.6,82.2,281.4,224.5,383,-36.9,78.5,48,94.6,-6,171.4,583.2,85.7,-55.9,231.1,-22.6,82.2,281.4,224.5,383.1,-36.9,78.5,48,94.6,-6,23963,988,377,25635,1385,700,24886,794,309,24712,1703,1023,4402,8174,3608,11945,6198,6445,6280,5973,5795,6451,6494,7007,389,372,-167,326,337,634,406,837,189,143,-213,231,146,260,386,750,2202,1669,-2481,2699,1704,3041,4502,8760,8231,7852,1151,705
A000080,하이트진로,식음료,음료,코스피,31900,22373,7013,148,2.1,0,1,-4.9,-8.6,-11.6,-6,-5.5,-18,90.4,25.21,43.1,42.64,5.9,8.2,7.54,3.18,4.19,2.3,6.63,1.84,3.1,1.21,3.7,1.32,0.99,1,0.99,9.81875,-0.737188,65.35,2.9,1,1.57,2.08,65.5,30.76,27.15,31.42,23.59,7.37,11.46,12.17,13.12,-60.24,63,72.97,267,267,16,118,60.43,2.35,-22.02,4.97,2.35,1.68,0.01812,0.50853,28088,10508,14611,1968,2277,15,38596,22414,1838,712,15320,1015,3552,9726,7218,-1443,-2484,1168,750,82.27,104.38,91.51,-21.18,-10.1,34900,36100,33950,33750,38900,40100,31300,0,0,0,0,80,2,0.04,-0.04,0,-0.12,-0.2,-0.31,-0.91,-0.37,-1.28,-0.49,-2.04,-2.53,0.19,-2.55,-2.36,39,108,2.59531,-66,-61,985,1,0,0,0,0,10672,12449,0,1,20210813,-2.4,-1.5,1264.3,106.2,-6,1.6,1.3,6.1,1.9,1.9,60,53,56,6050,1,1,1,1,0,1,1,0,0,6,19.4,1.7,-0.2,7.9,10.9,10.9,18,-7.5,0.2,-2.8,8.9,7.3,-17.2,3.6,5.7,127.4,-4.3,3.6,-2.4,125.1,411,30.9,-27,-5.7,-21.2,-3.6,19,-62.9,121.7,-19.5,582.7,3.2,74.8,-290.5,305,219.4,24.8,44.9,-12.9,-32,4.4,-7.5,-143,310.1,-18.6,582.7,3.2,74.8,-290.5,305,219.4,24.8,44.9,-12.9,-32,4.4,-7.5,-143,310.1,-18.6,18899,873,127,18856,904,222,20351,882,-423,22563,1985,867,181,317,-603,1236,5244,5291,5586,5339,5816,6243,5166,5351,106,492,327,561,541,644,239,529,-292,259,-251,334,349,323,-139,291,-417,369,-358,476,497,460,-198,415,338,5655,426,237
A000100,유한양행,제약 및 바이오,제약,코스피,60900,42614,6997,126,1.8,0.1,0,0.3,-0.3,-4.8,-2.6,-1.8,-3.1,52.7,23.21,34.5,30.33,4.5,4.98,5.41,5.74,7.88,6.9,5.18,3.9,33.92,8.05,57.66,8.62,2.53,2.5,2.46,-1.03492,51.9833,98.47,2.85,1.1,1.91,2.26,27.9,42.79,43.67,43.57,31.19,24.5,43.89,50.19,45.48,14.78,213,270.58,35,35,75,7,12.94,0.63,29.38,1.17,0.51,0.45,0.02022,0.85335,6506,18553,12804,2701,8434,5347,25059,17035,849,978,27002,1398,1566,5820,1256,-1489,235,517,382,62.26,107.04,96.52,-41.83,-35.5,61100,64000,62500,62008,62870,79200,55406,1,0,0,0,77,10,0.03,0.01,0.04,0.17,-0.03,0.14,0.08,-0.23,-0.15,-1.08,-0.82,-1.9,-0.46,-2.32,-2.78,26,105,1.22313,-66,-71,1101,1,0,0,0,0,20410,17142,0,1,20210729,24.6,19.3,-37.4,372.7,54.2,-48.8,-45.8,11.4,7.1,6.9,733.3,87,89,739,1,1,0,1,0,0,0,1,1,5,10.8,13.2,3.9,-2.5,9.4,15.6,12.4,17.2,21,4.3,32.6,3.4,7.4,-17.9,14.3,-5,74.7,-43.5,-75,574.4,758.5,509,218.8,1194.3,-34.3,3220,-42.9,33.3,-48.8,68.5,76.9,-42,-47.2,-30.4,382,520.9,112.1,173,-82.2,0.7,-70.7,-10.3,-58.3,62.6,65.7,76,-42.1,-47.3,-30.6,381.3,519.7,111.7,172.5,-82.2,0.6,-70.7,-10.3,-58.3,62.5,65.7,14622,887,1090,15188,501,575,14804,125,400,16199,843,1928,1567,825,573,2758,3594,3823,3937,3133,4155,4297,4614,3790,-54,33,85,11,357,204,272,139,55,143,46,1158,339,304,127,206,78,206,67,1657,485,435,181,295,488,4333,234,342
A000120,CJ대한통운,운송 및 물류,육상운송,코스피,168500,38439,2281,287,12.6,0,1.5,0.6,-6.1,-0.6,-1.2,2.7,10.9,9.1,10.83,9.2,8.29,3.1,2.91,3.3,0.31,-1.89,2.2,1.02,0.37,5.23,355.92,6.61,-18.95,0.35,0.35,0.35,-1.7961,-0.072774,124.82,2.1,0.7,1.41,1.13,62.5,96.54,32.01,110.46,-18.55,8.25,12.19,11.94,10.61,-65.75,115,115.77,140,170,10,77,0,0,0,0,0,0,0.01912,0.61128,58583,34483,33308,244,20530,813,93066,110556,3220,348,148887,1526,7971,10028,7348,-2281,-4856,1529,0,53.06,74.49,79.59,-28.77,-33.33,179500,169500,170500,164000,152000,189500,145500,1,0,0,0,89,16,0.03,0,0.02,-0.02,-0.14,-0.17,-0.27,-0.44,-0.71,-0.28,0.41,0.13,-0.53,1.32,0.79,85,61,0.55573,-56,-89,1312,1,0,0,0,0,72583,18613,0,1,20210806,-4.1,-2.4,-54,99.8,-7,-63.5,-65.4,6.2,10.9,10.9,11.1,42,1,5819,1,1,1,1,1,1,1,0,0,7,51.6,4.2,29.7,13,3.5,4.5,5.8,0.5,7,3.7,5.4,4.7,2.4,-5.2,2,38,-3,3,26.6,5.9,16.8,4.3,-10.4,-17.3,8,44.1,10.3,-1.9,-47,88.2,162.8,-61.5,12.6,-24.7,209.8,146.5,598.1,-10,-18.8,-254.9,112.2,26.2,-25,-59.5,-504.8,162.8,-61.5,12.6,-24.7,209.8,146.5,598.1,-10,-18.8,-254.9,112.2,26.2,-25,-59.5,-504.8,71104,2357,468,92197,2427,527,104151,3072,397,107811,3253,1230,2052,2310,1740,5392,25348,26218,28257,25154,26500,27745,28413,26926,718,887,1013,582,839,925,908,481,136,60,351,158,334,422,316,128,595,265,1541,691,1466,1850,1387,561,-2271,27472,906,-518
A000140,하이트진로홀딩스,지주사,지주사,코스피,14500,3365,2321,184,7.9,0,1.4,-3.7,-9.4,-15,-5.2,-7.3,-27.1,79.7,25.1,43.6,43.19,6.5,8.84,8.19,2.57,2.14,1.9,11.28,1.47,0.48,0.18,0.57,0.2,0.15,0.15,0.15,0.108303,-0.173449,3.87,1.1,0.3,0.56,0.66,26.9,5.41,5.15,5.87,6.99,3.65,1.61,1.71,1.83,-575.1,52,59.56,324,687,11,176,13.59,2.76,46.24,4.99,0.74,1.97,0.01782,0.63412,34080,4961,14728,1987,2639,103,39041,22309,1973,573,21895,2468,3619,9797,7067,-1523,-2396,1182,400,3.32,3.97,3.3,-16.4,0.66,16000,17050,15300,15650,19900,19900,14300,0,0,0,0,73,1,0,0.03,0.03,0.03,-0.04,-0.01,0.08,-0.23,-0.15,-0.37,-0.08,-0.45,-0.78,0.11,-0.67,66,120,1.54392,24,108,137,1,1,0,0,0,18040,30264,0,1,20210813,-2.9,-1.4,14388.6,112.8,-4.3,52.1,40.2,6.8,10.1,10.1,37.5,53,57,5885,1,1,1,1,1,1,1,0,0,7,19.4,1.7,-0.2,8,10.9,11,18,-7.6,0.2,-2.9,9.1,7.2,-17.3,3.6,5.7,110.3,-2.7,3.4,-2.5,108.6,287.2,30.6,-22.8,-3.1,-19.8,-1,17.7,-59.8,106.6,-18.1,547.9,54.2,81.3,-692.6,401.4,221,33.9,418.2,8.1,-40.3,74.3,-26.3,20.6,-30.3,-3.7,547.9,54.2,81.2,-692.6,401.4,221,33.9,418.1,8.1,-40.3,74.3,-26.3,20.6,-30.3,-3.7,18812,1001,-144,18767,1035,-27,20263,1009,-214,22470,2105,645,-621,-116,-922,2779,5221,5267,5566,5315,5797,6217,5141,5324,148,518,353,581,575,677,272,563,-166,111,-56,116,201,148,179,125,-717,478,-243,498,868,640,772,538,519,5627,461,120
A000150,두산,지주사,지주사,코스피,88900,14690,1652,300,18.2,0,0,-8.1,-15.7,19.3,82.5,81.1,100,6,10.37,15.1,18.91,5.3,5.33,8.35,-0.08,1.16,-0.9,-0.7,-0.05,2.32,1.26,3.66,1.58,0.09,0.09,0.1,-0.978534,0.067795,-88.59,1.8,0.4,0.86,0.79,-104.5,-91.73,-8.26,-112.14,9.01,7.19,2.47,1.67,1.25,-652.08,68,83.92,281,1268,5,157,0,2.25,-54.85,7.32,2.42,1.61,0.03504,0.77368,231966,18292,136175,25797,23915,2290,250258,164908,8794,-131,113166,-793,12805,26003,6328,5596,5162,2315,2000,52.27,66.03,67.59,-20.84,-22.67,105500,74500,48700,49100,44450,115000,41750,0,0,0,1,77,113,0.01,-0.01,0,-0.17,0.03,-0.14,-1.01,1,-0.01,-0.81,2.55,1.74,1.72,3.85,5.57,127,97,28.6857,-48,-110,1537,1,1,0,0,0,46066,-9710,0,1,20210813,-10.5,-7.9,-105.3,-56.7,80.7,-118.2,-112.1,-1.1,42.9,42.9,-28.6,58,65,4013,0,1,0,1,1,1,1,0,0,5,0.3,-5.1,3.2,3.4,-5.9,-10.5,-0.9,-7.8,5.1,-16.6,-2.2,-0.2,1.4,6.1,-22.3,-76.4,71.5,0.8,4.4,-77.6,-98.2,19.9,-112,403.6,3612.8,-90,2652,-113.5,1456.6,-26.3,-1462.8,-117.3,-387.9,459.6,-231.6,-420.1,59.2,-148.2,192.5,132.9,36.4,83.8,-964.6,184.2,-77.4,-2110,-114.6,-403.1,603.9,-231.6,-548.6,42.8,-148.2,192.5,132.9,36.4,83.8,-964.6,184.2,-77.4,169134,11676,406,174493,11764,-1169,180416,12286,4204,169693,2750,-5533,1666,-5049,25442,-33485,47012,42394,46179,43019,42092,41995,42588,45203,4475,1813,2446,790,79,2174,-293,3980,388,-493,4443,-1950,-1241,-201,-2142,1804,1674,-2128,26887,-11799,-7509,-1217,-12961,10918,2468,35123,2933,408
