,회사명,업종 (대),업종 (소),코스피 코스닥,주가 (원),시가총액 (억),상장주식수 (만주),자사주 (만주),자사주 비중 (%),주식수 증가율 (%),1일 등락률 (%),5일 등락률 (%),1개월 등락률 (%),3개월 등락률 (%),6개월 등락률 (%),9개월 등락률 (%),1년 등락률 (%),3년 등락률 (%),과거 GP/A (%),과거 GPM (%),분기 GPM (%),5년평균 OPM,발표 OPM (%),발표 분기 OPM (%),발표 NPM (%),발표 분기 NPM (%),5년평균 ROE,발표 ROE (%),과거 ROA (%),과거 PCR,분기 PCR,과거 PFCR,분기 PFCR,과거 PSR,발표 PSR,발표 분기 PSR,발표 PEG,발표 분기 PEG,PER  곱하기PBR,고점 PBR,저점 PBR,5년평균 PBR,발표 PBR,5년평균 PER,자사주반영 PER,과거 PER,발표 PER,발표 분기 PER,과거 EV/EBITDA (%),과거 POR,발표 POR,발표 분기 POR,청산가치비율 (NCAV전략) (%),당좌 비율 (%),유동 비율 (%),단순 부채비율 (%),보수적 부채비율 (%),영업이익/차입금 (%),차입금 비율 (%),배당 성향 (%),시가 배당률 (%),DPS  성장률 (%),시가 배당률 고점,시가 배당률 저점,국채시가 배당률,주가 변동성,베타 (52주),부채 (억),자본 (억),유동자산 (억),재고자산 (억),투자자산 (억),지분투자 (억),총자산 (억),매출액 (억),영업이익 (억),순이익(지배) (억),BPS,EPS,EBITDA (억),매출총이익 (억),영업활동현금흐름 (억),투자활동현금흐름 (억),재무활동현금흐름 (억),설비투자 (억),DPS (원),거래대금 (당일 억),거래대금 (5일평균 억),거래대금 (20일평균 억),거래대금 증가율(5일대비),거래대금 증가율(20일대비),1개월전 주가,3개월전 주가,6개월전 주가,9개월전 주가,1년전 주가,52주 신고가,52주 신저가,주가>5이평,주가>20이평,주가>60이평,주가>120이평,신고가율 (%),신저가율 (%),당일 기관(%),당일 외인(%),당일 수급(%),주간 기관(%),주간 외인(%),주간 수급(%),1개월 기관(%),1개월 외인(%),1개월 수급(%),3개월 기관(%),3개월 외인(%),3개월 수급(%),6개월 기관(%),6개월 외인(%),6개월 수급(%),고점대비 PBR괴리율,저점대비 PBR괴리율,이익의 변동성,상속세 괴리율 (%),예상가 괴리율 (%),예상가 매력등수,본사 국내 =1,지주사 =1,금융 =1,스팩 =1,관리 종목 =1,상속 주가 (원),예상 주가 (원),21년 2Q 호실적 100기업,3Q 발표 =1,실적 발표일,GP/A 증가율 (최근분기),GPM 증가율 (최근분기),ROA 증가율 (최근분기),FCFF 증가율 (최근분기),발표OPM증가율(최근분기),발표NPM증가율(최근분기),발표ROE증가율 (최근분기),자산증가율 (최근분기),발표자본증가율 (최근분기),발표BPS증가율 (최근분기),(영업이익/차입금) 증가율,매출채권 회수기간,재고자산 회수기간,단순 FCFF (잉여현금흐름),F스코어 지배주주순익>0 여부,F스코어 영업활동현금흐름>0 여부,F스코어 ROA증가 여부,F스코어 영현>순익 여부,F스코어 부채비율감소 여부,F스코어 유동비율증가 여부,F스코어 신주발행X 여부,F스코어 매출총이익률증가 여부,F스코어 총자산회전율증가 여부,F스코어 점수 (9점만점),매출액 17년->20년 3년간 YOY,매출액 연환산 YOY,매출액 18년 YOY,매출액 19년 YOY,매출액 20년 YOY,매출액 20년3Q YOY,매출액 20년4Q YOY,매출액 21년1Q YOY,매출액 21년2Q YOY,매출액 21년3Q(E) YOY,매출액 20년3Q QOQ,매출액 20년4Q QOQ,매출액 21년1Q QOQ,매출액 21년2Q QOQ,매출액 21년3Q(E) QOQ,영업이익 17년->20년 3년간 YOY,영업이익 연환산 YOY,영업이익 18년 YOY,영업이익 19년 YOY,영업이익 20년 YOY,영업이익 20년3Q YOY,영업이익 20년4Q YOY,영업이익 21년1Q YOY,영업이익 21년2Q YOY,영업이익 21년3Q(E) YOY,영업이익 20년3Q QOQ,영업이익 20년4Q QOQ,영업이익 21년1Q QOQ,영업이익 21년2Q QOQ,영업이익 21년3Q(E) QOQ,순이익 17년->20년 3년간 YOY,순이익 연환산 YOY,순이익 18년 YOY,순이익 19년 YOY,순이익 20년 YOY,순이익 20년3Q YOY,순이익 20년4Q YOY,순이익 21년1Q YOY,순이익 21년2Q YOY,순이익 21년3Q(E) YOY,순이익 20년3Q QOQ,순이익 20년4Q QOQ,순이익 21년1Q QOQ,순이익 21년2Q QOQ,순이익 21년3Q(E) QOQ,EPS 17년->20년 3년간 YOY,EPS 연환산 YOY,EPS 18년 YOY,EPS 19년 YOY,EPS 20년 YOY,EPS 20년3Q YOY,EPS 20년4Q YOY,EPS 21년1Q YOY,EPS 21년2Q YOY,EPS 21년3Q(E) YOY,EPS 20년3Q QOQ,EPS 20년4Q QOQ,EPS 21년1Q QOQ,EPS 21년2Q QOQ,EPS 21년3Q(E) QOQ,17년 매출액,17년 영업이익,17년 순이익,18년 매출액,18년 영업이익,18년 순이익,19년 매출액,19년 영업이익,19년 순이익,20년 매출액,20년 영업이익,20년 순이익,17년 EPS,18년 EPS,19년 EPS,20년 EPS,매출액 19년 3Q,매출액 19년 4Q,매출액 20년 1Q,매출액 20년 2Q,매출액 20년 3Q,매출액 20년 4Q,매출액 21년 1Q,매출액 21년 2Q,영업이익 19년 3Q,영업이익 19년 4Q,영업이익 20년 1Q,영업이익 20년 2Q,영업이익 20년 3Q,영업이익 20년 4Q,영업이익 21년 1Q,영업이익 21년 2Q,순이익 19년 3Q,순이익 19년 4Q,순이익 20년 1Q,순이익 20년 2Q,순이익 20년 3Q,순이익 20년 4Q,순이익 21년 1Q,순이익 21년 2Q,EPS 19년 3Q,EPS 19년 4Q,EPS 20년 1Q,EPS 20년 2Q,EPS 20년 3Q,EPS 20년 4Q,EPS 21년 1Q,EPS 21년 2Q,EPS 21년 3Q(E),발표치 21년3Q  매출액,발표치 21년3Q  영업이익,발표치 21년3Q  순이익
A367460,유안타제7호스팩,금융,스팩,코스닥,2105,116,550,0,0,0,-1.2,-2.3,-6.2,-2.5,0.7,3.2,0,0,0,0,0,0,0,0,0,0,0,0,0,-405.38,0,0,0,0,0,0,0,0,-13688,1.19,1.13,1.17,1.18,-4300,-11600,-11600,-11600,483.33,-400,-400,0,-414.29,-12.93,0,6537890,15,15,-2,15,0,0,0,0,0,0,0,0,15,98,0,0,0,0,113,0,0,0,1778,0,0,0,0,-18,0,0,0,0.55,0.36,0.22,50.59,153.17,2245,2160,2090,2040,0,2350,2005,0,0,0,0,90,5,-0.2,0,-0.2,-0.33,0,-0.33,-0.37,0,-0.37,-3.3,-0.23,-3.53,-18.6,-0.05,-18.65,0,4,-27.8568,-66,0,0,1,0,1,1,0,712,0,0,0,20210811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,68.2,,0,0,0,0,0,0,0,0,0,,0,0,0,185.7,,0,0,0,0,0,0,0,0,0,,0,0,0,185.9,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,,0,0,0
A321260,유진스팩4호,금융,스팩,코스닥,2950,103,349,0,0,100.6,0.7,-7.8,-16.8,-50.8,-31.1,-28.7,-26.4,0,0,0,0,0,0,0,0,0,0.3,0,0,94.51,0,103,0,0,0,0,-102.897,-11.4444,-15553,1.51,1.03,1.07,1.51,399.4,-10300,-10300,-10300,-1287.5,-251.22,-251.22,0,-367.86,-11.65,0,2643110,18,18,-4,16,0,0,0,0,0,0,0.02653,0,12,68,0,0,0,0,80,0,0,0,1947,0,0,0,1,-1,0,0,0,0.55,6.22,3.16,-91.17,-82.61,3545,6000,4280,4140,4010,6000,2850,0,0,0,0,49,4,0,-0.03,-0.03,-0.09,-0.5,-0.59,-0.38,0.74,0.36,-29.19,1.26,-27.93,-41.44,1.25,-40.19,0,46,1.9584,-72,0,0,1,0,1,1,0,799,0,0,0,20210805,100,0,-100,0,0,0,-100,0.7,0.2,-50,-33.3,0,0,1,0,1,0,1,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0,100,0,0,0,12.5,-16.7,-11.1,-16.7,,-16.7,0,-185.7,65,,0,-100,0,0,0,-50,-53.3,-1300,-125,,-25,16.7,-271.4,83.3,,0,-100.1,0,0,0,-49.8,-53.2,-1308.9,-112.5,,-25.2,16.8,-272,91.7,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,9,1,5,3,4,-7,-1,,0,0,0
A365590,엔에이치스팩18호,금융,스팩,코스닥,2230,103,460,0,0,0,-0.5,-5.9,-5.7,-0.4,6.2,8.3,0,0,0,0,0,0,0,0,0,0,0,0,0,-254.64,0,0,0,0,0,0,0,0,-6540.5,1.27,1.17,1.2,1.27,-5820,-5150,-5150,-5150,2575,-468.18,-468.18,0,-286.11,-17.48,0,0,22,22,-1,22,0,0,0,0,0,0,0,0,18,81,0,0,0,0,99,0,0,0,1753,0,0,0,0,0,0,0,0,1,1.41,1.17,-29.06,-14.56,2365,2240,2100,2060,0,2820,2025,0,0,0,0,79,10,-0.04,0,-0.04,-0.26,-0.02,-0.28,-0.33,-0.37,-0.7,5.93,-0.49,5.44,-35.91,-0.08,-35.99,0,8,-4.65986,-68,0,0,1,0,1,1,0,703,0,0,0,20210811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,30.8,,0,0,0,0,0,0,0,0,0,,0,0,0,133.3,,0,0,0,0,0,0,0,0,0,,0,0,0,133.1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,,0,0,0
A225430,케이엠제약,가정용품,개인용품,코스닥,2200,614,2789,0,0,24.2,-1.6,-1.1,-11.8,-24.4,-23.2,-27.3,-31.4,-34,9.34,22.2,22.2,2,0.47,-1.13,0,2.2,-20.6,0,0,18,-5.29,-87.71,-38.78,2.9,2.9,2.8,-48.0889,-2.36679,-6578.57,5.63,0.64,1.93,1.5,-17.3,-4385.71,-4385.71,-4385.71,126.86,496.06,483.46,614,-247.58,12.38,104,126.47,23,23,1,18,0,0,-100,0.24,0,0,0.02313,1.03373,95,408,171,31,142,19,503,212,1,0,1461,-2,1,47,34,-38,106,41,0,1.63,4.6,3.07,-64.52,-46.86,2495,2910,2865,3025,3205,3540,2070,1,0,0,0,62,6,0,0.01,0.01,0,0.03,0.03,0,-0.49,-0.49,-0.07,-2.36,-2.43,0.01,0.75,0.76,275,134,-5.78101,-94,0,0,1,0,0,0,0,112,0,0,0,20210817,-31.3,-17.3,100,93.5,111.2,100,100,8.7,64.4,32.3,120,43,69,-7,0,1,0,1,1,0,0,0,0,3,29.4,-9.6,-2.3,17.3,12.8,-10.3,1.7,-7.1,-19.8,,-24,-2.4,6.1,1.8,,-72,110.1,-36,-193.8,146.7,20.5,126.3,-74.2,-177.5,,-478.8,211.6,-54.4,-140.3,,-75,100,-715,92.7,155.6,17.2,104.1,-95.4,-42.4,,-191.9,120.2,-51.3,536.8,,-96.8,91.2,-204.9,93.2,144.7,17.1,103.3,-96.3,-53.6,,-191.9,116.3,-51.3,536.1,,177,25,20,173,16,-123,203,-15,-9,229,7,5,562,-589,-40,18,58,50,58,68,52,51,54,55,-4,-13,6,1,-3,3,2,-1,-2,-9,4,2,-2,0,0,1,-10,-42,19,9,-9,1,1,4,,0,0,0
A333050,신한제6호스팩,금융,스팩,코스닥,2090,105,501,0,0,0,0,-1.9,-7.9,-3.9,-1.6,1.5,4.8,0,0,0,0,0,0,0,0,0,0.1,0,0,-563.97,0,0,0,0,0,0,0,-1.16808,-4025,1.18,1.1,1.12,1.15,1591.1,-3500,-3500,-3500,-291.67,-308.82,-308.82,0,-328.13,-7.62,0,0,9,9,-4,8,0,0,0,0,0,0,0.01622,0,8,91,0,0,0,0,99,0,0,0,1811,0,0,0,0,0,0,0,0,0.6,0.86,1.03,-30.3,-41.42,2270,2175,2125,2060,1995,2555,2000,0,0,0,0,82,5,0.08,0,0.08,0.1,-0.03,0.07,0.2,-0.18,0.02,-1.43,-0.35,-1.78,-37.52,1,-36.52,2,4,9.73946,-65,0,0,1,0,1,1,0,728,0,0,0,20210817,0,0,-100,0,0,0,-100,0.3,-0.1,-0.3,-33.3,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0,100,0,0,100,0,0,37.5,11.1,,-22.2,54.5,-100,20,,0,-100,0,0,100,0,0,-400,-250,,-16.7,-20,-175,-200,,0,0,0,0,100,0,0,-400.8,-249.7,,-16.3,-20.2,-175,-198.6,,0,0,0,0,0,0,0,-2,-1,0,0,0,0,0,-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,-1,-2,,0,0,0
A373340,유진스팩6호,금융,스팩,코스닥,2320,70,302,0,0,0,-0.2,-5.3,-24.9,-45.3,13.2,0,0,0,0,0,0,0,0,0,0,0,-0.7,0,0,-732.6,0,0,0,0,0,0,0,0,-81655,28,23.33,28,23.33,-4200,-3500,-3500,-3500,-875,-1166.67,-1166.67,0,-291.67,-14.29,0,427931,17,333,-1,288,0,0,0,0,0,0,0,0,10,3,0,0,0,0,13,0,0,0,99,0,0,0,0,-14,14,0,0,3.55,30.98,16.8,-88.55,-78.89,3090,4245,2050,0,0,5130,2045,0,0,0,0,45,13,1.33,0.07,1.39,1.71,0.36,2.07,1.71,-0.18,1.53,1.97,1.05,3.02,-44.26,1.88,-42.38,20,0,-2.82843,-98,0,0,1,0,1,1,0,38,0,0,0,20210813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,,0,0,0
A328380,미래에셋대우스팩3호,금융,스팩,코스닥,2080,135,648,0,0,0,-0.2,-1.2,-3.3,-3.5,-1.9,0,4,0,0,0,0,0,0,0,0,0,0.3,0,0,-543.46,0,0,0,0,0,0,-24.6801,-3.41701,-2889,1.08,1.02,1.05,1.07,455.4,-2700,-2700,-2700,-482.14,-264.71,-264.71,-135,-241.07,-17.04,0,64302.4,18,18,-2,18,0,0,0,0,0,0,0.00841,0,23,126,0,0,0,0,149,0,-1,0,1941,0,-1,0,0,0,0,0,0,0.28,0.48,0.65,-40.9,-56.84,2150,2155,2120,2080,2000,2385,2000,0,0,0,0,87,4,0,0,0,0.48,0,0.48,1.4,-0.03,1.37,3.7,-0.26,3.44,-11.02,0.07,-10.95,0,4,1.93547,-61,0,0,1,0,1,1,0,792,0,0,0,20210812,100,0,-100,0,0,0,-100,0.1,-0.2,-0.3,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0,-112.8,0,0,0,27.3,-36.4,-16.7,-7.7,,38.5,-87.5,6.7,0,,0,-100,0,0,0,650,-133.3,-143.8,-141.2,,-11.8,-140,-16.7,0,,0,-109.4,0,0,0,650.8,-133.3,-143.8,-141.1,,-11.8,-139.9,-17.5,0.5,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,3,2,-1,-1,-1,,0,0,0
A377630,삼성스팩4호,금융,스팩,코스닥,5690,229,402,0,0,0,-0.2,-4.4,-9.8,-21.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3688.9,-2544.44,-2544.44,-2544.44,-636.11,-1761.54,-1761.54,0,-440.38,0,0,147657,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.54,31.87,25.46,-88.9,-86.1,6310,7210,0,0,0,11100,2105,0,0,0,0,51,170,0,0.01,0.01,0,-0.02,-0.02,0,-0.01,-0.01,-0.02,-0.52,-0.54,-33.01,0.02,-32.99,0,0,-2.82843,-100,0,0,1,0,1,1,0,-7,0,0,0,20210813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,3,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,,0,0,0
A140860,파크시스템스,의료기기 및 용품,의료기기,코스닥,104600,6996,669,3,0.4,0.3,-2.3,0.6,-17.6,-18.3,-25.7,16.7,55,175.3,41.92,62.9,64.08,14.9,14.75,-7.86,-0.44,9.58,15.3,-0.63,-0.29,74.03,174.9,-134.54,300.47,10.32,10.32,14.08,-24.4718,-2.26806,-36579.1,19.4,2.56,8.25,14.64,54.3,-2322.67,-2498.57,-2498.57,146.97,53.29,69.64,69.96,-179.02,3.12,172,256.09,113,113,39,54,12,0.17,243.82,0.56,0,0.1,0.02683,0.77448,539,478,757,250,49,0,1017,678,100,-3,7146,-41,130,426,94,-153,246,146,180,13.29,23.6,26.14,-43.66,-49.15,127000,128000,140700,89600,67500,156800,57800,0,0,0,0,67,81,-0.05,-0.01,-0.06,0.09,0.04,0.13,-0.26,0.52,0.26,-1.34,3.04,1.7,-2.71,6.91,4.2,32,471,2.29922,-93,-100,1448,1,0,0,0,0,7175,-545,0,0,20210817,-34.7,-6.6,-101.5,-308,-30.1,-102.1,-102.3,50.1,-1.5,-1.8,-81.9,95,362,-52,0,1,0,1,0,0,0,0,0,2,116.4,4.9,27.1,24.4,36.9,60.1,1.9,21.5,-33,,-11.8,45.7,-36.5,-17.9,,150,-26.7,-5,40.4,87.5,1417.5,-29.6,4.2,-124.4,,-0.5,42.3,-76.2,-172.2,,122.2,-102.2,24.4,51.8,17.6,574.9,-89,-379.6,-64.7,,8.3,-77.8,-830.7,120.1,,119.6,-102.1,23.4,51.4,17.6,574.4,-89,-379.2,-64.8,,8.3,-77.8,-829.9,120,,329,60,45,418,57,56,520,80,85,712,150,100,683,843,1275,1500,102,234,125,186,164,238,151,124,3,81,13,40,40,57,14,-10,5,74,21,34,37,8,-59,12,81,1104,318,506,548,122,-889,178,,0,0,0
A331380,유진스팩5호,금융,스팩,코스닥,4125,165,401,0,0,73.6,-0.6,-2.4,-13.5,-25.3,11.7,16.1,19,0,0,0,0,0,0,0,0,0,0.2,0,0,636.62,0,0,0,0,0,0,0,-1.35187,-5185.71,2.2,1.07,1.1,2.2,711.1,-2357.14,-2357.14,-2357.14,-217.11,-270.49,-270.49,-165,-147.32,-5.45,0,0,12,12,-7,12,0,0,0,0,0,0,0.03124,0,9,75,0,0,0,0,84,0,-1,0,1875,0,-1,0,0,0,0,0,0,1.15,7.31,4.51,-84.22,-74.4,4770,5520,3692,3553,3466,6370,3466,0,0,0,0,65,19,0,-0.03,-0.03,0,-0.19,-0.19,0,-0.05,-0.05,-2.19,-0.34,-2.53,-48.61,1.58,-47.03,0,105,15.3018,-81,0,0,1,0,1,1,0,750,0,0,0,20210810,100,0,-100,0,0,0,-100,0.1,0,-42.6,-16.7,0,0,0,0,1,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0,-100,0,0,0,71.4,-40,-5.3,-460,,-20,-16.7,-185.7,-40,,0,-100,0,0,0,143.8,-60,66.7,-205.6,,-61.1,-14.3,-116.7,-1800,,0,0,0,0,0,0,-60.1,66.9,-160.6,,-61.1,-15.1,-116.7,-1001.3,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,-1,8,3,3,0,-5,,0,0,0
