코드 번호,회사명,업종 (대),업종 (소),코스피 코스닥,주가 (원),시가총액 (억),상장주식수 (만주),자사주 (만주),자사주 비중 (%),주식수 증가율 (%),1일 등락률 (%),5일 등락률 (%),1개월 등락률 (%),3개월 등락률 (%),6개월 등락률 (%),9개월 등락률 (%),1년 등락률 (%),3년 등락률 (%),과거 GP/A (%),과거 GPM (%),분기 GPM (%),5년평균 OPM,발표 OPM (%),발표 분기 OPM (%),발표 NPM (%),발표 분기 NPM (%),5년평균 ROE,발표 ROE (%),과거 ROA (%),과거 PCR,분기 PCR,과거 PFCR,분기 PFCR,과거 PSR,발표 PSR,발표 분기 PSR,발표 PEG,발표 분기 PEG,PER  곱하기PBR,고점 PBR,저점 PBR,5년평균 PBR,발표 PBR,5년평균 PER,자사주반영 PER,과거 PER,발표 PER,발표 분기 PER,과거 EV/EBITDA (%),과거 POR,발표 POR,발표 분기 POR,청산가치비율 (NCAV전략) (%),당좌 비율 (%),유동 비율 (%),단순 부채비율 (%),보수적 부채비율 (%),영업이익/차입금 (%),차입금 비율 (%),배당 성향 (%),시가 배당률 (%),DPS  성장률 (%),시가 배당률 고점,시가 배당률 저점,국채시가 배당률,주가 변동성,베타 (52주),부채 (억),자본 (억),유동자산 (억),재고자산 (억),투자자산 (억),지분투자 (억),총자산 (억),매출액 (억),영업이익 (억),순이익(지배) (억),BPS,EPS,EBITDA (억),매출총이익 (억),영업활동현금흐름 (억),투자활동현금흐름 (억),재무활동현금흐름 (억),설비투자 (억),DPS (원),거래대금 (당일 억),거래대금 (5일평균 억),거래대금 (20일평균 억),거래대금 증가율(5일대비),거래대금 증가율(20일대비),1개월전 주가,3개월전 주가,6개월전 주가,9개월전 주가,1년전 주가,52주 신고가,52주 신저가,주가>5이평,주가>20이평,주가>60이평,주가>120이평,신고가율 (%),신저가율 (%),당일 기관(%),당일 외인(%),당일 수급(%),주간 기관(%),주간 외인(%),주간 수급(%),1개월 기관(%),1개월 외인(%),1개월 수급(%),3개월 기관(%),3개월 외인(%),3개월 수급(%),6개월 기관(%),6개월 외인(%),6개월 수급(%),고점대비 PBR괴리율,저점대비 PBR괴리율,이익의 변동성,상속세 괴리율 (%),예상가 괴리율 (%),예상가 매력등수,본사 국내 =1,지주사 =1,금융 =1,스팩 =1,관리 종목 =1,상속 주가 (원),예상 주가 (원),21년 2Q 호실적 100기업,3Q 발표 =1,실적 발표일,GP/A 증가율 (최근분기),GPM 증가율 (최근분기),ROA 증가율 (최근분기),FCFF 증가율 (최근분기),발표OPM증가율(최근분기),발표NPM증가율(최근분기),발표ROE증가율 (최근분기),자산증가율 (최근분기),발표자본증가율 (최근분기),발표BPS증가율 (최근분기),(영업이익/차입금) 증가율,매출채권 회수기간,재고자산 회수기간,단순 FCFF (잉여현금흐름),F스코어 지배주주순익>0 여부,F스코어 영업활동현금흐름>0 여부,F스코어 ROA증가 여부,F스코어 영현>순익 여부,F스코어 부채비율감소 여부,F스코어 유동비율증가 여부,F스코어 신주발행X 여부,F스코어 매출총이익률증가 여부,F스코어 총자산회전율증가 여부,F스코어 점수 (9점만점),매출액 17년->20년 3년간 YOY,매출액 연환산 YOY,매출액 18년 YOY,매출액 19년 YOY,매출액 20년 YOY,매출액 20년3Q YOY,매출액 20년4Q YOY,매출액 21년1Q YOY,매출액 21년2Q YOY,매출액 21년3Q(E) YOY,매출액 20년3Q QOQ,매출액 20년4Q QOQ,매출액 21년1Q QOQ,매출액 21년2Q QOQ,매출액 21년3Q(E) QOQ,영업이익 17년->20년 3년간 YOY,영업이익 연환산 YOY,영업이익 18년 YOY,영업이익 19년 YOY,영업이익 20년 YOY,영업이익 20년3Q YOY,영업이익 20년4Q YOY,영업이익 21년1Q YOY,영업이익 21년2Q YOY,영업이익 21년3Q(E) YOY,영업이익 20년3Q QOQ,영업이익 20년4Q QOQ,영업이익 21년1Q QOQ,영업이익 21년2Q QOQ,영업이익 21년3Q(E) QOQ,순이익 17년->20년 3년간 YOY,순이익 연환산 YOY,순이익 18년 YOY,순이익 19년 YOY,순이익 20년 YOY,순이익 20년3Q YOY,순이익 20년4Q YOY,순이익 21년1Q YOY,순이익 21년2Q YOY,순이익 21년3Q(E) YOY,순이익 20년3Q QOQ,순이익 20년4Q QOQ,순이익 21년1Q QOQ,순이익 21년2Q QOQ,순이익 21년3Q(E) QOQ,EPS 17년->20년 3년간 YOY,EPS 연환산 YOY,EPS 18년 YOY,EPS 19년 YOY,EPS 20년 YOY,EPS 20년3Q YOY,EPS 20년4Q YOY,EPS 21년1Q YOY,EPS 21년2Q YOY,EPS 21년3Q(E) YOY,EPS 20년3Q QOQ,EPS 20년4Q QOQ,EPS 21년1Q QOQ,EPS 21년2Q QOQ,EPS 21년3Q(E) QOQ,17년 매출액,17년 영업이익,17년 순이익,18년 매출액,18년 영업이익,18년 순이익,19년 매출액,19년 영업이익,19년 순이익,20년 매출액,20년 영업이익,20년 순이익,17년 EPS,18년 EPS,19년 EPS,20년 EPS,매출액 19년 3Q,매출액 19년 4Q,매출액 20년 1Q,매출액 20년 2Q,매출액 20년 3Q,매출액 20년 4Q,매출액 21년 1Q,매출액 21년 2Q,영업이익 19년 3Q,영업이익 19년 4Q,영업이익 20년 1Q,영업이익 20년 2Q,영업이익 20년 3Q,영업이익 20년 4Q,영업이익 21년 1Q,영업이익 21년 2Q,순이익 19년 3Q,순이익 19년 4Q,순이익 20년 1Q,순이익 20년 2Q,순이익 20년 3Q,순이익 20년 4Q,순이익 21년 1Q,순이익 21년 2Q,EPS 19년 3Q,EPS 19년 4Q,EPS 20년 1Q,EPS 20년 2Q,EPS 20년 3Q,EPS 20년 4Q,EPS 21년 1Q,EPS 21년 2Q,EPS 21년 3Q(E),발표치 21년3Q  매출액,발표치 21년3Q  영업이익,발표치 21년3Q  순이익,
A000020,동화약품,제약 및 바이오,제약,코스피,17400,4860,2793,25,0.9,0,0.9,-4.9,15.6,19.2,8.1,3,-13.4,97.7,33.63,51.7,50.68,4.8,9.37,9.5,11.03,8.27,8.3,9.21,7.18,14.51,19.29,81,41059.4,1.72,1.72,1.6,0.183059,-2.85147,22.25,1.87,0.5,1.06,1.43,13,15.44,15.56,15.56,19.39,10.08,18.31,18.34,16.88,27.04,278,342.38,27,28,184,4,17.43,1.03,73.86,2.17,0.92,0.57,0.03655,0.69381,960,3388,2274,431,719,61,4348,2829,265,312,12129,1118,379,1463,335,-971,-89,275,180,137.34,389.31,1113.55,-64.72,-87.67,15050,14600,16100,16900,20100,23900,13750,0,0,1,1,73,27,0,0.15,0.15,0.02,-0.03,-0.01,0.08,-1.24,-1.16,-0.02,-0.59,-0.61,0.09,-1.38,-1.29,30,186,0.58661,-44,-34,706,1,0,0,0,0,9625,11320,0,0,20210817,0,16.5,65.1,-84.8,61.8,92.5,69.8,12,8.9,8.9,-27.8,75,115,60,1,1,1,1,0,0,1,1,0,6,5.1,-3.9,18.4,0.2,-11.4,-10.3,-17.6,7.2,8.5,,-4.7,3.2,4.6,5.5,,110.9,55.4,1.8,-14.3,141.7,949.1,-5.6,89.1,15.7,,15.7,-2.4,-27.1,40.7,,-39.4,84.8,-78.5,-9.9,213.2,4903,1.3,140.9,-6.8,,74.9,-33.9,-29.9,15,,-39.4,85,-78.5,-9.9,213.2,4902.1,1.3,141,-6.8,,74.9,-33.9,-29.9,15,,2589,110,470,3066,112,101,3072,96,91,2721,232,285,1683,362,326,1020,742,833,670,698,666,687,718,758,7,74,27,62,72,70,51,72,2,77,23,67,118,78,54,63,8,274,81,241,421,278,195,224,,0,0,0,
A000040,KR모터스,자동차 및 관련부품,완성차,코스피,1005,966,9614,1,0,4.9,-1,-0.5,-5.6,-21.2,-24.4,-2,-0.5,-59.4,12.76,17.5,17.11,-27.9,0.42,3.53,-8.5,-4.86,-65.2,-25.57,-6.2,24.05,5.75,42,6.72,0.81,0.81,0.64,-0.113863,-0.055471,-23.54,3.29,0.83,2.34,2.45,-4.3,-9.56,-9.61,-9.61,-13.08,72.32,185.06,193.2,18.02,-54.35,50,70.48,235,312,1,92,0,0,0,0,0,0,0.03655,0.73963,1234,395,709,209,156,0,1629,1188,5,-101,410,-108,16,208,40,-39,62,17,0,3.13,2.22,2.82,41.11,11.07,1065,1275,1330,1025,1010,1450,882,0,0,0,0,69,14,0,0,0,0,0.03,0.03,0,0.18,0.18,-0.03,0.12,0.09,-0.19,0.02,-0.17,34,195,-1.6411,-208,-224,2017,1,0,0,0,0,-1087,-1253,0,0,20210817,349,456.9,72.8,155.6,103,66.3,67.3,12.9,-6.2,-10.6,103,50,78,23,0,1,0,1,0,0,0,1,0,3,182.5,-9,-12.2,262.3,-11.2,-14.5,-21,-20.5,21.7,,-6.8,-0.3,-21.7,67.4,,104.6,102.8,37.3,-51.5,104.9,102.6,99.9,-331.9,77.2,,-86.9,-122.2,-3968.2,249.7,,73.6,69.3,23.8,-73.1,80,76.2,78.8,-76.2,-252.3,,-124.6,-379.4,75.4,-33.1,,91.1,84.4,26,-17.9,89.8,87.9,89.2,-67.9,-235.8,,-124.5,-379.6,76.6,-33.1,,417,-260,-307,366,-163,-234,1326,-247,-405,1178,12,-81,-996,-737,-868,-88,340,367,286,312,291,290,227,380,-38,-155,4,8,1,0,-9,13,-50,-267,-8,-5,-12,-56,-14,-18,-106,-571,-9,-6,-13,-62,-14,-19,,0,0,0,
A000050,경방,섬유 및 의류,섬유,코스피,13450,3687,2742,220,8,0,1.1,-0.4,-2.5,0,-1.8,1.1,26.9,17.5,9.17,34.1,31.45,10.3,10.79,9.17,8.04,11.05,3.7,3.7,2.16,72.89,-5.8,-53.43,-5.56,1.07,1.07,0.98,-0.424679,0.103617,6.49,1.03,0.28,0.49,0.49,13.2,12.2,13.25,13.25,8.88,7.95,9.89,9.88,10.69,-112.83,26,38.69,71,71,14,35,24.96,0.93,26.64,1.35,0,0.52,0.01972,0.38066,5322,7521,1162,395,10393,820,12843,3456,373,278,27436,1015,778,1177,51,1014,-1234,120,125,1.41,2.9,2.78,-51.36,-49.34,13800,13450,13700,13300,10600,15650,10600,1,0,0,0,86,27,0,-0.01,-0.01,-0.08,-0.06,-0.14,-0.06,-0.09,-0.15,0.01,-0.51,-0.5,-0.11,-0.97,-1.08,110,75,1.52715,30,-10,502,1,0,0,0,0,17486,12108,0,0,20210813,44.2,23.3,-22.7,-376,66,-33.9,-32.6,-11.3,2.1,2.1,133.3,47,63,-69,1,1,0,0,1,0,1,1,1,6,-8.8,3.8,-2.6,-2.1,-4.3,4.3,-7.7,11.6,9,,-2.2,0.4,-2.5,13.8,,-48.2,72.3,-3.1,-22,-31.6,8.2,-1.5,320.1,157.9,,43.4,119.9,26.5,-35.4,,-48.6,-31.3,-20.2,115.8,-70.2,532.1,-82.6,316.1,85.7,,-31.3,76,1.1,51.8,,-48.6,-31.2,-20.2,115.8,-70.2,532.2,-82.6,316.1,85.7,,-31.3,76.1,1.1,51.8,,3608,423,253,3514,410,202,3439,320,436,3292,219,130,923,737,1590,474,808,918,740,862,843,847,826,940,44,107,32,33,48,105,133,86,-9,389,-32,56,38,68,68,104,-32,1420,-115,204,140,247,249,379,,0,0,0,
A000060,메리츠화재,금융,손해보험,코스피,29150,35162,12063,939,7.8,6.1,-1.5,-1.2,-4,27.3,49.9,97,99.7,55.5,29.23,79.7,81.33,5.8,7.45,8.95,5.37,6.58,15.5,21.15,1.97,1.16,0.87,1.16,0.88,0.37,0.37,0.35,0.167901,0.118847,9.79,1.55,0.54,1,1.44,6.4,6.27,6.8,6.8,5.36,4.55,4.9,4.9,3.94,-677.35,0,0,970,974,75,39,35.04,4.39,91.97,8.77,2.26,2.44,0.02533,0.36539,238171,24462,0,0,-7632,6,262633,96320,7175,5173,20279,4344,7728,76788,30217,-28759,-1078,21,1280,58.14,55,67.56,5.72,-13.94,30350,22900,19450,14800,14600,33400,13850,0,0,1,1,87,110,0.02,-0.06,-0.04,0.05,-0.03,0.02,0.57,-0.28,0.29,1.85,-0.19,1.66,2.12,-0.44,1.68,7,166,0.28008,0,75,187,1,0,1,0,0,28959,51168,0,0,20210817,7,2.5,38.7,553,51.7,32.9,55.9,6.1,-5.6,-11,82.9,34,0,30196,1,1,1,1,0,0,0,1,1,6,42.8,10.8,10.6,13.7,13.6,12.5,10.8,10.1,10,,1.2,4.2,2.8,1.5,,18.4,68.1,-39.1,12.8,72.3,51.2,399.4,22.2,52.6,,5.7,4.2,11.1,24.8,,12.3,47.1,-39.1,28.5,43.5,48.1,64.4,28,53.9,,3.9,0.2,18.5,24.8,,2.7,40.5,-40.9,28.5,35.2,48.1,54.9,20.6,45.1,,3.9,-5.6,18.5,24.8,,64287,5136,3838,71073,3127,2338,80830,3528,3004,91806,6080,4311,3478,2057,2643,3574,20396,21569,22312,22668,22937,23889,24564,24930,1022,322,1463,1462,1545,1610,1788,2231,748,675,1027,1066,1108,1110,1315,1640,658,594,904,938,974,920,1090,1360,,0,0,0,
A000070,삼양홀딩스,지주사,지주사,코스피,107500,9207,856,113,13.2,0,-2.7,1.9,-14.7,-1.8,-22.9,29.4,72,17.4,18.47,23.8,26.07,5.3,10.89,14.66,7.56,8.98,4,12.46,5.86,3.12,2.34,10.87,5.02,0.33,0.33,0.29,0.00751,0.008536,2.41,1.48,0.24,0.55,0.55,13.2,3.8,4.38,4.38,3.27,3.45,3.04,3.04,2,-27.8,122,161.87,82,112,24,55,17.04,2.09,29.11,3.36,1.26,1.16,0.02884,0.64635,18966,16867,16406,4077,7895,2913,35833,27803,3029,2101,196937,24534,3961,6622,2948,-2195,-166,2101,2250,24.91,25.96,42.92,-4.05,-41.96,126000,109500,139500,83100,62500,144000,61900,0,0,0,0,75,74,0,-0.09,-0.09,0.01,-0.32,-0.31,0.02,0.08,0.1,0.21,-0.05,0.16,-0.12,-0.07,-0.19,169,129,1.04375,54,172,74,1,1,0,0,0,166178,292910,0,0,20210817,25.7,25.1,504.2,227,207.6,500,483.7,13,17.1,17.1,242.9,45,70,847,1,1,1,1,1,0,1,1,1,8,3.1,13.5,7,-2.9,-0.7,0.1,3.4,17.3,35.5,,11.3,0.7,7.9,12.1,,72.4,249,40.2,-42.7,114.5,70.3,342.8,157,241.4,,88.1,-35.9,106.1,37.5,,171.4,583.1,85.7,-55.9,231.1,82.2,281.4,224.5,383,,78.5,48,94.6,-6,,171.4,583.2,85.7,-55.9,231.1,82.2,281.4,224.5,383.1,,78.5,48,94.6,-6,,23963,988,377,25635,1385,700,24886,794,309,24712,1703,1023,4402,8174,3608,11945,6445,6280,5973,5795,6451,6494,7007,7852,372,-167,326,337,634,406,837,1151,143,-213,231,146,260,386,750,705,1669,-2481,2699,1704,3041,4502,8760,8230,,0,0,0,
A000080,하이트진로,식음료,음료,코스피,35700,25038,7013,148,2.1,0,0.7,2.4,4.8,2.3,0.3,5.8,-4.4,120.4,28.1,42.8,43.58,5.9,8.2,7.54,3.18,4.19,2.5,6.63,2.09,-21.08,-2.11,-10.9,-1.93,1.12,1.12,1.11,10.9875,-0.825,81.92,2.9,1,1.63,2.33,65.4,34.43,35.16,35.16,26.4,9.56,13.62,13.62,14.69,-52.33,53,66.04,218,218,16,110,60.43,2.1,-20.81,4.97,2.35,1.17,0.01702,0.42888,23393,10744,10291,2084,2244,0,34137,22414,1838,712,15319,1015,3422,9599,-1187,-1351,-5267,1111,750,137.6,155.08,117.05,-11.27,17.56,34050,34900,35600,33750,37350,40100,30350,1,1,1,1,89,18,0.09,0.08,0.17,0.34,0.33,0.67,1.2,-0.1,1.1,1.72,-1.52,0.2,2.14,-3.25,-1.11,24,133,1.33226,-70,-66,1035,1,0,0,0,0,10671,12118,0,0,20210813,26.2,-1.5,30.2,-129.9,-6,1.6,1.9,-20.6,1.3,1.3,33.3,53,59,-2298,1,0,1,0,1,0,1,0,1,5,19.4,1.7,-0.2,7.9,10.9,18,-7.5,0.2,-2.8,,7.3,-17.2,3.6,5.7,,127.4,-4.3,3.6,-2.4,125.1,30.9,-27,-5.7,-21.2,,19,-62.9,121.7,-19.5,,582.7,3.2,74.8,-290.5,305,24.8,44.9,-12.9,-32,,-7.5,-143,310.1,-18.6,,582.7,3.2,74.8,-290.5,305,24.8,44.9,-12.9,-32,,-7.5,-143,310.1,-18.6,,18899,873,127,18856,904,222,20351,882,-423,22563,1985,867,181,317,-603,1236,5291,5586,5339,5816,6243,5166,5351,5655,492,327,561,541,644,239,529,426,259,-251,334,349,323,-139,291,237,369,-358,476,497,460,-198,415,338,,0,0,0,
A000100,유한양행,제약 및 바이오,제약,코스피,62200,43523,6997,150,2.1,0.1,-1.6,5.4,-3.6,1,-7,-15.5,7.3,71.8,23.22,33.4,32.57,4.4,4.98,5.41,5.74,7.88,6.6,5.19,3.99,268.37,-15.05,-108.27,-12.92,2.55,2.55,2.51,-1.05677,53.1,102.77,2.85,1.18,1.91,2.31,29.1,43.57,44.49,44.49,31.86,28.31,51.29,51.26,46.45,14.85,244,315.3,30,30,66,7,12.94,0.61,27.08,1.17,0.51,0.34,0.01912,0.9404,5672,18828,12135,2730,8446,5505,24500,17035,849,978,26907,1398,1427,5696,162,-3826,106,564,382,110.51,125.99,132.21,-12.29,-16.41,64500,61600,66900,73600,57989,79200,55406,0,1,1,0,79,12,-0.08,0.05,-0.04,0.04,0.23,0.28,0.01,0.23,0.24,1.35,0.14,1.49,0.27,-1.14,-0.87,23,95,1.05105,-67,-73,1112,1,0,0,0,0,20371,16661,0,0,20210729,16.5,6.1,-43.8,-140.9,54.2,-48.8,-44.9,3.1,5.2,5,22.2,91,88,-402,1,1,0,0,1,1,0,1,1,6,10.8,13.2,3.9,-2.5,9.4,12.4,17.2,21,4.3,,3.4,7.4,-17.9,14.3,,-5,74.7,-43.5,-75,574.4,509,218.8,1194.3,-34.3,,-42.9,33.3,-48.8,68.5,,76.9,-42,-47.2,-30.4,382,112.1,173,-82.2,0.7,,-10.3,-58.3,62.6,65.7,,76,-42.1,-47.3,-30.6,381.3,111.7,172.5,-82.2,0.6,,-10.3,-58.3,62.5,65.7,,14622,887,1090,15188,501,575,14804,125,400,16199,843,1928,1567,825,573,2758,3823,3937,3133,4155,4297,4614,3790,4333,33,85,11,357,204,272,139,234,143,46,1158,339,304,127,206,342,206,67,1657,485,435,181,295,488,,0,0,0,
A000120,CJ대한통운,운송 및 물류,육상운송,코스피,149500,34104,2281,287,12.6,0,0,0.3,-11.5,-18.3,-16.5,-10.5,-16.5,-7.4,11.61,9.1,10.03,3.1,2.91,3.3,0.31,-1.89,2.1,1.01,0.4,6.27,91.68,8.78,-20.91,0.31,0.31,0.31,-1.59268,-0.064574,96.97,2.1,0.77,1.37,0.99,64.4,85.65,97.95,97.95,-16.46,7.36,10.59,10.59,9.41,-77.45,104,105.09,135,152,10,81,0,0,0,0,0,0,0.01732,0.57278,52294,34342,25882,282,20781,820,86636,110556,3220,348,150543,1526,8038,10104,5434,3573,-8234,1550,0,46.79,54.59,67.16,-14.29,-30.33,169000,183000,179000,167000,179000,189500,144500,1,0,0,0,79,3,-0.06,0.03,-0.03,-0.04,-0.12,-0.16,-0.43,-0.33,-0.76,-0.8,-0.51,-1.31,-1.62,0.66,-0.96,112,28,1.91809,-51,-87,1293,1,0,0,0,0,73245,18142,0,0,20210806,-0.4,-5.5,-61.2,-18.1,-7,-63.5,-65.9,-1.2,12.4,12.4,11.1,44,1,3884,1,1,0,1,1,1,1,0,1,7,51.6,4.2,29.7,13,3.5,5.8,0.5,7,3.7,,4.7,2.4,-5.2,2,,38,-3,3,26.6,5.9,4.3,-10.4,-17.3,8,,10.3,-1.9,-47,88.2,,162.8,-61.5,12.6,-24.7,209.8,598.1,-10,-18.8,-254.9,,26.2,-25,-59.5,-504.8,,162.8,-61.5,12.6,-24.7,209.8,598.1,-10,-18.8,-254.9,,26.2,-25,-59.5,-504.8,,71104,2357,468,92197,2427,527,104151,3072,397,107811,3253,1230,2052,2310,1740,5392,26218,28257,25154,26500,27745,28413,26926,27472,887,1013,582,839,925,908,481,906,60,351,158,334,422,316,128,-518,265,1541,691,1466,1850,1387,561,-2271,,0,0,0,
A000140,하이트진로홀딩스,지주사,지주사,코스피,15000,3481,2321,184,7.9,0,0.3,7.1,4.2,-5.1,-8.3,-2.6,-8.8,105.5,28.06,43.4,44.14,6.6,8.84,8.19,2.57,2.14,2.2,11.27,1.66,-2.6,-0.29,-1.41,-0.27,0.16,0.16,0.15,0.112177,-0.179404,4.13,1.1,0.3,0.57,0.68,24.3,5.6,6.08,6.08,7.23,4.87,1.76,1.76,1.89,-545.94,40,50.51,274,579,11,165,13.59,2.67,42.41,4.99,0.74,1.48,0.01702,0.63032,29424,5083,10420,2109,2615,90,34507,22309,1973,573,21903,2468,3492,9671,-1337,-1446,-5181,1125,400,3.58,20.88,6.53,-82.86,-45.16,14400,15800,16350,15400,16450,19300,13550,1,1,1,0,78,11,-0.01,-0.02,-0.03,-0.05,2.36,2.31,-0.04,2.27,2.23,-0.06,1.94,1.88,-0.62,2.18,1.56,61,126,0.65704,20,96,152,1,1,0,0,0,18043,29446,0,0,20210813,25.4,-1,92.2,-132.7,-4.3,52.1,39.2,-19.8,10.7,10.7,22.2,53,61,-2462,1,0,1,0,1,0,1,0,1,5,19.4,1.7,-0.2,8,10.9,18,-7.6,0.2,-2.9,,7.2,-17.3,3.6,5.7,,110.3,-2.7,3.4,-2.5,108.6,30.6,-22.8,-3.1,-19.8,,17.7,-59.8,106.6,-18.1,,547.9,54.2,81.3,-692.6,401.4,33.9,418.2,8.1,-40.3,,-26.3,20.6,-30.3,-3.7,,547.9,54.2,81.2,-692.6,401.4,33.9,418.1,8.1,-40.3,,-26.3,20.6,-30.3,-3.7,,18812,1001,-144,18767,1035,-27,20263,1009,-214,22470,2105,645,-621,-116,-922,2779,5267,5566,5315,5797,6217,5141,5324,5627,518,353,581,575,677,272,563,461,111,-56,116,201,148,179,125,120,478,-243,498,868,640,772,538,519,,0,0,0,
A000150,두산,지주사,지주사,코스피,95600,15797,1652,300,18.2,0,-2.3,0.1,-4.4,-5.3,70.1,73.8,100.8,-1.7,11.68,16.6,17.12,5.5,5.64,8.35,-0.07,1.16,-0.6,-0.73,-0.05,2.39,-19.55,3.15,-5.02,0.09,0.09,0.11,-1.05323,0.072912,-106.22,1.8,0.4,0.86,0.88,-180.8,-98.64,-120.7,-120.7,9.69,4.69,1.59,1.59,1.35,-422.67,86,97.28,262,1298,9,122,0,2.09,-54.55,7.32,2.42,1.16,0.03154,0.7636,232224,17895,165455,18843,21882,2150,250119,176051,9927,-131,108296,-793,16741,29261,6599,6962,4518,1581,2000,25.56,53.13,72.49,-51.89,-64.74,100000,101000,56200,55000,47600,115000,46050,0,0,1,1,83,108,0,0.01,0.02,0.16,-0.06,0.1,1.1,-1.02,0.08,1.32,-0.26,1.06,3.76,2.13,5.89,104,120,27.7692,-53,-109,1544,1,1,0,0,0,44117,-9434,0,0,20210813,27.7,16.6,-116.7,-11.7,129.3,-114.9,-115.2,-1.1,13.4,13.4,200,29,47,5018,0,1,0,1,1,1,1,1,1,7,0.3,8.3,3.2,3.4,-5.9,-0.9,16.4,5.1,13.5,,35.7,27.9,-15.9,-22.3,,-76.4,148.5,0.8,4.4,-77.6,19.9,-65.6,403.6,378.1,,306.1,-61.3,373.6,-26.3,,-1462.8,-117.3,-387.9,459.6,-231.6,59.2,-148.2,192.5,132.9,,83.8,-964.6,184.2,-77.4,,-2110,-114.6,-403.1,603.9,-231.6,42.8,-148.2,192.5,132.9,,83.8,-964.6,184.2,-77.4,,169134,11676,406,174493,11764,-1169,180416,12286,4204,169693,2750,-5533,1666,-5049,25442,-33485,42394,46179,43019,30949,41995,53731,45203,35123,1813,2446,790,-1055,2174,840,3980,2933,-493,4443,-1950,-1241,-201,-2142,1804,408,-2128,26887,-11799,-7509,-1217,-12961,10917,2468,,0,0,0,
