코드 번호	회사명	업종 (대)	업종 (소)	코스피 코스닥	주가 (원)	시가총액 (억)	상장주식수 (만주)	자사주 (만주)	자사주 비중 (%)	주식수 증가율 (%)	1일 등락률 (%)	5일 등락률 (%)	1개월 등락률 (%)	3개월 등락률 (%)	6개월 등락률 (%)	9개월 등락률 (%)	1년 등락률 (%)	3년 등락률 (%)	과거 GP/A (%)	과거 GPM (%)	분기 GPM (%)	5년평균 OPM	발표 OPM (%)	발표 분기 OPM (%)	발표 NPM (%)	발표 분기 NPM (%)	5년평균 ROE	발표 ROE (%)	과거 ROA (%)	과거 PCR	분기 PCR	과거 PFCR	분기 PFCR	과거 PSR	발표 PSR	발표 분기 PSR	발표 PEG	발표 분기 PEG	PER  곱하기PBR	고점 PBR	저점 PBR	5년평균 PBR	발표 PBR	5년평균 PER	자사주반영 PER	과거 PER	발표 PER	발표 분기 PER	과거 EV/EBITDA (%)	과거 POR	발표 POR	발표 분기 POR	청산가치비율 (NCAV전략) (%)	당좌 비율 (%)	유동 비율 (%)	단순 부채비율 (%)	보수적 부채비율 (%)	영업이익/차입금 (%)	차입금 비율 (%)	배당 성향 (%)	시가 배당률 (%)	DPS  성장률 (%)	시가 배당률 고점	시가 배당률 저점	국채시가 배당률	주가 변동성	베타 (52주)	부채 (억)	자본 (억)	유동자산 (억)	재고자산 (억)	투자자산 (억)	지분투자 (억)	총자산 (억)	매출액 (억)	영업이익 (억)	순이익(지배) (억)	BPS	EPS	EBITDA (억)	매출총이익 (억)	영업활동현금흐름 (억)	투자활동현금흐름 (억)	재무활동현금흐름 (억)	설비투자 (억)	DPS (원)	거래대금 (당일 억)	거래대금 (5일평균 억)	거래대금 (20일평균 억)	거래대금 증가율(5일대비)	거래대금 증가율(20일대비)	1개월전 주가	3개월전 주가	6개월전 주가	9개월전 주가	1년전 주가	52주 신고가	52주 신저가	주가>5이평	주가>20이평	주가>60이평	주가>120이평	신고가율 (%)	신저가율 (%)	당일 기관(%)	당일 외인(%)	당일 수급(%)	주간 기관(%)	주간 외인(%)	주간 수급(%)	1개월 기관(%)	1개월 외인(%)	1개월 수급(%)	3개월 기관(%)	3개월 외인(%)	3개월 수급(%)	6개월 기관(%)	6개월 외인(%)	6개월 수급(%)	고점대비 PBR괴리율	저점대비 PBR괴리율	이익의 변동성	상속세 괴리율 (%)	예상가 괴리율 (%)	예상가 매력등수	본사 국내 =1	지주사 =1	금융 =1	스팩 =1	관리 종목 =1	상속 주가 (원)	예상 주가 (원)	21년3Q 호실적 100기업	4Q 발표 =1	실적 발표일	GP/A 증가율 (최근분기)	GPM 증가율 (최근분기)	ROA 증가율 (최근분기)	FCFF 증가율 (최근분기)	발표OPM증가율(최근분기)	발표NPM증가율(최근분기)	발표ROE증가율 (최근분기)	자산증가율 (최근분기)	발표자본증가율 (최근분기)	발표BPS증가율 (최근분기)	(영업이익/차입금) 증가율	매출채권 회수기간	재고자산 회수기간	단순 FCFF (잉여현금흐름)	F스코어 지배주주순익>0 여부	F스코어 영업활동현금흐름>0 여부	F스코어 ROA증가 여부	F스코어 영현>순익 여부	F스코어 부채비율감소 여부	F스코어 유동비율증가 여부	F스코어 신주발행X 여부	F스코어 매출총이익률증가 여부	F스코어 총자산회전율증가 여부	F스코어 점수 (9점만점)	매출액 17년->20년 3년간 YOY	매출액 연환산 YOY	매출액 18년 YOY	매출액 19년 YOY	매출액 20년 YOY	매출액 20년4Q YOY	매출액 21년1Q YOY	매출액 21년2Q YOY	매출액 21년3Q YOY	매출액 21년4Q(E) YOY	매출액 20년4Q QOQ	매출액 21년1Q QOQ	매출액 21년2Q QOQ	매출액 21년3Q QOQ	매출액 21년4Q(E) QOQ	영업이익 17년->20년 3년간 YOY	영업이익 연환산 YOY	영업이익 18년 YOY	영업이익 19년 YOY	영업이익 20년 YOY	영업이익 20년4Q YOY	영업이익 21년1Q YOY	영업이익 21년2Q YOY	영업이익 21년3Q YOY	영업이익 21년4Q(E) YOY	영업이익 20년4Q QOQ	영업이익 21년1Q QOQ	영업이익 21년2Q QOQ	영업이익 21년3Q QOQ	영업이익 21년4Q(E) QOQ	순이익 17년->20년 3년간 YOY	순이익 연환산 YOY	순이익 18년 YOY	순이익 19년 YOY	순이익 20년 YOY	순이익 20년4Q YOY	순이익 21년1Q YOY	순이익 21년2Q YOY	순이익 21년3Q YOY	순이익 21년4Q(E) YOY	순이익 20년4Q QOQ	순이익 21년1Q QOQ	순이익 21년2Q QOQ	순이익 21년3Q QOQ	순이익 21년4Q(E) QOQ	EPS 17년->20년 3년간 YOY	EPS 연환산 YOY	EPS 18년 YOY	EPS 19년 YOY	EPS 20년 YOY	EPS 20년4Q YOY	EPS 21년1Q YOY	EPS 21년2Q YOY	EPS 21년3Q YOY	EPS 21년4Q(E) YOY	EPS 20년4Q QOQ	EPS 21년1Q QOQ	EPS 21년2Q QOQ	EPS 21년3Q QOQ	EPS 21년4Q(E) QOQ	17년 매출액	17년 영업이익	17년 순이익	18년 매출액	18년 영업이익	18년 순이익	19년 매출액	19년 영업이익	19년 순이익	20년 매출액	20년 영업이익	20년 순이익	17년 EPS	18년 EPS	19년 EPS	20년 EPS	매출액 19년4Q	매출액 20년1Q	매출액 20년2Q	매출액 20년3Q	매출액 20년4Q	매출액 21년1Q	매출액 21년2Q	매출액 21년3Q	영업이익 19년4Q	영업이익 20년1Q	영업이익 20년2Q	영업이익 20년3Q	영업이익 20년4Q	영업이익 21년1Q	영업이익 21년2Q	영업이익 21년3Q	순이익 19년4Q	순이익 20년1Q	순이익 20년2Q	순이익 20년3Q	순이익 20년4Q	순이익 21년1Q	순이익 21년2Q	순이익 21년3Q	EPS 19년4Q	EPS 20년1Q	EPS 20년2Q	EPS 20년3Q	EPS 20년4Q	EPS 21년1Q	EPS 21년2Q	EPS 21년3Q	EPS 21년4Q(E)	발표치 21년4Q  매출액	발표치 21년4Q  영업이익	발표치 21년4Q  순이익
A001340	백광산업	화학	기타 화학	코스피	5230	2349	4491	77	1.7	0	0	-3.3	-0.8	-9.4	-16.5	13	50.1	106.7	14.12	26.3	29.25	9.5	8.28	11.28	7.13	8.78	8.1	7.02	3.83	7.06	8.9	-57.29	-9.42	1.29	1.29	1.2	0.526239	0.031846	22.92	1.66	0.51	0.97	1.27	12	17.76	18.05	18.05	13.63	9.65	15.55	15.56	10.61	-45.89	39	52.27	83	83	14	57	21.76	0.96	102.59	3.01	0	0.53	0.03655	1.16858	1545	1852	467	117	39	0	3397	1824	151	130	4123	289	341	479	333	0	4	374	50	15.29	18.35	34.7	-16.68	-55.94	5270	5770	6260	4630	3485	7280	3240	0	0	0	0	72	61	0	0.02	0.01	-0.05	-0.06	-0.1	-0.16	-0.28	-0.44	0.25	-2.96	-2.71	0.86	-1.06	-0.2	30	149	0.38611	-36	-33	765	1	0	0	0	0	3336	3506	0	0	20211115	6.6	4.5	28.9	75	7	26.2	25.5	4.1	6.8	6.8	7.7	45	32	-41	1	1	1	1	1	0	1	1	1	8	18.1	6.2	21	-4	1.7	-0.9	6.4	9	10.5		-3.4	8.2	-5.1	11.4		37.4	13.6	202.2	-22.9	-41	-28.6	9.8	-34.7	236.8		16.7	132	-27.9	72.5		60.3	34.1	254	-28.3	-36.9	18.8	37.7	-39.5	428.1		248.9	21.6	-30.7	79.6		60.3	34.3	254	-28.3	-36.9	18.8	37.7	-39.5	428		248.8	21.6	-30.7	79.6		1450	91	63	1755	275	223	1684	212	160	1713	125	101	140	496	356	225	433	436	404	444	429	464	440	491	27	41	49	16	19	44	32	55	24	25	40	8	28	35	24	43	53	56	88	18	63	77	53	96		0	0	0
A001390	KG케미칼	화학	비료 및 농약	코스피	31950	4430	1386	7	0.5	6.55	-0.2	1.4	-3	-7.4	-5.2	25.8	40.1	89.1	23.94	19.4	20.13	7.2	9.46	11.41	2.04	-0.55	11.1	19.28	2.52	1.6	2.66	2.85	5.46	0.1	0.1	0.08	0.006408	-0.346188	4.41	1.39	0.36	0.85	0.92	6.3	4.77	4.79	4.79	-15.44	3.34	1.03	1.03	0.74	-288.92	67	103.49	182	666	23	105	11.99	1.25	-1.45	8.77	1.43	0.69	0.02964	1.16912	31929	4792	19130	6693	7997	454	36721	45315	4287	924	34560	6729	5575	8776	2767	0	831	1211	400	22.55	22.15	47.5	1.81	-52.53	32950	34500	33700	25400	22800	42700	21800	1	0	0	0	75	47	0	0.07	0.07	-0.03	-0.06	-0.09	0.86	0	0.86	-0.7	-0.27	-0.97	-0.02	-2.61	-2.63	51	155	1.96532	33	152	135	1	0	0	0	0	42781	80715	0	0	20211115	11.7	9.9	626.7	-18.4	55.6	603.4	583.3	23.3	30.9	22.9	64.3	39	67	1556	1	1	1	1	0	1	0	1	1	7	235.3	25.3	16.7	61.2	78.2	7.8	10.7	40.5	42.3		3.9	8.7	19.8	5.2		218.9	94.9	-4.9	62.8	105.9	84	53.6	114.5	115.7		-27	78.6	55.4	6.5		928.6	794.4	-19	2726.5	-55	173.2	716.2	21.8	41		214.2	197.9	7.1	-116.2		878	747.5	-19.6	2605.3	-55	173.2	665.7	14.3	44.6		214.2	179.6	7.1	-116.2		10995	762	42	12828	725	34	20684	1180	961	36864	2430	432	339	273	7385	3320	8833	9349	8826	9166	9523	10351	12400	13041	274	585	651	690	503	899	1397	1487	-190	51	364	-122	139	414	443	-72	-1458	390	2796	-934	1067	2984	3196	-517		0	0	0
A001550	조비	화학	비료 및 농약	코스피	20700	1075	519	0	0	0	0	-0.7	-12.1	-20.8	-16.7	3	10.1	-10.6	18.67	22.1	5.74	3.1	2.56	-18.35	1.35	-23.56	2.3	1.95	1.14	57.48	1.46	358.33	1.53	1.45	1.45	2.73	-1.54531	-0.089482	221.32	4.01	1.03	2.02	2.1	90.1	107.5	105.39	105.39	-11.57	65.04	57.12	56.58	-14.86	11.81	60	139.68	70	72	8	31	0	0	0	0	0	0	0.03134	0.50092	367	512	494	281	18	0	879	743	19	10	9858	196	19	164	19	0	20	16	0	3.6	5.08	11.27	-29.2	-68.05	23550	26150	24850	20100	18800	33250	17700	1	0	0	0	62	17	0	0.02	0.02	0	0.3	0.3	0.01	1.69	1.7	-0.4	-0.05	-0.45	0.31	-1.87	-1.56	91	103	3.56785	-73	-88	1356	1	0	0	0	0	5461	2329	0	0	20211115	0.9	-8.6	-65.4	-92.9	-52.5	-68.7	-68.9	-9.6	0.2	0.2	-57.9	77	179	3	1	1	0	1	1	0	0	0	1	5	23	-0.2	1	17.2	3.9	-8.7	4.5	3.2	-12.3		-29.2	148.6	85	-73.1		137.5	-52.7	18.8	-47.4	280	-86.4	3	-33.2	-59.1		62.6	449.9	76.8	-168.8		172.7	-68.8	-72.7	-133.3	3100	-765.4	166.4	-42.5	-129.3		77.8	740.4	47.6	-209.2		165	-68.2	-73.5	-133.3	3100	-765.2	166.2	-42.6	-129.3		77.8	740.2	47.6	-209.2		599	16	11	605	19	3	709	10	-1	737	38	30	218	58	-19	578	87	189	355	112	80	198	366	99	-2	14	39	-11	-4	15	26	-18	0	5	37	-10	-2	14	21	-23	-5	104	713	-195	-43	278	409	-447		0	0	0
A001570	금양	화학	기타 화학	코스피	4845	2365	4880	240	4.9	10.8	-0.5	1.5	-2.3	-2.8	-11.7	17.5	-9.8	101.5	11.98	18.6	16.57	6	4.76	2.94	0.5	-2.09	-2.7	0.99	0.32	-5.99	-3.67	-4.24	-2.07	1.17	1.17	1.1	2.20417	-0.813889	543.63	3.68	0.82	2.04	2.34	351.2	224.91	232.32	232.32	-52.74	24.22	24.74	24.64	37.44	-4.74	119	175.66	209	210	7	132	0	0	-100	5.24	0	0	0.03665	1.03939	2122	1010	2010	652	390	8	3132	2017	96	10	2069	20	139	376	-394	0	501	164	0	6.14	11.1	25.37	-44.7	-75.8	4960	4985	5490	4125	5370	7550	3880	0	0	0	0	64	25	0	-0.01	-0.01	-0.03	-0.06	-0.09	-0.03	-0.11	-0.14	-0.8	0.04	-0.76	-1.23	0.04	-1.19	57	185	-2.50258	-88	-94	1432	1	0	0	0	0	578	248	0	0	20211115	-13.8	5.9	104.3	-187.6	49.7	105.3	104.8	36	21.8	10	0	111	145	-558	1	0	1	0	0	1	0	1	0	4	-2.3	10.6	13.9	-15.9	2	-11.8	4.4	28.6	28.4		9.1	10.3	3.1	3.4		-54.2	65.5	3.1	-31.9	-34.8	17.4	34.4	154.4	177		147	192.6	-40.5	-35.6		-120.9	105.9	8	-154	64.2	96.3	14.7	125.8	61		82.6	508	-70.4	-286.2		-120.2	105.4	6.7	-153	64.2	96.3	5.6	123.7	64.8		82.6	475.8	-70.4	-282.4		1804	131	187	2054	135	202	1727	92	-109	1762	60	-39	438	467	-247	-89	518	483	404	418	457	504	519	537	12	31	10	6	14	41	25	16	-136	18	-23	-29	-5	20	6	-11	-309	40	-53	-65	-11	43	13	-23		0	0	0
A002100	경농	화학	비료 및 농약	코스피	11600	2265	1952	166	8.5	-10	-1.3	0.9	-5.7	-17.1	-32	-13.8	-4.1	16.8	20.14	31.6	26.13	5.2	6.75	-7.01	6.79	1.34	4.4	8.13	4.33	24.84	3.54	41.18	3.89	0.86	0.86	1.4	0.174518	0.929574	13.05	1.92	0.44	1.19	1.03	27.2	11.58	12.67	12.67	104.67	12.9	12.7	12.72	-19.95	27.02	94	151.67	79	88	14	51	35.41	2.16	9.25	6.26	2.04	1.2	0.02333	0.7619	1935	2202	2547	967	316	0	4137	2636	178	179	11277	833	251	833	92	0	47	37	250	1.94	2.63	6.29	-26.32	-69.13	12300	14000	17050	13450	12100	18000	10450	1	1	0	0	64	11	-0.01	-0.01	-0.02	-0.01	-0.05	-0.07	-0.01	0.18	0.17	0.16	-0.59	-0.43	0.02	-0.53	-0.51	86	134	2.90471	-28	-4	555	1	0	0	0	0	8255	11045	0	0	20211115	1.5	-2.1	63.7	-64.3	14.6	57.9	53.7	4.4	11.2	23.5	27.3	168	196	55	1	1	1	0	1	1	1	0	1	7	20.2	8.3	3	7	9.1	20.2	5.1	4.7	18.2		-16.6	285.6	-23.4	-52		70.2	24.1	76.2	-41.2	64.4	-0.8	5.1	-24.6	52.1		-51.8	401.1	-90.4	-209.4		23.5	70.9	-46.1	-18.2	180	34.9	6.6	-51.3	111.3		16.7	603.5	-93.8	-56.5		23.5	72.6	-46.1	-18.2	180	34.9	6.6	-45.9	112.6		16.7	603.6	-93.1	-56.6		2065	84	102	2127	148	55	2275	87	45	2483	143	126	470	254	207	581	238	1048	806	343	286	1102	844	405	-89	258	34	-59	-90	271	26	-28	-61	188	26	-48	-40	201	12	5	-282	868	118	-221	-184	925	64	28		0	0	0
A002360	SH에너지화학	화학	합성수지	코스피	928	1031	11113	145	1.3	0	-0.6	1.3	-4.2	-12.9	-23.6	0.1	11.4	-16.8	7.44	7	7.49	1.1	-0.16	1.56	0.08	2.08	2.4	0.11	0.08	-29.93	-23.43	-27.13	-118.48	0.81	0.82	0.65	9.4331	0.137308	1088.28	2.86	0.78	1.33	1.14	48.2	1017.6	954.63	954.63	31.32	30.29	-442.49	-515.5	41.77	47.33	531	611.91	31	31	-2	12	0	0	-100	6.22	0	0	0.03264	0.91469	284	907	772	102	55	0	1191	1265	-2	1	816	0	24	89	-34	0	-8	4	0	3.45	3.76	6.79	-8.26	-49.19	969	1065	1215	927	833	1350	785	0	0	0	0	69	18	-0.02	0.05	0.02	-0.02	0.09	0.06	-0.02	0.72	0.7	-0.05	-2.69	-2.74	-0.11	-0.48	-0.59	150	46	-1.40327	-82	-98	1464	1	0	0	0	0	160	11	0	0	20211115	3922.2	3014	101.1	-192.7	98.3	100.9	101.2	0.6	-0.2	-0.2	97.5	63	32	-38	1	0	1	0	0	0	0	1	1	4	-50.2	29.9	-2.4	-23.3	-33.6	-12.2	15.1	58.7	81.4		25	5.6	6.8	28.7		-155.6	97.8	-85.2	-247.6	-154.8	71.8	111	80.4	167.5		50.7	169.8	-326.7	186.4		-170.8	101.2	-76	-226.1	-134.5	81.5	109.3	87.3	228		35.3	144.2	-362.5	270.4		-170.8	101.2	-76	-226.1	-134.5	81.5	109.3	87.3	228.1		35.3	144.2	-362.7	270.4		1881	142	96	1836	21	23	1409	-31	-29	936	-79	-68	86	21	-26	-61	311	250	194	218	273	288	308	396	-16	-29	-36	-9	-5	3	-7	6	-22	-20	-38	-6	-4	2	-5	8	-20	-18	-34	-6	-4	2	-4	7		0	0	0
A002840	미원상사	화학	계면활성제	코스피	200000	9940	497	2	0.4	0	-1.2	-2.2	-3.1	-7.6	-7.8	10.8	80.2	438.4	21.65	24.1	25.73	9.8	16.25	19.22	18.56	19.27	14.7	20.41	16.68	17.02	14.79	29.58	30.5	2.91	2.91	2.71	0.311952	0.375668	50.11	3.61	0.91	1.57	3.2	11.2	15.59	15.66	15.66	14.05	12.02	17.89	17.88	14.08	11.04	271	453.23	22	22	4967	3	6.71	0.35	190.96	2.33	0	0.19	0.02213	0.39768	697	3111	1794	723	599	476	3808	3421	556	635	62595	12771	795	824	585	0	-155	249	700	10.25	6.41	5.06	59.91	102.76	206500	216500	217000	180500	111000	228500	107500	0	0	0	0	88	86	-0.02	-0.01	-0.03	-0.01	0.02	0.01	-0.03	0.01	-0.02	-0.1	0.14	0.04	-0.54	0.2	-0.34	12	251	0.26255	-57	-22	688	1	0	0	0	0	85994	154764	0	0	20211115	1.1	3.4	22.1	1344.4	10.2	24.9	21.1	21.9	22.9	22.9	779.1	69	102	336	1	1	1	0	1	1	1	1	0	7	-7.4	19.2	3.1	-23.9	18	11.3	19.5	21	24.5		5.9	6.9	6.4	3.4		290	31.3	147.3	18.8	32.8	7.1	55.5	23.5	36.4		-37.6	70.4	17	9.6		90.4	48.8	-21	44.7	66.6	142.4	33.3	25.5	37.4		21.4	-6.5	6.5	13.7		106.9	50.2	-19.1	50.1	70.5	148.2	36.5	25.5	37.4		21.4	-6.5	6.5	13.7		3187	110	272	3286	272	215	2500	323	311	2950	429	518	5037	4074	6112	10423	702	698	734	737	781	834	888	918	75	88	130	129	81	138	161	176	64	110	124	129	156	146	156	177	1267	2153	2495	2590	3143	2939	3130	3559		0	0	0
A003080	성보화학	화학	비료 및 농약	코스피	4025	806	2002	35	1.7	0	0	2.2	-6.2	-3.8	-26.7	-29	-10.5	-33.7	6.68	18.9	12.37	-3.9	-4.56	-39.2	-12.11	-27.61	7.5	-5.03	-4.28	6.84	16.79	8.57	17.97	1.41	1.41	3.32	-0.03816	-0.105531	-6.9	1.42	0.41	0.7	0.59	8.7	-11.48	-11.7	-11.7	-12.02	83.23	-31.01	-31	-8.46	72.7	431	577.7	17	17	-123	2	0	3.35	-45.21	10.11	2.36	1.86	0.03094	0.62973	239	1373	825	209	366	0	1612	570	-26	-69	6856	-344	5	108	118	0	-27	24	135	0.8	0.8	1.27	-0.13	-37.13	4290	4185	5490	5670	4495	6070	3670	1	0	0	0	66	10	0	0	0	0	-0.02	-0.02	0.01	-0.23	-0.22	0.03	-0.39	-0.36	-0.63	-2.82	-3.45	140	43	-4.04968	-57	-203	1978	1	0	0	0	0	1728	-4179	0	0	20211115	9.6	-8.1	-329.1	368.6	15.7	-259.3	-331.7	-5	-5.5	-5.5	48.5	115	165	94	0	1	0	1	0	0	1	0	1	4	-11.5	13.4	-15.2	-15.4	23.4	328.3	12.9	7.3	1.6		-82.9	3662.6	-70.4	-46.7		-32.1	4.4	110.7	-1566.7	15.9	-19.3	24.3	-47.6	4.6		-146.1	216.7	-117.4	-91.1		-164.5	-307.8	-34.4	-147.5	-106.9	-96.9	0.5	-2.9	-113.9		-1014.2	151.4	-121.5	-73.6		-164.5	-306.6	-34.4	-147.5	-106.9	-96.9	0.6	-2.9	-113.9		-1014.2	151.4	-121.5	-73.5		584	-28	93	495	3	61	419	-44	-29	517	-37	-60	465	305	-145	-300	-4	341	106	60	10	385	114	61	-51	58	-8	-25	-61	72	-12	-24	-44	45	-9	-8	-87	45	-10	-17	-222	223	-47	-39	-436	224	-48	-84		0	0	0
A003780	진양산업	화학	폴리우레탄	코스피	8050	1047	1300	0	0	0	-2.4	-0.7	-2.1	33.7	38.1	51.9	64.3	55.7	17.34	17.4	22.43	9.3	7.49	12.77	5.08	11.11	9	8.15	5.06	21.77	6.71	-49.86	-14.01	1.4	1.4	1.45	-0.529828	-0.397859	62.35	2.37	0.86	1.37	2.25	14.6	27.55	27.71	27.71	13.01	13.98	18.59	18.7	11.32	2.1	115	149.35	61	61	41	29	45.56	2.24	10.23	10.23	2.82	1.24	0.04065	0.9115	285	466	307	71	14	0	751	748	56	38	3582	290	77	130	48	0	-14	69	180	14.1	12.52	26.46	12.63	-46.72	8220	6020	5830	5300	4900	9500	3940	0	1	1	1	85	104	-0.02	-0.41	-0.42	0.01	-0.73	-0.72	0.05	-3.87	-3.82	0.06	-0.79	-0.73	0.05	-1.01	-0.96	5	161	0.77743	-50	-56	1015	1	0	0	0	0	4013	3539	0	0	20211115	-23	-32.7	-54.5	-121.6	-52.4	-60.2	-54.2	5.4	4.5	4.5	-50.6	61	42	-21	1	1	0	1	0	0	1	0	1	5	43.5	20.5	32.6	4	4	13.7	25.9	45.2	3.4		6.4	-2	8.5	-8.6		338.9	-42.6	66.7	203.3	-13.2	-75.3	-44.9	-23.8	-27.2		-80.7	77.5	48.3	43.1		200	-52.1	41.2	183.3	-25	-156.2	-24.2	-2	-32.6		-133.6	208.9	53.5	19.9		200	-52.3	41.2	183.3	-25	-156.2	-24.2	-2.1	-32.7		-133.6	208.9	53.4	19.9		448	18	17	594	30	24	618	91	68	643	79	51	131	185	523	392	164	145	137	175	186	183	198	181	25	20	21	32	6	11	16	23	18	14	17	30	-10	11	17	20	137	111	132	230	-77	84	129	155		0	0	0
A004000	롯데정밀화학	화학	합성수지	코스피	79500	20511	2580	33	1.3	0	-0.4	0.8	0.1	-11.4	22.9	50.9	42.5	89.3	12.28	18.4	19.56	11.6	12.04	14.26	27.29	41.66	10.8	21.62	18.21	11.64	46.62	36.5	-101.8	1.31	1.31	1.04	0.03226	0.003336	5	1.51	0.52	0.92	1.04	8.1	4.75	4.81	4.81	2.5	6.45	10.91	10.91	7.31	17.16	233	326.02	19	19	214	5	19.22	1.89	82.14	4.14	0.49	1.05	0.02363	0.6822	3682	19712	7202	2058	8321	2567	23394	15615	1880	4261	76403	16516	3062	2869	1761	0	-457	1199	1500	79.29	144.5	138.49	-45.13	-42.75	79400	89700	64700	52700	55800	98500	51100	0	0	0	1	81	56	-0.1	0.05	-0.05	-0.33	-0.05	-0.39	-1.22	0.58	-0.64	-2.3	0.82	-1.48	0.25	1.88	2.13	45	100	0.79567	25	151	137	1	0	0	0	0	99804	200101	0	0	20211028	-11.5	-6.4	94.4	-46.2	-2.4	105.7	99.9	28.1	24.6	24.6	-70	61	59	562	1	1	1	0	0	0	1	0	0	4	9	21.1	18.3	-4.4	-3.6	-7.9	-1.7	43.8	55.4		-4.1	13.2	22.6	16.7		25.3	18.1	89.6	-10	-26.6	-41.2	-30.4	59	171		9.9	24.8	51.7	30.3		122.9	149.1	140.9	-21.6	18.1	71.3	-6	75.5	749.3		175.9	-39.2	181.6	79.8		122.9	149.1	140.9	-21.6	18.1	71.3	-6	75.5	749.3		175.9	-39.2	181.6	79.8		11595	1111	892	13717	2107	2149	13113	1897	1684	12636	1392	1988	3457	8329	6527	7705	3296	3499	2932	3167	3037	3439	4217	4921	484	510	339	259	285	355	539	702	389	431	650	241	666	405	1140	2050	1507	1669	2518	936	2582	1570	4419	7946		0	0	0
