코드 번호,회사명,업종 (대),업종 (소),종합점수,종합랭킹,1개월 등락률 (%),높은순서  (비중 5),3개월 등락률 (%),높은순서  (비중 5),6개월 등락률 (%),높은순서  (비중 5),9개월 등락률 (%),높은순서  (비중 5),1년 등락률 (%),높은순서  (비중 5),과거 PCR,낮은순서(값>0)  (비중 5),과거 PFCR,낮은순서(값>0)  (비중 5),발표 PSR,낮은순서(값>0)  (비중 5),발표 PBR,낮은순서(값>0)  (비중 5),발표 분기 PER,낮은순서(값>0)  (비중 5),과거 EV/EBITDA (%),낮은순서(값>0)  (비중 5),발표 POR,낮은순서(값>0)  (비중 5),
A037400,우리조명,전기 및 전자기기,LED,100,1,28.5,207,38.3,217,103.2,115,98.7,242,108.8,208,1.74,80,4.01,182,0.03,1,0.73,544,4.08,133,1.81,52,1.24,9,
A084010,대한제강,철강 및 비철강,제강,97.76,2,40.9,104,43.3,182,27.3,609,83.9,308,60.9,416,2.76,182,3.6,148,0.24,222,0.44,206,1.25,14,1.97,58,3.62,98,
A003070,코오롱글로벌,건설 및 건축자재,중견건설사,95.3,3,16.5,524,7.9,890,120.7,91,154.3,110,120,174,1.35,49,1.42,28,0.14,83,0.97,774,4.31,145,4.48,230,3.03,64,
A041520,이라이콤,IT 장비 및 소재,스마트폰 부품,92.93,4,15.5,575,34.4,257,165.1,49,206,69,143.6,131,4.52,374,4.56,218,0.64,693,0.68,487,4.59,159,5.25,299,9.03,440,
A049070,인탑스,IT 장비 및 소재,스마트폰 부품,92.15,5,38.9,115,41.5,192,79.3,181,86.7,293,82.2,312,5.23,435,6.91,377,0.5,538,0.85,658,8.71,448,2.17,68,7.13,330,
A023600,삼보판지,종이 및 용기,용기 및 포장재,92.12,6,30.1,190,33,270,38.7,447,40.7,680,33.8,662,2.77,184,4.86,246,0.46,505,0.47,233,6.23,272,3.12,132,4.29,134,
A035890,서희건설,건설 및 건축자재,중견건설사,91.87,7,20.4,378,19.3,509,17.2,823,34,776,24.2,787,1.49,53,1.5,31,0.22,192,0.61,406,2.07,28,0.29,9,1.69,24,
A082850,우리바이오,전기 및 전자기기,LED,91.79,8,87.6,19,109,31,424.3,4,509.1,11,455.8,15,8.7,680,21,845,0.17,117,2.38,1547,6.44,283,4.43,226,6.12,258,
A009070,KCTC,운송 및 물류,운송인프라,91.71,9,67,42,67,94,58.8,288,66.6,420,40.7,586,4.91,408,9.81,506,0.25,238,0.59,379,7.26,341,6.42,435,6.91,319,
A036710,심텍홀딩스,지주사,지주사,91.05,10,20.6,368,10.5,812,57.5,294,106,218,90,269,1.81,86,-4.47,1319,0.09,29,0.84,648,2.82,62,2.83,107,1.24,9,
A088350,한화생명,금융,생명보험,90.6,11,34.5,143,31.1,293,23.3,679,28.3,874,-11.8,1749,0.56,7,0.58,4,0.1,39,0.13,3,3.57,101,3.89,191,6.04,251,
A000370,한화손해보험,금융,손해보험,90.55,12,39.8,107,43.4,181,66,242,78.1,338,37.6,622,0.26,2,0.26,2,0.08,22,0.24,28,6.72,303,16.62,1040,-30.15,1458,
A089850,유비벨록스,전기 및 전자기기,스마트카드,90.54,13,21.8,333,14.3,657,32.9,525,71.2,385,46.2,540,2.87,197,3.52,141,0.24,222,0.83,637,8.06,402,3.43,154,4.63,156,
A003300,한일홀딩스,지주사,지주사,90.52,14,17.6,477,11.8,759,11.3,983,52.3,542,20.7,845,1.61,67,2.59,90,0.2,153,0.3,67,4.99,179,3.29,143,2.68,48,
A006260,LS,전기 및 전자기기,케이블,90.51,15,22,328,35.9,244,57.4,296,74.6,360,42.2,568,3.39,247,6.32,341,0.2,153,0.63,419,10.64,552,7.91,568,6.34,280,
A001230,동국제강,철강 및 비철강,제강,90.36,17,22.9,311,17.9,541,4.2,1197,61.1,466,24.2,787,1.78,84,2.09,59,0.14,83,0.36,112,4.86,175,7.21,503,3.2,76,
A092230,KPX홀딩스,지주사,지주사,90.36,16,38.1,119,54.1,137,44.2,393,34.5,764,16.8,924,3.45,255,6.39,344,0.28,274,0.41,164,20.74,882,0.81,24,3.96,113,
A154040,솔루에타,IT 장비 및 소재,스마트폰 부품,89.73,18,33.7,148,37.8,222,61.4,270,82.6,313,46.9,535,7.35,603,21.19,848,0.22,192,0.85,658,3,73,7.48,533,4.59,155,
A097230,한진중공업,조선,조선,89.68,19,28,215,35.3,250,46.6,367,110.8,202,98.9,239,2.52,151,2.53,84,0.4,430,2.09,1451,4.49,153,11.08,805,5.59,215,
A064820,케이프,조선,조선기자재,89.61,20,21.5,343,50.3,154,47.9,356,68.3,403,156.2,120,2.41,142,2.45,78,0.37,393,0.96,760,6.41,281,20.92,1152,8.27,397,
A161000,애경유화,화학,기타 화학,89.59,21,30.5,181,35.5,248,33.6,516,34.6,763,20.2,858,3.96,309,4.08,189,0.34,352,0.78,589,5.14,188,3.17,136,6.08,255,
A089470,HDC현대EP,자동차 및 관련부품,차량 내장재,89.29,22,9,1039,25.5,363,44.3,390,74.3,361,43.5,556,2.21,115,2.54,86,0.29,289,0.67,469,6.7,300,6.1,397,6.5,294,
A002200,한국수출포장,종이 및 용기,용기 및 포장재,89.22,23,33.3,153,33.3,267,22.7,690,30.2,841,28.1,737,2.62,168,3.57,145,0.38,406,0.39,138,16.07,764,2.49,89,6.31,278,
A021650,한국큐빅,자동차 및 관련부품,기타 자동차부품,89.09,24,21.7,337,19,520,48.2,352,64.7,437,88.7,277,4.6,381,7.63,418,0.4,430,1,801,5.1,184,5.49,324,6.02,249,
A006650,대한유화,화학,종합 화학,88.87,25,26,250,109.9,30,83.8,163,185.6,84,111.7,198,6.28,519,10.54,534,0.82,854,0.86,667,7.33,348,5.64,342,15.64,776,
A267270,현대건설기계,기계,기계,88.75,26,36.7,129,51.3,150,45.5,381,66.2,422,25.3,772,3.27,236,4.59,223,0.27,267,0.54,314,58.16,1228,5.25,299,7.78,373,
A003100,선광,운송 및 물류,운송인프라,88.57,27,17.6,477,73.1,77,81,174,93,264,68.9,374,3.57,268,6.35,343,1.21,1129,0.6,393,8.82,452,8.17,590,6.55,298,
A015230,대창단조,기계,중장비 및 관련품,88.51,28,8.4,1088,38.5,215,31.7,544,41,674,25.3,772,2.14,110,2.2,62,0.42,457,0.54,314,7.56,363,1.81,52,5.38,204,
A002310,아세아제지,종이 및 용기,종이,88.44,29,33.2,157,54.2,136,30.4,562,31.5,829,42.4,565,3.12,223,6.41,347,0.53,573,0.6,393,11.92,615,3.6,168,6.61,303,
A298020,효성티앤씨,화학,기타 화학,87.94,30,29,201,85.8,55,38.7,447,23.4,993,16,934,3.27,236,5.65,299,0.15,93,1.52,1155,4.81,169,5.44,315,3.63,99,
A004490,세방전지,자동차 및 관련부품,배터리,87.83,31,59.6,62,52.7,141,40.5,431,35.7,746,17.1,915,6.23,515,8.57,454,0.51,550,0.56,347,8.12,408,2.75,102,7.42,353,
A009410,태영건설,건설 및 건축자재,중견건설사,87.7,32,2.3,1690,-5.6,1732,30.8,554,54.5,517,77.4,335,0.55,6,0.66,8,0.11,50,0.22,21,0.18,2,3.22,140,0.94,2,
A001120,LG상사,일반서비스,무역,87.7,32,23.6,299,21.7,438,20.5,746,72.1,381,26.9,753,6.48,533,12.16,599,0.07,13,0.52,287,7.42,357,5.9,371,6.34,280,
A298040,효성중공업,건설 및 건축자재,중견건설사,87.68,34,5.3,1396,27.2,337,237,22,220.4,61,142.2,134,3.44,252,5.72,305,0.18,126,0.65,443,8.38,428,15.27,990,11.16,566,
A007860,서연,자동차 및 관련부품,차량 내장재,87.66,35,26.8,236,20.3,478,144.1,63,189.5,82,279.8,39,1.99,94,-1.53,1319,0.13,74,0.63,419,-95.05,1460,6.94,476,7.09,325,
A003480,한진중공업홀딩스,지주사,지주사,87.63,36,10.9,870,29.5,308,19.3,773,80,326,55.8,450,1.2,43,1.73,47,0.15,93,0.36,112,-4.52,1460,7.78,559,2.19,32,
A009180,한솔로지스틱스,운송 및 물류,육상운송,87.61,37,17.5,483,-3.3,1631,44.2,393,55.4,509,67.1,382,2.08,106,2.35,72,0.13,74,1.18,954,4.25,144,3.5,158,4.85,172,
A005960,동부건설,건설 및 건축자재,중견건설사,87.47,39,8.9,1047,9.4,845,22,711,53.8,526,47.3,529,3.66,276,5.98,326,0.22,192,0.63,419,2.52,45,1.75,50,4.52,148,
A001750,한양증권,금융,증권,87.47,38,10.2,920,8.8,864,30.5,560,24.8,963,19.2,884,2.77,184,2.78,98,0.32,328,0.4,151,1.65,19,2.92,115,2.1,27,
A104700,한국철강,철강 및 비철강,제강,87.05,40,37.9,122,40.4,200,35.5,491,65.1,434,30.9,697,2.04,101,2.04,57,0.45,489,0.4,151,7.13,333,0,1661,9.71,483,
A306200,세아제강,철강 및 비철강,제강,86.93,41,9.3,1007,6.7,948,63.6,254,84,307,47.2,531,5.3,444,5.3,279,0.22,192,0.43,190,5.17,194,10.28,747,4.63,156,
A009620,삼보산업,자동차 및 관련부품,기타 자동차부품,86.91,42,93.1,14,113.8,27,75.3,198,90.8,273,98.4,240,2.05,103,4.79,242,0.19,136,2.42,1563,-6.52,1460,9.39,689,6.7,308,
A024840,KBI메탈,전기 및 전자기기,케이블,86.69,43,17.5,483,20.7,466,28.6,584,25.9,925,3.2,1218,2.98,204,4.03,185,0.12,64,0.61,406,5.09,183,7.08,489,3.66,102,
A013580,계룡건설,건설 및 건축자재,중견건설사,86.59,44,15.8,562,-3.6,1648,37.2,471,44.7,625,16.7,927,4.66,388,6.9,376,0.09,29,0.41,164,1.59,15,2.95,117,1.34,12,
A113810,디젠스,자동차 및 관련부품,기타 자동차부품,86.38,45,28.9,204,36.3,240,40,433,31.3,832,18,901,2.85,192,3.14,116,0.26,253,1.11,902,6.19,270,6.5,442,11.74,601,
A083420,그린케미칼,화학,기타 화학,86.26,46,61.7,55,55.8,127,68.5,228,92.6,267,88.2,282,5.53,465,5.54,296,0.61,657,1.34,1045,13.72,692,11.16,809,9.87,491,
A016590,신대양제지,종이 및 용기,종이,85.98,47,27.5,222,19.5,505,10.5,1005,20.4,1067,12.1,1016,2.45,146,3.41,136,0.42,457,0.57,362,8.28,421,1.8,51,3.6,97,
A014710,사조씨푸드,식음료,식료품,85.93,48,19.7,400,47.2,170,61.9,262,54.5,517,25.5,769,2.32,131,2.32,69,0.52,564,0.54,314,5.73,232,30.06,1302,15.24,768,
A006360,GS건설,건설 및 건축자재,대형건설사,85.47,49,18.7,428,24.6,377,7.6,1102,21.9,1029,6.7,1130,2.53,155,2.76,95,0.25,238,0.62,411,6.56,293,4.89,264,3.49,89,
A004560,현대비앤지스틸,철강 및 비철강,스테인리스,85.47,49,20.2,385,19.2,513,4.5,1190,20.2,1071,-3.1,1528,2.21,115,3.66,155,0.2,153,0.32,82,4.02,128,3.68,173,4.02,118,
