코드 번호,회사명,업종 (대),업종 (소),종합점수,종합랭킹,과거 PCR,낮은순서(값>0)  (비중 5),발표 PSR,낮은순서(값>0)  (비중 5),발표 PBR,낮은순서(값>0)  (비중 5),발표 분기 PER,낮은순서(값>0)  (비중 5),발표 POR,낮은순서(값>0)  (비중 5),거래대금 증가율(20일대비),높은순서  (비중 30)
A002320,한진,운송 및 물류,육상운송,100,1,3.03,58,0.29,58,0.5,53,0.83,3,6.8,107,98.9,55
A033160,엠케이전자,반도체 관련장비 및 부품,반도체 부품,99.62,2,0.97,6,0.35,81,0.86,165,8.61,176,3.51,23,140.98,32
A002030,아세아,지주사,지주사,99.23,3,1.32,16,0.18,22,0.35,14,4.52,52,1.63,5,47.35,95
A037460,삼지전자,통신,통신장비,98.97,4,1.65,21,0.13,12,1.04,214,10.46,226,4.31,43,141.01,31
A009970,영원무역홀딩스,지주사,지주사,98.57,5,1.41,17,0.23,37,0.48,43,4.53,53,1.79,7,46.34,97
A071320,지역난방공사,유틸리티,전력,97.85,6,1.23,12,0.26,48,0.28,5,1.45,7,3.71,30,34.75,117
A007340,디티알오토모티브,자동차 및 관련부품,타이어,96.63,7,5.07,122,0.47,128,0.6,84,4.74,60,5.27,59,63.68,77
A066570,LG전자,전기 및 전자기기,전자기기,96.25,8,4.42,102,0.38,95,1.56,328,6.45,109,7.12,118,139.21,33
A003300,한일홀딩스,지주사,지주사,95.66,9,1.72,25,0.26,48,0.31,9,58.56,616,2.37,12,109.36,49
A151860,KG ETS,일반서비스,환경서비스,94.02,10,9.1,263,0.61,173,1.62,347,2.95,23,7.05,113,128.69,39
A054800,아이디스홀딩스,지주사,지주사,94.02,10,2.42,38,0.37,92,0.71,119,12.6,284,53,584,462.71,6
A011070,LG이노텍,IT 장비 및 소재,카메라모듈,93.87,12,5.29,135,0.49,133,1.93,404,5.15,71,6.08,88,96.98,56
A000140,하이트진로홀딩스,지주사,지주사,93.81,13,0.59,3,0.19,25,0.84,159,8.34,161,2,8,26.68,136
A002310,아세아제지,종이 및 용기,종이,93.59,14,4.28,98,0.64,185,0.75,128,3.8,37,5.84,78,37.42,111
A298040,효성중공업,건설 및 건축자재,중견건설사,92.98,15,2.37,37,0.24,40,0.8,139,30.59,525,6.07,87,71.74,70
A079960,동양이엔피,IT 장비 및 소재,파워서플라이,92.94,16,2.81,50,0.29,58,0.56,65,4.26,45,3.57,25,13.85,168
A035510,신세계 I&C,IT서비스,시스템서비스,91.79,17,11.05,312,0.7,207,1.56,328,11.44,258,10.74,227,524.96,4
A057050,현대홈쇼핑,유통,홈쇼핑,90.89,18,5.14,127,0.46,126,0.59,80,5.58,85,6.46,102,17.45,153
A002990,금호건설,건설 및 건축자재,중견건설사,90.09,19,7.1,202,0.25,43,1.07,224,6.64,116,5.33,62,22.83,144
A006040,동원산업,식음료,식료품,89.54,20,2.34,36,0.36,86,0.78,136,5.55,83,3.23,20,4.26,200
A078890,가온미디어,가정용품,셋톱박스,89.47,21,7.41,213,0.42,112,1.27,272,8.61,176,14.66,338,64.17,76
A001880,DL건설,건설 및 건축자재,중견건설사,89.11,22,6.25,174,0.48,130,0.99,199,3.82,38,4.21,39,13.75,170
A023530,롯데쇼핑,유통,백화점,89.11,22,1.7,23,0.22,33,0.36,16,-21.44,709,9.94,201,42.12,103
A004370,농심,식음료,식료품,89.11,22,13.32,364,0.74,219,0.93,192,16.57,368,15.38,355,209.24,17
A286940,롯데정보통신,IT서비스,시스템서비스,88.78,25,11.04,311,0.73,214,1.52,319,12.66,288,14.38,330,148.07,28
A265520,AP시스템,디스플레이 장비 및 부품,디스플레이 장비,88.43,26,7.62,218,0.75,220,2.9,542,7.78,150,8.62,166,90.51,61
A227840,현대코퍼레이션홀딩스,지주사,지주사,88.31,27,5.71,157,0.96,269,0.77,132,7.43,139,13.74,316,38.29,110
A071840,롯데하이마트,유통,유통,88.18,28,2.61,45,0.23,37,0.49,46,14.6,329,5.55,70,6.85,193
A018670,SK가스,석유 및 가스,가스판매,88.12,29,-18.89,707,0.24,40,0.59,80,5.02,68,7.99,147,39.1,108
A213500,한솔제지,종이 및 용기,종이,87.5,30,2.23,34,0.25,43,0.6,84,11.57,263,5.47,69,0.59,209
A002200,한국수출포장,종이 및 용기,용기 및 포장재,87.24,31,5.86,163,0.38,95,0.41,27,4.27,46,7.36,131,-2.14,218
A003030,세아제강지주,지주사,지주사,87.21,32,1.55,18,0.13,12,0.29,6,3.06,24,3.93,33,-13.28,280
A024090,디씨엠,철강 및 비철강,강판,86.57,33,29.22,537,1.13,311,1.04,214,5.61,86,12.46,281,79.59,67
A298020,효성티앤씨,화학,기타 화학,86.41,34,5.53,150,0.59,163,4.35,680,5.67,88,7.31,129,41.04,106
A052790,액토즈소프트,미디어 및 엔터,게임,86.14,35,7.04,201,2.92,554,0.89,175,2.91,21,7.37,133,29.09,131
A063080,게임빌,미디어 및 엔터,게임,85.9,36,25.54,515,2.03,468,0.86,165,8.69,182,10.29,208,93.77,59
A044340,위닉스,가정용품,가전제품,85.78,37,44.5,598,1.1,306,2.25,446,11.46,259,8.31,156,162.52,23
A096530,씨젠,의료기기 및 용품,진단기기,85.57,38,8.73,254,2.46,521,4.46,686,5.22,75,4.14,38,94.29,58
A109860,동일금속,기계,중장비 및 관련품,85.1,39,13.41,370,1.81,445,0.75,128,10.04,210,57.24,596,132.85,36
A006650,대한유화,화학,종합 화학,85.07,40,5.1,123,0.83,236,0.83,151,5.75,91,5.37,65,-1.62,217
A003200,일신방직,섬유 및 의류,섬유,84.97,41,7.91,225,0.58,158,0.39,22,6.29,105,13.36,303,6.53,194
A264450,유비쿼스,통신,통신장비,84.96,42,16.66,424,2.02,466,2.21,443,8.19,160,10.74,227,121.25,43
A001680,대상,식음료,식료품,84.96,42,8.51,246,0.31,69,0.88,173,5.96,97,5.42,67,-3.17,221
A034730,SK,지주사,지주사,84.88,44,1.94,29,0.25,43,1.07,224,21.77,443,8.62,166,11.59,180
A134380,미원화학,화학,계면활성제,84.87,45,10.14,294,1.09,303,1.59,335,15.69,357,12.01,265,69.75,72
A267270,현대건설기계,기계,기계,84.85,46,3.92,84,0.36,86,0.83,151,5.46,80,6.59,105,-7.87,247
A095660,네오위즈,미디어 및 엔터,게임,84.83,47,7.28,212,1.81,445,1.31,281,6.53,111,8.87,173,30.57,128
A058610,에스피지,기계,기계,84.72,48,78.95,643,0.77,223,1.89,397,14.95,335,14.38,330,265.48,12
A005830,DB손해보험,금융,손해보험,84.69,49,2.11,33,0.22,33,0.58,77,3.99,39,4.33,44,-16.09,296
A192400,쿠쿠홀딩스,가정용품,가전제품,84.45,50,9.84,287,1.52,403,1.2,257,5.73,90,8.22,153,25.2,139
A004970,신라교역,식음료,식료품,84.4,51,17.79,436,0.61,173,0.45,39,4.94,65,-2336,722,46.04,99
A009830,한화솔루션,에너지,태양광,84.13,52,7.22,208,0.92,259,1.11,234,5.57,84,12.63,284,15.46,164
A294870,HDC현대산업개발,건설 및 건축자재,대형건설사,84.12,53,-10.82,707,0.58,158,0.69,113,5.27,76,3.41,22,15.51,163
A006120,SK디스커버리,지주사,지주사,83.85,54,-7.87,707,0.22,33,0.46,41,6.41,107,8.37,159,13.08,172
A005960,동부건설,건설 및 건축자재,중견건설사,83.65,55,-19.21,707,0.27,50,0.68,108,3.78,36,6.93,110,11,181
A298540,더네이쳐홀딩스,섬유 및 의류,의류,83.6,56,-265.65,707,1.43,383,2.58,501,14.64,330,7.73,139,374.48,7
A006890,태경케미컬,화학,기타 화학,83.36,57,22.54,494,3.63,603,1.27,272,10.5,227,18.58,407,189.15,20
A210540,디와이파워,기계,중장비 및 관련품,83.29,58,12.4,348,0.55,154,0.93,192,3.99,39,4.26,41,-3.94,226
A049070,인탑스,IT 장비 및 소재,스마트폰 부품,83.28,59,5.74,159,0.57,156,1.01,204,4.5,50,6.05,86,-7.59,246
A004430,송원산업,화학,합성수지,82.97,60,9.51,277,0.59,163,1.04,214,12.12,276,7.2,125,10.32,184
A036890,진성티이씨,기계,중장비 및 관련품,82.84,61,11.09,314,0.88,250,1.96,409,13.96,319,12.41,279,45.82,100
A002020,코오롱,지주사,지주사,82.82,62,2.84,53,0.08,2,0.5,53,2.43,15,1.56,4,-24.24,341
A023600,삼보판지,종이 및 용기,용기 및 포장재,82.6,63,4.78,113,0.62,178,0.66,98,3.67,33,4.62,49,-14.4,287
A003830,대한화섬,섬유 및 의류,섬유,82.08,64,24.83,511,2.66,540,0.36,16,7.74,149,316.86,706,102.76,53
A000860,강남제비스코,건설 및 건축자재,페인트,82.04,65,-2.12,707,0.52,141,0.31,9,0.54,2,56.68,593,27.84,132
A072710,농심홀딩스,지주사,지주사,81.98,66,8.93,262,0.65,189,0.39,22,7.7,147,5.9,81,-9.79,258
