코드 번호,회사명,업종 (대),업종 (소),종합점수,종합랭킹,시가총액 (억),높은순서  (비중 5),과거 PCR,낮은순서(값>0)  (비중 5),발표 분기 PSR,낮은순서(값>0)  (비중 5),발표 분기 PEG,낮은순서(값>0)  (비중 5),발표 PBR,낮은순서(값>0)  (비중 5),발표 분기 PER,낮은순서(값>0)  (비중 5),발표 분기 POR,낮은순서(값>0)  (비중 5),거래대금 증가율(5일대비),높은순서  (비중 15),거래대금 증가율(20일대비),높은순서  (비중 15),
A035890,서희건설,건설 및 건축자재,중견건설사,100,1,5067,419,1.88,37,0.44,242,0.04,265,0.92,358,3.04,35,2.52,17,258.97,22,491.4,38,
A000370,한화손해보험,금융,손해보험,97.04,2,5679,380,0.38,2,0.09,8,0.03,190,0.41,35,2.55,20,2.04,9,43.41,346,87.63,199,
A034300,신세계건설,건설 및 건축자재,중견건설사,96.93,3,1990,953,1.86,34,0.19,46,0.03,190,0.97,391,8.19,271,5.28,130,176.17,65,581.65,32,
A008250,이건산업,건설 및 건축자재,목재,96.04,4,1522,1171,5.85,271,0.62,388,0.02,109,0.84,288,5.88,156,4.13,73,351.82,8,1010.01,15,
A013580,계룡건설,건설 및 건축자재,중견건설사,94.74,5,3296,610,1.18,15,0.17,32,0.06,373,0.58,110,4.05,69,2.46,14,90.98,173,28.11,368,
A034220,LG디스플레이,디스플레이 장비 및 부품,디스플레이 부품,94.11,6,88917,37,2.9,81,0.32,138,0.05,317,0.75,225,9.75,353,4.25,78,67.95,233,30.54,357,
A047050,포스코인터내셔널,일반서비스,무역,93.71,7,28993,101,7.83,405,0.1,12,0.28,841,0.91,353,7.82,258,5.71,154,98.21,150,104.96,175,
A375500,DL이앤씨,건설 및 건축자재,대형건설사,92.75,8,29425,98,5.14,219,0.61,380,0,1328,0.85,301,6.35,182,5.95,163,102.77,143,240.81,78,
A012450,한화에어로스페이스,기계,방위산업,92.53,9,24530,118,5.33,233,0.51,298,0.01,1,0.92,358,6.9,214,9.31,352,59.41,271,36.28,334,
A108670,LG하우시스,건설 및 건축자재,창호,92.25,10,9371,245,2.08,42,0.3,125,0.01,1,1.07,471,6.99,221,8.37,292,21.78,482,83.81,205,
A037350,성도이엔지,반도체 관련장비 및 부품,클린룸,92.03,11,1058,1502,2.05,41,0.22,59,0.4,934,0.46,50,8.47,282,9.5,361,224.72,34,346.35,60,
A014790,한라,건설 및 건축자재,중견건설사,91.98,12,2309,849,-0.97,1482,0.17,32,0.13,608,0.65,154,3.41,46,2.12,10,203.13,48,305.58,66,
A021320,KCC건설,건설 및 건축자재,중견건설사,91.79,13,2301,852,1.53,24,0.23,66,-0.46,1328,0.56,96,3.98,65,4.02,66,77.85,207,119.58,151,
A344820,케이씨씨글라스,건설 및 건축자재,창호,91.71,14,10093,232,8.09,426,0.89,582,0.05,317,0.77,239,10.26,383,7,221,77.03,209,96.64,188,
A012030,DB,IT서비스,시스템서비스,91.55,15,2334,842,25.27,1017,0.86,558,0.13,608,0.67,166,5.95,163,5.69,153,311.08,15,718.08,26,
A020400,대동금속,자동차 및 관련부품,엔진부품,91.52,16,423,1964,5.67,254,0.31,130,0.01,1,1.05,454,9.76,354,5.97,164,214.63,40,325.14,65,
A050120,ES큐브,레저산업,레저,90.85,17,926,1602,0.51,4,0.82,532,0.01,1,1.2,564,3,34,3.07,35,90.91,174,108.25,169,
A003240,태광산업,섬유 및 의류,섬유,90.81,18,12871,189,8.04,422,0.57,346,0.12,572,0.37,26,3.87,64,3.81,60,66.65,244,11.63,467,
A006650,대한유화,화학,종합 화학,90.38,19,15503,161,4.87,194,0.69,443,0.02,109,0.8,256,5.49,132,4.48,93,38.15,379,12.05,464,
A001270,부국증권,금융,증권,90.16,20,2660,749,0.27,1,1.13,725,0.03,190,0.46,50,2.98,33,2.37,13,40.07,372,28.7,365,
A264900,크라운제과,식음료,식료품,90.13,21,1616,1111,6.33,313,0.41,218,0.92,1119,1.03,435,5.89,157,5.42,137,166.45,71,212.5,92,
A079960,동양이엔피,IT 장비 및 소재,파워서플라이,89.95,22,1403,1243,2.86,79,0.29,116,-0.16,1328,0.57,104,4.34,77,5.97,164,96.27,156,120.93,148,
A000490,대동,기계,농업용기계,89.89,23,2824,710,2.34,54,0.24,72,0.04,265,0.84,288,3.39,43,2.69,22,37.92,381,9.79,480,
A002170,삼양통상,섬유 및 의류,피혁(가죽),89.89,23,2325,844,6.8,345,1.31,826,0.02,109,0.61,120,5.34,125,6.29,186,84.58,189,43.22,305,
A267290,경동도시가스,유틸리티,도시가스,89.76,25,1453,1208,1.96,39,0.08,4,0.03,190,0.4,30,2.74,24,2.19,12,17.22,527,38.07,327,
A049070,인탑스,IT 장비 및 소재,스마트폰 부품,89.59,26,5418,392,6.17,301,0.47,262,0.02,109,1.09,488,4.84,101,4.72,109,13.75,562,76.29,221,
A010950,S-OIL,석유 및 가스,정유,89.1,27,118775,27,3.99,141,0.56,337,0.06,373,1.97,1006,8.61,293,4.72,109,46.98,329,38.84,320,
A014280,금강공업,건설 및 건축자재,거푸집,88.99,28,2585,768,11.62,627,0.49,279,0.13,608,0.89,341,28.9,972,13.06,519,303.19,17,602.05,31,
A010960,삼호개발,건설 및 건축자재,중견건설사,88.69,29,1653,1096,9.58,517,0.55,328,0.59,1022,0.79,252,13.59,559,11.71,469,311.73,14,954.21,16,
A192400,쿠쿠홀딩스,가정용품,가전제품,88.65,30,8891,255,9.31,502,1.3,825,0.08,452,1.14,521,5.43,127,6.5,199,73.98,216,55.06,271,
A031310,아이즈비전,통신,통신장비,88.32,31,798,1731,23.13,979,0.59,366,0.02,109,0.7,191,3.84,62,6.54,202,182.51,60,86.19,201,
A005960,동부건설,건설 및 건축자재,중견건설사,88.25,32,3329,602,-20.24,1482,0.32,138,0.25,805,0.72,207,3.99,66,7.95,269,93.4,167,147.72,124,
A053690,한미글로벌,건설 및 건축자재,중견건설사,87.79,33,1370,1262,5.15,221,0.59,366,0.14,633,1.14,521,12.5,508,8.74,315,156.08,79,111.79,164,
A006090,사조오양,식음료,식료품,87.67,34,1126,1434,2.93,84,0.35,160,-0.82,1328,0.6,116,11.46,456,3.81,60,120.86,117,87.65,198,
A001880,DL건설,건설 및 건축자재,중견건설사,87.56,35,7939,277,6,283,0.48,269,3.66,1257,0.95,377,3.66,55,3.15,40,48.62,320,28.79,364,
A004440,삼일씨엔에스,건설 및 건축자재,건축자재,87.56,36,1884,988,22.57,969,0.9,586,0.01,1,0.67,166,12.21,497,9.71,372,66.13,247,198.87,97,
A020000,한섬,섬유 및 의류,의류,87.49,37,10332,225,6.26,303,0.77,504,0.16,679,0.9,347,7.92,262,5.71,154,24.55,459,60.15,259,
A006040,동원산업,식음료,식료품,87.36,38,9617,239,2.23,48,0.35,160,0.06,373,0.74,221,5.3,122,3.53,47,36.18,391,-11.59,759,
A009310,참엔지니어링,디스플레이 장비 및 부품,디스플레이 장비,87.32,39,963,1572,1.38,20,0.47,262,0.01,1,1.18,549,21.48,821,-32.89,1369,342.63,11,1022.88,14,
A032940,원익,의료기기 및 용품,의료기기,87.23,40,1004,1548,11.29,606,1,644,0.02,109,0.51,73,2.89,29,7.37,244,99.79,148,36.92,332,
A123700,SJM,자동차 및 관련부품,기타 자동차부품,87.19,41,943,1589,4.87,194,0.61,380,0.25,805,0.56,96,4.76,96,5.34,132,64.34,253,78.45,217,
A006360,GS건설,건설 및 건축자재,대형건설사,87.15,42,37314,78,4.29,161,0.46,255,0.3,867,0.86,309,6.05,166,5.28,130,12.23,575,34.74,340,
A004690,삼천리,유틸리티,도시가스,86.97,43,3791,544,1.86,34,0.08,4,0.02,109,0.28,8,1.66,11,1.27,2,49.93,312,-30.24,1036,
A011370,서한,건설 및 건축자재,중견건설사,86.95,44,2659,750,5.57,247,0.64,399,-0.54,1328,0.84,288,22.51,856,15.8,617,205.86,45,431.61,47,
A019210,와이지-원,기계,공작기계,86.93,45,2886,691,3.35,106,0.72,471,0.11,541,0.98,401,19.25,761,10.59,427,106.08,137,39.28,319,
A092780,동양피스톤,자동차 및 관련부품,기타 자동차부품,86.91,46,847,1677,3.98,138,0.23,66,0.09,487,0.86,309,5.14,113,4.39,87,95.82,158,10.56,473,
A025750,한솔홈데코,건설 및 건축자재,목재,86.62,47,1728,1054,10.9,587,0.75,493,0.03,190,1.1,497,22.29,845,24.83,844,224.22,36,244.38,75,
A064550,바이오니아,제약 및 바이오,바이오,86.61,48,6635,321,5.95,279,3.33,1407,0.06,373,4.13,1632,10.94,422,9.14,341,303.6,16,1147.19,7,
A000720,현대건설,건설 및 건축자재,대형건설사,86.53,49,66813,44,5.88,276,0.4,205,17.69,1315,0.99,410,12.38,502,8.31,287,36.29,389,77.44,219,
A054210,이랜텍,IT 장비 및 소재,스마트폰 부품,86.47,50,1808,1016,5.04,212,0.32,138,0.06,373,1.17,544,10.44,395,226,1302,130.09,108,94.18,192,
A000270,기아,자동차 및 관련부품,완성차,86.31,51,364827,10,5.73,259,0.55,328,0.03,190,1.18,549,8.81,300,8.47,296,22.28,478,5.54,517,
A002220,한일철강,철강 및 비철강,강판,85.89,52,829,1694,20.43,923,0.4,205,0.03,190,0.54,81,5.28,120,4.25,78,57.56,285,46.84,292,
A002820,SUN&L,건설 및 건축자재,목재,85.82,53,814,1713,15.61,783,0.19,46,-0.12,1328,0.39,27,7.31,239,11.04,444,149.59,85,275.01,68,
A049770,동원F&B,식음료,식료품,85.77,55,8625,261,5.55,246,0.26,87,0.28,841,1.13,516,7.2,231,4.82,113,21.27,489,16.93,430,
A024950,삼천리자전거,레저산업,자전거,85.77,54,1779,1032,7.41,378,1.01,656,0.01,1,1.81,926,6.08,171,4.67,104,41.28,363,69.04,231,
A079980,휴비스,섬유 및 의류,섬유,85.54,56,3950,519,3.75,127,0.38,184,0.08,452,0.84,288,11.04,430,10.27,407,9.16,614,48.71,286,
A241560,두산밥캣,기계,기계,85.33,57,49573,56,6.15,297,1.01,656,0.04,265,1.16,536,10.74,408,7.24,237,59.88,268,-0.09,633,
