코드 번호,회사명,업종 (대),업종 (소),코스피코스닥,주가 (원),시가총액 (억),상장주식수 (만주),자사주 (만주),자사주 비중 (%),주식수 증가율 (%),1일 등락률 (%),5일 등락률 (%),1개월 등락률 (%),3개월 등락율 (%),6개월 등락율 (%),9개월 등락율 (%),1년 등락율 (%),3년 등락율 (%),과거 GP/A (%),과거 GPM (%),5년평균 OPM,발표 OPM (%),올해 OPM (%),5년평균 ROE,과거 ROE (%),1년후 ROE (%),과거 ROA (%),1년후 ROA (%),과거 PCR,과거 PFCR,과거 PSR,발표 PSR,1년후PEG,PER  곱하기PBR,고점 PBR,저점 PBR,5년평균 PBR,발표 PBR,1년후 PBR,5년평균 PER,자사주반영 PER,과거 PER,발표 PER,발표 분기 PER,올해 PER,1년후 PER,과거 EV/EBITDA (%),과거 POR,발표 POR,청산가치비율 (NCAV전략) (%),당좌 비율 (%),유동 비율 (%),단순 부채비율 (%),보수적 부채비율 (%),차입금 비율 (%),배당 성향 (%),시가 배당률 (%),DPS  성장율 (%),시가 배당율 고점,시가 배당율 저점,국채시가 배당율,주가 변동성,베타 (52주),부채 (억),자본 (억),유동자산 (억),재고자산 (억),투자자산 (억),지분투자 (억),총자산 (억),매출액 (억),영업이익 (억),순이익(지배) (억),EBITDA (억),매출총이익 (억),영업활동현금흐름 (억),투자활동현금흐름 (억),재무활동현금흐름 (억),설비투자 (억),DPS (원),거래대금 (딩일 억),거래대금 (5일평균 억),거래대금 (20일평균 억),거래대금 증가율(5일대비),거래대금 증가율(20일대비),1개월전 주가,3개월전 주가,6개월전 주가,9개월전 주가,1년전 주가,52주 신고가,52주 신저가,주가>5이평,주가>20이평,주가>60이평,주가>120이평,신고가율 (%),신저가율 (%),당일 기관(%),당일 외인(%),당일 수급(%),주간 기관(%),주간 외인(%),주간 수급(%),1개월 기관(%),1개월 외인(%),1개월 수급(%),3개월 기관(%),3개월 외인(%),3개월 수급(%),6개월 기관(%),6개월 외인(%),6개월 수급(%),고점대비 PBR괴리율,저점대비 PBR괴리율,이익의 변동성,예상가 괴리율 (%),목표가  괴리율 (%),예상가 매력등수,목표가 매력등수,본사 국내 =1,지주사 =1,금융 =1,스팩 =1,예상 주가 (원),목표 주가 (원),19년 2Q 호실적 100기업,19년3Q 호실적예상 100기업,3Q 발표 =1,마지막 리포트일,실적 발표일,19/3Q 매출액 컨센대비,19/3Q 영업이익 컨센대비,19/3Q 순이익 컨센대비,19/2Q 매출액 컨센대비,19/2Q 영업이익 컨센대비,19/2Q 순이익 컨센대비,1주일 어닝스,1달 어닝스,3개월  어닝스,6개월  어닝스,9개월  어닝스,12개월  어닝스,어닝스 점수,ROE성장율 (최근분기),자산증가율 (최근분기),자본증가율 (최근분기),자본증가율 (1년후),매출채권 회수기간,재고자산 회수기간,단순 FCFF (잉여현금흐름),F스코어 지배주주순익>0 여부,F스코어 영업활동현금흐름>0 여부,F스코어 ROA증가 여부,F스코어 영현>순익 여부,F스코어 부채비율감소 여부,F스코어 유동비율증가 여부,F스코어 신주발행X 여부,F스코어 매출총이익율증가 여부,F스코어 총자산회전율증가 여부,F스코어 점수 (9점만점),매출액 15년->18년 3년간 YOY,매출액 16년 YOY,매출액 17년 YOY,매출액 18년 YOY,매출액 19년(E)  YOY,매출액 20년(E)  YOY,매출액 18년3Q YOY,매출액 18년4Q YOY,매출액 19년1Q YOY,매출액 19년2Q YOY,매출액 19년3Q(E) YOY,매출액 19년4Q(E) YOY,매출액 18년3Q QOQ,매출액 18년4Q QOQ,매출액 19년1Q QOQ,매출액 19년2Q QOQ,매출액 19년3Q(E) QOQ,매출액 19년4Q(E) QOQ,영업이익 15년->18년 3년간 YOY,영업이익 16년 YOY,영업이익 17년 YOY,영업이익 18년 YOY,영업이익 19년(E)  YOY,영업이익 20년(E)  YOY,영업이익 18년3Q YOY,영업이익 18년4Q YOY,영업이익 19년1Q YOY,영업이익 19년2Q YOY,영업이익 19년3Q(E) YOY,영업이익 19년4Q(E) YOY,영업이익 18년3Q QOQ,영업이익 18년4Q QOQ,영업이익 19년1Q QOQ,영업이익 19년2Q QOQ,영업이익 19년3Q(E) QOQ,영업이익 19년4Q(E) QOQ,순이익 15년->18년 3년간 YOY,순이익 16년 YOY,순이익 17년 YOY,순이익 18년 YOY,순이익 19년(E)  YOY,순이익 20년(E)  YOY,순이익 18년3Q YOY,순이익 18년4Q YOY,순이익 19년1Q YOY,순이익 19년2Q YOY,순이익 19년3Q(E) YOY,순이익 19년4Q(E) YOY,순이익 18년3Q QOQ,순이익 18년4Q QOQ,순이익 19년1Q QOQ,순이익 19년2Q QOQ,순이익 19년3Q(E) QOQ,순이익 19년4Q(E) QOQ,15년 매출액,15년 영업이익,15년 순이익,16년 매출액,16년 영업이익,16년 순이익,17년 매출액,17년 영업이익,17년 순이익,18년 매출액,18년 영업이익,18년 순이익,19년(E) 매출액,19년(E) 영업이익,19년(E) 순이익,20년(E) 매출액,20년(E) 영업이익,20년(E) 순이익,매출액 17년 3Q,매출액 17년 4Q,매출액 18년 1Q,매출액 18년 2Q,매출액 18년 3Q,매출액 18년 4Q,매출액 19년 1Q,매출액 19년 2Q,매출액 19년 3Q(E),매출액 19년 4Q(E),영업이익 17년 3Q,영업이익 17년 4Q,영업이익 18년 1Q,영업이익 18년 2Q,영업이익 18년 3Q,영업이익 18년 4Q,영업이익 19년 1Q,영업이익 19년 2Q,영업이익 19년 3Q(E),영업이익 19년 4Q(E),순이익 17년 3Q,순이익 17년 4Q,순이익 18년 1Q,순이익 18년 2Q,순이익 18년 3Q,순이익 18년 4Q,순이익 19년 1Q,순이익 19년 2Q,순이익 19년 3Q(E),순이익 19년 4Q(E),발표치 19년3Q  매출액,발표치 19년3Q  영업이익,발표치 19년3Q  순이익,컨센서스 19년3Q  매출액,컨센서스 19년3Q  영업이익,컨센서스 19년3Q  순이익,
A005930,삼성전자,반도체 관련장비 및 부품,종합 반도체,코스피,49900,2978921,596978,0,0,-7,-1.2,1.5,1.5,5.5,11.8,18,13.7,57,28.5,40.9,17.1,13.6,11.8,14.8,12.6,10.03,9.4,7.7,5.98,10.58,1.28,1.3,-0.93,11.27,1.91,0.96,1.27,1.19,1.07,8.9,9.47,9.47,9.47,14.7,13.65,10.69,5.46,7.23,9.51,29.6,240,292.42,33,34,6,21.9,2.8,255.04,3.66,0.58,2,0.0149,1.31943,851931,2498927,1734335,312470,373394,73898,3350858,2297777,313310,314695,689083,953362,498170,-412141,-126458,216560,1416,4227.99,4168.25,4799.51,1.43,-11.91,49150,47300,44650,42300,43900,50700,37450,0,1,1,1,98,33,-0.03,0.02,-0.01,0.03,0.07,0.1,0.13,0.14,0.27,0.57,-0.08,0.49,0.45,0.34,0.79,62,124,0.32227,76,85,303,321,1,0,0,0,65685,58723,0,0,1,20191017,20191008,0.4,8.1,0,3.4,7.9,1.4,1.1,3.2,12,2.9,-18.7,-11.5,60,-37,5,7,11,58,79,281610,1,1,0,1,1,1,1,0,0,6,21.5,0.6,18.7,1.8,-4.6,8.6,5.5,-10.2,-13.5,-4,-5.3,5,11.9,-9.5,-11.6,7.1,10.5,0.4,122.9,10.7,83.5,9.8,-53.2,37.1,18.2,-28.7,-60.2,-55.6,-56.2,-34.8,18.2,-38.5,-42.3,5.8,16.7,-8.6,134.8,19.9,18.7,6.2,-50.3,34.1,17.5,-30.7,-56,-53.9,0,-33.9,18.1,-35.8,-38.7,-0.8,0,-1.7,2006535,264134,186946,2018667,292407,224157,2395754,536450,413446,2437714,588867,438909,2324936,275308,218167,2525874,377351,292623,620489,659784,605637,584827,654600,592651,523855,561271,620000,622452,145332,151470,156422,148690,175749,108006,62333,65971,77000,70387,110398,120163,116118,109815,129674,83301,51075,50645,55974,55044,620000,77000,0,617250,71256,55974,
A000660,SK하이닉스,반도체 관련장비 및 부품,종합 반도체,코스피,77400,563474,72800,4400,6,0,-4.4,-3.3,-6.4,-1.8,-3.5,19.8,9.3,89,28.6,52.1,34.6,37.3,11.3,23.7,20.4,8.36,15.4,6.5,3.64,-124.5,1.63,1.63,-0.23,6.83,2.89,0.94,1.43,1.18,1.08,6.7,5.44,5.79,5.79,26.31,24.49,12.94,3.08,4.37,4.37,-1.9,115,189.58,32,32,21,6.6,1.9,335.9,2.48,0,1.36,0.02308,1.66395,153215,477002,142428,55887,77706,7027,630217,345798,129066,97282,204602,180165,154616,-159474,4362,159142,1500,4638.25,2173.36,1931.24,113.41,140.17,82700,78800,80200,64600,70800,84300,57700,0,0,0,1,92,34,0.04,-0.33,-0.3,0.14,-0.4,-0.25,0.36,-0.67,-0.31,0.39,0.06,0.45,1.09,-0.58,0.51,41,126,0.49086,46,79,112,230,1,0,0,0,167291,98007,0,0,0,20191017,20190725,0,0,0,1.5,-12.5,-21.7,0.6,-8.1,10,-20.5,-59.5,-55.2,20,-39,18,17,9,64,104,-4526,1,1,0,1,0,1,1,0,0,5,115.2,-8.5,75.1,34.3,-36.8,11.3,40.9,10.1,-22.3,-37.8,-45.2,-38.9,10.1,-13,-31.9,-4.7,-3,-3,290.6,-38.6,318.8,51.9,-86.1,122.4,16.1,-0.8,-68.7,-88.6,-93.4,-89.9,16.1,-31.6,-69.2,-53.3,-32.5,4.5,259.5,-31.7,75.1,46,-85.2,110.8,53.7,5.4,-64.7,-87.6,-93.4,-90.5,8.4,-27.6,-67.5,-51.4,-42,3.9,187980,53361,43224,171980,32767,29538,301094,137213,106415,404451,208438,155401,255653,28924,23006,284453,64317,48508,81001,90276,87197,103705,114168,99381,67727,64522,62618,60720,37372,44658,43673,55739,64724,44301,13665,6376,4303,4495,30542,32208,31203,43299,46936,33963,11028,5355,3104,3225,0,0,0,62618,4303,3104,
A068270,셀트리온,제약 및 바이오,바이오,코스피,181500,232930,12834,106,0.8,0.6,-3.5,0,7.7,-0.3,-14.2,-9.7,-32.3,86.5,14.2,54.5,41.8,29.9,35.7,10.4,9.2,15.15,6.8,11.6,58.31,76.4,25.04,25.04,0.52,854.29,15.48,3.38,8.08,8.85,7.51,78.1,95.76,96.53,96.53,75.43,70.2,49.55,55.52,83.67,83.67,3.4,248,291.07,34,36,19,1,0,-72.14,0.72,0,0,0.02814,1.1156,9417,26331,17221,2556,1145,402,35748,9304,2784,2413,4206,5067,3994,-1672,-1872,945,19,791.35,681.39,995.82,16.14,-20.53,168500,182000,211500,201000,268211,268211,141500,0,1,1,0,68,28,-0.01,-0.02,-0.03,0.02,0.12,0.14,0.51,-0.05,0.46,1.73,-0.44,1.29,1.26,0.59,1.85,57,262,0.26506,768,77,1199,190,1,0,0,0,23624,235581,0,1,0,20191016,20190801,0,0,0,1.5,0.2,7.5,-1,11.7,18.1,0,18.7,94.8,80,-34,0,-3,17,327,171,3049,1,1,0,1,0,1,0,0,0,4,62.8,11.1,41.5,3.5,13.5,37.2,-0.4,-11.6,-9.5,-10.8,27.8,49.6,-12.3,5,-8.6,6,25.7,22.9,30.8,-3.6,103.4,-33.3,17.4,51,-30.4,-70.3,-32.9,-21.2,45.1,196.6,-30.4,-40.2,75.9,7.8,28.1,22.2,69.9,15.5,41.5,-31.6,26.7,51.6,-45.4,-54.9,-21.3,-4.1,57.3,164.3,-30.2,-21.7,45.2,20.8,14.5,31.6,6034,2590,1541,6706,2497,1780,9491,5078,3825,9821,3387,2618,11146,3976,3318,15297,6005,5030,2321,2743,2450,2634,2311,2426,2217,2350,2954,3629,1318,1483,1153,1058,736,440,774,834,1068,1305,1029,976,812,805,562,440,639,772,884,1163,0,0,0,2954,1068,884,
A051910,LG화학,화학,종합 화학,코스피,295500,208600,7059,165,2.3,0,-2.8,-2.3,-9.8,-17.7,-19,-19.8,-10.5,18,15.1,17.1,8.7,5.1,4.1,9,4.3,6.6,2.3,3.6,7.2,-8.88,0.73,0.73,0.26,35.34,3.8,0.99,1.45,1.23,1.14,16.8,28.07,28.73,28.73,76.58,30.86,17.34,8.7,14.54,14.54,-8.9,116,180.67,88,89,49,31.2,2,34.65,3.47,1.02,1.43,0.01779,1.1532,151567,170218,133012,47709,11415,2953,321785,283941,14349,7261,30645,48510,28971,-53396,26906,52472,6000,786.56,502.31,700.22,56.59,12.33,327500,359000,365000,368500,330000,394500,289000,0,0,0,0,75,2,-0.11,-0.04,-0.16,-0.15,-0.01,-0.16,-1.14,-0.08,-1.22,-0.84,-0.95,-1.79,-0.7,-1.06,-1.76,32,124,0.56338,228,70,919,71,1,0,0,0,129773,419195,0,0,0,20191014,20190724,0,0,0,-4.8,-20.1,-67.8,3.1,-7.6,-11.8,-20.4,-27.1,65.7,40,-60,17,0,7,60,70,-23501,1,1,0,1,0,0,1,0,0,4,39.5,2.2,24.4,9.7,4.2,22.3,13.1,14.2,1.3,1.8,4.9,8.4,2.6,1.5,-9.6,8.1,5.8,4.8,23.2,9.2,47,-23.3,-45.8,73.4,-14.3,-52.9,-57.7,-62,-47.5,23.8,-14.3,-51.9,-4.9,-2.9,18.1,13.4,27.7,11.1,24.4,-24.3,-54.1,96.7,-34.1,-62,-63.4,-85.7,-48,83.7,-28.1,-65,61.9,-65,162.3,23.5,202066,18236,11530,206593,19919,12811,256980,29285,19453,281830,22461,14726,293676,12182,6760,359027,21120,13300,63971,64322,65536,70519,72349,73427,66391,71774,75928,79602,7897,6150,6508,7033,6024,2896,2754,2675,3160,3585,5210,3158,5313,4777,3434,1201,1945,681,1786,2206,0,0,0,75928,3160,1786,
A005380,현대차,자동차 및 관련부품,완성차,코스피,123000,262812,21367,1094,5.1,0,0,-2.4,-4.7,-6.8,-10.9,-6.1,6.5,-7.9,8.9,16.2,5.5,2.8,3.7,7.7,2.7,5.59,1,2.2,9.06,-60.63,0.26,0.26,0.05,5.29,1.55,0.37,0.5,0.38,0.36,8,13.21,13.92,13.92,7.15,7.78,6.38,11.41,9.21,9.21,-240.2,74,98.42,149,162,103,70.7,3.3,45.38,3.38,0.89,2.36,0.01847,0.8577,1128070,695419,496680,122097,460265,177897,1823489,1006177,28526,18882,66419,162838,29018,-45446,22352,33353,4000,514.12,809.56,708.58,-36.49,-27.44,129000,132000,138000,131000,115500,143500,92800,1,0,0,0,86,33,0,-0.01,-0.01,0.03,-0.44,-0.41,0.23,-0.63,-0.4,0.81,-1.53,-0.72,1.2,-1.44,-0.24,25,103,0.60196,112,72,538,101,1,0,0,0,109982,170169,0,0,0,20191014,20190722,0,0,0,1.8,4.9,-10.8,-3.1,-5.3,0.4,10,10.9,118,60,-42,1,-7,5,20,48,-4335,1,1,0,1,0,0,1,0,0,4,5.3,1.8,2.9,0.5,7.3,4.1,1,3,6.9,9.1,5.8,7.5,-1.1,3.3,-4.9,12.4,-4.1,4.9,-61.9,-18.3,-11.9,-47.1,59.1,26.3,-69.6,-35.4,21.1,30.2,100.4,137.9,-69.6,73.5,64.6,50,-53.2,105.9,-76.5,-15.8,2.9,-62.6,123.9,26.9,-68.4,-112.6,24.2,31.2,117.3,902.9,-61.6,-148.2,739.1,10.8,-36.4,78.2,919587,63579,64173,936490,51935,54064,963761,45747,40328,968126,24222,15081,1038760,38539,33770,1081189,48678,42869,242013,245008,224366,247118,244337,252305,239871,269664,258528,271309,12042,7752,6813,9508,2889,5011,8249,12377,5789,11921,8524,10330,6680,7006,2692,-1298,8295,9193,5850,10422,0,0,0,258528,5789,5850,
A017670,SK텔레콤,통신,통신서비스,코스피,238500,192579,8075,888,11,0,-0.2,0.8,0.2,-7.4,-3.8,-11.5,-15.6,6.5,40.5,100,9.2,6.8,7.2,12.2,9.6,6.33,5.1,3.4,4.67,17.03,1.11,1.11,-0.43,7.58,1.67,0.84,1.19,0.85,0.8,10,7.94,8.92,8.92,18.28,16.21,12.66,5.87,16.39,16.39,-65.3,106,109.3,90,89,49,22.9,4.2,3.85,6.64,3.71,3,0.01208,-0.03565,201608,225281,75860,2239,156183,131568,426889,173100,11748,21589,47325,173100,41251,-39796,-4876,29943,10000,230.47,210.1,306.55,9.69,-24.82,238000,257500,248000,269500,282500,289500,231500,1,1,0,0,82,3,0,-0.01,-0.01,0.08,-0.08,0,0.36,-0.57,-0.21,1.22,-2.02,-0.8,2.15,-1.94,0.21,51,101,0.41186,131,69,615,57,1,0,0,0,182085,343368,0,0,0,20191017,20190802,0,0,0,1.5,2.4,-19.1,2.9,-4,-6.2,-29,-52,-29.5,20,-33,17,7,6,46,0,11308,1,1,0,1,0,0,1,0,0,4,-1.5,-0.3,2.5,-3.7,5.7,4.7,-5.8,-3.2,3.7,6.8,7.2,5.2,0.8,3.9,-0.4,2.4,1.1,2,-29.6,-10.1,0.1,-21.8,6.3,11.2,-12.3,-27.4,-0.9,-6.9,7.8,35.5,-12.3,-25.9,43.2,0.1,1.5,-6.8,106,10.4,2.5,20.3,-62,34.7,29.6,-17.8,-45.4,-71.3,-70.8,-41.3,12.5,-53,-21.8,-30.5,14.2,-5.4,171367,17080,15186,170918,15357,16760,175200,15366,25998,168740,12018,31279,178379,12780,11877,186692,14213,15997,44427,44973,41815,41543,41864,43517,43349,44370,44871,45788,3924,3104,3255,3469,3041,2253,3226,3228,3277,3053,7958,5900,6950,9167,10314,4849,3792,2634,3007,2844,0,0,0,44871,3277,3007,
A207940,삼성바이오로직스,제약 및 바이오,바이오,코스피,344000,227608,6617,0,0,0,-0.3,5.8,4.6,19,1.6,-14,-24.1,0,1.5,18.2,1.2,-3.5,5,-1.3,5.8,4.07,4.1,2.9,-306.43,-87.34,47.13,47.13,-4.86,529.86,9.2,2.45,5.73,5.55,5.32,-113.4,95.47,95.47,95.47,-424.64,743.82,130.66,231.31,-1354.81,-1354.81,-1.5,0,224.19,42,42,21,0,0,0,0,0,0,0.03165,1.04945,17235,41031,13871,4155,27080,25645,58266,4829,-168,2384,986,880,-742,789,-819,1864,0,219.8,387.5,402.99,-43.28,-45.46,329000,289000,338500,400000,453000,453000,249500,1,1,1,1,76,38,-0.01,0.02,0.01,0.06,0.13,0.19,0.2,0.26,0.46,0.54,0.35,0.89,-0.01,0.36,0.35,60,227,7.4999,-10824,88,1301,340,1,0,0,0,-3178,389783,0,1,0,20191008,20190723,0,0,0,-21,-27.3,-11.7,6.7,39,35.8,51.5,86.7,-26.9,100,0,-21,6,4,67,258,-2606,1,0,1,0,1,1,1,0,1,6,486.9,222.7,57.7,15.3,8.8,55.1,-20.7,7.2,-4.3,-37.7,73,17.5,-19.4,76.4,-29.7,-37.7,123.9,19.8,127.4,85.1,317.1,-15.6,-48.1,626.3,-55.7,-77.3,-334,-165,124.8,287.8,-55.7,9.5,-303.5,34.2,253.2,89,-88.2,-109.3,57.7,331,-86.3,584.3,14.8,3241.6,17.6,31.3,220,-83.4,-38.5,1275.2,-112.1,65.2,341.8,63,913,-2036,19049,2946,-304,-1768,4646,660,-970,5358,557,2241,5831,289,306,9042,2099,2094,1275,1663,1310,1254,1011,1783,1254,781,1749,2095,205,506,100,237,105,115,-234,-154,236,446,-317,-101,-467,-195,-270,3173,-385,-134,324,528,0,0,0,1749,236,324,
A005490,POSCO,철강 및 비철강,제철,코스피,224500,195734,8719,764,8.8,0,0,-0.4,-3.9,-6.1,-13.8,-14.5,-16.9,-7,9.4,10.9,6.2,7.8,6.6,3.4,3.4,5.7,2,3.4,3.1,4.72,0.3,0.3,0.09,5.72,1.74,0.35,0.53,0.44,0.42,21.5,11.86,13,13,7.99,7.77,7.28,3.44,3.86,3.86,15,126,192.59,65,70,42,47.3,4.5,17.24,4.8,1.62,3.21,0.01637,1.11996,311171,444570,340578,117082,94268,37874,755741,653677,50741,15057,84275,71567,63065,-24907,-39343,21639,10000,504.88,472.68,450.44,6.81,12.08,233500,239000,260500,262500,270000,285000,203500,0,0,1,0,79,10,-0.01,0.02,0.01,0.08,-0.1,-0.02,-0.01,-0.25,-0.26,0.8,-1.26,-0.46,1.14,-2.38,-1.24,25,126,1.0839,103,71,472,82,1,0,0,0,216973,316119,0,0,0,20191016,20190723,0,0,0,0,-1.9,-2,0.8,-3.4,-3.4,-9.6,-10.4,78.6,20,-49,-5,-6,6,55,71,41426,1,1,0,1,1,1,1,0,1,7,11.7,-8.8,14.3,7.1,1.1,2.5,9.1,6.6,1,1.5,0.9,0.8,2,1.3,-3.7,1.9,1.5,1.2,130,18,62.5,19.9,-22.2,4.1,22.3,10.4,-19.1,-14.7,-35.9,-15.6,22.3,-17,-5.4,-11.2,-8.2,9.4,836.1,654.9,14.3,-39.4,49,8,17.3,-255.8,-25.4,12.3,-47.2,172.5,87.1,-185.1,185.5,-17.4,-12.1,16.9,581923,24100,1806,530835,28443,13633,606551,46218,27901,649778,55426,16906,656697,43135,25196,673429,44915,27216,150361,155974,158623,160833,164107,166215,160142,163213,165603,167555,11257,11521,14877,12523,15311,12715,12029,10686,9813,10731,8694,5569,9935,5450,10195,-8674,7413,6123,5382,6291,0,0,0,165603,9813,5382,
A015760,한국전력,유틸리티,전력,코스피,25900,166269,64196,0,0,0,-1.5,2.4,2,-5,-7,-23.5,-3.7,-50.9,1.2,3.9,11.2,-0.5,0.9,6.9,-1.9,1.43,-0.7,0.5,2.4,-3.85,0.28,0.28,0.1,-3.01,0.59,0.24,0.42,0.24,0.24,8.1,-12.56,-12.56,-12.56,-9.29,-56.88,16.77,8.16,-51.65,-51.65,-618.2,56,83.8,176,180,101,0,0,-100,7.26,0,0,0.01751,0.25755,1228995,684191,201165,67529,119455,59804,1913186,599038,-3219,-13234,100444,23356,69176,-122532,42562,112334,0,189.3,228.77,297.4,-17.25,-36.35,25400,27250,27850,33850,26900,35800,24700,0,1,1,0,72,5,0,0,0,0.07,0.04,0.11,0.24,-0.07,0.17,0.39,-0.36,0.03,0.51,-2.06,-1.55,41,100,-3.11473,-102,77,1684,190,1,0,0,0,-25344,33491,0,0,0,20191015,20190814,0,0,0,-2.3,-1.8,-6,-14.3,-36.8,3.9,-35.9,-33,174.9,40,0,3,-4,1,39,43,-43158,0,1,0,1,0,1,1,0,0,4,2.8,2.1,-0.6,1.4,-2.7,1.6,1.4,-2.4,-2.9,-2,-3.1,-2.8,23,-7.5,0.5,-14.3,21.6,-7.3,-101.8,5.8,-58.7,-104.2,363.3,514.8,303.1,-509.4,-393.7,56.5,9.3,91.6,303.1,-156.5,20.1,52.6,610.3,-104.4,-109.9,-47,-0.6,-201.2,77.8,547.3,-52.5,42.6,-184.1,52.9,64.3,134.9,174.7,-212.4,1.1,43.2,360.2,-76.1,589577,113467,132891,601904,120016,70486,598149,49532,12987,606276,-2080,-13146,589746,5476,-2923,599050,33665,13076,161877,155550,157060,133372,164098,151746,152484,130710,159006,147439,27729,-1294,-1276,-6871,13952,-7885,-6299,-2987,15243,-666,14930,-13884,-2773,-9492,7086,-7967,-7878,-4475,11642,2781,0,0,0,159006,15243,11642,
A028260,삼성물산,지주사,지주사,코스피,92300,175084,18969,2623,13.8,0,-1,1.7,1.2,-3.1,-12.1,-20.8,-21.1,-42.5,8.8,11.9,2.3,2.7,2.9,6.7,6.4,5.31,3.4,2.9,61.77,-139.07,0.56,0.56,-1.13,9.76,4.79,0.78,1.77,0.79,0.75,76.3,10.65,12.36,12.36,19.91,16.78,14.12,14.2,20.78,20.78,-41.3,90,105.69,80,90,18,19.3,2.2,378.87,1.9,0,1.57,0.01517,1.06077,197961,221002,125565,18571,258436,36419,418963,310807,8425,14167,13200,37041,2834,7613,-19795,4093,2000,140.84,201.36,203.42,-30.05,-30.76,91200,95300,105000,116500,117000,120000,84400,0,1,1,0,77,9,0,-0.01,-0.01,0.08,0.01,0.09,0.09,0,0.09,0.35,-0.19,0.16,0.2,-0.81,-0.61,16,101,0.54339,166,66,749,28,1,1,0,0,55588,140830,0,0,0,20191016,20190724,0,0,0,0.8,-6.8,-38.2,-8.3,23.9,11.1,-1.1,5.1,-12.5,40,28,-9,-7,5,55,24,-1259,1,1,1,0,1,1,1,0,1,7,133.5,110.6,4.2,6.4,-0.3,2.6,3.8,2.7,-1.6,0.6,0.2,-0.2,-1.9,2.4,-7.7,8.4,-2.2,2,2875.5,276,531.8,25.3,-18.8,15.5,-27.6,-14.3,-49.7,-41.6,-1.5,24.5,-27.6,-11.3,-56.7,109.8,22.2,12.1,-37.6,-96.1,4.2,167.7,-39.1,23.1,86.6,328,-38.3,-39.1,-3.9,-52.1,-22,136.5,-62.6,-11.8,23.2,17.8,133447,371,27468,281027,1395,1074,292790,8813,6398,311556,11039,17128,310723,8964,10435,318810,10349,12850,74926,77649,74763,79277,77805,79711,73571,79720,77964,79525,2101,2832,2092,3781,2738,2428,1052,2207,2696,3022,1509,1556,4042,3610,2816,6660,2493,2198,2707,3188,0,0,0,77964,2696,2707,
